business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Gayatri fitness centre...,Wellness Center,Community center,Community center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,5.0,,"PR6X+644, Khanakul, West Bengal 712406",712406,22.7105134,87.84783139999999,ChIJNRrpdgAN-DkRbaZctCL8XaA,https://www.google.com/maps/place/?q=place_id:ChIJNRrpdgAN-DkRbaZctCL8XaA,part_317,2026-09-20 20:49:07
Health Center,Wellness Center,Community health center,Community health center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,,,"PV5P+43M, Kedarpur, West Bengal 712406",712406,22.707832,87.88516489999999,ChIJMVRbWntz-DkRX0zfGURm7-E,https://www.google.com/maps/place/?q=place_id:ChIJMVRbWntz-DkRX0zfGURm7-E,part_317,2026-09-20 20:49:07
"KUMARHAT SU-SWASTHYA KENDRA, KUMARHAT",Wellness Center,Community health center,Community health center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,4.0,,"MRPV+FP8, Kumarhat, West Bengal 712417",712406,22.6861662,87.8443209,ChIJF6XBdkUL-DkRMsUl3ZcxIDM,https://www.google.com/maps/place/?q=place_id:ChIJF6XBdkUL-DkRMsUl3ZcxIDM,part_317,2026-09-20 20:49:07
পাতুল সুস্বাস্থ্য কেন্দ্র,Wellness Center,Medical Center,Medical Center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,5.0,,"PRWM+JC5, Patul, West Bengal 712406",712406,22.7465083,87.833612,ChIJT9HnVgAN-DkRd8UeGFYJwk4,https://www.google.com/maps/place/?q=place_id:ChIJT9HnVgAN-DkRd8UeGFYJwk4,part_317,2026-09-20 20:49:07
ঘাঘরপুর সুস্বাস্থ্য কেন্দ্র,Wellness Center,Community health center,Community health center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,,,"PV64+MC2, Ghagarpur, West Bengal 712406",712406,22.7116459,87.8560148,ChIJi7d1LQBz-DkRR7RjGs3-jFY,https://www.google.com/maps/place/?q=place_id:ChIJi7d1LQBz-DkRR7RjGs3-jFY,part_317,2026-09-20 20:49:07
Rural swasthya Seva foundation,Wellness Center,Medical clinic,Medical clinic,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",+91 92423 40343,N/A,,,"Kamarsal-Pansiuli Rd, Senhat, Khanakul, West Bengal 721127",712406,22.682394,87.8451364,ChIJyzV_6e4L-DkRUfNRj_MUMYM,https://www.google.com/maps/place/?q=place_id:ChIJyzV_6e4L-DkRUfNRj_MUMYM,part_317,2026-09-20 20:49:07
POLE-1 PRIMARY HEALTH SUB-CENTER,Wellness Center,Hospital,Hospital,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,5.0,,"PRV9+X7G, Pole, West Bengal 712406",712406,22.744943799999998,87.8182147,ChIJDYG3__4M-DkRifaOt2-t0N0,https://www.google.com/maps/place/?q=place_id:ChIJDYG3__4M-DkRifaOt2-t0N0,part_317,2026-09-20 20:49:07
Natibpur Block Primary Health Center,Wellness Center,Government hospital,Government hospital,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,4.4,,"MV8R+9C5, Natibpur, West Bengal 712416",712406,22.6658819,87.891115,ChIJ3flPMfx0-DkRCXZpvRc2zA8,https://www.google.com/maps/place/?q=place_id:ChIJ3flPMfx0-DkRCXZpvRc2zA8,part_317,2026-09-20 20:49:08
Sai Swasthya Wellness centre_Thakuranichak,Wellness Center,Community health center,Community health center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,http://srisathyasaiaarogyavahini.org/,,,"MQVH+FC9, Paschim Thakurani Chak, West Bengal 721212",712406,22.693776999999997,87.7786167,ChIJAT9TCAAL-DkR8G1_g7rPX5g,https://www.google.com/maps/place/?q=place_id:ChIJAT9TCAAL-DkR8G1_g7rPX5g,part_317,2026-09-20 20:49:08
mannadanga suswasthya kendra,Wellness Center,Community health center,Community health center,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,4.0,,"Ghoshpur, West Bengal 712613",712406,22.7330552,87.7847585,ChIJU1Xcm44N-DkRjkkt7Zz9nos,https://www.google.com/maps/place/?q=place_id:ChIJU1Xcm44N-DkRjkkt7Zz9nos,part_317,2026-09-20 20:49:08
RAGHUNATHPUR PHC(PRIMARY HEALTH CENTER),Wellness Center,Hospital,Hospital,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,4.7,,"PQXP+4FW, Ghoshpur, West Bengal 712617",712406,22.7478716,87.78619959999999,ChIJ6_eOVc0N-DkRwl3Sx8HhH5E,https://www.google.com/maps/place/?q=place_id:ChIJ6_eOVc0N-DkRwl3Sx8HhH5E,part_317,2026-09-20 20:49:08
Ghoradaha Sub Health Center,Wellness Center,Health consultant,Health consultant,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,5.0,,"MR32+G7G, Dhanyaghari, West Bengal 721212",712406,22.6538114,87.800681,ChIJA7bqkK8L-DkR4C3V8Mz-kRQ,https://www.google.com/maps/place/?q=place_id:ChIJA7bqkK8L-DkR4C3V8Mz-kRQ,part_317,2026-09-20 20:49:08
RADHABALLAVPUR-PRIMARY HEALTH CENTRE,Wellness Center,Hospital,Hospital,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,5.0,,"QR7X+WMP, Radhaballabhpur, West Bengal 712406",712406,22.7648485,87.84921469999999,ChIJL1zgaTEN-DkRhpyPB9BQO_w,https://www.google.com/maps/place/?q=place_id:ChIJL1zgaTEN-DkRhpyPB9BQO_w,part_317,2026-09-20 20:49:08
Chandrakala ayurved solution and nutrition center,Wellness Center,Doctor,Doctor,712406,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khanakul SO, Hirapur BO, Kedarpur BO",N/A,N/A,1.0,,"MRFR+7Q, Rajhati, West Bengal 712417",712406,22.6724113,87.8431408,ChIJNZd572UL-DkR4F6-M-ywPuU,https://www.google.com/maps/place/?q=place_id:ChIJNZd572UL-DkR4F6-M-ywPuU,part_317,2026-09-20 20:49:08
