business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Friend travels,Bus Booking Agency,Travel agency,Travel agency,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 91230 41348,https://friendtravels.in/,4.8,,"Tegharia, Kaikhali, Kolkata, West Bengal 700052","Tegharia, Kaikhali",22.6197284,88.43246719999999,ChIJIRankQqe-DkRqafGne4Mx0s,https://www.google.com/maps/place/?q=place_id:ChIJIRankQqe-DkRqafGne4Mx0s,part_313,2026-09-20 20:33:26
(VOLVO BUS TICKET BOOKING COUNTER (SHIV PARVATI TRAVELS),Bus Booking Agency,Bus ticket agency,Bus ticket agency,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 82749 70188,N/A,4.5,,"gurudwara sahib, International Airport, Motilal Colony, Rajbari, Dum Dum, Kolkata, West Bengal 700079","International Airport, Motilal Colony, Rajbari, Dum Dum",22.64323,88.43198439999999,ChIJLwciM5Sf-DkRevWEH1ADENY,https://www.google.com/maps/place/?q=place_id:ChIJLwciM5Sf-DkRevWEH1ADENY,part_313,2026-09-20 20:33:26
Akshita Travels,Bus Booking Agency,Travel agency,"Travel agency, Car leasing service",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 98314 80096,https://akshita-travels.grexa.site/,4.8,,"Ashalata Garden, Lane Number 2, Purbachal, Tetultala, Purbachal, Rajarhat, Kolkata, West Bengal 700136","Purbachal, Tetultala, Purbachal, Rajarhat",22.6403164,88.4585599,ChIJ80YBUPWf-DkRA43stYju96g,https://www.google.com/maps/place/?q=place_id:ChIJ80YBUPWf-DkRA43stYju96g,part_313,2026-09-20 20:33:26
Khushboo Travels,Bus Booking Agency,Travel agency,"Travel agency, Car rental agency, Car leasing service",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 97481 52208,https://khushboo-travels.grexa.site/,4.7,,"Tentultala, Tapan Mitra Sarani, Rajarhat, Kolkata, West Bengal 700136","Purbachal, Tetultala, Bablatala, Rajarhat",22.639895499999998,88.45810089999999,ChIJo9xNox2f-DkRTtH2LN7haO8,https://www.google.com/maps/place/?q=place_id:ChIJo9xNox2f-DkRTtH2LN7haO8,part_313,2026-09-20 20:33:26
Om Travels (car rental service at Rajarhat | New Town | Kaikhali | Dasodrone | Jyangra | Baguiati | Kestopur),Bus Booking Agency,Travel agency,"Travel agency, Car leasing service",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 90882 57489,https://om-travels-car.grexa.site/,4.9,,"Service Rd, opposite Spencers, Chinar Park, Sukanta Pally, Newtown, Kolkata, West Bengal 700052","Chinar Park, Sukanta Pally, Newtown",22.6226295,88.4434897,ChIJn-hmxZ-f-DkRPd_aApBF2VU,https://www.google.com/maps/place/?q=place_id:ChIJn-hmxZ-f-DkRPd_aApBF2VU,part_313,2026-09-20 20:33:26
Indian Traders and SBSTC booking,Bus Booking Agency,Transportation service,"Transportation service, Bus ticket agency",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 98302 14666,http://www.indiantraders.com/,3.8,,"176, International Airport, 2(1noGate Mojumdar para Near Gurudwar, 70007, Jessore Rd, International Airport, Motilal Colony, Rajbari, Dum Dum, Kolkata, West Bengal 700079","International Airport, Motilal Colony, Rajbari, Dum Dum",22.643814199999998,88.43241139999999,ChIJ4w-3U0-e-DkR9vdTTW_Dy0c,https://www.google.com/maps/place/?q=place_id:ChIJ4w-3U0-e-DkR9vdTTW_Dy0c,part_313,2026-09-20 20:33:26
Royal Travel Agency,Bus Booking Agency,Travel agency,"Travel agency, Airline ticket agency, Bus ticket agency, Railway Ticket Agent",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 33 3261 4901,N/A,4.2,,"RD - 19, Raghunathpur, Baguiati, Kolkata, West Bengal 700059","Raghunathpur, Baguiati",22.6213578,88.4302489,ChIJ5XTOgi-e-DkRCC_KGZw-yQs,https://www.google.com/maps/place/?q=place_id:ChIJ5XTOgi-e-DkRCC_KGZw-yQs,part_313,2026-09-20 20:33:26
Ganguly Travels,Bus Booking Agency,Travel agency,Travel agency,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",N/A,https://www.drivercab.in/,3.9,,"Biswa Bangla Sarani, Kaikhali, Kolkata, West Bengal 700136",Kaikhali,22.6330645,88.44503139999999,ChIJC0TPFw6f-DkRDwMWcVoLjJM,https://www.google.com/maps/place/?q=place_id:ChIJC0TPFw6f-DkRDwMWcVoLjJM,part_313,2026-09-20 20:33:26
ROYAL CRUISE AIRPORT COUNTER (SHIV PARVATI TRAVELS),Bus Booking Agency,Bus ticket agency,Bus ticket agency,700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 82760 10188,N/A,,,"AIRPORT GATE NO 1, near Gurudwara, International Airport, Motilal Colony, Rajbari, Dum Dum, Kolkata, West Bengal 700079","International Airport, Motilal Colony, Rajbari, Dum Dum",22.6432272,88.4319889,ChIJA88gcfuf-DkRjfn3Ts5GkCY,https://www.google.com/maps/place/?q=place_id:ChIJA88gcfuf-DkRjfn3Ts5GkCY,part_313,2026-09-20 20:33:26
CHOWDHURY TOURS & TRAVELS,Bus Booking Agency,Travel agency,"Travel agency, Tour agency, Tour operator",700052,West Bengal Circle,Kolkata Region,Kolkata North Division,"Kolkata Airport SO, Kendriya Vihar SO, Kolkata Airport  Po SO",+91 98364 16360,N/A,4.2,79.0,"BB 9 D, B NAGAR, Baguiati, Kolkata, West Bengal 700059","B NAGAR, Baguiati",22.6150488,88.4253837,ChIJc5j5lrp3AjoRCWLyWrJBXKU,https://www.google.com/maps/place/?q=place_id:ChIJc5j5lrp3AjoRCWLyWrJBXKU,part_313,2026-09-20 20:33:27
