business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Tricore Medical Systems,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 86060 78122,N/A,4.5,,"Pump House Rd, Nedumcadu, Kuriyathi, Karamana, Thiruvananthapuram, Keralam 695002","Nedumcadu, Kuriyathi, Karamana",8.4723921,76.96336459999999,ChIJuaS_xaa7BTsRCTe6mu8rs_M,https://www.google.com/maps/place/?q=place_id:ChIJuaS_xaa7BTsRCTe6mu8rs_M,part_312,2026-09-20 20:17:09,1808
Zoya Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,N/A,N/A,,,"HVJ6+GFW, Kaniyapuram, Keralam 695582",695585,8.5813653,76.8612042,ChIJUwbKyrK_BTsR1mBxsrVJy2w,https://www.google.com/maps/place/?q=place_id:ChIJUwbKyrK_BTsR1mBxsrVJy2w,part_312,2026-09-20 20:17:09,1809
Janaseva community pharmacy kunnapuzha,Medical Equipment Supplier,Medical supply store,Medical supply store,695585,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Sainik School SO Thiruvananthapuram,+91 82816 18686,N/A,4.9,17.0,"Kunnapuzha, Thiruvananthapuram, Keralam 695032",Kunnapuzha,8.4888178,76.9980798,ChIJlf25A1G7BTsR2IXuWTVHzLk,https://www.google.com/maps/place/?q=place_id:ChIJlf25A1G7BTsR2IXuWTVHzLk,part_312,2026-09-20 20:17:11,1810
Amber solutions,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Medical Equipment Manufacturer",695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 98099 99723,N/A,5.0,,"Building X1/645, Kazhakkoottam, Thiruvananthapuram, Keralam 695301",695586,8.5813805,76.854799,ChIJVVVVVbm_BTsRiZOyIkGCkiY,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVbm_BTsRiZOyIkGCkiY,part_312,2026-09-20 20:17:53,5901
"VISWAS, COMMUNITY MEDICAL STORE",Medical Equipment Supplier,Medical supply store,Medical supply store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 94461 82461,N/A,4.5,,"HV8F+V52, Kazhakuttam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582",Kazhakuttam,8.5671453,76.8728988,ChIJP26lm9W_BTsRlsQvn6hi8Fw,https://www.google.com/maps/place/?q=place_id:ChIJP26lm9W_BTsRlsQvn6hi8Fw,part_312,2026-09-20 20:17:53,5902
VIJINI MEDICALS വിജിനി മെഡിക്കൽസ്,Medical Equipment Supplier,Medical supply store,Medical supply store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 98468 72747,N/A,4.3,,"CHITTATTUMUKKU - (KE RISPA CHITTATTUMUKKU 21, CHITTATTUMUKKU, KE, Kazhakkoottam, Keralam 695301","CHITTATTUMUKKU, KE",8.5746894,76.8516612,ChIJLTVLsGS_BTsRZkafxGJCP6k,https://www.google.com/maps/place/?q=place_id:ChIJLTVLsGS_BTsRZkafxGJCP6k,part_312,2026-09-20 20:17:53,5903
AP Medicals (Arogya Pradhayini Medicals),Medical Equipment Supplier,Medical supply store,Medical supply store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",N/A,N/A,5.0,,"HRHX+GFW, Kaniyapuram, Keralam 695301",695586,8.5788701,76.8487047,ChIJVQzEese_BTsReslVGoFZpfc,https://www.google.com/maps/place/?q=place_id:ChIJVQzEese_BTsReslVGoFZpfc,part_312,2026-09-20 20:17:53,5904
Krishna Medicals,Medical Equipment Supplier,Medical supply store,Medical supply store,695586,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"StXaviers College SO, Pallithura BO, Puthenthope BO",+91 471 654 8403,N/A,3.5,,"GVVG+HCX, VSSC Rd, Kulathoor, Thiruvananthapuram, Keralam 695582",Kulathoor,8.54398,76.8761059,ChIJw23QNou-BTsR9JPDoJzQeus,https://www.google.com/maps/place/?q=place_id:ChIJw23QNou-BTsR9JPDoJzQeus,part_312,2026-09-20 20:17:55,5905
NITARA MEDICALS (UNDER VISWAS COMMUNITY FAIR PRICE MEDICAL SERVICES),Medical Equipment Supplier,Medical supply store,"Medical supply store, Cosmetics store, Pet supply store",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 99958 88220,N/A,5.0,,"Sreekariyam - Aakkulam Rd, Gowari Nagar, Sreekaryam, Thiruvananthapuram, Keralam 695017","Gowari Nagar, Sreekaryam",8.5483666,76.9172079,ChIJs2pCRdu_BTsRWBT1wKutdmY,https://www.google.com/maps/place/?q=place_id:ChIJs2pCRdu_BTsRWBT1wKutdmY,part_312,2026-09-20 20:18:41,7868
FOCUS INNOVATIONS,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 95671 67340,N/A,5.0,,"Muttampuram Ln, Amadi Nagar, Sreekaryam, Thiruvananthapuram, Keralam 695016","Amadi Nagar, Sreekaryam",8.5469324,76.9128636,ChIJOcCFNtq7BTsRmG2VtYtmMX4,https://www.google.com/maps/place/?q=place_id:ChIJOcCFNtq7BTsRmG2VtYtmMX4,part_312,2026-09-20 20:18:41,7869
