business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
B.C. MITRA SUPER MARKET,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",N/A,N/A,4.3,6.0,"X9MX+98C, Tribeni - Shibpur Rd, Benimadhabtala, Tribeni, West Bengal 712503","Benimadhabtala, Tribeni",22.9834292,88.3982808,ChIJuzGxEFeT-DkRMLyqyB5y6OE,https://www.google.com/maps/place/?q=place_id:ChIJuzGxEFeT-DkRMLyqyB5y6OE,part_318,2026-09-20 20:26:11,24940
Saha Store,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 62894 55585,N/A,5.0,1.0,"near Sastitala, Baikunthapur, Tribeni, Baikunthpur, West Bengal 712503","Baikunthapur, Tribeni",22.986947999999998,88.39266049999999,ChIJKSFUTiiT-DkRGBEDoTlr0rk,https://www.google.com/maps/place/?q=place_id:ChIJKSFUTiiT-DkRGBEDoTlr0rk,part_318,2026-09-20 20:26:11,24941
Paresh Dinesh Solanki,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 96152 90006,N/A,,,"NA, near Milan Bithi Luged, Tribeni, BAIKUNTHPUR, West Bengal 712503","Baikunthapur, Tribeni",22.9920735,88.39162329999999,ChIJp8nLhKKT-DkRq5mWTleWRzw,https://www.google.com/maps/place/?q=place_id:ChIJp8nLhKKT-DkRq5mWTleWRzw,part_318,2026-09-20 20:26:11,24942
Bharat,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 84008 84566,N/A,,,"Na, Tribeni, West Bengal 712503","Benimadhabtala, Tribeni",22.984188099999997,88.4013883,ChIJy5QQMiyT-DkR_Y235cDSCV0,https://www.google.com/maps/place/?q=place_id:ChIJy5QQMiyT-DkR_Y235cDSCV0,part_318,2026-09-20 20:26:11,24943
Jayjeet Naskar,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 62906 86773,N/A,,,"Na, Tribeni Station Rd, near Chobi Ghar, Baikunthapur, Tribeni, West Bengal 712503","Baikunthapur, Tribeni",22.9917977,88.3985794,ChIJHVQ-nQWT-DkRpIuvYE9wRjY,https://www.google.com/maps/place/?q=place_id:ChIJHVQ-nQWT-DkRpIuvYE9wRjY,part_318,2026-09-20 20:26:11,24944
Sanjay Patel,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 62891 88338,N/A,,,"SANTI COLONI, NA, near Kali Tempal, Baikunthapur, Tribeni, West Bengal 712503","Baikunthapur, Tribeni",22.9898761,88.3976151,ChIJh4Rn6nuT-DkRFJCAnoxis6A,https://www.google.com/maps/place/?q=place_id:ChIJh4Rn6nuT-DkRFJCAnoxis6A,part_318,2026-09-20 20:26:11,24945
Mukhrjee Rokomari,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 93312 81346,N/A,5.0,1.0,"Na, Amtala, Tribeni, West Bengal 712503","Amtala, Baikunthapur, Tribeni",22.989635099999997,88.3917508,ChIJ8THnvlGT-DkR5WxJOFcXySA,https://www.google.com/maps/place/?q=place_id:ChIJ8THnvlGT-DkR5WxJOFcXySA,part_318,2026-09-20 20:26:11,24946
Apna mart vamika abasan,Supermarket,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",N/A,http://apnamart.in/,3.8,,"R8HX+F99, Bhadreswar, West Bengal 712124",712503,22.8286507,88.34849249999999,ChIJ0crjKACR-DkRGGEhoDfk7Nw,https://www.google.com/maps/place/?q=place_id:ChIJ0crjKACR-DkRGGEhoDfk7Nw,part_318,2026-09-20 20:26:12,24947
Sk Store,Departmental Store,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 94327 08921,N/A,,,"Na, near 3no Platform, Tribeni, Baikunthpur, West Bengal 712503","Baikunthapur, Tribeni",22.989911,88.3982468,ChIJoZ_R132T-DkRlJ196aOSxzo,https://www.google.com/maps/place/?q=place_id:ChIJoZ_R132T-DkRlJ196aOSxzo,part_318,2026-09-20 20:26:11,24979
Ajay Store,Departmental Store,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 62898 99083,N/A,,,"Na, near Tribeni Station Road, Baikunthapur, Tribeni, West Bengal 712503","Baikunthapur, Tribeni",22.989618099999998,88.39760439999999,ChIJKVAgnJ-T-DkR6C6nZoZmxC0,https://www.google.com/maps/place/?q=place_id:ChIJKVAgnJ-T-DkR6C6nZoZmxC0,part_318,2026-09-20 20:26:11,24980
Bapi Das,Departmental Store,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 89104 12846,N/A,,,"near Asram Math, Baikunthapur, Tribeni, West Bengal 712503","Baikunthapur, Tribeni",22.9880708,88.3932669,ChIJm7icDvqT-DkRrW1ioI0um2k,https://www.google.com/maps/place/?q=place_id:ChIJm7icDvqT-DkRrW1ioI0um2k,part_318,2026-09-20 20:26:11,24981
Biswas Grocery Store,Departmental Store,Grocery store,Grocery store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 93301 68466,N/A,,,"Digirpar, Madhusudanpur, Chandrahati, Hooghly, West Bengal 712513","Madhusudanpur, Chandrahati",23.0090559,88.4056963,ChIJ-wDXBgPr-DkRBEr8tpoh7WE,https://www.google.com/maps/place/?q=place_id:ChIJ-wDXBgPr-DkRBEr8tpoh7WE,part_318,2026-09-20 20:26:12,24982
Patanjali Arogya Kendra,Departmental Store,Department store,Department store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 97335 83689,https://patanjalistores.patanjaliayurved.org/patanjali-arogya-kendra-patanjali-arogya-kendra-grocery-stores-mogra-hooghly-271217/Home?utm_source=locator&utm_medium=googleplaces,4.8,5.0,"Ground Floor Tribeni, Mogra, Basudebpur, West Bengal 712503","Baikunthapur, Mogra",22.9901327,88.3943302,ChIJk3H9cNOT-DkR3fhx0SWNBFg,https://www.google.com/maps/place/?q=place_id:ChIJk3H9cNOT-DkR3fhx0SWNBFg,part_318,2026-09-20 20:26:12,24983
BOROMAA FLOWERS,Provision Store,General store,General store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 93308 91654,N/A,5.0,1.0,"Triveni BTPS 2ND Gate, Asham Rd, near BTPS Second Gate, Tribeni, West Bengal 712503","BTPS Township, Tribeni",22.9925212,88.391632,ChIJ_WqKt7GT-DkR0dszdHs7Qn4,https://www.google.com/maps/place/?q=place_id:ChIJ_WqKt7GT-DkR0dszdHs7Qn4,part_318,2026-09-20 20:26:11,24984
Sri Guru Bhander,Provision Store,General store,General store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 99033 95874,N/A,4.8,4.0,"Tribeni Basudeb Pur Tribeni Mogra Road Near Water Tank Tribeni Basudeb Pur Tribeni, Road, near Water Tank, Mogra, West Bengal 712503",Mogra,22.9843627,88.39120729999999,ChIJVasfHQCT-DkRXXhoA4T1Q1Q,https://www.google.com/maps/place/?q=place_id:ChIJVasfHQCT-DkRXXhoA4T1Q1Q,part_318,2026-09-20 20:26:11,24985
Chakraborty Store,Provision Store,General store,General store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 90623 06930,N/A,,,"Bali Ghat, Na, near Kali Temple, Shibpur, Tribeni, West Bengal 712503","Shibpur, Tribeni",22.9809941,88.4008212,ChIJc0anN5iT-DkRYOIrrjFcwc8,https://www.google.com/maps/place/?q=place_id:ChIJc0anN5iT-DkRYOIrrjFcwc8,part_318,2026-09-20 20:26:11,24986
Mondal Grocery Shop,Provision Store,General store,General store,712503,West Bengal Circle,South Bengal Region,Hooghly North Division,"Tribeni SO, Btps SO Hooghly",+91 62912 70818,N/A,,,"337, Sankar Bose Bagan, near Saraswati River, Shibpur, Tribeni, Kolkata, West Bengal 712503","Shibpur, Tribeni",22.981277199999997,88.3972977,ChIJ6ffu5O6T-DkRfs3HEP7l3k4,https://www.google.com/maps/place/?q=place_id:ChIJ6ffu5O6T-DkRfs3HEP7l3k4,part_318,2026-09-20 20:26:11,24987
