business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Swastik by Sneha Saraogi,Womens Ethnic Wear and Kurti,Boutique,"Boutique, Clothing store, Clothing wholesaler",700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 98303 22842,N/A,4.7,144.0,"227/5, Maniktala Main Rd, Bagmari, Kolkata, West Bengal 700054",Bagmari,22.5816716,88.38410449999999,ChIJbUpChGl2AjoRR5YlDAspL-4,https://www.google.com/maps/place/?q=place_id:ChIJbUpChGl2AjoRR5YlDAspL-4,part_314,2026-09-20 20:22:31
Aryan Designers,Womens Ethnic Wear and Kurti,Boutique,Boutique,700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 98312 25015,N/A,4.5,126.0,"3RD floor,Unit 3B, Akshoy House, P-12, CIT Rd, Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi",22.572477,88.390006,ChIJ5T9lsXJ3AjoRvvU0PsE-5Lg,https://www.google.com/maps/place/?q=place_id:ChIJ5T9lsXJ3AjoRvvU0PsE-5Lg,part_314,2026-09-20 20:22:31
AARVI,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Boutique",700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 98300 42241,N/A,4.1,18.0,"P-49 CIT ROAD, Lane, opp. to Pantaloons, Scheme VI-M, Kankurgachi, Kolkata, West Bengal 700054","Scheme VI-M, Kadapara, Phoolbagan, Kankurgachi",22.575605799999998,88.390472,ChIJA1zTT-h3AjoRqnEpNmC3Aa8,https://www.google.com/maps/place/?q=place_id:ChIJA1zTT-h3AjoRqnEpNmC3Aa8,part_314,2026-09-20 20:22:31
Shreya Ethnic Saree & kid Wear,Womens Ethnic Wear and Kurti,Saree Shop,Saree Shop,700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,N/A,N/A,5.0,4.0,"P -30, CIT Rd Scheme 6M, Kadapara, Phoolbagan, Kankurgachi, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.5742568,88.38847319999999,ChIJRUn-p-p3AjoRBYjFaUWPcqU,https://www.google.com/maps/place/?q=place_id:ChIJRUn-p-p3AjoRBYjFaUWPcqU,part_314,2026-09-20 20:22:31
GABHA KREATIONS by Rajkumar’s Kolkata,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Boutique, Clothing manufacturer, Clothing wholesaler, Designer Clothing Store, Dress store, Formal Clothing Store, Outlet mall, Store, Clothing store",700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 70440 33321,http://www.gabhakreations.com/,4.4,151.0,"Ground floor, Neelambar Building, 28 B, Shakespeare Sarani, Elgin, Kolkata, West Bengal 700017",Elgin,22.544594999999997,88.35508519999999,ChIJ56Cw7Rl3AjoRomK2FgACOx4,https://www.google.com/maps/place/?q=place_id:ChIJ56Cw7Rl3AjoRomK2FgACOx4,part_314,2026-09-20 20:22:32
Deep Green - Salt Lake,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Boutique, Clothing supplier, Designer Clothing Store, Fabric store, Fashion designer, Handbags shop, Organic shop, Silk store, Clothing store",700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 90515 22422,https://godeepgreen.com/,4.9,168.0,"BE-01, BE Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","BE Block, Sector 1, Bidhannagar",22.598762,88.4121182,ChIJ_445OGx1AjoRaYiDRMVTvA4,https://www.google.com/maps/place/?q=place_id:ChIJ_445OGx1AjoRaYiDRMVTvA4,part_314,2026-09-20 20:22:32
LOOKKS FASHION-BEST IMPORTED SUIT STORE IN KOLKATA,Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Boutique, Bridal shop, Clothing alteration service, Clothing store, Dress store, Dressmaker, Fabric store, Fashion designer, Designer Clothing Store",700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 90386 35305,https://instagram.com/lookksfashion?igshid=MzMyNGUyNmU2YQ%3D%3D&utm_source=qr,4.8,133.0,"1, Samsul Huda Rd, beside Jibreel school, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.5379662,88.3668,ChIJs3FbFhx3AjoREpph5cTcmq0,https://www.google.com/maps/place/?q=place_id:ChIJs3FbFhx3AjoREpph5cTcmq0,part_314,2026-09-20 20:22:32
Vrinda Fashion - Women Clothing Brand In Kolkata | Indo Western Dress For Women | Bridesmaid Outfits,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 98300 93522,N/A,4.4,85.0,"1st floor, 24, Sarat Bose Rd, Rafiganj, Chakraberia, crossing, Kolkata, West Bengal 700020","Rafiganj, Chakraberia, crossing",22.534654999999997,88.353679,ChIJd40mUCN3AjoRAw-FO4KetqM,https://www.google.com/maps/place/?q=place_id:ChIJd40mUCN3AjoRAw-FO4KetqM,part_314,2026-09-20 20:22:32
Karukritam Boutique (Designer Dress Manufacturer),Womens Ethnic Wear and Kurti,Boutique,"Boutique, Dress store, Dressmaker, Fashion designer, Garment Exporter",700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 90885 58896,http://www.karukritam.com/,4.9,14.0,"Street No. 5, Narendrapur, Kolkata, West Bengal 700149",Narendrapur,22.4318861,88.4123951,ChIJl-yu8xJzAjoRYg_yVayBK_s,https://www.google.com/maps/place/?q=place_id:ChIJl-yu8xJzAjoRYg_yVayBK_s,part_314,2026-09-20 20:22:32
DresSy Styles (TM),Womens Ethnic Wear and Kurti,Clothing store,Clothing store,700085,West Bengal Circle,Kolkata Region,Kolkata East Division,KG Bose Sarani SO,+91 98747 09635,http://dressystyles.in/,4.9,104.0,"Shop No. A0110, 1st Floor, City Centre 2, Biswa Bangla Sarani, Action Area II, Action Area IID, Rajarhat, West Bengal 700157","Action Area II, Action Area IID, Rajarhat",22.6230363,88.4502303,ChIJORSvqfyf-DkRhFWQkY_8XaQ,https://www.google.com/maps/place/?q=place_id:ChIJORSvqfyf-DkRhFWQkY_8XaQ,part_314,2026-09-20 20:22:32
