business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AN ISO 9001:2015 Certified Institute,Computer Training Institute,Education center,Education center,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 62916 89289,http://www.computerjagatskills.com/,4.9,120.0,"486, Mahatma Gandhi Rd, Joychandipur, Budge Budge, Kolkata, West Bengal 700137","Joychandipur, Budge Budge",22.4775116,88.178601,ChIJrYP4Bsd9AjoRbNgLPKBac-E,https://www.google.com/maps/place/?q=place_id:ChIJrYP4Bsd9AjoRbNgLPKBac-E,part_315,2026-09-20 20:25:09
Jatiya Computer Shaksharta Mission,Computer Training Institute,Computer training school,Computer training school,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 70447 32375,https://www.jatiyacomputer.org/,4.8,287.0,"38, 1, Mahatma Gandhi Rd, Shyampur, Budge Budge, Kolkata, Maheshtala, West Bengal 700137","Shyampur, Budge Budge",22.488633,88.18891599999999,ChIJXQcmZX99AjoR2BygkDKVses,https://www.google.com/maps/place/?q=place_id:ChIJXQcmZX99AjoR2BygkDKVses,part_315,2026-09-20 20:25:09
BUDGE BUDGE COMPUTER EDUCATION বজ বজ কম্পিউটার এডুকেশন,Computer Training Institute,Computer training school,"Computer training school, Computer repair service, Computer store, Used computer store",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 62903 05315,https://allindiamgcsm.in/,4.8,71.0,"224, Budge Budge Trunk Rd, Benjan Heria, Kalipur, Budge Budge, Kolkata, West Bengal 700137","Benjan Heria, Kalipur, Budge Budge",22.473131499999997,88.17271129999999,ChIJgSsj9X59AjoRPqvY4UD6x1s,https://www.google.com/maps/place/?q=place_id:ChIJgSsj9X59AjoRPqvY4UD6x1s,part_315,2026-09-20 20:25:09
BAKHRAHAT YOUTH COMPUTER TRAINING CENTRE,Computer Training Institute,Computer training school,Computer training school,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 72781 62627,http://www.bakhrahatyouth.com/,4.9,619.0,"Tara Maa Market Complex, Thakurpukur - Bibirhat - Bakhrahat - Raipur Rd, Raypur, Chak Sukdev, West Bengal 743377",700137,22.3924268,88.2114849,ChIJwY__1x5jAjoR6F5_eyVDsqM,https://www.google.com/maps/place/?q=place_id:ChIJwY__1x5jAjoR6F5_eyVDsqM,part_315,2026-09-20 20:25:09
Nandanpur Computer Academy,Computer Training Institute,Educational institution,Educational institution,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,N/A,4.7,29.0,"4/2, Y/2, Shahid Khudiram Bose Rd, Nandanpur, Budge Budge, Kolkata, West Bengal 700137","Nandanpur, Budge Budge",22.4847689,88.1924255,ChIJ770q1Fd9AjoR-Jc6njz6M_M,https://www.google.com/maps/place/?q=place_id:ChIJ770q1Fd9AjoR-Jc6njz6M_M,part_315,2026-09-20 20:25:09
Indira Gandhi National Institute of Computer,Computer Training Institute,Educational institution,Educational institution,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98364 53900,https://www.ignic.in/,4.9,75.0,"235, Mahatma Gandhi Rd, near SBI Charial, Nishchintapur, Budge Budge, Kolkata, West Bengal 700137","Nishchintapur, Budge Budge",22.4726529,88.1714592,ChIJrfyi-Z59AjoR5P0nnNGewaw,https://www.google.com/maps/place/?q=place_id:ChIJrfyi-Z59AjoR5P0nnNGewaw,part_315,2026-09-20 20:25:09
Budge Budge YCTC,Computer Training Institute,Computer training school,Computer training school,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 89108 28959,N/A,4.1,22.0,"2nd Floor, Chittaranjan Mkt, 43/1/B, D.P.J.M. Road, Shyampur, Budge Budge, Maheshtala, West Bengal 700137","Shyampur, Budge Budge",22.4877339,88.1894969,ChIJVVVVVQV9AjoRqbXYTin5-Lo,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVQV9AjoRqbXYTin5-Lo,part_315,2026-09-20 20:25:09
Bauria Youth Computer Training Centre,Computer Training Institute,Training center,Training center,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98362 49017,N/A,4.7,20.0,"Burikhali Public, Library Ln, Bauria, Howrah, West Bengal 711310","Santoshpur, Bauria",22.5054502,88.1617995,ChIJIxRLM1aHAjoRnh_T0wAww7I,https://www.google.com/maps/place/?q=place_id:ChIJIxRLM1aHAjoRnh_T0wAww7I,part_315,2026-09-20 20:25:09
Computer Guide Point Batanagar,Computer Training Institute,Education center,"Education center, Internet cafe",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 90629 62805,N/A,4.7,3.0,"Nangi Chakroborty Para Rd, near Yuvak Sangha, Nangi, Batanagar, Maheshtala, West Bengal 700140","Nangi, Batanagar",22.5026475,88.2190078,ChIJAaxXOAB9AjoRPNlF1vt4Jjg,https://www.google.com/maps/place/?q=place_id:ChIJAaxXOAB9AjoRPNlF1vt4Jjg,part_315,2026-09-20 20:25:09
COMPUTER POINT Computer Centre BATANAGAR,Computer Training Institute,Software Training Institute,"Software Training Institute, Coaching Center, Training center",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98365 71122,http://computerpnt.in/,5.0,6.0,"Bazar, Nangi Railway Station Rd, Nangi, Batanagar, Maheshtala, West Bengal 700140","Nangi, Batanagar",22.511328,88.212678,ChIJ9VfncCl8AjoRl364HqWUotg,https://www.google.com/maps/place/?q=place_id:ChIJ9VfncCl8AjoRl364HqWUotg,part_315,2026-09-20 20:25:09
