business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
MOBILES GALAXY,Mobile Phone Sales and Repair,Electronics store,Electronics store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70014 20859,N/A,5.0,307.0,"Mobiles Galaxy, Grand Trunk Rd, Neamatpur, West Bengal 713359",713335,23.717247099999998,86.8795998,ChIJy7Rwxu7h9jkRjGBGfzEFsn0,https://www.google.com/maps/place/?q=place_id:ChIJy7Rwxu7h9jkRjGBGfzEFsn0,part_320,2026-09-20 20:17:24,4288
Sayan Communication,Mobile Phone Sales and Repair,Mobile phone repair shop,"Mobile phone repair shop, Cell phone accessory store",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 98321 62620,N/A,4.7,68.0,"Ranitala, Brindaban Lane, Dist- Burdwan, Kulti, West Bengal 713343",Dist- Burdwan,23.731752999999998,86.83940439999999,ChIJWT7oLR7e9jkRlzZGHyVMrxE,https://www.google.com/maps/place/?q=place_id:ChIJWT7oLR7e9jkRlzZGHyVMrxE,part_320,2026-09-20 20:17:24,4289
Mohit Mobile Center,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 79084 01242,https://youtu.be/QIMhfxu6nGI?si=tSkX6xqtMyTqsdQz,4.8,85.0,"Ranitala More, GT Road, Ranitala Brindaban Lane, Dist, Kulti, West Bengal 713343",Dist,23.7313705,86.83978189999999,ChIJgbIT3QTh9jkRJx_MhZRcYOE,https://www.google.com/maps/place/?q=place_id:ChIJgbIT3QTh9jkRJx_MhZRcYOE,part_320,2026-09-20 20:17:24,4290
MOBILE GALLERY,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 62016 26201,N/A,5.0,27.0,"Maithan More, beside India Atm, Chirkunda, Siuliban, Jharkhand 828202",713335,23.7491366,86.78495339999999,ChIJcyglJwDd9jkRIe86GNJet-I,https://www.google.com/maps/place/?q=place_id:ChIJcyglJwDd9jkRIe86GNJet-I,part_320,2026-09-20 20:17:24,4291
Samsung Experience Store Neamatpur,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Cell phone accessory store, Electronics store, Mobile phone repair shop, Phone repair service",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 93320 00420,https://www.samsungexclusivestores.in/samsung-experience-store-neamatpur-mobile-phone-shop-neamatpur-bardhaman-481898/Home,5.0,9.0,"Ground Floor, Grand Trunk Rd, near Sparkle, Neamatpur, West Bengal 713359",713335,23.717776999999998,86.877921,ChIJkWysacTh9jkRPhSe90koeX4,https://www.google.com/maps/place/?q=place_id:ChIJkWysacTh9jkRPhSe90koeX4,part_320,2026-09-20 20:17:24,4292
GUPTA JEE MOBILE WORLD,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 86170 56287,N/A,5.0,6.0,"Neamatpur, Sitarampur Rd, Asansol, Sitarampur, West Bengal 713359",713335,23.7209181,86.8858211,ChIJjYJ9LHPh9jkRqA17nmOBQxw,https://www.google.com/maps/place/?q=place_id:ChIJjYJ9LHPh9jkRqA17nmOBQxw,part_320,2026-09-20 20:17:24,4293
C S COMMUNICATION,Mobile Phone Sales and Repair,Cell phone store,"Cell phone store, Electronics store",713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 93347 89210,N/A,4.7,31.0,"more, upper bazar, Dharamshala Rd, near Bajrangbali mandir, Chirkunda, Jharkhand 828202",713335,23.738464399999998,86.79880539999999,ChIJP27eb5Xd9jkRbVPOYp0AfNs,https://www.google.com/maps/place/?q=place_id:ChIJP27eb5Xd9jkRbVPOYp0AfNs,part_320,2026-09-20 20:17:24,4294
The Sun Enterprise,Mobile Phone Sales and Repair,Cell phone store,Cell phone store,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,3.9,10.0,"Benagarya, HCL Rd, Rangamatia, Rupnarayanpur, Benagarya, West Bengal 713386",Rangamatia,23.817726099999998,86.89155129999999,ChIJMVVVBUbf9jkRfoVqGTV3TOw,https://www.google.com/maps/place/?q=place_id:ChIJMVVVBUbf9jkRfoVqGTV3TOw,part_320,2026-09-20 20:17:24,4295
Galaxy Mobile,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.7,6.0,"Lithuria Rd, Neamatpur, West Bengal 713359",713335,23.7120689,86.87694739999999,ChIJ-9M_ZGng9jkRiaNv_-tvfSI,https://www.google.com/maps/place/?q=place_id:ChIJ-9M_ZGng9jkRiaNv_-tvfSI,part_320,2026-09-20 20:17:24,4296
Mobile Repair,Mobile Phone Sales and Repair,Mobile phone repair shop,Mobile phone repair shop,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 81677 19329,N/A,5.0,2.0,"RWJ7+4XH Kalyan gram 5, Loknath, Rabindra Sarani Rd, Chittaranjan, West Bengal 713335",713335,23.830313,86.91493799999999,ChIJNcQrAtUn9zkR_eR1MBrZdo4,https://www.google.com/maps/place/?q=place_id:ChIJNcQrAtUn9zkR_eR1MBrZdo4,part_320,2026-09-20 20:17:24,4297
