business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DTDC,Courier and Cargo Service,Courier service,Courier service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",+91 93323 42327,http://www.dtdc.in/,3.5,,"1, Station Rd, beside SBI ATM, Katwa, West Bengal 713130",713123,23.6439652,88.12679279999999,ChIJcWE-zNmm-TkR1rKwg8ddDV8,https://www.google.com/maps/place/?q=place_id:ChIJcWE-zNmm-TkR1rKwg8ddDV8,part_318,2026-09-20 20:45:06
Sky King Courier,Courier and Cargo Service,Courier service,Courier service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",+91 96818 72430,http://www.skyking.co/,3.1,,"J4RG+JVV, Madhabi Tala Rd, Sanhati Pally, Katwa, West Bengal 713130",Sanhati Pally,23.641602499999998,88.1271721,ChIJnfqD-dim-TkR3Jh43msE6Tw,https://www.google.com/maps/place/?q=place_id:ChIJnfqD-dim-TkR3Jh43msE6Tw,part_318,2026-09-20 20:45:06
Blue Dart Office,Courier and Cargo Service,Shipping service,Shipping service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,https://www.bluedart.com/,3.4,,"J4M8+WG, Katwa, West Bengal 713130",713123,23.6347906,88.1162531,ChIJE9UJ-r2n-TkRvPC4N_RrK5Y,https://www.google.com/maps/place/?q=place_id:ChIJE9UJ-r2n-TkRvPC4N_RrK5Y,part_318,2026-09-20 20:45:06
DTDC Courier,Courier and Cargo Service,Courier service,Courier service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",+91 95649 63345,N/A,3.0,,"53FX+227, Memari, West Bengal 713146",713123,23.1725437,88.0975326,ChIJP8tEdkhZ-DkRuEJFzzTRX_Q,https://www.google.com/maps/place/?q=place_id:ChIJP8tEdkhZ-DkRuEJFzzTRX_Q,part_318,2026-09-20 20:45:06
Murgram Branch Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,http://indiapost.gov.in/,4.3,,"Q23F+2Q6, Murgram, West Bengal 713123",713123,23.7525375,88.02439059999999,ChIJ_WaZtgmY-TkRoVQQ1yyFWac,https://www.google.com/maps/place/?q=place_id:ChIJ_WaZtgmY-TkRoVQQ1yyFWac,part_318,2026-09-20 20:45:06
Dakshinkhanda Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,4.6,,"bankim smriti sanga, Dakshinkhanda, West Bengal 713123",713123,23.746717999999998,88.07743649999999,ChIJawmiIwmi-TkRjMxZfVj_eEc,https://www.google.com/maps/place/?q=place_id:ChIJawmiIwmi-TkRjMxZfVj_eEc,part_318,2026-09-20 20:45:06
Dtdc,Courier and Cargo Service,Courier service,Courier service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,5.0,,"CH95+RF2, SH 14, Mankar, West Bengal 713144",713123,23.4195021,87.55865109999999,ChIJDUA7j5jV-TkR2YsY2DcS8GA,https://www.google.com/maps/place/?q=place_id:ChIJDUA7j5jV-TkR2YsY2DcS8GA,part_318,2026-09-20 20:45:06
Sankhai Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,3.8,,"M46J+5W8, Sankhai, West Bengal 713123",Sankhai,23.6604001,88.1323346,ChIJC-VSWtSg-TkRzndv_fBnSOw,https://www.google.com/maps/place/?q=place_id:ChIJC-VSWtSg-TkRzndv_fBnSOw,part_318,2026-09-20 20:45:06
Baharan Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,https://www.indiapost.gov.in/VAS/Pages/IndiaPosthome.aspx,4.5,,"P4R4+G8M, Baharan, West Bengal 713123",Baharan,23.7413383,88.1057929,ChIJFVLVFOah-TkRK-Frojwdrjc,https://www.google.com/maps/place/?q=place_id:ChIJFVLVFOah-TkRK-Frojwdrjc,part_318,2026-09-20 20:45:06
Gangatikuri Branch Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,3.9,,"P36X+8P4, Gangatikuri, West Bengal 713123",713123,23.7107287,88.0993699,ChIJVU0gsISh-TkRtnxdgsLDpF8,https://www.google.com/maps/place/?q=place_id:ChIJVU0gsISh-TkRtnxdgsLDpF8,part_318,2026-09-20 20:45:06
Srigram Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,4.8,,"Q2XF+XM2, Shrigram, West Bengal 713129",713123,23.7998805,88.0241391,ChIJ84wd0SaZ-TkR6PfRuL9BAek,https://www.google.com/maps/place/?q=place_id:ChIJ84wd0SaZ-TkR6PfRuL9BAek,part_318,2026-09-20 20:45:06
Kotulpur Sub Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",+91 70013 90983,http://www.indiapost.gov.in/,3.8,,"100, KOTAL PUKUR, Kotulpur, Sirundi, West Bengal 713140",713123,23.709063999999998,88.0262583,ChIJn63C7b4h-DkRADHNCBg3v6g,https://www.google.com/maps/place/?q=place_id:ChIJn63C7b4h-DkRADHNCBg3v6g,part_318,2026-09-20 20:45:06
Kachutia Post office,Courier and Cargo Service,Post office,"Post office, Hindu temple",713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,4.1,,"Hatui para, Kachutia, West Bengal 713123",713123,23.7736447,88.0346611,ChIJVVVVFWqY-TkR0BJHAsfED-I,https://www.google.com/maps/place/?q=place_id:ChIJVVVVFWqY-TkR0BJHAsfED-I,part_318,2026-09-20 20:45:06
Courierservice,Courier and Cargo Service,Transportation service,Transportation service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,,,"FPRP+7W2, Guskhara, West Bengal 713128",713123,23.4906269,87.7372754,ChIJ6xHMNwDP-TkRbiSKa5T6w3Q,https://www.google.com/maps/place/?q=place_id:ChIJ6xHMNwDP-TkRbiSKa5T6w3Q,part_318,2026-09-20 20:45:06
Haroz Travel,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,http://www.indiapost.gov.in/,3.3,6.0,"Agradwip R.S. Main Rd, Bahara, West Bengal 713502",713123,23.5813633,88.2289016,ChIJ4RnMYr4I-TkR3FV-Z_cy_u0,https://www.google.com/maps/place/?q=place_id:ChIJ4RnMYr4I-TkR3FV-Z_cy_u0,part_318,2026-09-20 20:45:07
BMNB KATWA (Amazon Office),Courier and Cargo Service,Delivery service,Delivery service,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,2.6,8.0,"J4M8+Q6V, Katwa, West Bengal 713130",713123,23.634491099999998,88.1155544,ChIJXeR5NQCn-TkRahJIPMMMtTQ,https://www.google.com/maps/place/?q=place_id:ChIJXeR5NQCn-TkRahJIPMMMtTQ,part_318,2026-09-20 20:45:07
Bamundi Post Office,Courier and Cargo Service,Post office,Post office,713123,West bengal circle,South Bengal Region,Burdwan Division,"Agardanga BO, Baharan BO, Dakshinkhanda BO",N/A,N/A,3.8,4.0,"Bamundi, Komarpur, West Bengal 713129",713123,23.718002199999997,88.0084337,ChIJf5zwA5m9-TkRM1Riw19z_xw,https://www.google.com/maps/place/?q=place_id:ChIJf5zwA5m9-TkRM1Riw19z_xw,part_318,2026-09-20 20:45:07
