business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mamaweb,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Service establishment, Graphic designer, Website designer",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 62008 57256,N/A,4.5,11,"Mamaweb, 700008, India",700008,23.6596552,85.6460858,ChIJ607GYPAS7WARtwgFcsepn7Q,https://www.google.com/maps/place/?q=place_id:ChIJ607GYPAS7WARtwgFcsepn7Q,part_312,2026-09-20 20:39:15
Hike Lead Digital Solutions — Best Digital Marketing Company,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment, Marketing agency, Marketing consultant",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 90515 76702,https://hikelead.com/,5.0,1,"Hike Lead Digital Solutions — Best Digital Marketing Company, 700008, India",700008,21.0680074,82.7525294,ChIJ7yX_jEry_E0RZKb1x9fe8c0,https://www.google.com/maps/place/?q=place_id:ChIJ7yX_jEry_E0RZKb1x9fe8c0,part_312,2026-09-20 20:39:15
Royal Bengal Digital,Digital Marketing Agencies,Marketing agency,Marketing agency,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,N/A,N/A,5.0,4,"15/5, Banamali Ghosal Ln, 18 Bigha, Muradpur, Sarada Pally, Kolkata, West Bengal 700034","18 Bigha, Muradpur, Sarada Pally",22.4904947,88.3177767,ChIJrzwSjQJ7AjoRum7rp-Tp-VM,https://www.google.com/maps/place/?q=place_id:ChIJrzwSjQJ7AjoRum7rp-Tp-VM,part_312,2026-09-20 20:39:15
Editz,Digital Marketing Agencies,Marketing agency,Marketing agency,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 87770 68115,https://www.editz.co.in/,5.0,6,"93/3, Santosh Roy Rd, Sakher Bazar, Barisha, Kolkata, West Bengal 700008","Sakher Bazar, Barisha",22.4820681,88.3105023,ChIJh7AaSmR2h4kR8cYFm5rkjqI,https://www.google.com/maps/place/?q=place_id:ChIJh7AaSmR2h4kR8cYFm5rkjqI,part_312,2026-09-20 20:39:15
Azad SEO Services,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Service establishment",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,N/A,https://www.fiverr.com/dfdgdfgfg?public_mode=true,5.0,1,"Azad SEO Services, 700008, India",700008,21.0680074,82.7525294,ChIJDwgpCc3cNqIRBPY6UB02hWs,https://www.google.com/maps/place/?q=place_id:ChIJDwgpCc3cNqIRBPY6UB02hWs,part_312,2026-09-20 20:39:15
Social Autowala (One Stop Digital Marketing Agency),Digital Marketing Agencies,Media company,"Media company, Advertising agency, Exhibition planner, Internet marketing service",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 89816 60511,https://www.socialautowala.com/,5.0,6,"34/E, Pasupati Bhattacherjee Rd, Netaji Sarak, Prafulla Sen Colony, Sarada Pally, Kolkata, West Bengal 700008","Netaji Sarak, Prafulla Sen Colony, Sarada Pally",22.4922555,88.33217929999999,ChIJRcvVWZlxAjoRS404pnE9Tic,https://www.google.com/maps/place/?q=place_id:ChIJRcvVWZlxAjoRS404pnE9Tic,part_312,2026-09-20 20:39:15
Digital Seeds | IT Services & Digital Marketing Agency in Kolkata,Digital Marketing Agencies,Internet marketing service,"Internet marketing service, Branding agency, Computer support and services, Design agency, Marketing agency, Marketing consultant, Software company, Web hosting company, Website designer",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 98367 47900,https://digitalseedstech.com/,4.9,55,"202, B/1, Banerjee Para Rd, Jiban Mohini Ghosh Park, Putiary, Kolkata, West Bengal 700041","Jiban Mohini Ghosh Park, Putiary",22.477622699999998,88.34173489999999,ChIJCcK0Y9VxAjoR36Z5XLoU8C0,https://www.google.com/maps/place/?q=place_id:ChIJCcK0Y9VxAjoR36Z5XLoU8C0,part_312,2026-09-20 20:39:15
MonaviTECH | Digital Marketing Agency and Training Centre,Digital Marketing Agencies,Marketing agency,"Marketing agency, Internet marketing service, Software company, Training center, Website designer",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,N/A,https://monavitech.site/,5.0,36,"P 144 Basudevpur, Sarsuna Main Rd, Sarkarhat, Paschim Barisha, Kolkata, West Bengal 700061","Sarkarhat, Paschim Barisha",22.4796154,88.3005043,ChIJ6cL5vy57AjoRCR3JHsfI0og,https://www.google.com/maps/place/?q=place_id:ChIJ6cL5vy57AjoRCR3JHsfI0og,part_312,2026-09-20 20:39:15
Creative Digital Hunt - Best Digital Marketing Company in Kolkata,Digital Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency",700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 90021 89892,https://www.facebook.com/creativedigitalhunt,5.0,5,"Ramkrishna Nagar, Paschim Putiary, Kolkata, West Bengal 700082","Ramkrishna Nagar, Paschim Putiary",22.474717899999998,88.3312199,ChIJYyE9AjpxAjoRS79DwSCkFEU,https://www.google.com/maps/place/?q=place_id:ChIJYyE9AjpxAjoRS79DwSCkFEU,part_312,2026-09-20 20:39:15
Nirupama bhavan,Digital Marketing Agencies,Marketing agency,Marketing agency,700008,West Bengal Circle,Kolkata Region,South Kolkata Division,Barisha SO,+91 79807 29933,http://www.socialadhd.com/,4.9,13,"NIRUPAMA BHABAN, 284/N, Dr Akshay Kumar Paul Rd, near Uttarsari Ground, Vidyasagar Colony, Behala, Kolkata, West Bengal 700034","Vidyasagar Colony, Behala",22.489148,88.3082846,ChIJJScA_9Z7AjoRWoEBGiepDo8,https://www.google.com/maps/place/?q=place_id:ChIJJScA_9Z7AjoRWoEBGiepDo8,part_312,2026-09-20 20:39:15
