business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Zubair auto electrician and car AC,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",0301 7776245,N/A,4.0,,"Dr Raja Rd, greasan market Kachi Koti, Bahawalpur, 63100, Pakistan",greasan market Kachi Koti,29.4051208,71.67572779999999,ChIJO-WhXLmROzkRPzvDq4RdW5c,https://www.google.com/maps/place/?q=place_id:ChIJO-WhXLmROzkRPzvDq4RdW5c,part_312,2026-09-20 20:20:09
A/C & ALL ELECTRICAL WORK for CARS,Auto Electrician and AC Repair,Auto air conditioning service,Auto air conditioning service,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",N/A,N/A,4.4,,"G9VH+CHV Gandimaisamma, Miyapur Rd, Bachupally, Hyderabad, Telangana 500118",Bachupally,17.543609999999997,78.378908,ChIJaV1cWACNyzsRxZaXZ3jj4PI,https://www.google.com/maps/place/?q=place_id:ChIJaV1cWACNyzsRxZaXZ3jj4PI,part_312,2026-09-20 20:20:09
Shahid car AC Repair and Auto Electrician,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",0333 8073180,N/A,4.7,,"RQJJ+H8C, Bannu Naurang Rd, Pakistan",695589,32.8318339,70.7811625,ChIJ6WkmBADzJzkR4tkxQ7I-3E0,https://www.google.com/maps/place/?q=place_id:ChIJ6WkmBADzJzkR4tkxQ7I-3E0,part_312,2026-09-20 20:20:09
Attock Autos Electrician and Car AC,Auto Electrician and AC Repair,Machine workshop,Machine workshop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",0345 5974230,N/A,5.0,,"R936+X84, Kamra Rd, Attock, Pakistan",695589,33.804895,72.3608263,ChIJCadRO_4Z3zgRSBz2Fl57nZ8,https://www.google.com/maps/place/?q=place_id:ChIJCadRO_4Z3zgRSBz2Fl57nZ8,part_312,2026-09-20 20:20:09
Malik Auto Car AC Centre & Auto Electrician Battery Service,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",0300 7612770,N/A,5.0,,"Block Z Madina Town, Faisalabad, Pakistan",Block Z Madina Town,31.421987599999998,73.11831769999999,ChIJC0idaWloIjkRQVTeD2jz7JU,https://www.google.com/maps/place/?q=place_id:ChIJC0idaWloIjkRQVTeD2jz7JU,part_312,2026-09-20 20:20:09
Jaipur AC Repair & Electrician Service,Auto Electrician and AC Repair,Air conditioning repair service,"Air conditioning repair service, Air conditioning contractor, Electrician, Electrical installation service, HVAC contractor",695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 63765 15991,N/A,5.0,,"24, Jagdamba Colony, Neel Padam Sarovar Marg, Vaishali Nagar, Jaipur, Rajasthan 302021","Acharya Vinoba Bhave Nagar, B Block, Vaishali Nagar",26.9079113,75.7383622,ChIJZyzIHHm1bTkRAoGQmi2GnHQ,https://www.google.com/maps/place/?q=place_id:ChIJZyzIHHm1bTkRAoGQmi2GnHQ,part_312,2026-09-20 20:20:09
mahadev automobiles,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 78781 06134,N/A,4.9,,"Shop no 26, span Valancia, shukan bunglows, near harmony hospital Kalyan chowk, New India Colony, Nikol, Ahmedabad, Gujarat 380049","New India Colony, Nikol",23.0548491,72.6657779,ChIJJyP83xGHXjkR8tQlGtRGJsg,https://www.google.com/maps/place/?q=place_id:ChIJJyP83xGHXjkR8tQlGtRGJsg,part_312,2026-09-20 20:20:09
Car Ac Repair & Services,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",N/A,N/A,4.3,,"65, Jaipur, Rajasthan 302020","Sector 12, Mansarovar",26.8458558,75.7649939,ChIJvc9VsH6OQTkRE138cyhOPTo,https://www.google.com/maps/place/?q=place_id:ChIJvc9VsH6OQTkRE138cyhOPTo,part_312,2026-09-20 20:20:09
Makkah Auto Electrician & Car AC Centre,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",0310 9045920,N/A,5.0,2.0,"VCCF+PR6, Taja Baja, Kamra Kalan, Pakistan",Taja Baja,33.871659699999995,72.42521599999999,ChIJbQHxIgAf3zgRTgerDXi5icM,https://www.google.com/maps/place/?q=place_id:ChIJbQHxIgAf3zgRTgerDXi5icM,part_312,2026-09-20 20:20:09
Anil Car AC Repair,Auto Electrician and AC Repair,Auto bodywork mechanic,Auto bodywork mechanic,695589,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Santhigiri SO, Nethajipuram BO",+91 63754 75131,N/A,5.0,278.0,"Regional Chauraha, near Shine Fitness Club GYM, Haribhau Upadhyay Nagar, Ajmer, Rajasthan 305001",Haribhau Upadhyay Nagar,26.4766279,74.60826689999999,ChIJyeVcEgDnazkR0VeUwP4TvWY,https://www.google.com/maps/place/?q=place_id:ChIJyeVcEgDnazkR0VeUwP4TvWY,part_312,2026-09-20 20:20:09
