business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Physics coaching (sudipto sir) for NEET, JEE ICSE, CBSE ALSO",NEET and JEE Coaching Center,Education center,Education center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 90883 83385,http://www.gravity9.81.com/,5.0,13.0,"to, Barasat Station Rd, Champadali, more, Barasat, Kolkata, West Bengal 700124","Champadali, more, Barasat",22.7190911,88.48560669999999,ChIJdcydm9ij-DkR6bwmy780cw4,https://www.google.com/maps/place/?q=place_id:ChIJdcydm9ij-DkR6bwmy780cw4,part_315,2026-09-20 20:18:07
Science & Chemistry Study Centre (NEET/IIT JEE),NEET and JEE Coaching Center,Coaching Center,Coaching Center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 78906 54291,N/A,5.0,7.0,"Barasat, Kolkata, West Bengal 700124",Barasat,22.7104465,88.4960973,ChIJ764xq7Oj-DkRsUwn5f_tsCE,https://www.google.com/maps/place/?q=place_id:ChIJ764xq7Oj-DkRsUwn5f_tsCE,part_315,2026-09-20 20:18:07
Pathfinder,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Education center, Educational consultant",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 33 2584 2526,http://pathfinder.edu.in/,4.0,130.0,"3rd Floor, 66 D, swami vivekananda road, Taki Rd, above SBI, Chapadali Branch, Barasat, Kolkata, West Bengal 700124",Barasat,22.7180465,88.4886472,ChIJqYZS1gei-DkRiOOlxbUrR4I,https://www.google.com/maps/place/?q=place_id:ChIJqYZS1gei-DkRiOOlxbUrR4I,part_315,2026-09-20 20:18:07
Ayan Dutta Maths classes,NEET and JEE Coaching Center,Coaching Center,Coaching Center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 74394 61002,N/A,4.9,89.0,"Pioneer Park Rd, below Maa Sarada Apartment, opposite to Pioneer playing ground, Noapara, Kolkata, West Bengal 700124",Noapara,22.7237389,88.4810765,ChIJUxn7qcWj-DkRoFibc1tRQ9c,https://www.google.com/maps/place/?q=place_id:ChIJUxn7qcWj-DkRoFibc1tRQ9c,part_315,2026-09-20 20:18:07
R.H. Academy,NEET and JEE Coaching Center,Education center,Education center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 90737 58397,http://rhacademy.in/,4.8,17.0,"PG92+W7P, Kazipara, Nandagarh, Kolkata, West Bengal 700125","Kazipara, Nandagarh",22.7198341,88.5007081,ChIJtfFfEQuj-DkR-OMTlF_Zd7Y,https://www.google.com/maps/place/?q=place_id:ChIJtfFfEQuj-DkR-OMTlF_Zd7Y,part_315,2026-09-20 20:18:07
"ALLEN Career Institute - Barrackpore Campus | IIT JEE, NEET & Foundation Coaching",NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Educational institution",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 95136 68181,https://www.allen.ac.in/kolkata/?utm_source=GMB&utm_medium=Organic&utm_campaign=ALLEN_Career_Institute_Barrackpore_Campus,4.5,205.0,"Barrackpore Sukanta Sadan, No 117, Complex, SN Banerjee Rd, Kolkata, West Bengal 700120",700128,22.7606519,88.3699221,ChIJxeSiCACb-DkR-NMIRYaCGn4,https://www.google.com/maps/place/?q=place_id:ChIJxeSiCACb-DkR-NMIRYaCGn4,part_315,2026-09-20 20:18:07
"CATALYST COACHING CENTRE, BARASAT, Chemistry Tutor",NEET and JEE Coaching Center,Private Tutor,Private Tutor,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,5.0,15.0,"Maa Sarada Rd, Pioneer Park, Barasat, West Bengal 700126","Pioneer Park, Barasat",22.7247394,88.4822772,ChIJ1VMOheej-DkR319toqC1OoU,https://www.google.com/maps/place/?q=place_id:ChIJ1VMOheej-DkR319toqC1OoU,part_315,2026-09-20 20:18:07
Zodiak,NEET and JEE Coaching Center,Coaching Center,Coaching Center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 70447 03960,N/A,4.6,14.0,"10/A, opposite of SBI Branch Champadalimore, Bidhan Park, Champadali, Barasat, Kolkata, West Bengal 700124","Bidhan Park, Champadali, Barasat",22.718152699999997,88.4890496,ChIJr1b_QOWj-DkRjgmdN52w41o,https://www.google.com/maps/place/?q=place_id:ChIJr1b_QOWj-DkRjgmdN52w41o,part_315,2026-09-20 20:18:07
Parthajit Dey Classes || Maths tuition || CBSE|| ICSE || ISC || JEE || OLYMPIAD,NEET and JEE Coaching Center,Tutoring service,"Tutoring service, Private Tutor",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 94772 83511,https://mathemanic.ueniweb.com/,4.8,43.0,"51/A Natun Pukur Road, Charak Danga Nutun Pukur Rd, Barasat, West Bengal 700124","Sukantanagar, Barasat",22.7104538,88.4834412,ChIJJw1q9AGi-DkRAaPh7sJwmes,https://www.google.com/maps/place/?q=place_id:ChIJJw1q9AGi-DkRAaPh7sJwmes,part_315,2026-09-20 20:18:07
Quark Physics coaching centre,NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Service establishment",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 89813 26650,https://quarkphysics.gtiweb.in/,5.0,2.0,"Quark Physics coaching centre, 700128, India",700128,22.722474,88.48241209999999,ChIJdZUVSNMVSCMRHYs7IcyWmDM,https://www.google.com/maps/place/?q=place_id:ChIJdZUVSNMVSCMRHYs7IcyWmDM,part_315,2026-09-20 20:18:07
Javiphys Classes,NEET and JEE Coaching Center,Education center,Education center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 98836 63520,N/A,4.9,9.0,"3 Number Rail Gate Rd, Kazipara, Barasat, Kolkata, West Bengal 700125","Kazipara, Barasat",22.725275699999997,88.5078207,ChIJg8y2VDWj-DkRPC3kV3xP9-E,https://www.google.com/maps/place/?q=place_id:ChIJg8y2VDWj-DkRPC3kV3xP9-E,part_315,2026-09-20 20:18:07
ATANU SIR PHYSICS CLASSES NEET/JEE,NEET and JEE Coaching Center,Education center,Education center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,,,"Manasatala, Barasat, West Bengal 700124","Manasatala, Barasat",22.724727299999998,88.48378129999999,ChIJP46mdauj-DkRfRw65mv6EZo,https://www.google.com/maps/place/?q=place_id:ChIJP46mdauj-DkRfRw65mv6EZo,part_315,2026-09-20 20:18:07
RAJDEEP SIR CHEMISTRY TEACHER For NEET/JEE MAINS + ADVANCED/WBJEE/CBSE/ISC/WB/IX_X_XI_XII/CBSE/ICSE,NEET and JEE Coaching Center,Education center,Education center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 89105 55570,N/A,5.0,7.0,"Pioneer Park Rd, Pioneer Park, Barasat, Kolkata, West Bengal 700124","Pioneer Park, Barasat",22.724342,88.4799089,ChIJ89PxFeGj-DkR1_gz5KaRTrs,https://www.google.com/maps/place/?q=place_id:ChIJ89PxFeGj-DkR1_gz5KaRTrs,part_315,2026-09-20 20:18:07
Xaverian Academy,NEET and JEE Coaching Center,Educational institution,Educational institution,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 98365 22062,http://xaverianacademy.com/,3.3,7.0,"N/2, Taki Rd, Champadali, Barasat, West Bengal 700124","Champadali, Barasat",22.7185405,88.4883995,ChIJZdXTpxui-DkRr6oM_4ovtpM,https://www.google.com/maps/place/?q=place_id:ChIJZdXTpxui-DkRr6oM_4ovtpM,part_315,2026-09-20 20:18:07
eM-eduHub (The Coaching Institute),NEET and JEE Coaching Center,Coaching Center,"Coaching Center, Service establishment",700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 85358 86313,N/A,5.0,1.0,"eM-eduHub (The Coaching Institute), 700128, India",700128,22.8182504,88.67550159999999,ChIJX8LhP1TcGCURE_bm7yUSiXs,https://www.google.com/maps/place/?q=place_id:ChIJX8LhP1TcGCURE_bm7yUSiXs,part_315,2026-09-20 20:18:07
"AB Sir's Chemistry Class(NEET, JEE & BOARDS)",NEET and JEE Coaching Center,Private Tutor,Private Tutor,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 79080 19530,N/A,4.8,75.0,"Chowmatha, Rajarhat Main Rd, Chotto Chandpur, Newtown, Kolkata, West Bengal 700135","Chotto Chandpur, Newtown",22.6247232,88.4891391,ChIJx9dxPvih-DkRENrWSPUaygI,https://www.google.com/maps/place/?q=place_id:ChIJx9dxPvih-DkRENrWSPUaygI,part_315,2026-09-20 20:18:07
Dimension Education,NEET and JEE Coaching Center,Coaching Center,Coaching Center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 75968 65074,http://www.dimensioneducation.co.in/,4.9,59.0,"Ground Floor, Park View Apartment, Pioneer Park Rd, beside Pioneer play ground, Barasat, Kolkata, West Bengal 700125",Barasat,22.7237963,88.4819076,ChIJUV6SQgmi-DkRv7rLgZSYBH0,https://www.google.com/maps/place/?q=place_id:ChIJUV6SQgmi-DkRv7rLgZSYBH0,part_315,2026-09-20 20:18:07
TANMOY SIR PHYSICS TEACHER for NEET/JEE/WBJEE/(IX-XII),NEET and JEE Coaching Center,Coaching Center,Coaching Center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",N/A,N/A,5.0,2.0,"beside Lichutala Lane, pukur, Barasat, West Bengal 700124","pukur, Barasat",22.7224407,88.4814456,ChIJZSyz6keZ-DkRTeJVNvSRiro,https://www.google.com/maps/place/?q=place_id:ChIJZSyz6keZ-DkRTeJVNvSRiro,part_315,2026-09-20 20:18:07
ACS Education,NEET and JEE Coaching Center,Education center,Education center,700128,West Bengal Circle,Kolkata Region,Barasat Division,"Badu SO North 24 Parganas, Bhagyamantapur BO, Kirtipur BO",+91 80138 79771,https://youtube.com/@acseducation.official?si=6TUKKjt0pwcuTJGw,4.9,87.0,"165/3, West, Banamalipur Rd, near Kachhari Maidan, Barasat, Kolkata, West Bengal 700124",Barasat,22.7257353,88.48660819999999,ChIJlSnlg_qj-DkRkeNvtz76VLk,https://www.google.com/maps/place/?q=place_id:ChIJlSnlg_qj-DkRkeNvtz76VLk,part_315,2026-09-20 20:18:08
