business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Cyborg Services - Best AC Repair Service & Washing Machine Repair Service in Laketown, Kolkata | Microwave Repair Shop",AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Air conditioning repair service, Chimney services, Microwave oven repair service, Television repair service, Washer & dryer repair service",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,+91 70441 14444,https://www.cyborgservices.in/,4.6,883.0,"Gopalji Mandir, 801 A, Landmark:, Block A, Lake Town, Kolkata, South Dumdum, West Bengal 700048","Block A, Lake Town",22.6070474,88.4007195,ChIJYfaG2vx1AjoRtB1zXvtjL4s,https://www.google.com/maps/place/?q=place_id:ChIJYfaG2vx1AjoRtB1zXvtjL4s,part_314,2026-09-20 20:19:38
Home Appliance- Best Refrigerator/Washing Machine/Geyser/Ac Repair Service in Bagnan Howrah,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Refrigerator repair service",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,+91 90512 94729,https://home-appliance-best.grexa.site/,4.9,31.0,"Nd Block Rd, Biswas market Bagnan Bagnan nd block road, biswas, market, Howrah, West Bengal 711303",700081,22.463220399999997,87.96943449999999,ChIJIahSCIabAjoRrnNvnrT7uyc,https://www.google.com/maps/place/?q=place_id:ChIJIahSCIabAjoRrnNvnrT7uyc,part_314,2026-09-20 20:19:39
Home Appliance Expert,AC Fridge and Washing Machine Repair,Air conditioning repair service,"Air conditioning repair service, Washer & dryer repair service",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,+91 62891 75158,https://www.homeappliancexpert.co.in/,5.0,63.0,"Siddheshwari Bazar, Block 1, Mahajati Nagar, Birati, North Dumdum, Kolkata, West Bengal 700051","Block 1, Mahajati Nagar, Birati",22.6627998,88.4388266,ChIJnYlRvg93OyYRYf16rQI7O3I,https://www.google.com/maps/place/?q=place_id:ChIJnYlRvg93OyYRYf16rQI7O3I,part_314,2026-09-20 20:19:40
G.I APPLIANCES SERVICE,AC Fridge and Washing Machine Repair,Refrigerator repair service,"Refrigerator repair service, Air conditioning repair service, Microwave oven repair service, Washer & dryer repair service",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,N/A,N/A,4.5,84.0,"G.i Appliances, service Mahajati, Block 1, Mahajati Nagar, Birati, mahajati, North Dumdum, West Bengal 700051","Block 1, Mahajati Nagar, Birati",22.663390099999997,88.4392609,ChIJGZwEVLKf-DkRDroHkqVU43M,https://www.google.com/maps/place/?q=place_id:ChIJGZwEVLKf-DkRDroHkqVU43M,part_314,2026-09-20 20:19:40
HOME APPLIANCES MASTER,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Air conditioning repair service",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,N/A,https://sites.google.com/view/homeappliancesmaster/home?authuser=5,,,"143, Nilachal, Birati, kolkata, North Dumdum, West Bengal 700134","Nilachal, Birati",22.665715199999998,88.4306984,ChIJU9BswWSf-DkRvEmThHv8oaw,https://www.google.com/maps/place/?q=place_id:ChIJU9BswWSf-DkRvEmThHv8oaw,part_314,2026-09-20 20:19:40
Om Home Appliances,AC Fridge and Washing Machine Repair,Repair service,Repair service,700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,N/A,N/A,5.0,1.0,"357, Italgacha, Motilal Colony, Rajbari, Dum Dum, Kolkata, West Bengal 700081","Italgacha, Motilal Colony, Rajbari, Dum Dum",22.6453883,88.4302088,ChIJtZtCALyf-DkR-B653ijPBM0,https://www.google.com/maps/place/?q=place_id:ChIJtZtCALyf-DkR-B653ijPBM0,part_314,2026-09-20 20:19:40
"Khosla Electronics, Birati - Best Electronics Store for Mobile, Laptop, AC, Fridge & TV!",AC Fridge and Washing Machine Repair,Electronics store,Electronics store,700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,+91 91477 24613,https://www.khoslaonline.com/,4.6,114.0,"Jessore Rd, Mahajati Nagar, Birati, North Dumdum, West Bengal 700051","Mahajati Nagar, Birati",22.660275799999997,88.44163789999999,ChIJ-wk8hKKf-DkRSUJGsjcV948,https://www.google.com/maps/place/?q=place_id:ChIJ-wk8hKKf-DkRSUJGsjcV948,part_314,2026-09-20 20:19:40
Home Appliance Service Center,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Service establishment",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,+91 70445 92557,https://homeapplianceservicecenter.in/,2.6,10.0,"Home Appliance Service Center, 700081, India",700081,22.5567995,88.2243242,ChIJR8mRHml4wgMR9FSCTzM_APQ,https://www.google.com/maps/place/?q=place_id:ChIJR8mRHml4wgMR9FSCTzM_APQ,part_314,2026-09-20 20:19:40
Modern Refrigeration House (Airport 2.5 no.gate. Spare Parts Store),AC Fridge and Washing Machine Repair,Electronics store,Electronics store,700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,+91 98754 53046,https://modernrefrigerationhouse.shop/,4.3,21.0,"Pulin Ave, Airport 2 No. Gate, Manikpur, Rajbari, Dum Dum, North Dumdum, West Bengal 700081","Airport 2 No. Gate, Manikpur, Rajbari, Dum Dum",22.6504877,88.4350903,ChIJeSzGmhif-DkR64zqQ4EG3AE,https://www.google.com/maps/place/?q=place_id:ChIJeSzGmhif-DkR64zqQ4EG3AE,part_314,2026-09-20 20:19:40
All home appliances service Ac frej washing machine microcosm etc,AC Fridge and Washing Machine Repair,Appliance repair service,"Appliance repair service, Service establishment",700081,West Bengal Circle,Kolkata Region,North Presidency Division,Rajbari Colony SO,N/A,N/A,,,"All home appliances service Ac frej washing machine microcosm etc, 700081, India",700081,21.0680074,82.7525294,ChIJ90_YHJTlDDkR5WfoT-v1SZg,https://www.google.com/maps/place/?q=place_id:ChIJ90_YHJTlDDkR5WfoT-v1SZg,part_314,2026-09-20 20:19:40
