business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ashutosh Memorial Hall,Exhibitions,Tourist attraction,"Tourist attraction, History museum, Museum, Auditorium",700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,4.2,,"77, Ashutosh Mukherjee Rd, Paddapukur, Bhowanipore, Kolkata, West Bengal 700025","Paddapukur, Bhowanipore",22.5306928,88.3458771,ChIJ4UsUqzl3AjoRmqRd30W34_A,https://www.google.com/maps/place/?q=place_id:ChIJ4UsUqzl3AjoRmqRd30W34_A,part_312,2026-09-20 20:54:35
Vivek Mela,Exhibitions,Fairground,Fairground,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,4.4,,"27b, Harish Mukherjee Rd, Patuapara, Bhowanipore, Kolkata, West Bengal 700025","Patuapara, Bhowanipore",22.531121199999998,88.3435722,ChIJw9mDV2h3AjoRfNGhLbz-fPE,https://www.google.com/maps/place/?q=place_id:ChIJw9mDV2h3AjoRfNGhLbz-fPE,part_312,2026-09-20 20:54:35
Gol Math,Exhibitions,Fairground,Fairground,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,4.3,,"39/2B, Townshend Rd, Bakul Bagan, Bhowanipore, Kolkata, West Bengal 700025","Bakul Bagan, Bhowanipore",22.5273684,88.34916919999999,ChIJQ_ZQ7TB3AjoRJRStPcrVvPI,https://www.google.com/maps/place/?q=place_id:ChIJQ_ZQ7TB3AjoRJRStPcrVvPI,part_312,2026-09-20 20:54:35
Photographic Association of Bengal/Mousumee Ghatak,Exhibitions,Association / Organization,Association / Organization,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",+91 94331 67744,N/A,4.6,,"7B, Indra Roy Rd, Bakul Bagan, Bhowanipore, Kolkata, West Bengal 700025","Bakul Bagan, Bhowanipore",22.5281177,88.3464923,ChIJM2Yjxjl3AjoR2LXF9u13Ve0,https://www.google.com/maps/place/?q=place_id:ChIJM2Yjxjl3AjoR2LXF9u13Ve0,part_312,2026-09-20 20:54:35
Ashutosh Memorial Hall,Exhibitions,Event venue,Event venue,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,3.8,,"Ashutosh College, Basanta Bose Rd, Jatin Das Park, Patuapara, Bhowanipore, Kolkata, West Bengal 700026","Jatin Das Park, Patuapara, Bhowanipore",22.525481,88.3462577,ChIJ816kBjd3AjoR5usaEsXgvIw,https://www.google.com/maps/place/?q=place_id:ChIJ816kBjd3AjoR5usaEsXgvIw,part_312,2026-09-20 20:54:35
BHOWANIPUR 75 PALLI SARBOJONIN DURGOTSAB OFFICE,Exhibitions,Corporate office,"Corporate office, Festival",700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",+91 98318 88198,N/A,4.3,,"8, Debendra Ghosh Rd, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.5332093,88.345203,ChIJ805J0Dh3AjoRdZf-2b4brNg,https://www.google.com/maps/place/?q=place_id:ChIJ805J0Dh3AjoRdZf-2b4brNg,part_312,2026-09-20 20:54:35
LADIES PARK 2,Exhibitions,Park,Park,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,4.0,,"36/D, Ramesh Mitra Rd, Paddapukur, Bhowanipore, Kolkata, West Bengal 700025","Paddapukur, Bhowanipore",22.5294117,88.34966039999999,ChIJw_M3Qjp3AjoRbuInnekz4hI,https://www.google.com/maps/place/?q=place_id:ChIJw_M3Qjp3AjoRbuInnekz4hI,part_312,2026-09-20 20:54:35
MATCHSTICK EVENTS,Exhibitions,Corporate office,Corporate office,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,5.0,,"2C, Mahendra Rd, Paddapukur, Bhowanipore, Kolkata, West Bengal 700025","Paddapukur, Bhowanipore",22.529598,88.3517423,ChIJh5SaN7h3AjoRln9a6l72srY,https://www.google.com/maps/place/?q=place_id:ChIJh5SaN7h3AjoRln9a6l72srY,part_312,2026-09-20 20:54:35
Artshoppy,Exhibitions,Art gallery,Art gallery,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",+91 99039 71710,https://www.artshoppy.com/,4.6,15.0,"19A, Palit St, Garcha, Ballygunge, Kolkata, West Bengal 700019","Garcha, Ballygunge",22.527153,88.35411789999999,ChIJPxLV7i93AjoR6UWdfdujfoU,https://www.google.com/maps/place/?q=place_id:ChIJPxLV7i93AjoR6UWdfdujfoU,part_312,2026-09-20 20:54:36
Impart Art Coaching - Woodburn Park,Exhibitions,Art school,Art school,700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",+91 98748 48484,http://www.impartacademy.com/,4.8,92.0,"Ground Floor, G-7, Malayalay Apts, 3, Wood Burn Rd, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.540667,88.35266399999999,ChIJQ7uz-hd3AjoRKvTF1fqBF20,https://www.google.com/maps/place/?q=place_id:ChIJQ7uz-hd3AjoRKvTF1fqBF20,part_312,2026-09-20 20:54:36
Bhowanipur Sarbojanin Durgotsav Durga puja,Exhibitions,Festival,"Festival, Place of worship, Religious destination",700025,West Bengal Circle,Kolkata Region,South Kolkata Division,"Bhawanipore SO, Lansdowne Market SO, Ramkrishna Park SO",N/A,N/A,4.6,,"Chandra Nath Chatterjee St, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.5349921,88.3438382,ChIJjTjPIFZ3AjoRN9QDCyZcPck,https://www.google.com/maps/place/?q=place_id:ChIJjTjPIFZ3AjoRN9QDCyZcPck,part_312,2026-09-20 20:54:37
