business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
DREAM TOUR & TRAVELS HOWRAH,Tour and Travel Operator,Tour operator,Tour operator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"381, Mahiary Jagachha Rd, near PNB ATM, GIP Colony, Jagacha, Howrah, West Bengal 711112","GIP Colony, Jagacha",22.5901292,88.29221249999999,ChIJf-KeLgt5AjoRMCyhA1rtqeo,https://www.google.com/maps/place/?q=place_id:ChIJf-KeLgt5AjoRMCyhA1rtqeo,part_316,2026-09-20 20:17:11,2816
Bengal Tour Plans,Tour and Travel Operator,Travel agency,"Travel agency, Sightseeing Tour Operator, Tour operator",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 84203 61281,https://bengaltourplans.com/,4.7,418.0,"Ground Floor, Annapurna Bari, 50/8D, Harish Mukherjee Rd, Bhowanipore, Kolkata, West Bengal 700025",Bhowanipore,22.5354571,88.34374969999999,ChIJZZ5UDctxAjoR5kAGa50IBbQ,https://www.google.com/maps/place/?q=place_id:ChIJZZ5UDctxAjoR5kAGa50IBbQ,part_316,2026-09-20 20:17:11,2817
Pahari Peaks Tours and Travels,Tour and Travel Operator,Tour operator,Tour operator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 82400 46149,https://www.paharipeakstoursandtravels.com/,5.0,2.0,"Uttarayan, palpara, North Baksara, Howrah, West Bengal 711110","palpara, North Baksara, Baksara",22.5771597,88.2806773,ChIJze2AjIR5AjoR-Bd4dkaEr2g,https://www.google.com/maps/place/?q=place_id:ChIJze2AjIR5AjoR-Bd4dkaEr2g,part_316,2026-09-20 20:17:11,2818
Travotic Holidays | Best Travel Agency in Kolkata | Tour Operators in Kolkata | Best Travel Company in Kolkata,Tour and Travel Operator,Travel agency,"Travel agency, Airline ticket agency, Sport tour agency, Tour agency, Tour operator, Visa Agent",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 85858 65050,https://www.travoticholidays.com/,4.8,265.0,"6th Floor Room No - 613, Diamond Heritage, 16, Strand Rd, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.5758308,88.3474354,ChIJS4OWYOl3AjoRavIjQJ_FNw0,https://www.google.com/maps/place/?q=place_id:ChIJS4OWYOl3AjoRavIjQJ_FNw0,part_316,2026-09-20 20:17:11,2819
𝐅𝐫𝐢𝐞𝐧𝐝𝐬 𝐓𝐨𝐮𝐫 & 𝐓𝐫𝐚𝐯𝐞𝐥𝐬,Tour and Travel Operator,Tour operator,"Tour operator, Home Stay",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70032 07740,N/A,5.0,3.0,"35, S Baksara Rd, South Baksara, Baksara, Howrah, West Bengal 711110","South Baksara, Baksara",22.5759686,88.2865819,ChIJ1YB-K7h5AjoRPu3NxH384BY,https://www.google.com/maps/place/?q=place_id:ChIJ1YB-K7h5AjoRPu3NxH384BY,part_316,2026-09-20 20:17:11,2820
Down To Earth Tour & Travel/ Tour Operator Howrah- Down To Earth,Tour and Travel Operator,Tour operator,Tour operator,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.8,30.0,"2,Satya ranjan seth sarani, Dharsa, West Bengal 711112",Old Jagacha,22.596187,88.2899609,ChIJvQjWaoh5AjoReYirD72eQPw,https://www.google.com/maps/place/?q=place_id:ChIJvQjWaoh5AjoReYirD72eQPw,part_316,2026-09-20 20:17:11,2821
Azifa Travels & Drivers,Tour and Travel Operator,Travel agency,Travel agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://www.azifatravel.com/,5.0,13.0,"Chunabhati, opp. Indrapuri ceremony Hall, Howrah, West Bengal 711109","Panchpara, Mourigram",22.5672304,88.2672175,ChIJdaxrWZN5AjoR6qG2CG5aiA4,https://www.google.com/maps/place/?q=place_id:ChIJdaxrWZN5AjoR6qG2CG5aiA4,part_316,2026-09-20 20:17:11,2822
Quick tour and travels (Biswajit Das),Tour and Travel Operator,Car rental agency,Car rental agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"H7HG+WWC, Santragachi, Howrah, West Bengal 711111",Santragachi,22.5798089,88.27746259999999,ChIJu9yOdAB5AjoRAKZ5TG0Tg8o,https://www.google.com/maps/place/?q=place_id:ChIJu9yOdAB5AjoRAKZ5TG0Tg8o,part_316,2026-09-20 20:17:11,2823
Rehan Tour and travels,Tour and Travel Operator,Travel agency,Travel agency,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,2.0,"Moukhali Haldar para, 2No, Santragachi Howrah, Mourigram, Howrah, West Bengal 711302",Mourigram,22.5768886,88.2713686,ChIJmXZAu2p5AjoR7VIBRO0BEsg,https://www.google.com/maps/place/?q=place_id:ChIJmXZAu2p5AjoR7VIBRO0BEsg,part_316,2026-09-20 20:17:11,2824
Dream Holidays Trip,Tour and Travel Operator,Travel agency,"Travel agency, Tour operator",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 97486 23888,https://www.dreamholidaystrip.in/,5.0,4.0,"Moukhali Masjid, 1No. Moukhali, Mohiari Road, 711112, Santragachi Howrah, near 1 No, Jagacha, Howrah, West Bengal 711112",Jagacha,22.5877986,88.27721629999999,ChIJGwctAe15AjoR-ZYD9dAfSFg,https://www.google.com/maps/place/?q=place_id:ChIJGwctAe15AjoR-ZYD9dAfSFg,part_316,2026-09-20 20:17:11,2825
