business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Pabrai's Fresh & Naturelle Ice Cream, Sarat Bose Road, Kolkata",Ice Cream Parlour,Ice cream shop,"Ice cream shop, Juice shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90070 82727,http://www.pabraisindia.com/,4.4,,"28, Sarat Bose Rd, Rafiganj, Chakraberia, Ballygunge, Kolkata, West Bengal 700020","Rafiganj, Chakraberia, Ballygunge",22.5341566,88.35361379999999,ChIJMepvaYN3AjoRAleC8jmT77w,https://www.google.com/maps/place/?q=place_id:ChIJMepvaYN3AjoRAleC8jmT77w,part_316,2026-09-20 20:17:03
FROST & FLAMES,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.0,,"Dharmatala Rd, near primary school, Jagacha, Howrah, West Bengal 711112",Jagacha,22.5910027,88.2863031,ChIJXYhXHQB5AjoR7MtwS360LoY,https://www.google.com/maps/place/?q=place_id:ChIJXYhXHQB5AjoR7MtwS360LoY,part_316,2026-09-20 20:17:03
Icy Fusion,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 91236 05314,N/A,4.4,,"18/1, Sarat Bose Rd, Rowland Row, Ballygunge, Kolkata, West Bengal 700020","Rowland Row, Ballygunge",22.5357681,88.3540831,ChIJMV4SHyN3AjoRrlXWjrfCYbU,https://www.google.com/maps/place/?q=place_id:ChIJMV4SHyN3AjoRrlXWjrfCYbU,part_316,2026-09-20 20:17:03
Panna's Pan Roll Icecream Parlour,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Fast food restaurant",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 96746 43003,N/A,4.2,,"7-17, Brahmo Samaj Rd, Vidyasagar Park, Behala, Kolkata, West Bengal 700034","Vidyasagar Park, Behala",22.4989313,88.3171895,ChIJQbmiXRN7AjoRmiPc5b2txkI,https://www.google.com/maps/place/?q=place_id:ChIJQbmiXRN7AjoRmiPc5b2txkI,part_316,2026-09-20 20:17:03
Maharani Enterprise kwality walls,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://www.kwalitywalls.in/,3.8,,"Chunavati, Andul Rd, Vivekananda Nagar, Kolkata, West Bengal 711109","Vivekananda Nagar, Panchpara, Mourigram",22.5675001,88.26935879999999,ChIJCQ7qOrR5AjoR_Cf-jtwX1DU,https://www.google.com/maps/place/?q=place_id:ChIJCQ7qOrR5AjoR_Cf-jtwX1DU,part_316,2026-09-20 20:17:03
F. Yusuf,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 97480 26343,N/A,5.0,,"Alampur Gramin Rd, Kamrangu, Andul, Howrah, West Bengal 711302","Kamrangu, Andul",22.579051999999997,88.266914,ChIJJz8L5xh5AjoR0glWlovSrk4,https://www.google.com/maps/place/?q=place_id:ChIJJz8L5xh5AjoR0glWlovSrk4,part_316,2026-09-20 20:17:03
Bonne Creme,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.4,,"68/4D, Purna Das Rd, opposite Dakat Kali Bari Temple, Triangular Park, 50 m, Gariahat, Kolkata, West Bengal 700029","Triangular Park, 50 m, Gariahat",22.5175534,88.35898259999999,ChIJodqAgrV3AjoRutyVNzv37Nc,https://www.google.com/maps/place/?q=place_id:ChIJodqAgrV3AjoRutyVNzv37Nc,part_316,2026-09-20 20:17:03
Gupta Shop,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98748 23546,N/A,4.8,,"Deshpran Sasmal Rd, Tollygunge Golf Club, Tollygunge, Kolkata, West Bengal 700033","Tollygunge Golf Club, Tollygunge",22.494354899999998,88.345337,ChIJR1RxtLRxAjoRaSFOizryAGg,https://www.google.com/maps/place/?q=place_id:ChIJR1RxtLRxAjoRaSFOizryAGg,part_316,2026-09-20 20:17:03
Baskin Robbins,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 86706 44943,https://baskinrobbinsindia.com/pages/store-locator?utm_source=gmb&utm_medium=search&utm_campaign=storefootfall,4.5,,"NANDIGRAM HEALTH DISTRICT, NEW DIGHA, DIGHA NEW TOWNSHIP, GANGADHARPUR, Ramnagar I, Digha, West Bengal 721428",New Digha,21.6179854,87.50229689999999,ChIJPTKQF9HNHDoRbwlfxvKoitA,https://www.google.com/maps/place/?q=place_id:ChIJPTKQF9HNHDoRbwlfxvKoitA,part_316,2026-09-20 20:17:03
The Fat Little Penguin,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 96545 31646,http://www.thefatlittlepenguin.com/,4.3,,"13/7, Palm Ave, Ballygunge Park, Ballygunge, Kolkata, West Bengal 700019","Ballygunge Park, Ballygunge",22.5350994,88.3701148,ChIJAXkDrlF3AjoRIoxT7Rhirv4,https://www.google.com/maps/place/?q=place_id:ChIJAXkDrlF3AjoRIoxT7Rhirv4,part_316,2026-09-20 20:17:03
Mother Dairy Booth,Ice Cream Parlour,Dairy store,Dairy store,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 1800 180 1018,https://www.motherdairy.com/,3.2,,"H7PF+JQH, Santragachi, Howrah, West Bengal 711302",Santragachi,22.586573299999998,88.2744757,ChIJD-pXTO14AjoRro5lTXBGU7c,https://www.google.com/maps/place/?q=place_id:ChIJD-pXTO14AjoRro5lTXBGU7c,part_316,2026-09-20 20:17:03
Scoop,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Chinese restaurant, Dessert restaurant, Fast food restaurant, Family restaurant",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 2217 6041,N/A,3.7,,"No.1, Humayun Pl, near New Empire Cinema, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700087","New Market Area, Dharmatala, Taltala",22.560469899999998,88.35166389999999,ChIJw_NLBxR3AjoRAwmZU-awCgQ,https://www.google.com/maps/place/?q=place_id:ChIJw_NLBxR3AjoRAwmZU-awCgQ,part_316,2026-09-20 20:17:03
"FrauStyle (HandMade Perfumes, essential oils, Jute Bags)",Ice Cream Parlour,Ice cream shop,"Ice cream shop, Momo restaurant",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98753 75758,N/A,4.4,,"4, DD Mondal Ghat Rd, May Dibas Pally, Dakshineswar, Kolkata, West Bengal 700076","May Dibas Pally, Dakshineswar",22.6578193,88.36395209999999,ChIJBWw6D1Cd-DkRstnDqCQalIo,https://www.google.com/maps/place/?q=place_id:ChIJBWw6D1Cd-DkRstnDqCQalIo,part_316,2026-09-20 20:17:03
Alisha,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"H7MJ+8WQ, Santragachi, Howrah, West Bengal 711111",Santragachi,22.5833333,88.2823465,ChIJnW9FfAB5AjoRJJyP6QLHpd8,https://www.google.com/maps/place/?q=place_id:ChIJnW9FfAB5AjoRJJyP6QLHpd8,part_316,2026-09-20 20:17:03
Snowberry - Artisinal Desserts,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.3,,"197, Sarat Bose Rd, near Maharaj Tea, Lake Market, Bhowanipore, Kolkata, West Bengal 700029","Lake Market, Bhowanipore",22.5158631,88.3524977,ChIJgcjSLQBxAjoRHTElCd5mNgY,https://www.google.com/maps/place/?q=place_id:ChIJgcjSLQBxAjoRHTElCd5mNgY,part_316,2026-09-20 20:17:03
Baskin Robbins,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 89101 51309,https://baskinrobbinsindia.com/pages/store-locator?utm_source=gmb&utm_medium=search&utm_campaign=storefootfall,4.5,,"3rd floor, Mohan Mall, 23, Surjyasen Rd, Gora Bazar, Berhampore, Gora Bazar, West Bengal 742101",Gora Bazar,24.090377999999998,88.25046499999999,ChIJnaIfWSd9-TkRc80-Ii95N30,https://www.google.com/maps/place/?q=place_id:ChIJnaIfWSd9-TkRc80-Ii95N30,part_316,2026-09-20 20:17:03
"Sandy's - Waffles, Shakes & Softies",Ice Cream Parlour,Ice cream shop,"Ice cream shop, Cafe, Sweet shop, Fast food restaurant, Dessert shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70010 87615,N/A,4.6,,"3/28/A, KK Banerjee Rd, Raninagar, Gora Bazar, Berhampore, West Bengal 742101","Raninagar, Gora Bazar",24.0888656,88.2527537,ChIJRdo1ieR9-TkRj721xPD7aZA,https://www.google.com/maps/place/?q=place_id:ChIJRdo1ieR9-TkRj721xPD7aZA,part_316,2026-09-20 20:17:03
FLAVOR OASIS KOTHI ICE CREAM,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.3,,"M47W+2XG, Bargachia, West Bengal 711404",711111,22.6625657,88.1474504,ChIJB04hWwB_-DkRH-x2xjsvTNc,https://www.google.com/maps/place/?q=place_id:ChIJB04hWwB_-DkRH-x2xjsvTNc,part_316,2026-09-20 20:17:04
Sayan ice cream,Ice Cream Parlour,Ice Cream Parlour,Ice Cream Parlour,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,,"J567+H6H Doctor Goutamlal, Adok Lane, Deulpur, West Bengal 711411",711111,22.611441499999998,88.163112,ChIJbzcHDAB_-DkR-7V0TmttOzo,https://www.google.com/maps/place/?q=place_id:ChIJbzcHDAB_-DkR-7V0TmttOzo,part_316,2026-09-20 20:17:04
The Belgian Waffle Co.,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Cafe, Cake shop, Family restaurant, Dessert restaurant",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 86570 23127,https://thebelgianwaffle.co/,4.6,,"MUNICIPAL CORPORATION, SHOP NO. 2, SUDARSHAN APARTMENT OWNERS ASSOCIATION, 41, Dobson Rd, Howrah AC Market, BALI, Howrah, Kolkata, West Bengal 711101","Howrah AC Market, Pilkhana, BALI",22.592357,88.3414909,ChIJL2kK9iR3AjoR-Z1telrPAX8,https://www.google.com/maps/place/?q=place_id:ChIJL2kK9iR3AjoR-Z1telrPAX8,part_316,2026-09-20 20:17:04
Krazy For Chocolates,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 96740 83837,N/A,4.4,,"Ground Floor, Avani Riverside Mall, Choura Bustee, Shibpur, Howrah, Kolkata, West Bengal 711102","Choura Bustee, Shibpur",22.563127599999998,88.3233411,ChIJF4wBUtV5AjoRsJZuKKBSTnY,https://www.google.com/maps/place/?q=place_id:ChIJF4wBUtV5AjoRsJZuKKBSTnY,part_316,2026-09-20 20:17:04
Basanti Sweets,Ice Cream Parlour,Sweet shop,Sweet shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98309 27161,N/A,3.4,,"dharsha, more, near dilip bhattacharya, GIP Colony, Jagacha, Howrah, West Bengal 711112","GIP Colony, Jagacha",22.5938672,88.2863967,ChIJXWChPWJ4AjoRjZTZdLeycAs,https://www.google.com/maps/place/?q=place_id:ChIJXWChPWJ4AjoRjZTZdLeycAs,part_316,2026-09-20 20:17:04
MMB- Mom's Magic bakery Academy,Ice Cream Parlour,Bakery and Cake Shop,Bakery and Cake Shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 89108 58129,https://www.facebook.com/share/1ENuCRpFB5/,5.0,,"Nutan nabanari tala, 88, Baksara Vlg Rd, Baksara, Howrah, West Bengal 711110",Baksara,22.5778039,88.2909619,ChIJUcmWWxx5AjoR0ZVmd_vAGwQ,https://www.google.com/maps/place/?q=place_id:ChIJUcmWWxx5AjoR0ZVmd_vAGwQ,part_316,2026-09-20 20:17:04
Cream Bell,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 73895 93622,N/A,3.8,15.0,"JCC7+QMG, Jessore Rd, B L D Bagan, Nagerbazar, Kamardanga, Kolkata, West Bengal 700074","B L D Bagan, Nagerbazar, Kamardanga",22.6219473,88.4141981,ChIJS9lkXBqe-DkRKtfsNZpAoSw,https://www.google.com/maps/place/?q=place_id:ChIJS9lkXBqe-DkRKtfsNZpAoSw,part_316,2026-09-20 20:17:05
Ice Cream Distributors,Ice Cream Parlour,Ice cream shop,Ice cream shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.0,9.0,"50/2/1, Bhairab Dutta Ln, Salkia, Howrah, West Bengal 711106",Salkia,22.597016999999997,88.337666,ChIJyaKSJO93AjoRHt1JlLgN1ns,https://www.google.com/maps/place/?q=place_id:ChIJyaKSJO93AjoRHt1JlLgN1ns,part_316,2026-09-20 20:17:05
