business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ARATI CUPPING CENTRE,Therapy Center,Health consultant,Health consultant,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",N/A,N/A,5.0,,"H6XX+697, Arati, West Bengal 713321",713363,23.5980447,87.2484351,ChIJbzWsfgBt9zkRisJXcN3ffAI,https://www.google.com/maps/place/?q=place_id:ChIJbzWsfgBt9zkRisJXcN3ffAI,part_320,2026-09-20 20:30:48
NATURALPATHY PARALYSIS CENTRE,Therapy Center,Physiotherapy Center,Physiotherapy Center,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 98235 40160,N/A,5.0,,"kandeswar shanti nagar durgapur 713203, Durgapur, West Bengal 713201",713363,23.5726625,87.256179,ChIJDQ7zOept9zkRfgWOa_wbBxs,https://www.google.com/maps/place/?q=place_id:ChIJDQ7zOept9zkRfgWOa_wbBxs,part_320,2026-09-20 20:30:48
"Doctor Therapy Clinic , Durgapur-05",Therapy Center,Occupational therapist,"Occupational therapist, Health consultant, Mental health service, Physiotherapy Center",713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",N/A,N/A,,,"Diploma Engineers association, 4A, Chaitanya Ave, B-Zone, Durgapur, West Bengal 713205",B-Zone,23.5745203,87.30219609999999,ChIJA0--BRVv9zkR1Oeg9YU_c7o,https://www.google.com/maps/place/?q=place_id:ChIJA0--BRVv9zkR1Oeg9YU_c7o,part_320,2026-09-20 20:30:48
C.A.R.E. PHYSICAL THERAPY (Rahul Banerjee (P.T.),Therapy Center,Physiotherapist,"Physiotherapist, Home health care service",713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 90028 69531,http://rahulpinki.143business.site/,4.9,,"166, Bhaba Rd, B-Zone, Durgapur, West Bengal 713205",B-Zone,23.5752185,87.3040619,ChIJ4yj0yGxv9zkRvNxEGdHtA7w,https://www.google.com/maps/place/?q=place_id:ChIJ4yj0yGxv9zkRvNxEGdHtA7w,part_320,2026-09-20 20:30:48
Aswaas Health care Foundation,Therapy Center,Rehabilitation center,Rehabilitation center,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 83274 46269,N/A,4.8,72.0,"Benachity, Dilip Cycle Gali, near, Durgamandir Rd, Kamalpur Plot, Durgapur 13, Durgapur, West Bengal 713213","Kamalpur Plot, Durgapur 13, Benachity",23.5590685,87.2765526,ChIJccbSPS1t9zkRXC_ucHskOXQ,https://www.google.com/maps/place/?q=place_id:ChIJccbSPS1t9zkRXC_ucHskOXQ,part_320,2026-09-20 20:30:48
Durgapur New Life Care Foundation,Therapy Center,Rehabilitation center,Rehabilitation center,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 80166 68858,https://www.durgapurnewlifecare.com/,4.9,61.0,"Jhandabad More, opposithila Hemshella Model School, Dhandabag, Durgapur, West Bengal 713203",Dhandabag,23.568651199999998,87.2728666,ChIJMfzNLQ9t9zkRhlsZd4ruaEA,https://www.google.com/maps/place/?q=place_id:ChIJMfzNLQ9t9zkRhlsZd4ruaEA,part_320,2026-09-20 20:30:48
physiotherapy Centre,Therapy Center,Physiotherapist,Physiotherapist,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",N/A,N/A,1.0,,"Faridpur Panchayat Samity, PO, Durgapur, Laudoha, West Bengal 713385",713363,23.6628535,87.3067835,ChIJ_2ZGAFxp9zkRXIdizyQ_5gw,https://www.google.com/maps/place/?q=place_id:ChIJ_2ZGAFxp9zkRXIdizyQ_5gw,part_320,2026-09-20 20:30:48
Care and Cure Physiotherapy Centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 97320 25018,N/A,,,"8/3, Ashoke Ave, A-Zone, Durgapur, West Bengal 713204",A-Zone,23.576153899999998,87.2919902,ChIJx29aDvJt9zkRmdES-gUCQPQ,https://www.google.com/maps/place/?q=place_id:ChIJx29aDvJt9zkRmdES-gUCQPQ,part_320,2026-09-20 20:30:48
Dr. Krishnendu Chakraborty (PT),Therapy Center,Physiotherapist,Physiotherapist,713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 76791 41057,N/A,4.8,,"L Block, Kurulia Dangal Rd, Milan Pally, Durgapur, West Bengal 713203",Milan Pally,23.5850925,87.26575179999999,ChIJCSR1vWJt9zkRACNNSJPDyCE,https://www.google.com/maps/place/?q=place_id:ChIJCSR1vWJt9zkRACNNSJPDyCE,part_320,2026-09-20 20:30:48
Ar-Rahaman Cupping Therapy ( HIJAMA) & Ayurveda Wellness Clinic,Therapy Center,Ayurvedic clinic,"Ayurvedic clinic, Holistic medicine practitioner",713363,West Bengal Circle,South Bengal Region,Asansol Division,"Ukhra SO, Ichapur BO, Khandra BO",+91 87596 11825,N/A,5.0,,"Benachity Masjid Mohalla, Benachity, Durgapur, West Bengal 713213","Benachity Masjid Mohalla, Benachity",23.5651986,87.27813309999999,ChIJqSq3sEVt9zkRPFRpfCwL3OM,https://www.google.com/maps/place/?q=place_id:ChIJqSq3sEVt9zkRPFRpfCwL3OM,part_320,2026-09-20 20:30:48
