business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rainbow tiles,Tile and Marble Showroom,Store,Store,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 82408 77080,N/A,4.4,5.0,"Joychandipur, Budge Budge, Kolkata, West Bengal 700137","Joychandipur, Budge Budge",22.476768999999997,88.1776841,ChIJSdxC9JR9AjoRe9O_pmcvAGI,https://www.google.com/maps/place/?q=place_id:ChIJSdxC9JR9AjoRe9O_pmcvAGI,part_315,2026-09-20 20:24:59
Dey's Marbles & Tiles,Tile and Marble Showroom,Building materials store,Building materials store,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 72783 83407,N/A,5.0,1.0,"Batamore, opposite of LENS KART, Balarampur, Maheshtala, West Bengal 700139",Balarampur,22.498635699999998,88.23202649999999,ChIJf8647RZ8AjoRmazRPI18bCM,https://www.google.com/maps/place/?q=place_id:ChIJf8647RZ8AjoRmazRPI18bCM,part_315,2026-09-20 20:24:59
Mondal Marbles and Tiles,Tile and Marble Showroom,Marble supplier,Marble supplier,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98367 11679,N/A,4.1,7.0,"near by Maheshtala collage, opp. Indian Chain Factory, Chandan Nagar, Maheshtala, West Bengal 700139",Chandan Nagar,22.5020462,88.2353169,ChIJ2T0sEWB9AjoRePf9J_J_ekc,https://www.google.com/maps/place/?q=place_id:ChIJ2T0sEWB9AjoRePf9J_J_ekc,part_315,2026-09-20 20:24:59
Taj Marble,Tile and Marble Showroom,Marble supplier,Marble supplier,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98302 39742,N/A,4.8,5.0,"G62P+FWC, Budge Budge Trunk Rd, Chandan Nagar, Maheshtala, West Bengal 700139",Chandan Nagar,22.5011959,88.2372807,ChIJY5Yjwg98AjoR7Zx-nc9IDtU,https://www.google.com/maps/place/?q=place_id:ChIJY5Yjwg98AjoR7Zx-nc9IDtU,part_315,2026-09-20 20:24:59
Narayani Marble And Sanitary,Tile and Marble Showroom,Hardware store,Hardware store,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,N/A,3.3,3.0,"135, Mahatma Gandhi Rd, opposite IOC gate, Samanta Para, Budge Budge, Kolkata, West Bengal 700137","Samanta Para, Budge Budge",22.4811294,88.1801886,ChIJpw7P1TB9AjoRGHPDqLmh6-o,https://www.google.com/maps/place/?q=place_id:ChIJpw7P1TB9AjoRGHPDqLmh6-o,part_315,2026-09-20 20:24:59
RAINBOW,Tile and Marble Showroom,Marble supplier,"Marble supplier, Building materials store",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98361 81665,N/A,4.3,24.0,"Thakurpukur - Bibirhat - Bakhrahat - Raipur Rd, Bara Gagan Gohalia, Andharmanik, Bibirhat, West Bengal 743503",Bara Gagan Gohalia,22.3930856,88.22753569999999,ChIJ44QI3GpjAjoRZXnidKYvHYo,https://www.google.com/maps/place/?q=place_id:ChIJ44QI3GpjAjoRZXnidKYvHYo,part_315,2026-09-20 20:24:59
Gravity Tiles & Marble,Tile and Marble Showroom,Shopping mall,Shopping mall,700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 88204 84428,N/A,4.0,5.0,"Pokpari, Bot Tola, Shyampur, Budge Budge, Kolkata, Uttar Raypur, West Bengal 700137","Bot Tola, Shyampur, Budge Budge",22.4870931,88.1967209,ChIJ6yduNSZ9AjoRU1LXs69tJQg,https://www.google.com/maps/place/?q=place_id:ChIJ6yduNSZ9AjoRU1LXs69tJQg,part_315,2026-09-20 20:24:59
"RAJASTHAN EMPORIUM | TOP MARBLE & GRANITE DEALERS IN MAHESHTALA, KOLKATA",Tile and Marble Showroom,Marble supplier,"Marble supplier, Tile store",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",N/A,N/A,4.8,9.0,"Budge Budge Trunk Rd, Parbangla, Chandan Nagar, Maheshtala, West Bengal 700140","Parbangla, Chandan Nagar",22.495222,88.2200549,ChIJxybwEjl8AjoR8Cgy5eqgbtQ,https://www.google.com/maps/place/?q=place_id:ChIJxybwEjl8AjoR8Cgy5eqgbtQ,part_315,2026-09-20 20:24:59
Bengal Tiles And Art Pvt Ltd,Tile and Marble Showroom,Tile store,"Tile store, Bathroom supply store, Home goods store, Manufacturer, Showroom, Tile manufacturer, Title company, Wholesaler",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 70762 99304,https://bengaltile.com/,4.6,,"Kolaghat - Haldia Rd, Nimtouri, Uttar Narikelda, West Bengal 721648",700137,22.260912599999997,87.8971146,ChIJ__ZtzfyUAjoRy0BJsDIYXJk,https://www.google.com/maps/place/?q=place_id:ChIJ__ZtzfyUAjoRy0BJsDIYXJk,part_315,2026-09-20 20:25:00
Anand Marble and tiles,Tile and Marble Showroom,Marble supplier,"Marble supplier, Granite supplier, Tile store",700137,West Bengal Circle,Kolkata Region,South Presidency Division,"Budge Budge SO Hsgii SO, Bawali Chandipur BO, Buinta BO",+91 98360 21999,N/A,4.4,,"Unnamed Road, Tikiapara, Howrah, West Bengal 711101",Tikiapara,22.597555699999997,88.327388,ChIJnXA0Yh14AjoRn5zvWS8FOiQ,https://www.google.com/maps/place/?q=place_id:ChIJnXA0Yh14AjoRn5zvWS8FOiQ,part_315,2026-09-20 20:25:00
