business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Vibrant Ideas- Exhibition stall designer & Stall Fabricators,Tradeshows,Event planner,Event planner,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",N/A,N/A,,,"Devashish- 2, 1, Kazi Para Rd, Parnasree Palli, Behala, Kolkata, West Bengal 700060","Parnasree Palli, Behala",22.503683,88.3087489,ChIJ-2a6tIR7AjoR-44gVmJuwQI,https://www.google.com/maps/place/?q=place_id:ChIJ-2a6tIR7AjoR-44gVmJuwQI,part_313,2026-09-20 20:20:20
VRise Craft Private Limited,Tradeshows,Event management company,"Event management company, Exhibition planner",700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 91230 46809,http://www.vrise.co.in/,5.0,1.0,"1/20, Mahendra Banerjee Rd, Rabindra Nagar, Behala, Kolkata, West Bengal 700060","Rabindra Nagar, Behala",22.501225599999998,88.3005917,ChIJVVX0MDl6AjoRmJwiRlPXzyE,https://www.google.com/maps/place/?q=place_id:ChIJVVX0MDl6AjoRmJwiRlPXzyE,part_313,2026-09-20 20:20:20
Revesky Events,Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 86172 73770,http://reveskyeventmanagement.odoo.com/,5.0,1.0,"112, Chanditala Branch Rd, Senhati Colony, Behala, Kolkata, West Bengal 700053","Senhati Colony, Behala",22.4965217,88.3301542,ChIJx-reISxxAjoRvNSWFn5mePw,https://www.google.com/maps/place/?q=place_id:ChIJx-reISxxAjoRvNSWFn5mePw,part_313,2026-09-20 20:20:20
IdeaStory Experiences pvt.ltd,Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 98360 90901,http://ideastoryexp.com/,5.0,10.0,"Airport Rd, near Southern Breeze, Parnasree Palli, Kolkata, West Bengal 700060",Parnasree Palli,22.507799499999997,88.2978084,ChIJHR1jF1x7AjoRS8Ox1ARpK-s,https://www.google.com/maps/place/?q=place_id:ChIJHR1jF1x7AjoRS8Ox1ARpK-s,part_313,2026-09-20 20:20:20
We are momentum makers,Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 96745 48049,https://www.linkedin.com/company/we-are-momentum-makers/,5.0,8.0,"181, Kabiguru Sarani, Buroshibtalla, Behala, Kolkata, West Bengal 700038","Buroshibtalla, Behala",22.5023749,88.3298076,ChIJtdCZ_KVxAjoRbttpKuvXZUQ,https://www.google.com/maps/place/?q=place_id:ChIJtdCZ_KVxAjoRbttpKuvXZUQ,part_313,2026-09-20 20:20:20
Merchanzi,Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 81006 00345,http://www.merchanzi.com/,5.0,29.0,"Parnashree Pally, Parnasree Palli, Kolkata, West Bengal 700060",Parnasree Palli,22.5074911,88.3025122,ChIJQdyBvm57AjoR43aSHIIcltY,https://www.google.com/maps/place/?q=place_id:ChIJQdyBvm57AjoR43aSHIIcltY,part_313,2026-09-20 20:20:20
J NEW SUNRISE EVENT MANAGEMENT,Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 82403 67763,N/A,5.0,3.0,"3/157, Nearest- SBI Bank, ANJALI APARTMENT, Rabindra Nagar Rd Number 3, Rabindra Nagar, Parnasree Palli, Behala, Kolkata, West Bengal 700060","Rabindra Nagar, Parnasree Palli, Behala",22.500567,88.30131089999999,ChIJtVLrVi57AjoR4qFUizbEpQs,https://www.google.com/maps/place/?q=place_id:ChIJtVLrVi57AjoR4qFUizbEpQs,part_313,2026-09-20 20:20:20
Bigg Boss Entertainment ( Event House),Tradeshows,Event management company,"Event management company, Entertainment agency",700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 73192 10461,https://www.facebook.com/pom.pom.317277,5.0,1.0,"61, Dr NG Saha Rd, sarkar para, Behala, Kolkata, West Bengal 700061","sarkar para, Behala",22.4885861,88.29518379999999,ChIJj9KTLAB7AjoRGgarxohMers,https://www.google.com/maps/place/?q=place_id:ChIJj9KTLAB7AjoRGgarxohMers,part_313,2026-09-20 20:20:20
KIRA MOMENTS,Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 89813 58333,https://www.kiramoments.com/,5.0,3.0,"Nirala Apartment, 48d, New Alipore Rd, Block C, New Alipore, Kolkata, West Bengal 700053","Block C, New Alipore",22.5127387,88.32536619999999,ChIJL2APbV9xAjoRLZ4vwIjKT1Y,https://www.google.com/maps/place/?q=place_id:ChIJL2APbV9xAjoRLZ4vwIjKT1Y,part_313,2026-09-20 20:20:20
"Event Bose, Best Event Management & Caterers",Tradeshows,Event management company,Event management company,700034,West Bengal Circle,Kolkata Region,South Kolkata Division,"Behala SO, Senhati SO, Behala Municipal Market SO",+91 91238 90725,N/A,5.0,,"Santosh Roy Rd, Barisha, Kolkata, West Bengal 700008",Barisha,22.4836727,88.3152253,ChIJrYWu-OR7AjoRLv1O6yWx3Ws,https://www.google.com/maps/place/?q=place_id:ChIJrYWu-OR7AjoRLv1O6yWx3Ws,part_313,2026-09-20 20:20:20
