business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Saha Oxygen Supply,Medical Equipment Supplier,Oxygen equipment supplier,Oxygen equipment supplier,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 97323 91829,N/A,4.7,,"Eye Hospital, NH19 Crossing, near Ajhapur, Ajhapur, West Bengal 713401",713146,23.1304379,88.04968459999999,ChIJJ478Uxpb-DkRBGmA1rPrSdQ,https://www.google.com/maps/place/?q=place_id:ChIJJ478Uxpb-DkRBGmA1rPrSdQ,part_319,2026-09-20 20:19:40
Satavisha Medical Hall,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,5.0,,"Kalibele, Memari, West Bengal 713146",713146,23.174622199999998,88.1034165,ChIJR9nax5hZ-DkRW4ZkllpfJ2E,https://www.google.com/maps/place/?q=place_id:ChIJR9nax5hZ-DkRW4ZkllpfJ2E,part_319,2026-09-20 20:19:40
Memari Sargical,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,,,"53GV+QW6, Memari, West Bengal 713146",713146,23.1770435,88.0947559,ChIJh1bwBABZ-DkReThCCzhGnaE,https://www.google.com/maps/place/?q=place_id:ChIJh1bwBABZ-DkReThCCzhGnaE,part_319,2026-09-20 20:19:40
Arogya Medical Hall,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,,,"Village & Post office, Ghosh, Memari, West Bengal 713146",713146,23.2122715,88.155208,ChIJtQft7g1X-DkRZoDpX5N0DSc,https://www.google.com/maps/place/?q=place_id:ChIJtQft7g1X-DkRZoDpX5N0DSc,part_319,2026-09-20 20:19:40
Gouri Medical Stores,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,3.5,,"66G7+8XP, Kalna- Memari Rd, Sultanpur, West Bengal 713146",713146,23.225832,88.2149577,ChIJCTu7ZMj5-DkRPyaqbuCxei4,https://www.google.com/maps/place/?q=place_id:ChIJCTu7ZMj5-DkRPyaqbuCxei4,part_319,2026-09-20 20:19:40
Robo Medical Devices,Medical Equipment Supplier,Manufacturer,Manufacturer,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 86704 61671,N/A,5.0,,"Berela, West Bengal 712134",713146,23.1116359,88.1843738,ChIJ7badKQD3-DkRBSVxq-Lr9ts,https://www.google.com/maps/place/?q=place_id:ChIJ7badKQD3-DkRBSVxq-Lr9ts,part_319,2026-09-20 20:19:40
Cura Care,Medical Equipment Supplier,Medical equipment supplier,"Medical equipment supplier, Child health care center, Diagnostic center, Hospital equipment and supplies, Nursing agency, Nursing home, Nursing school, Physician referral service, Physiotherapist, Physiotherapy equipment supplier",713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 79803 18183,N/A,5.0,,"more, Panpara, Memari, West Bengal 712134",713146,23.1488925,88.1660361,ChIJh_cQ8ytZ-DkR538NOliBxGU,https://www.google.com/maps/place/?q=place_id:ChIJh_cQ8ytZ-DkR538NOliBxGU,part_319,2026-09-20 20:19:40
Shivam enterprises memari,Medical Equipment Supplier,Oxygen equipment supplier,Oxygen equipment supplier,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 73186 69987,N/A,,,"5475+FQ3, Memari, West Bengal 713146",713146,23.1636196,88.1094486,ChIJi0JeUABZ-DkRwq1Z3PayPnQ,https://www.google.com/maps/place/?q=place_id:ChIJi0JeUABZ-DkRwq1Z3PayPnQ,part_319,2026-09-20 20:19:40
JEEBONDEEP MEDICAL HALL,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,5.0,,"445R+H97, Birshimul, West Bengal 713166",713146,23.1089237,88.1409151,ChIJmTSiGdtZ-DkRAQdYSYgbavE,https://www.google.com/maps/place/?q=place_id:ChIJmTSiGdtZ-DkRAQdYSYgbavE,part_319,2026-09-20 20:19:40
Insan medical stores,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,,,"44V5+FC6, Jaugram - Memari Rd, Sonara, West Bengal 713146",713146,23.1436501,88.10851319999999,ChIJgSO6M3xZ-DkR6BXy9HKNykQ,https://www.google.com/maps/place/?q=place_id:ChIJgSO6M3xZ-DkR6BXy9HKNykQ,part_319,2026-09-20 20:19:40
Medical Store,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,,,"43V6+7WF, Ajhapur, West Bengal 713401",713146,23.143185199999998,88.06230219999999,ChIJMwc5kU9a-DkRRfFj7ZBXW5s,https://www.google.com/maps/place/?q=place_id:ChIJMwc5kU9a-DkRRfFj7ZBXW5s,part_319,2026-09-20 20:19:40
Daynight Medicine Shop,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,4.0,,"579F+MG6, Pandua- Singerkone Rd, Singarkon, West Bengal 713122",713146,23.1691672,88.2737636,ChIJM2w05HTx-DkRzzR1tNlgmQk,https://www.google.com/maps/place/?q=place_id:ChIJM2w05HTx-DkRzzR1tNlgmQk,part_319,2026-09-20 20:19:40
SHIBANI DIGITAL X-RAY CLINIC,Medical Equipment Supplier,X-ray equipment supplier,X-ray equipment supplier,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,4.2,,"5492+4MM, Memari, West Bengal 713146",713146,23.1678385,88.1016696,ChIJaW29popZ-DkRzG47kwP9sjo,https://www.google.com/maps/place/?q=place_id:ChIJaW29popZ-DkRzG47kwP9sjo,part_319,2026-09-20 20:19:40
MedPlus Boinchi,Medical Equipment Supplier,Pharmacy,"Pharmacy, General store, Medical supply store, Sports nutrition store, Vitamin & supplements store",713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 91472 12337,https://www.medplusmart.com/,3.0,,"near Vivo Mobile Center, Batika, Boinchi, West Bengal 712134",713146,23.122246999999998,88.1952793,ChIJP388A1v3-DkRAPNM34fuPAM,https://www.google.com/maps/place/?q=place_id:ChIJP388A1v3-DkRAPNM34fuPAM,part_319,2026-09-20 20:19:40
Tranib drug house,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,1.0,,"37GH+XRR, Pandua, West Bengal 712149",713146,23.077494899999998,88.27950709999999,ChIJU1EaFADz-DkRYjWipM6esfU,https://www.google.com/maps/place/?q=place_id:ChIJU1EaFADz-DkRYjWipM6esfU,part_319,2026-09-20 20:19:40
Mollick medicine shop,Medical Equipment Supplier,Medical supply store,Medical supply store,713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,N/A,,,"44V5+99, Sonara, West Bengal 713146",713146,23.14343,88.10844349999999,ChIJJbGxR1VZ-DkRm4wy2MniLWY,https://www.google.com/maps/place/?q=place_id:ChIJJbGxR1VZ-DkRm4wy2MniLWY,part_319,2026-09-20 20:19:40
CASH SAVER PHARMACY,Medical Equipment Supplier,Medical supply store,"Medical supply store, Drug store",713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",+91 87685 69155,N/A,,,"sishu siksha kendra, CASH SAVER PHARMACY, opposite bagila, down, platfrom, West Bengal 713146",down,23.158260199999997,88.12743569999999,ChIJmcyNg3JR-DkR1pfuuSMdIvY,https://www.google.com/maps/place/?q=place_id:ChIJmcyNg3JR-DkR1pfuuSMdIvY,part_319,2026-09-20 20:19:41
