business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SMART SALOON,Salon,Hair salon,Hair salon,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 80015 31846,N/A,4.5,24,"South Dhadka, Road, North, near Sani Mandir, P.S, Asansol, West Bengal 713302","South Dhadka, P.S",23.698697799999998,86.9819593,ChIJa1DQPQsf9zkR2qhfnkYjkUU,https://www.google.com/maps/place/?q=place_id:ChIJa1DQPQsf9zkR2qhfnkYjkUU,part_320,2026-09-20 20:20:53
Anjali mehendi artist,Salon,Beauty Parlour,Beauty Parlour,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 78108 82511,N/A,4.9,28,"near sarkari school, South Dhadka, Dhadka, Asansol, West Bengal 713302","South Dhadka, Dhadka",23.697926499999998,86.9782261,ChIJG4RAHQAf9zkRietNvmA3Bys,https://www.google.com/maps/place/?q=place_id:ChIJG4RAHQAf9zkRietNvmA3Bys,part_320,2026-09-20 20:20:53
Moon Hair & Beauty,Salon,Beauty Parlour,Beauty Parlour,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,N/A,N/A,5.0,1,"MXVH+485, Dhadka Road, Hassan Nagar, Asansol, West Bengal 713302",Hassan Nagar,23.6927587,86.97837249999999,ChIJIZgCTQAf9zkRQaGJvX9pFPQ,https://www.google.com/maps/place/?q=place_id:ChIJIZgCTQAf9zkRQaGJvX9pFPQ,part_320,2026-09-20 20:20:53
Beauty Lord,Salon,Beauty Parlour,Beauty Parlour,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 82931 57937,N/A,4.7,38,"Dakshina Kalimandir, Palashbagan, Depopara, Depopara, Asansol, West Bengal 713302","Palashbagan, Depopara, Depopara",23.6920063,86.98634419999999,ChIJAXlHRnMZ9zkRbz5bRhfZ2TE,https://www.google.com/maps/place/?q=place_id:ChIJAXlHRnMZ9zkRbz5bRhfZ2TE,part_320,2026-09-20 20:20:53
Rahul Hair Cut Saloon,Salon,Hair salon,Hair salon,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 62975 76732,N/A,5.0,1,"Parira, Bhanora, Majiara, West Bengal 713334",Parira,23.730901499999998,87.00638579999999,ChIJbVHGFs8Z9zkRhvGQ8jYDVRs,https://www.google.com/maps/place/?q=place_id:ChIJbVHGFs8Z9zkRhvGQ8jYDVRs,part_320,2026-09-20 20:20:53
Blue Star saloon,Salon,Hair salon,Hair salon,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 90934 41076,N/A,5.0,2,"PX3W+F45, Kalla, Asansol, West Bengal 713340",Kalla,23.7036294,86.9953693,ChIJwSZnSksZ9zkRxUXkEtvK_94,https://www.google.com/maps/place/?q=place_id:ChIJwSZnSksZ9zkRxUXkEtvK_94,part_320,2026-09-20 20:20:53
Comfort Family Salon,Salon,Beauty Parlour,Beauty Parlour,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 94751 30461,N/A,4.8,27,"Comfort Salon, Bastin Bazar Road, beside Amrito Sweets, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6866526,86.97139969999999,ChIJ5V0IkTcf9zkRVWLtXFqPFes,https://www.google.com/maps/place/?q=place_id:ChIJ5V0IkTcf9zkRVWLtXFqPFes,part_320,2026-09-20 20:20:53
Santoshi Mehandi Artist,Salon,Beauty Parlour,Beauty Parlour,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 99074 04540,N/A,5.0,38,"aary samaj maidan, Asansol rail par, KT Rd, tari mohalla, Asansol, West Bengal 713302",tari mohalla,23.6941319,86.97469939999999,ChIJw7gyP6of9zkRPPziXIu8o0I,https://www.google.com/maps/place/?q=place_id:ChIJw7gyP6of9zkRPPziXIu8o0I,part_320,2026-09-20 20:20:53
Hair Port Salon,Salon,Hairdresser,Hairdresser,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 97088 60140,N/A,4.8,5,"chandmari more, near Masjid baitus Salam, Railpar, Asansol, West Bengal 713302",Railpar,23.698928499999997,86.9669645,ChIJywN-f1Mf9zkRlC_CH8faxFw,https://www.google.com/maps/place/?q=place_id:ChIJywN-f1Mf9zkRlC_CH8faxFw,part_320,2026-09-20 20:20:53
Sabir parlour,Salon,Beauty Parlour,Beauty Parlour,713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 93333 11001,N/A,4.2,60,"Roomy Tower, Near, Hutton Rd, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6868563,86.9702105,ChIJARWYyyUZ9zkRwPL6xsZ-FGA,https://www.google.com/maps/place/?q=place_id:ChIJARWYyyUZ9zkRwPL6xsZ-FGA,part_320,2026-09-20 20:20:53
KRISHNA SALON,Salon,Beauty Parlour,"Beauty Parlour, Hair salon",713340,West Bengal Circle,South Bengal Region,Asansol Division,Kalla Central Hospital SO,+91 82930 79371,N/A,4.0,2,"South Dhadka Road, North, near Asansol Polytechnic College, P.S, Asansol, West Bengal 713302","South Dhadka, P.S",23.699425899999998,86.9834309,ChIJm-38Q80Y9zkRQraPJ7Eflvg,https://www.google.com/maps/place/?q=place_id:ChIJm-38Q80Y9zkRQraPJ7Eflvg,part_320,2026-09-20 20:20:54
