business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sree Revathy Finance,Pawn Broker and Gold Loan,Pawn shop,Pawn shop,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 94006 00132,N/A,5.0,,"Sree Revathy Finance Puthenkada Junction, Thirumala, Thiruvananthapuram, Keralam 695006",Thirumala,8.4999352,76.9940273,ChIJMysUXN67BTsRDoOoXPXVn-s,https://www.google.com/maps/place/?q=place_id:ChIJMysUXN67BTsRDoOoXPXVn-s,part_311,2026-09-20 20:22:25
Revathy Finance Thirumala: Fast & Secure Gold Loans SINCE 2000,Pawn Broker and Gold Loan,Pawn shop,"Pawn shop, Financial institution, Loan agency",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",N/A,N/A,,,"First Floor, Revathy Finance, opposite Abraham Memorial Higher Secondary School, TV nagar, AMHSS, Thirumala, Thiruvananthapuram, Keralam 695006","TV nagar, AMHSS, Thirumala",8.5011603,76.9931848,ChIJYd1bvmO7BTsRCqrbW-QRzJw,https://www.google.com/maps/place/?q=place_id:ChIJYd1bvmO7BTsRCqrbW-QRzJw,part_311,2026-09-20 20:22:25
M S FINANCE,Pawn Broker and Gold Loan,Gold dealer,Gold dealer,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 95677 46225,N/A,5.0,,"MS FINANCE,Sree Sastha Nagar,Thavalam, P.O, Poonthura, Thiruvananthapuram, Keralam 695026","P.O, Poonthura",8.4461766,76.9442483,ChIJDezENiq7BTsRzNqb9luIxYY,https://www.google.com/maps/place/?q=place_id:ChIJDezENiq7BTsRzNqb9luIxYY,part_311,2026-09-20 20:22:25
MAXIMA Gold loan,Pawn Broker and Gold Loan,Financial institution,Financial institution,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 471 424 9998,N/A,5.0,,"near Arogya pharmacy, Althara Nagar, Vellayambalam, Thiruvananthapuram, Keralam 695010","Althara Nagar, Vellayambalam",8.5120779,76.9645554,ChIJdfuTPtS7BTsRONyR9j4nhE4,https://www.google.com/maps/place/?q=place_id:ChIJdfuTPtS7BTsRONyR9j4nhE4,part_311,2026-09-20 20:22:25
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Pawn shop,"Pawn shop, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Financial institution",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 80 4492 8788,https://branches.manappuram.com/gold-loan-in-kattakkada-kottoor-road-poovachal-thiruvananthapuram-kerala,5.0,95.0,"1st Floor, No. 52 A, Kattakkada Kottoor Rd, near BSNL Office, Poovachal, Keralam 695575",695313,8.536143899999999,77.08670579999999,ChIJaZ78lqa3BTsR_OayOU_DnBU,https://www.google.com/maps/place/?q=place_id:ChIJaZ78lqa3BTsR_OayOU_DnBU,part_311,2026-09-20 20:22:26
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Pawn shop,"Pawn shop, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Financial institution",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 80 4492 6482,https://branches.manappuram.com/gold-loan-in-plammoodu-nalanda-road-plammoodu-thiruvananthapuram-kerala,5.0,82.0,"1st Floor, Krishna Towers, No. 25/275/3, Plammoodu-Nalanda Rd, Plammoodu, Thiruvananthapuram, Keralam 695003",Plammoodu,8.5138427,76.9469841,ChIJlZjdMD-7BTsR_0pGK08Xh8g,https://www.google.com/maps/place/?q=place_id:ChIJlZjdMD-7BTsR_0pGK08Xh8g,part_311,2026-09-20 20:22:26
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Pawn shop,"Pawn shop, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Financial institution",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 80 4492 8526,https://branches.manappuram.com/gold-loan-in-kuttichal-kottoor-road-mannoorkara-thiruvananthapuram-kerala,5.0,86.0,"1st Floor, No. 11/370, Kuttichal - Kottoor Rd, opp. Bus Stop, Mannoorkara, Keralam 695574",695313,8.5673415,77.10176349999999,ChIJYVVVVSW0BTsRCzE4EghwRRQ,https://www.google.com/maps/place/?q=place_id:ChIJYVVVVSW0BTsRCzE4EghwRRQ,part_311,2026-09-20 20:22:26
Manappuram Finance Limited – Gold Loan,Pawn Broker and Gold Loan,Pawn shop,"Pawn shop, Business development service, Car finance and loan company, Currency exchange service, Finance broker, Loan agency, Money transfer service, Mortgage broker, Financial institution",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 80 4492 8094,https://branches.manappuram.com/gold-loan-in-karamana-thiruvananthapuram-kerala,4.8,97.0,"1st Floor, No. 20, Trivandrum - Nagercoil Hwy, near Bata Shoe Store, Karamana Junction, Prem Nagar, Karamana, Thiruvananthapuram, Keralam 695002","Karamana Junction, Prem Nagar, Karamana",8.4817935,76.9654893,ChIJdwUlvPu7BTsRMfQ4gL4R1rw,https://www.google.com/maps/place/?q=place_id:ChIJdwUlvPu7BTsRMfQ4gL4R1rw,part_311,2026-09-20 20:22:26
Sd gold Loans and Financial Services,Pawn Broker and Gold Loan,Bank,Bank,695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 79948 54541,N/A,4.3,,"arjun arcade, Attingal, Avanavanchery, Keralam 695101",695313,8.6964624,76.8404219,ChIJ6-F1oaLBBTsRllDAPQWAssg,https://www.google.com/maps/place/?q=place_id:ChIJ6-F1oaLBBTsRllDAPQWAssg,part_311,2026-09-20 20:22:27
Muthoot Mercantile Limited,Pawn Broker and Gold Loan,Loan agency,"Loan agency, Currency exchange service, Finance broker, Financial institution, Insurance agency, Investment company, Investment service",695313,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Kudavur SO, Manjamala BO",+91 471 277 4800,http://muthootenterprises.com/,4.7,,"1st Floor, North Block, opp. West & C Hospital Road, Aristo, Thycaud, Thiruvananthapuram, Keralam 695014","Aristo, Thycaud",8.4875432,76.9563402,ChIJeSbyL6m7BTsRGmNn8eV5LL0,https://www.google.com/maps/place/?q=place_id:ChIJeSbyL6m7BTsRGmNn8eV5LL0,part_311,2026-09-20 20:22:27
