business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tubai Telecom,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 80138 66626,N/A,3.4,5.0,"Angana market, near More Supermarket, Khalisha Kota, Birati, Kolkata, North Dumdum, West Bengal 700051","Khalisha Kota, Birati",22.662987899999997,88.4293826,ChIJn0nVeMuf-DkR4zhoSW4PMX8,https://www.google.com/maps/place/?q=place_id:ChIJn0nVeMuf-DkR4zhoSW4PMX8,part_315,2026-09-20 20:22:45
AKD Network Pvt. Ltd.,IT and Telecom Services,Internet service provider,Internet service provider,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,N/A,https://www.akdnetwork.com/,4.5,13.0,"89, MB Rd, Khalisha Kota, Birati, North Dumdum, West Bengal 700051","Khalisha Kota, Birati",22.661359599999997,88.4327024,ChIJAQBwZ_ie-DkRFpEhu6jdAwk,https://www.google.com/maps/place/?q=place_id:ChIJAQBwZ_ie-DkRFpEhu6jdAwk,part_315,2026-09-20 20:22:45
Sai Swati Telecom,IT and Telecom Services,Cell phone accessory store,"Cell phone accessory store, Mobile phone repair shop",700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 99035 42424,N/A,4.5,8.0,"near Punjab And Sind Bank, Mahajati Nagar, Birati, Kolkata, North Dumdum, West Bengal 700081","Mahajati Nagar, Birati",22.660190699999998,88.4376259,ChIJj6_9g_ef-DkRwJotTUu0SrI,https://www.google.com/maps/place/?q=place_id:ChIJj6_9g_ef-DkRwJotTUu0SrI,part_315,2026-09-20 20:22:45
OM TELECOM,IT and Telecom Services,Cell phone store,Cell phone store,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 98830 80690,N/A,3.5,23.0,"99, 81, MB Rd, Mahajati Nagar, Birati, Kolkata, North Dumdum, West Bengal 700051","Mahajati Nagar, Birati",22.660151799999998,88.43873029999999,ChIJ5Q95CP-e-DkRhiowLV0qj3M,https://www.google.com/maps/place/?q=place_id:ChIJ5Q95CP-e-DkRhiowLV0qj3M,part_315,2026-09-20 20:22:45
Vi - Vodafone Idea mini Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 90513 13351,https://stores.myvi.in/vi-vodafone-idea-mini-store-roy-cell-wave-telecommunications-service-provider-birati-kolkata-530913/Home?utm_source=locator&utm_medium=googleplaces,4.6,19.0,"Ward No 17, Rabindra Path, Nimta, Birati, Kolkata, North Dumdum, West Bengal 700051","Nimta, Birati",22.662938999999998,88.43056539999999,ChIJKSTB9iSf-DkRQQAJHcit6dU,https://www.google.com/maps/place/?q=place_id:ChIJKSTB9iSf-DkRQQAJHcit6dU,part_315,2026-09-20 20:22:45
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 89026 54620,https://bsnl.co.in/,,,"SAPTAGRAM SCHOOL ROAD, Bisharpara, Birati, Kolkata, North Dumdum, West Bengal 700051","Bisharpara, Birati",22.674640999999998,88.434482,ChIJa0TruQ-f-DkRHYVJk219awE,https://www.google.com/maps/place/?q=place_id:ChIJa0TruQ-f-DkRHYVJk219awE,part_315,2026-09-20 20:22:45
AIRTEL STORE - BIRATI KOLKATA,IT and Telecom Services,Telecommunications service provider,"Telecommunications service provider, Internet service provider, Mobile network operator",700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 98100 12345,https://www.airtel.in/,3.3,74.0,"75 Mb Road, Ps Airport Kolkata700051, Po, Birati, KOLKATA, West Bengal 700051","Po, Birati",22.660919999999997,88.436284,ChIJb5HSOTGf-DkRYvKnVHlp2gM,https://www.google.com/maps/place/?q=place_id:ChIJb5HSOTGf-DkRYvKnVHlp2gM,part_315,2026-09-20 20:22:45
BSNL Store,IT and Telecom Services,Telecommunications service provider,Telecommunications service provider,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 94775 92362,https://bsnl.co.in/,,,"52/c, S.S. SARANI, NABANAGAR, Birati, North Dumdum, West Bengal 700051","NABANAGAR, Birati",22.6730297,88.431643,ChIJFQpgmQKf-DkRWw-aVbRTN58,https://www.google.com/maps/place/?q=place_id:ChIJFQpgmQKf-DkRWw-aVbRTN58,part_315,2026-09-20 20:22:45
S A Solution,IT and Telecom Services,Mobile phone repair shop,Mobile phone repair shop,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,N/A,N/A,5.0,120.0,"208, Nilachal, Birati, Kolkata, North Dumdum, West Bengal 700051","Nilachal, Birati",22.6687624,88.4304903,ChIJA7fj1Hif-DkRw4kqea3qzZ8,https://www.google.com/maps/place/?q=place_id:ChIJA7fj1Hif-DkRw4kqea3qzZ8,part_315,2026-09-20 20:22:45
Tata Play Fiber - Birati,IT and Telecom Services,Internet service provider,Internet service provider,700134,West Bengal Circle,Kolkata Region,North Presidency Division,Nilachal SO,+91 612 415 7403,https://wifi-connections.tataplayfiber.com/tata-play-fiber/kolkata/Birati/tata-play-fiber-in-Birati-kolkata--1VQTXV/home,5.0,1.0,"Maharaja Nandakumar Rd, nearby Hasi Apartment, Block 1, Mahajati Nagar, Birati, Kolkata, North Dumdum, West Bengal 700051","Block 1, Mahajati Nagar, Birati",22.661733899999998,88.4398034,ChIJLdOpnoSf-DkRZWZuEFAZeJY,https://www.google.com/maps/place/?q=place_id:ChIJLdOpnoSf-DkRZWZuEFAZeJY,part_315,2026-09-20 20:22:45
