business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Nayanjyoti Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 96093 52767,https://nayanjyotieyehospital.in/,4.9,198.0,"Thana Rd, Tarkeshwar, West Bengal 712410",712121,22.8828401,88.01864049999999,ChIJY24FuHZl-DkRnf4QTfgHP5s,https://www.google.com/maps/place/?q=place_id:ChIJY24FuHZl-DkRnf4QTfgHP5s,part_317,2026-09-20 20:17:06,1875
DREESHYAM EYE HOSPITAL,Eye Clinic and Eye Hospital,Eye care center,Eye care center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 92399 74826,N/A,4.3,59.0,"124, GT Rd, near punjab National Bank Dreeshyam Eye Hospital, Rammohan Place, Konnagar, West Bengal 712235","Rammohan Place, Konnagar",22.698625,88.3591008,ChIJYYSvMfWd-DkRawdY1j3bGTM,https://www.google.com/maps/place/?q=place_id:ChIJYYSvMfWd-DkRawdY1j3bGTM,part_317,2026-09-20 20:17:06,1876
Drishticone Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,Eye care center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 62896 91345,http://www.drishticoneeyehospital.com/,4.4,83.0,"circus math, Purbapara, Kamarkundu, West Bengal 712407","Purbapara, Kamarkundu",22.820694,88.2072053,ChIJo6IReIqI-DkRXTLSincawI0,https://www.google.com/maps/place/?q=place_id:ChIJo6IReIqI-DkRXTLSincawI0,part_317,2026-09-20 20:17:06,1877
Sunayan Eye Care & Surgery,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist, Surgeon, Surgical center",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 2686 1241,N/A,4.6,49.0,"Chinsurah Sta Rd, Mukherjee Bagan, Chinsurah R S, Chinsurah, West Bengal 712102","Mukherjee Bagan, Chinsurah R S",22.8889317,88.37952059999999,ChIJsUEt_2aR-DkRUVH6J_2W3-E,https://www.google.com/maps/place/?q=place_id:ChIJsUEt_2aR-DkRUVH6J_2W3-E,part_317,2026-09-20 20:17:06,1878
DRISHTIDEEP EYE INSTITUTE,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Ophthalmologist, Ophthalmology clinic",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98317 27098,http://www.drishtideep.com/,4.7,692.0,"Durgapur Expy, Himnagar, Monoharpur, Gobra, Dankuni, West Bengal 712311","Himnagar, Monoharpur, Gobra",22.6828447,88.2956655,ChIJyzN3SW2D-DkRIJ2YNoLvQeI,https://www.google.com/maps/place/?q=place_id:ChIJyzN3SW2D-DkRIJ2YNoLvQeI,part_317,2026-09-20 20:17:06,1879
Dr S.K.M Eye Hospital,Eye Clinic and Eye Hospital,Hospital,Hospital,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.4,14.0,"P6V7+32W, Bonkrishnapur, Jangalpara, West Bengal 712701",Bonkrishnapur,22.7427462,88.2125817,ChIJ6Sp64vqG-DkR9jgB992W7A4,https://www.google.com/maps/place/?q=place_id:ChIJ6Sp64vqG-DkR9jgB992W7A4,part_317,2026-09-20 20:17:06,1880
Diptakshi,Eye Clinic and Eye Hospital,Eye care center,Eye care center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,http://diptakshieye.com/,4.9,48.0,"Pankhatuly, Pipulpati, Chinsurah, West Bengal 712103","Pankhatuly, Pipulpati",22.902763,88.39531629999999,ChIJs2Gzd_iT-DkRA7Kp0XtaWBs,https://www.google.com/maps/place/?q=place_id:ChIJs2Gzd_iT-DkRA7Kp0XtaWBs,part_317,2026-09-20 20:17:06,1881
EMLC,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Contact lenses supplier, Lasik surgeon, Medical Center, Ophthalmologist, Ophthalmology clinic, Optician, Optometrist, Pediatric ophthalmologist, Pharmacy",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98748 79507,http://www.boseemlc.com/,4.6,348.0,"Post Office, Near, near Old Launch Ghat, Barabazer, Chinsurah R S, Chinsurah, West Bengal 712101","Barabazer, Chinsurah R S",22.891263199999997,88.4041819,ChIJ-f___1OR-DkR6FkmFaCb-Bs,https://www.google.com/maps/place/?q=place_id:ChIJ-f___1OR-DkR6FkmFaCb-Bs,part_317,2026-09-20 20:17:06,1882
Disha Eye Hospital Sheoraphuli,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 6636 0004,http://www.dishaeye.org/,3.8,613.0,"14, GT Rd, Sheoraphuli, West Bengal 712223",Sheoraphuli,22.771040499999998,88.3291394,ChIJw4ZCpM6a-DkRcvXiQi1c4JY,https://www.google.com/maps/place/?q=place_id:ChIJw4ZCpM6a-DkRcvXiQi1c4JY,part_317,2026-09-20 20:17:06,1883
Deepti Eye Clinic,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Contact lenses supplier, Supplier, Optometrist, Ophthalmologist, Optical Products Manufacturer, Optical Wholesaler, Optician, Sunglasses store",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 94770 14013,http://www.deeptieye.com/,4.8,250.0,"68, Station Road (Rash Behari Avenue, Madhyanchal Addy Colony, Dist, Chandannagar, West Bengal 712136","French Colony, Sukhsanatantala",22.865056199999998,88.36210539999999,ChIJZdd_tryR-DkR36m7lousM5o,https://www.google.com/maps/place/?q=place_id:ChIJZdd_tryR-DkR36m7lousM5o,part_317,2026-09-20 20:17:06,1884
