business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ashirbad Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 70634 36050,N/A,4.4,,"P7GF+CQJ, Namu Para Rd, Namu Para, Pandaveswar, West Bengal 713346",Namu Para,23.7260855,87.2743814,ChIJATJrNW5q9zkRBckOHoaUuhA,https://www.google.com/maps/place/?q=place_id:ChIJATJrNW5q9zkRBckOHoaUuhA,part_320,2026-09-20 20:24:14
BENGAL SWEETS,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,N/A,4.5,,"P78F+J9G, N.S.B. Rd, Pandaveswar, Baidyanathpur, West Bengal 713346",713346,23.7165708,87.2734515,ChIJrwa6O2hq9zkRARUl5hDHH8w,https://www.google.com/maps/place/?q=place_id:ChIJrwa6O2hq9zkRARUl5hDHH8w,part_320,2026-09-20 20:24:14
"Mithas: Sweets, Snacks & Cakes",Sweet Stall / Mithai Shop,Sweet shop,"Sweet shop, Confectionery store, Restaurant",713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 94342 26101,N/A,4.0,,"M7CQ+WMC, Jhanjra Rd, Jhanjra Colony, Nabaghanapur, West Bengal 713385",Jhanjra Colony,23.6723254,87.2893911,ChIJH-OzCsNr9zkRuCzGutZdXkI,https://www.google.com/maps/place/?q=place_id:ChIJH-OzCsNr9zkRuCzGutZdXkI,part_320,2026-09-20 20:24:14
Rajlaxmi Mistanna Bhandar,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 98513 92145,N/A,4.3,,"N.S.B. Rd, Pandaveswar, Baidyanathpur, West Bengal 713346",713346,23.7155253,87.2724966,ChIJNz55p0Jq9zkRa98fbWy4t7k,https://www.google.com/maps/place/?q=place_id:ChIJNz55p0Jq9zkRa98fbWy4t7k,part_320,2026-09-20 20:24:14
AGARWAL SWEETS,Sweet Stall / Mithai Shop,Fast food restaurant,"Fast food restaurant, Sweet shop",713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 87770 53951,N/A,5.0,,"N.S.B. Rd, Pandaveswar, Baidyanathpur, West Bengal 713346",713346,23.715916699999998,87.2721766,ChIJ52irf2Rr9zkR9CXmIvC7wiQ,https://www.google.com/maps/place/?q=place_id:ChIJ52irf2Rr9zkR9CXmIvC7wiQ,part_320,2026-09-20 20:24:14
Chunnu Sweets,Sweet Stall / Mithai Shop,Sweet shop,Sweet shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,N/A,3.2,,"P779+VF5, Pandaveswar, West Bengal 713346",713346,23.7146461,87.2687206,ChIJ95icml1q9zkRg7298AA0qb0,https://www.google.com/maps/place/?q=place_id:ChIJ95icml1q9zkRg7298AA0qb0,part_320,2026-09-20 20:24:14
NIRMAL DA SWEET SHOP,Sweet Stall / Mithai Shop,Hotel,Hotel,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,N/A,3.3,,"Suk Bazar Rd, SUP BAZAR, Khottadih Colliery, Pandaveswar, West Bengal 713378","SUP BAZAR, Khottadih Colliery",23.721152699999998,87.24087089999999,ChIJZQ6QDCJr9zkRjmqZa7VuHbs,https://www.google.com/maps/place/?q=place_id:ChIJZQ6QDCJr9zkRjmqZa7VuHbs,part_320,2026-09-20 20:24:14
Rajlakshmi Sweets,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,N/A,3.9,,"M62V+PFF, Ukhra, West Bengal 713363",713346,23.651804499999997,87.2436596,ChIJbYkYEGdr9zkRM2h6tAeOTxo,https://www.google.com/maps/place/?q=place_id:ChIJbYkYEGdr9zkRM2h6tAeOTxo,part_320,2026-09-20 20:24:14
BISHAL sweets and General store,Sweet Stall / Mithai Shop,General store,General store,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",N/A,N/A,4.5,,"Nakrakonda Colony Hospital, Jhanjra Rd, Jhanjra Colony, West Bengal 713385",Jhanjra Colony,23.677766,87.288142,ChIJr108fgBr9zkRm1KQBMaIPTA,https://www.google.com/maps/place/?q=place_id:ChIJr108fgBr9zkRm1KQBMaIPTA,part_320,2026-09-20 20:24:14
NANDI SWEETS,Sweet Stall / Mithai Shop,Indian sweets shop,Indian sweets shop,713346,West Bengal Circle,South Bengal Region,Asansol Division,"Pandaveshwar SO, Ramnagar Gram BO, Semallya BO",+91 77978 70784,N/A,3.3,,"930, Haripur, West Bengal 713378",713346,23.677821299999998,87.19395159999999,ChIJyVo5m-8U9zkRDzlLbQi_WHM,https://www.google.com/maps/place/?q=place_id:ChIJyVo5m-8U9zkRDzlLbQi_WHM,part_320,2026-09-20 20:24:14
