business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Honey's Boutique,Boutiques,Boutique,Boutique,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 73065 13335,N/A,4.9,,"old bridge, near Maruthamkuzhi, Maruthankuzhi, Thiruvananthapuram, Keralam 695030",Maruthankuzhi,8.512922399999999,76.9776332,ChIJ-wv1fXC7BTsRQvPEYG_fpBo,https://www.google.com/maps/place/?q=place_id:ChIJ-wv1fXC7BTsRQvPEYG_fpBo,part_311,2026-09-20 20:17:03
Sringara Boutique,Boutiques,Boutique,"Boutique, Bridal shop, Designer Clothing Store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 75939 82587,https://www.instagram.com/sringaraboutique,5.0,,"SMRA-15, opp. PPD Urbanville, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Sasthamangalam",8.5132689,76.9726376,ChIJBYUv3wa7BTsRRui826_AONs,https://www.google.com/maps/place/?q=place_id:ChIJBYUv3wa7BTsRRui826_AONs,part_311,2026-09-20 20:17:03
Waiz Designer Studio,Boutiques,Boutique,"Boutique, Clothing store, Designer Clothing Store, Women's clothing store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99953 42111,https://www.instagram.com/waiz.designer,4.9,,"Railway Station Rd, Kaniyapuram, Keralam 695301",695307,8.5880181,76.85096329999999,ChIJp8FWx7K_BTsRIZxS9n0Xqoc,https://www.google.com/maps/place/?q=place_id:ChIJp8FWx7K_BTsRIZxS9n0Xqoc,part_311,2026-09-20 20:17:03
Raivaah - The Fashion Atelier,Boutiques,Boutique,"Boutique, Designer Clothing Store, Dress store, Fashion designer",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 73069 95177,https://www.instagram.com/_raivaah_/,4.8,,"Ground Floor, Kannamoola Tower, Junction Medical College, T C 94/88(2, P O, Kannammoola, Thiruvananthapuram, Kerala 695011","P O, Kannammoola",8.5037539,76.9330629,ChIJU6-4eWC9BTsRia866hk_Mdk,https://www.google.com/maps/place/?q=place_id:ChIJU6-4eWC9BTsRia866hk_Mdk,part_311,2026-09-20 20:17:03
Archers Lounge,Boutiques,Boutique,"Boutique, Bridal shop, Designer Clothing Store, Dress store, Fashion designer, Linens store, Men's clothing store, Women's clothing store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 97453 22151,http://www.archerslounge.com/,4.8,,"Near Sunny Diamonds, Marappalam Rd, opposite Sree Balasubramanya Swami Temple, Pattom, Thiruvananthapuram, Keralam 695004",Pattom,8.519575999999999,76.94322059999999,ChIJBRVT1y26BTsRNFuyHrU7zkg,https://www.google.com/maps/place/?q=place_id:ChIJBRVT1y26BTsRNFuyHrU7zkg,part_311,2026-09-20 20:17:03
Sia designer boutique,Boutiques,Boutique,Boutique,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,4.8,,"FXW6+9JJ, Ulloor line, DPI, Junction, Thiruvananthapuram, Keralam 695014","DPI, Junction",8.495954099999999,76.9615231,ChIJS62Z6tm7BTsR2fLF5f92xsE,https://www.google.com/maps/place/?q=place_id:ChIJS62Z6tm7BTsR2fLF5f92xsE,part_311,2026-09-20 20:17:03
White Wings Boutique,Boutiques,Boutique,Boutique,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,https://www.facebook.com/profile.php?id=100088106817402&mibextid=ZbWKwL,5.0,,"opposite College of Engineering, Ambady Nagar, Chavadimukku, Sreekaryam, Thiruvananthapuram, Keralam 695016","Ambady Nagar, Chavadimukku, Sreekaryam",8.5473638,76.9060331,ChIJY8AuFOa_BTsRM7i_Ik2WV4U,https://www.google.com/maps/place/?q=place_id:ChIJY8AuFOa_BTsRM7i_Ik2WV4U,part_311,2026-09-20 20:17:03
Vybha Designer Studio,Boutiques,Boutique,"Boutique, Bridal shop, Childrens Store, Designer Clothing Store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 79074 49512,N/A,4.9,,"Udarasiromani Rd, near ovenly, Althara Nagar, Vellayambalam, Thiruvananthapuram, Keralam 695010","Althara Nagar, Vellayambalam",8.5067621,76.9636376,ChIJv-vp9Fi7BTsRPc6aQL8Hezk,https://www.google.com/maps/place/?q=place_id:ChIJv-vp9Fi7BTsRPc6aQL8Hezk,part_311,2026-09-20 20:17:03
Nest Boutique,Boutiques,Boutique,Boutique,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 94464 29429,N/A,4.3,,"Government Medical College, Thiruvananthapuram, Aster Square, Nest Boutique, 1st Floor, Thiruvananthapuram, Keralam 695011",Ulloor,8.5257506,76.9280279,ChIJIRbguYG5BTsRMx6nNDKqFa4,https://www.google.com/maps/place/?q=place_id:ChIJIRbguYG5BTsRMx6nNDKqFa4,part_311,2026-09-20 20:17:03
ANINA BOUTIQUE,Boutiques,Boutique,Boutique,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 79070 82996,N/A,4.3,,"Malloor Nagar, MNRA 01, Malloornagar, Vazhuthacaud, Thiruvananthapuram, Keralam 695010","Malloornagar, Vazhuthacaud",8.506156299999999,76.96055419999999,ChIJ0abslR27BTsR2GygfjhqUbE,https://www.google.com/maps/place/?q=place_id:ChIJ0abslR27BTsR2GygfjhqUbE,part_311,2026-09-20 20:17:03
Laureen,Boutiques,Boutique,Boutique,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 77362 05552,N/A,5.0,,"Mullasseril, Karyavattom, Thiruvananthapuram, Keralam 695581",Karyavattom,8.5654144,76.89230549999999,ChIJwbIjamS_BTsRWswWOyLKILY,https://www.google.com/maps/place/?q=place_id:ChIJwbIjamS_BTsRWswWOyLKILY,part_311,2026-09-20 20:17:03
Revathy JayanBabu | Boutique,Boutiques,Boutique,"Boutique, Clothing store, Designer Clothing Store, Dyeworks, Embroidery service, Fashion designer, Haute couture fashion house, Tailor, Wedding store, Women's clothing store",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 89210 88073,https://revathyjayanbabu.com/,4.7,,"Moolavilakkam junction, near pop corn kindergarten school, Pattoor, Thiruvananthapuram, Keralam 695035","Ayyankali Nagar, Pattoor",8.5008223,76.93974879999999,ChIJEbpwm1i7BTsRffNgp1Oz9TQ,https://www.google.com/maps/place/?q=place_id:ChIJEbpwm1i7BTsRffNgp1Oz9TQ,part_311,2026-09-20 20:17:04
Ruby Mist Boutique,Boutiques,Clothing store,Clothing store,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98957 17509,https://rubymistboutique.com/,4.7,,"Ulloor - Akkulam Rd, near BANK OF BARODA, Ulloor, Thiruvananthapuram, Keralam 695011",Ulloor,8.5292365,76.9281584,ChIJKfUheoW9BTsRk-v-HyYXFKw,https://www.google.com/maps/place/?q=place_id:ChIJKfUheoW9BTsRk-v-HyYXFKw,part_311,2026-09-20 20:17:04
