business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Delhi Ice cream Shakes and Juice Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.4,10.0,"room no 33, Barrackpore Trunk Rd, Dunlop, Saket Nagar, Bonhooghly, Baranagar, Kolkata, Baranagar, West Bengal 700108","Dunlop, Saket Nagar, Bonhooghly, Baranagar",22.652785899999998,88.3785906,ChIJWWYOPwCd-DkRE1bgX5KTAu0,https://www.google.com/maps/place/?q=place_id:ChIJWWYOPwCd-DkRE1bgX5KTAu0,part_318,2026-09-20 20:16:57,692
The Juicy Life (Juice Center),Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 90325 64197,N/A,4.5,67.0,"Sriram Nagar Rd, Kondapur, Sri Ram Nagar, Gachibowli, Hyderabad, Telangana 500084","Kondapur, Sri Ram Nagar, Gachibowli",17.461352299999998,78.3527843,ChIJORAoVgCTyzsRYCuzTPL-Cgo,https://www.google.com/maps/place/?q=place_id:ChIJORAoVgCTyzsRYCuzTPL-Cgo,part_318,2026-09-20 20:16:57,693
Juicy Fruity,Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 81001 22135,N/A,4.6,45.0,"Ground floor, Bhagirath Plaza, 89/3A, Vivekananda Rd, Kali Tala, Bangur Park, Rishra, West Bengal 712248","Kali Tala, Bangur Park, Rishra",22.722564,88.3451595,ChIJEWiOu5eb-DkRG6xirpK4OKw,https://www.google.com/maps/place/?q=place_id:ChIJEWiOu5eb-DkRG6xirpK4OKw,part_318,2026-09-20 20:16:57,694
Jay Juice Lassi And Sattu Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 90381 59371,N/A,4.3,42.0,"Chamdani Road, Bazar, Kolkata, West Bengal 712222","Champdani Bazar, Champdani",22.7983557,88.3470651,ChIJGXyakp6a-DkRDEf57Cum8qk,https://www.google.com/maps/place/?q=place_id:ChIJGXyakp6a-DkRDEf57Cum8qk,part_318,2026-09-20 20:16:57,695
Pyne Fruit Juice Centre,Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 99032 49494,N/A,4.2,52.0,"Apurbapur, Station Rd, Singur, West Bengal 712409",Singur,22.811712,88.2296502,ChIJWXtdO6OI-DkRfdicR00g7p8,https://www.google.com/maps/place/?q=place_id:ChIJWXtdO6OI-DkRfdicR00g7p8,part_318,2026-09-20 20:16:57,696
Chilled ice cream parlour,Juice Center and Milkshake Bar,Ice cream shop,Ice cream shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 80135 97694,N/A,4.0,74.0,"J.c Ghosh sarani road, beside blue diamond hotel, opposite senko gold, Chinsurah, West Bengal 712101",Chinsurah R S,22.8890065,88.3980667,ChIJ-1WNU1KR-DkRoOfKK708KPE,https://www.google.com/maps/place/?q=place_id:ChIJ-1WNU1KR-DkRoOfKK708KPE,part_318,2026-09-20 20:16:57,697
Delhi Ice Cream Shakes & Juice Corner,Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.5,553.0,"29, Topsia Rd, Seal Lane, Topsia, Kolkata, West Bengal 700046","Seal Lane, Topsia",22.541858299999998,88.3867884,ChIJwcQQo1d3AjoRBI6dINpK_Ug,https://www.google.com/maps/place/?q=place_id:ChIJwcQQo1d3AjoRBI6dINpK_Ug,part_318,2026-09-20 20:16:57,698
Juicy Cravings(juice center and corner cafe),Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.7,22.0,"Near, market road, Vengurla, Maharashtra 416516",712407,15.8617855,73.6356962,ChIJrSqzoYz5vzsRY2dW9oHpZQE,https://www.google.com/maps/place/?q=place_id:ChIJrSqzoYz5vzsRY2dW9oHpZQE,part_318,2026-09-20 20:16:57,699
Fruit Juice Shake's & Ice Cream,Juice Center and Milkshake Bar,Juice shop,Juice shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,,,"Kala Sanghian, Punjab 144623",712407,31.260978299999998,75.4426991,ChIJp4hmIhtEGjkRkPJ4-IMRoNw,https://www.google.com/maps/place/?q=place_id:ChIJp4hmIhtEGjkRkPJ4-IMRoNw,part_318,2026-09-20 20:16:57,700
The Juicery,Juice Center and Milkshake Bar,Soft drinks shop,Soft drinks shop,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,5.0,4.0,"BLOCK-F, Housing Board Colony, Ambernath, Maharashtra 421505",Housing Board Colony,19.2152632,73.1949168,ChIJZzrsIACT5zsRbjHstYvyrq0,https://www.google.com/maps/place/?q=place_id:ChIJZzrsIACT5zsRbjHstYvyrq0,part_318,2026-09-20 20:16:57,701
