business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Red Palate,Family Restaurant,Chinese restaurant,"Chinese restaurant, Awadhi Restaurant, Biryani restaurant, Chinese takeaway, Family restaurant, Indian restaurant, Mughlai restaurant, Restaurant, Thai restaurant, Tibetan restaurant",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 98046 31786,https://www.theredpalate.com/,4.3,116.0,"2/1, Prince Gulam Hussain Shah Rd, Bikramgarh, Jadavpur, Kolkata, West Bengal 700032","Bikramgarh, Jadavpur",22.497730999999998,88.3576588,ChIJ0xdmulhxAjoR51dB63P2OcU,https://www.google.com/maps/place/?q=place_id:ChIJ0xdmulhxAjoR51dB63P2OcU,part_313,2026-09-20 20:18:22
T.M.BOSB FOOD CHINESE RESTAURANT,Family Restaurant,Chinese restaurant,Chinese restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",N/A,N/A,4.9,10.0,"50B, Raja Subodh Chandra Mallick Rd, K P C Medical College and Hospital Campus, Jadavpur, Kolkata, West Bengal 700032","K P C Medical College and Hospital Campus, Jadavpur",22.492188799999997,88.3722916,ChIJ7zKeSkZxAjoRxpIq0jMdKk8,https://www.google.com/maps/place/?q=place_id:ChIJ7zKeSkZxAjoRxpIq0jMdKk8,part_313,2026-09-20 20:18:22
Maggi Wala,Family Restaurant,Chinese restaurant,Chinese restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 81006 67742,https://www.swiggy.com/restaurants/maggiwala-jadavpur-kolkata-426794,4.1,202.0,"75, Ibrahimpur Rd, Jadavpur, Kolkata, West Bengal 700032",Jadavpur,22.4946752,88.3698825,ChIJ2-kpGIVxAjoRdlgRqFAH6U0,https://www.google.com/maps/place/?q=place_id:ChIJ2-kpGIVxAjoRdlgRqFAH6U0,part_313,2026-09-20 20:18:22
The Manager - Multicuisine Restaurant & Takeaway,Family Restaurant,Restaurant,Restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 98833 31466,N/A,5.0,4.0,"Block-C, C/80, Ramkrishna Upanibesh, Kolkata, West Bengal 700092","Ramkrishna Upanibesh, Jadavpur",22.4907309,88.3724819,ChIJBwlNMdVxAjoRDqS9yRfy9ug,https://www.google.com/maps/place/?q=place_id:ChIJBwlNMdVxAjoRDqS9yRfy9ug,part_313,2026-09-20 20:18:22
Cantonese Restaurant,Family Restaurant,Chinese restaurant,"Chinese restaurant, Thai restaurant",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 70443 15544,N/A,4.3,1315.0,"28, Raja Subodh Chandra Mallick Rd, Poddar Nagar, Jadavpur, Kolkata, West Bengal 700032","Poddar Nagar, Jadavpur",22.496592699999997,88.3703937,ChIJS2EDDCNxAjoRIW0E-4EWThs,https://www.google.com/maps/place/?q=place_id:ChIJS2EDDCNxAjoRIW0E-4EWThs,part_313,2026-09-20 20:18:22
ALL WAYS BHUKKA,Family Restaurant,Fast food restaurant,"Fast food restaurant, Biryani restaurant, Kebab shop",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",N/A,N/A,5.0,16.0,"131, Raja Subodh Chandra Mallick Rd, Jadavpur, Kolkata, West Bengal 700032",Jadavpur,22.494299899999998,88.37156379999999,ChIJZ9RPCuhxAjoRScLCiS1hWfg,https://www.google.com/maps/place/?q=place_id:ChIJZ9RPCuhxAjoRScLCiS1hWfg,part_313,2026-09-20 20:18:22
Flame And Grill South City,Family Restaurant,Buffet restaurant,"Buffet restaurant, Fine dining restaurant",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",N/A,https://www.speciality.co.in/flame-grill.html,4.4,5222.0,"3rd Floor, 375, Prince Anwar Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700068","South City Complex, Jadavpur",22.5017484,88.3610795,ChIJebDnYdhwAjoRGgqe87IrGGM,https://www.google.com/maps/place/?q=place_id:ChIJebDnYdhwAjoRGgqe87IrGGM,part_313,2026-09-20 20:18:22
The euphoria Lounge,Family Restaurant,Restaurant,Restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 99039 36701,https://www.zomato.com/kolkata/the-euphoria-lounge-jadavpur,4.4,88.0,"B/205, Raja Subodh Chandra Mallick Rd, Jadavpur, Kolkata, West Bengal 700032",Jadavpur,22.493724,88.3717513,ChIJkQyZgdZxAjoRwUzm5zopz9w,https://www.google.com/maps/place/?q=place_id:ChIJkQyZgdZxAjoRwUzm5zopz9w,part_313,2026-09-20 20:18:22
Mainland China,Family Restaurant,Pan-Asian restaurant,"Pan-Asian restaurant, Buffet restaurant",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 93306 27509,https://speciality.co.in/,4.4,4570.0,"3rd floor, Shop No.330, 375, Prince Anwar Shah Rd, Jadavpur, Kolkata, West Bengal 700068","South City Complex, Jadavpur",22.5015119,88.361723,ChIJq5IVKNpwAjoRTHcIuPMh9Zc,https://www.google.com/maps/place/?q=place_id:ChIJq5IVKNpwAjoRTHcIuPMh9Zc,part_313,2026-09-20 20:18:22
Veneto Bar and kitchen,Family Restaurant,Italian restaurant,Italian restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 98319 39515,N/A,4.4,,"375, Prince Anwar Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700068","South City Complex, Jadavpur",22.5013804,88.36182629999999,ChIJz_ayM7dxAjoRQcj8hzm5cBo,https://www.google.com/maps/place/?q=place_id:ChIJz_ayM7dxAjoRQcj8hzm5cBo,part_313,2026-09-20 20:18:23
Blue Lagoon Restaurant,Family Restaurant,Chinese restaurant,Chinese restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 94334 36435,https://www.swiggy.com/restaurants/blue-lagoon-central-road-jadavpur-kolkata-44277,4.0,,"A/26, Central Rd, CIT Market, Jadavpur, Kolkata, West Bengal 700032","CIT Market, Jadavpur",22.4961311,88.3699527,ChIJzwd4uCRxAjoRoJK9GB-GhyM,https://www.google.com/maps/place/?q=place_id:ChIJzwd4uCRxAjoRoJK9GB-GhyM,part_313,2026-09-20 20:18:23
Shiraz Golden Restaurant Baghajatin,Family Restaurant,Mughlai restaurant,"Mughlai restaurant, Family restaurant, Indian restaurant, Restaurant",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 33 3195 6986,N/A,3.9,,"3/100, 241, Raja SC Mullick Rd, Chittaranjan Colony, Kolkata, West Bengal 700032","Chittaranjan Colony, Baghajatin Colony",22.4860009,88.3749843,ChIJNcoVJwBxAjoRWTKAlwEFCBs,https://www.google.com/maps/place/?q=place_id:ChIJNcoVJwBxAjoRWTKAlwEFCBs,part_313,2026-09-20 20:18:24
EAT & TREAT,Family Restaurant,Family restaurant,Family restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 76329 99976,N/A,4.3,,"F9P7+78C, Sree Colony Bazar Rd, Bijoygarh, Sree Colony, Pallisree, Netaji Nagar, Kolkata, West Bengal 700032","Bijoygarh, Sree Colony, Pallisree, Netaji Nagar",22.4856794,88.3632678,ChIJaeOezzdxAjoRZr9pAJwYHCo,https://www.google.com/maps/place/?q=place_id:ChIJaeOezzdxAjoRZr9pAJwYHCo,part_313,2026-09-20 20:18:24
Jadavpur Sramajibi Canteen,Family Restaurant,Restaurant,Restaurant,700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",N/A,N/A,4.8,,"F9RC+96W, Ananda Pally, Bapuji Nagar, Jadavpur, Kolkata, West Bengal 700032","Ananda Pally, Bapuji Nagar, Jadavpur",22.4909862,88.3705664,ChIJb171FmdxAjoR01c1Pp_thjw,https://www.google.com/maps/place/?q=place_id:ChIJb171FmdxAjoR01c1Pp_thjw,part_313,2026-09-20 20:18:24
Swadeshi Cafe,Family Restaurant,Cafe,"Cafe, Bistro",700032,West Bengal Circle,Kolkata Region,South Kolkata Division,"Jadavpur University SO, Bijoygarh SO, Pgh Shah Road SO",+91 98312 68450,N/A,4.4,,"23, Gorakshabasi Rd, Pratapaditya Nagar, P.S, Nagerbazar, Dum Dum, Kolkata, West Bengal 700028","Pratapaditya Nagar, P.S, Nagerbazar, Dum Dum",22.620583099999998,88.4192678,ChIJf1dvovSf-DkRF5_SLkKGpKE,https://www.google.com/maps/place/?q=place_id:ChIJf1dvovSf-DkRF5_SLkKGpKE,part_313,2026-09-20 20:18:24
