business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Asian Paints Beautiful Homes Painting Service,Waterproofing Contractor,Painter,"Painter, Interior Decorator, Paint store, Stucco contractor, Wallpaper installer, Wallpaper store, Waterproofing service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 80 3783 8283,https://www.asianpaints.com/gbp-campaign/asian-paints-safe-painting-service.html,4.9,13.0,"Matara Builders & Hardware, Andul Road, West, near Ruby Park, Panchpara, Mourigram, Kolkata, Bank, West Bengal 711109","Panchpara, Mourigram",22.567671,88.269958,ChIJ9ZOZnYp5AjoR0Ibwdq1p36s,https://www.google.com/maps/place/?q=place_id:ChIJ9ZOZnYp5AjoR0Ibwdq1p36s,part_316,2026-09-20 20:17:16
Continental Waterproofing co.,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Painting",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 99031 83708,N/A,5.0,5.0,"Subhojyoti Appartment, Dhakuria, Babu Bagan, bank colony, Dhakuria, Kolkata, West Bengal 700031","Dhakuria, Babu Bagan, bank colony",22.5089249,88.3690657,ChIJg4-R_-VxAjoRIWoDyrQ_Yqw,https://www.google.com/maps/place/?q=place_id:ChIJg4-R_-VxAjoRIWoDyrQ_Yqw,part_316,2026-09-20 20:17:16
AERO CRAFT TECHNOLOGIES,Waterproofing Contractor,Contractor,Contractor,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"Chunavati, Panchpara, Duillya, Howrah, West Bengal 711109","Chunavati, Panchpara, Duillya",22.565711,88.26592219999999,ChIJS8noilB5AjoRCb7DyGfVBEU,https://www.google.com/maps/place/?q=place_id:ChIJS8noilB5AjoRCb7DyGfVBEU,part_316,2026-09-20 20:17:16
Labour contractor manpower supplier,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,,,"Santragachi, Howrah, West Bengal 711111",Santragachi,22.5852017,88.2838601,ChIJq56xciF5AjoRAsR7sN53T6w,https://www.google.com/maps/place/?q=place_id:ChIJq56xciF5AjoRAsR7sN53T6w,part_316,2026-09-20 20:17:16
MB Elite Engineering,Waterproofing Contractor,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.5,4.0,"Post Office, Prince Manna. Near Dharsa Sporting Club Hanuman Ji Mandir Dharsa Pal Para, :, GIP Colony, Howrah, West Bengal 711112","GIP Colony, Old Jagacha",22.5942154,88.28873279999999,ChIJC4Rn4vJ5AjoRlOCbX6ff3ro,https://www.google.com/maps/place/?q=place_id:ChIJC4Rn4vJ5AjoRlOCbX6ff3ro,part_316,2026-09-20 20:17:16
Asian Paints Beautiful Homes Painting Service,Waterproofing Contractor,Painter,Painter,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 91672 68559,https://www.asianpaints.com/gbp-campaign/asian-paints-safe-painting-service.html,5.0,2.0,"35/2/2, Baksara Rd, near Baksara Co Operative Bank, Shibpur, Howrah, West Bengal 711110",Shibpur,22.577890999999997,88.294128,ChIJh_-Wa-N5AjoRTawalCEmXjY,https://www.google.com/maps/place/?q=place_id:ChIJh_-Wa-N5AjoRTawalCEmXjY,part_316,2026-09-20 20:17:16
Procon Technical Services,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Building restoration service, Civil engineering company, Home inspector, Painter, Roofing contractor, Structural engineer, Water damage restoration service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98746 63399,https://procontechservices.com/,4.6,85.0,"Angana Apartment, 27/3/1, North Purbachal Kalitala Link Road, Near EM By Pass & Pr. A. Shah Crossing, Haltu, Kolkata, West Bengal 700078","North Purbachal, Haltu",22.507469,88.3987877,ChIJN2c2dUZxAjoROUuJOLGhVRo,https://www.google.com/maps/place/?q=place_id:ChIJN2c2dUZxAjoROUuJOLGhVRo,part_316,2026-09-20 20:17:16
Jhar Waterproofing Contractor,Waterproofing Contractor,Waterproofing service,Waterproofing service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,6.0,"99RJ+P83, Bargain Rd, opposite V2 Mall, Bariatu, Ranchi, Jharkhand 834012",Bariatu,23.391752099999998,85.3807886,ChIJ_____5Pj9DkRpUGINw05DAE,https://www.google.com/maps/place/?q=place_id:ChIJ_____5Pj9DkRpUGINw05DAE,part_316,2026-09-20 20:17:16
JOGMAYA ENTERPRISE,Waterproofing Contractor,Contractor,Contractor,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://jogmayaenterprise1.godaddysites.com/,,,"32, Deshbandhu Sarani, North Baksara, Baksara, Howrah, West Bengal 711110","North Baksara, Baksara",22.5776207,88.2805149,ChIJdwwK2QR5AjoRUCr03Zk2XEs,https://www.google.com/maps/place/?q=place_id:ChIJdwwK2QR5AjoRUCr03Zk2XEs,part_316,2026-09-20 20:17:16
Surya Infratech Waterproofing Contractors in jaipur,Waterproofing Contractor,Waterproofing service,Waterproofing service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 92140 12909,http://www.suryainfratech.com/,4.9,,"116/183, Agarwal Farm, Sector 11, Mansarovar, Jaipur, Rajasthan 302020","Agarwal Farm, Sector 11, Mansarovar",26.845906,75.776234,ChIJTS7yEgm1bTkRA9JW01_gIpU,https://www.google.com/maps/place/?q=place_id:ChIJTS7yEgm1bTkRA9JW01_gIpU,part_316,2026-09-20 20:17:16
Waterproofing Experts | Waterproofing Services in Hyderabad | Waterproofing Contractors,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Bathroom remodeler, Kitchen remodeler",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90526 75837,https://www.proofingexperts.in/,4.8,,"House No. 3 3, 13/A, Durga Nagar, Sharada Nagar, Ramanthapur, Hyderabad, Telangana 500013","Durga Nagar, Sharada Nagar, Ramanthapur",17.3927719,78.537359,ChIJ_VlRxOuZyzsRf6JurGia_fQ,https://www.google.com/maps/place/?q=place_id:ChIJ_VlRxOuZyzsRf6JurGia_fQ,part_316,2026-09-20 20:17:16
Raju Singh Building Waterproofing Contractor (SPECIALIST),Waterproofing Contractor,Waterproofing service,"Waterproofing service, Building firm, Building restoration service, Consultant, Nanotechnology engineering service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 99998 40503,http://rajusinghbuildingwaterproofing.com/,4.8,,"Ground Floor, Madhu Vihar, A-52, Gali No. 18, Madhu Vihar, I.P.Extension, Delhi, 110092","Madhu Vihar, I.P.Extension, Patparganj",28.635748,77.303872,ChIJi4L6VUz7DDkR7azH2e9-tlM,https://www.google.com/maps/place/?q=place_id:ChIJi4L6VUz7DDkR7azH2e9-tlM,part_316,2026-09-20 20:17:16
The Waterproofing,Waterproofing Contractor,Waterproofing service,Waterproofing service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 94100 80223,https://thewaterproofing.in/,4.7,,"Toughland Chemical Private Limited, Anand Farm (South Block), Plot No- 700, Sector 22B Rd, Cartarpuri Alias Daulatpur Nas, Sector 22B, Sector 22A, Sector 22, Gurugram, Haryana 122015","Cartarpuri Alias Daulatpur Nas, Sector 22B, Sector 22A, Sector 22",28.508635199999997,77.0676907,ChIJLbAaCPugHQMR5q82UI03HLc,https://www.google.com/maps/place/?q=place_id:ChIJLbAaCPugHQMR5q82UI03HLc,part_316,2026-09-20 20:17:16
Deccan Clap,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Artist, Painter, Wallpaper store, Painting",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 74168 56293,https://www.deccanclap.com/,4.8,,"flat no - 101, Landmark constructions Balaji residency, Road No. 4, opp. Bata showroom, Balaji Nagar, Venkatraya Nagar, Nizampet, Hyderabad, Telangana 500090","Balaji Nagar, Venkatraya Nagar, Nizampet",17.514943799999998,78.38073539999999,ChIJYY-rmlmTyzsRUQ9npyY6wF8,https://www.google.com/maps/place/?q=place_id:ChIJYY-rmlmTyzsRUQ9npyY6wF8,part_316,2026-09-20 20:17:16
ProTech Construction Chemicals,Waterproofing Contractor,Waterproofing service,Waterproofing service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 78761 11308,N/A,5.0,,"158, Jawahar Nagar, Hisar, Haryana 125001",Jawahar Nagar,29.1432476,75.7211832,ChIJdd59UAAzEjkRuvr_oKgfY9g,https://www.google.com/maps/place/?q=place_id:ChIJdd59UAAzEjkRuvr_oKgfY9g,part_316,2026-09-20 20:17:16
Wet2Dry Solutions Pvt Ltd,Waterproofing Contractor,Waterproofing service,Waterproofing service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 95526 64343,http://wet2drysolution.com/,4.3,,"Shop No. 6, A, Block D III, near St. Andrews High School, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411018","Kharalwadi, Pimpri Colony",18.629251699999998,73.8114318,ChIJrYR3Fdm5wjsRD_AeKs7LST8,https://www.google.com/maps/place/?q=place_id:ChIJrYR3Fdm5wjsRD_AeKs7LST8,part_316,2026-09-20 20:17:17
Gupta Waterproofing,Waterproofing Contractor,Waterproofing service,"Waterproofing service, Apartment building, Contractor, Home health care service, Painting, Powder coating service, Retaining wall supplier, Roofing contractor, Septic system service, Swimming pool repair service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,https://guptawaterproofing.com/,4.9,,"1st floor, Krishanappa building, Aet circle, Doddakannelli Rd, near Karmelaram, Bengaluru, Karnataka 560035",Doddakannelli,12.9150653,77.6984887,ChIJR9LxFw0TrjsRPhJStmZzcwA,https://www.google.com/maps/place/?q=place_id:ChIJR9LxFw0TrjsRPhJStmZzcwA,part_316,2026-09-20 20:17:17
