business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
AOT Auditorium,Exhibitions,Auditorium,Auditorium,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,http://www.aot.edu.in/,4.3,66.0,"Clench College of Management & Technology, NH35, Adisaptagram, Habra, Dakshin Hazipur, West Bengal 712121",Adisaptagram,22.9527265,88.3769585,ChIJw3Z1og6T-DkRx1_ShgKFcBs,https://www.google.com/maps/place/?q=place_id:ChIJw3Z1og6T-DkRx1_ShgKFcBs,part_317,2026-09-20 20:17:34,5873
Daspara,Exhibitions,Community center,Community center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.3,19.0,"X93H+M5P, adisaptagram, p.o - adcconagar district-hooghly, Bandel, West Bengal 712121",Adisaptagram,22.954200399999998,88.3779576,ChIJBQ1XLQyT-DkRn9jLYOy5dSg,https://www.google.com/maps/place/?q=place_id:ChIJBQ1XLQyT-DkRn9jLYOy5dSg,part_317,2026-09-20 20:17:34,5874
বাগাটি মাঠ সরস্বতী পুজো,Exhibitions,Fairground,Fairground,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.0,1.0,"X9PJ+47G, Boropukur Area, Mogra, Amodghata, West Bengal 712148","Boropukur Area, Mogra",22.9853106,88.38070309999999,ChIJv9Hl9j6T-DkRc5mBdzAHBzM,https://www.google.com/maps/place/?q=place_id:ChIJv9Hl9j6T-DkRc5mBdzAHBzM,part_317,2026-09-20 20:17:34,5875
Tribeni Milon Mela,Exhibitions,Fairground,Fairground,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.6,55.0,"X9JX+8VG, Shibpur, Tribeni, West Bengal 712503","Shibpur, Tribeni",22.9808242,88.399718,ChIJU5EPXQCT-DkRcd9ivFBfPjQ,https://www.google.com/maps/place/?q=place_id:ChIJU5EPXQCT-DkRcd9ivFBfPjQ,part_317,2026-09-20 20:17:34,5876
Sabuj Sangha Club,Exhibitions,Association / Organization,Association / Organization,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 91633 00887,N/A,3.9,19.0,"X95M+95H, Adcconagar, Adisaptagram, Bansberia, Trishbigha, West Bengal 712121","Adcconagar, Adisaptagram, Bansberia",22.9584452,88.382982,ChIJNSeMRm2T-DkRuFqIcd9qJKY,https://www.google.com/maps/place/?q=place_id:ChIJNSeMRm2T-DkRuFqIcd9qJKY,part_317,2026-09-20 20:17:34,5877
Mohini Lodge,Exhibitions,Community center,Community center,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.2,15.0,"Thakurbari Bus stop, Debanandapur Street, Adisaptagram, Bandel, Saptagram, West Bengal 712121",Adisaptagram,22.9589635,88.37294179999999,ChIJzxMePqWT-DkR1g2WDxzR3TY,https://www.google.com/maps/place/?q=place_id:ChIJzxMePqWT-DkR1g2WDxzR3TY,part_317,2026-09-20 20:17:34,5878
Sarat Chandra Smriti Mandir,Exhibitions,Tourist attraction,"Tourist attraction, Museum",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.4,646.0,"W9P8+354, Unnamed Rd, Debanandapur, Bandel, West Bengal 712123",Debanandapur,22.9351482,88.3654652,ChIJbQ-joa2T-DkRdMhc3dQyF58,https://www.google.com/maps/place/?q=place_id:ChIJbQ-joa2T-DkRdMhc3dQyF58,part_317,2026-09-20 20:17:34,5879
CITIFAB,Exhibitions,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 79800 47336,N/A,4.1,24.0,"W9CF+7G9, Gharabagan, Gharabagan lane, Gherabagan, Bandel, Kazidanga, West Bengal 712123",Gherabagan,22.9206722,88.3738501,ChIJw0Nk2l2T-DkRok8xJMIO6wk,https://www.google.com/maps/place/?q=place_id:ChIJw0Nk2l2T-DkRok8xJMIO6wk,part_317,2026-09-20 20:17:34,5880
Umiya Bhavan,Exhibitions,Community center,"Community center, Music school, Training center",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.0,57.0,"X9HF+2CC, Mogra, Minajpur, West Bengal 712148",Mogra,22.9775535,88.37353019999999,ChIJaQrJIzuT-DkRSb_d9WYgiek,https://www.google.com/maps/place/?q=place_id:ChIJaQrJIzuT-DkRSb_d9WYgiek,part_317,2026-09-20 20:17:34,5881
Swastika Amphitheatre,Exhibitions,Banquet hall,Banquet hall,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98306 00263,N/A,4.1,8.0,"113/A, J.T.P. Road, Manasatala, Baikunthapur, Tribeni, West Bengal 712503","Manasatala, Baikunthapur, Tribeni",22.9850417,88.3942131,ChIJdcjo4vKT-DkR2jAmwYXaXQI,https://www.google.com/maps/place/?q=place_id:ChIJdcjo4vKT-DkR2jAmwYXaXQI,part_317,2026-09-20 20:17:34,5882
Aqua Marina,Exhibitions,Tourist attraction,"Tourist attraction, Water park",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98312 22880,http://www.aquamarinapark.com/,3.9,5120.0,"Hooghly Sta Rd, South Naldanga, Bandel, West Bengal 712123",South Naldanga,22.906355299999998,88.3691727,ChIJjeJEC9GT-DkRDq2d_TOHzFw,https://www.google.com/maps/place/?q=place_id:ChIJjeJEC9GT-DkRDq2d_TOHzFw,part_317,2026-09-20 20:17:34,5883
Kolkata Centre for Creativity (KCC),Exhibitions,Tourist attraction,"Tourist attraction, Art center",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 6623 2300,https://www.kolkatacentreforcreativity.org/,4.7,1506.0,"Dipak Road, Eastern Metropolitan Bypass, Anandapur, Adarsha Nagar, Kolkata, West Bengal 700107","Anandapur, Adarsha Nagar",22.5219503,88.4008831,ChIJ3UXjGap2AjoRfBzJsSv_JZU,https://www.google.com/maps/place/?q=place_id:ChIJ3UXjGap2AjoRfBzJsSv_JZU,part_317,2026-09-20 20:17:34,5884
Supriyo Sangha Durgaa Pujaa Committee,Exhibitions,Festival,Festival,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,5.0,6.0,"XCR2+33W, Unnamed Road, Baikunthapur, Tribeni, West Bengal 712503","Baikunthapur, Tribeni",22.9902308,88.4002015,ChIJ-2mcZeWT-DkRJvl7fAB2qWY,https://www.google.com/maps/place/?q=place_id:ChIJ-2mcZeWT-DkRJvl7fAB2qWY,part_317,2026-09-20 20:17:34,5885
Chhobi-o-Ghor Art Gallery- COG INDIA ART FOUNDATION,Exhibitions,Art gallery,Art gallery,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 75959 57063,https://cogindia.art/,4.8,,"Floor, P384, First, Keyatala Ln, Golpark, Hindustan Park, Keyatala, Kolkata, West Bengal 700029","Golpark, Hindustan Park, Keyatala",22.5158666,88.3649713,ChIJO1XxpqlxAjoRvbWayK3D9Ko,https://www.google.com/maps/place/?q=place_id:ChIJO1XxpqlxAjoRvbWayK3D9Ko,part_317,2026-09-20 20:17:35,5886
CIMA Gallery,Exhibitions,Tourist attraction,"Tourist attraction, Art gallery",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 2485 8717,http://www.cimaartindia.com/,4.5,,"2ND FLOOR, SUNNY TOWERS, 43, Ashutosh Chowdhury Ave, Ballygunge, Kolkata, West Bengal 700019",Ballygunge,22.531633,88.36468889999999,ChIJ-S7YuCZ3AjoRgVjfj3AaaKc,https://www.google.com/maps/place/?q=place_id:ChIJ-S7YuCZ3AjoRgVjfj3AaaKc,part_317,2026-09-20 20:17:35,5887
"The Basilica of the Holy Rosary, Bandel (Bandel Church)",Exhibitions,Tourist attraction,"Tourist attraction, Basilica, Church, Church of Christ, Catholic church",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 2631 2206,https://bandelbasilica.com/,4.5,11156.0,"W99W+Q6C, Sahaganj, Chinsurah, West Bengal 712103",Sahaganj,22.9194271,88.39550729999999,ChIJq6qqqpeT-DkRKnzz0g7sUSo,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqpeT-DkRKnzz0g7sUSo,part_317,2026-09-20 20:17:35,5888
Amar Bangla Picnic Udyan,Exhibitions,Picnic ground,"Picnic ground, Park",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 82408 16960,N/A,4.5,,"Naopara Rajhat Bandel, rajhat road, Barrackpore, West Bengal 712102",712121,22.9292594,88.3589138,ChIJG_3JUu2T-DkR_l5lXOGVdoM,https://www.google.com/maps/place/?q=place_id:ChIJG_3JUu2T-DkR_l5lXOGVdoM,part_317,2026-09-20 20:17:35,5889
ULLAS PICNIC SPOT,Exhibitions,Picnic ground,Picnic ground,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80172 52767,https://www.ullasbandel.com/,4.1,,"W9J4+Q95, More, Rajhat, Bandel, West Bengal 712123",712121,22.9318875,88.3559844,ChIJq1MhIVCS-DkRCnjm76Ws5wY,https://www.google.com/maps/place/?q=place_id:ChIJq1MhIVCS-DkRCnjm76Ws5wY,part_317,2026-09-20 20:17:35,5890
SUTRAA EXHIBITIONS,Exhibitions,Event planner,Event planner,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98312 29017,https://www.sutraaexhibitions.com/,3.6,,"Anandapur, Adarsha Nagar, Kolkata, West Bengal 700107","Anandapur, Adarsha Nagar",22.5209744,88.4010323,ChIJe08Nfq1zAjoRZluaW1GsIYQ,https://www.google.com/maps/place/?q=place_id:ChIJe08Nfq1zAjoRZluaW1GsIYQ,part_317,2026-09-20 20:17:35,5891
Rabindra Sadan,Exhibitions,Tourist attraction,"Tourist attraction, Performing arts theater, Cultural center",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 33 2223 9917,N/A,4.6,,"71, AJC Bose Rd, Maidan, Park Street area, Kolkata, West Bengal 700071","Maidan, Park Street area",22.541888999999998,88.3447334,ChIJFcpHlBV3AjoR-5Ho_nmhR8Q,https://www.google.com/maps/place/?q=place_id:ChIJFcpHlBV3AjoR-5Ho_nmhR8Q,part_317,2026-09-20 20:17:35,5892
PALPUKUR CULTURAL ASSOCIATION,Exhibitions,Sports club,Sports club,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.1,,"Pal Pukur Rd, Chinsurah R S, Chinsurah, West Bengal 712103",Chinsurah R S,22.9126595,88.3929246,ChIJU-L4tfGT-DkR_sXbSOc-fK0,https://www.google.com/maps/place/?q=place_id:ChIJU-L4tfGT-DkR_sXbSOc-fK0,part_317,2026-09-20 20:17:35,5893
