business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SPOT ON Ashiyana Lodge,Guesthouse,Guest house,"Guest house, Bed & breakfast, Hotel, Holiday home, Inn, Lodge, Motel, Service Apartment, Villa",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 124 620 1612,https://www.oyorooms.com/91943/?utm_source=Google&utm_medium=GMB,3.7,,"Bandel Station Rd, Kapasdanga P, Chinsurah, Kodalia, West Bengal 712123",Kapasdanga P,22.920417,88.377003,ChIJN8I13diT-DkRSJoFHD6Ndew,https://www.google.com/maps/place/?q=place_id:ChIJN8I13diT-DkRSJoFHD6Ndew,part_316,2026-09-20 20:44:59
Jalsa - Lodge in Bandel,Guesthouse,Hotel,"Hotel, Lodge",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 98319 18448,N/A,4.9,,"more Station Road, Old Kodalia, Bandel, Chinsurah, West Bengal 712123",Old Kodalia,22.918472899999998,88.3841935,ChIJ0WKG-VGT-DkRQcVYZEOWHPQ,https://www.google.com/maps/place/?q=place_id:ChIJ0WKG-VGT-DkRQcVYZEOWHPQ,part_316,2026-09-20 20:44:59
Sandhya Lodge,Guesthouse,Lodge,Lodge,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 84203 35488,N/A,3.3,,"85, GT Rd, Krishnapur, Kapasdanga P, Kolkata, Chinsurah, West Bengal 712102","Krishnapur, Kapasdanga P",22.9020331,88.3822926,ChIJJXVvnuCT-DkRWdsi-hT_PZM,https://www.google.com/maps/place/?q=place_id:ChIJJXVvnuCT-DkRWdsi-hT_PZM,part_316,2026-09-20 20:44:59
Ashirbad lodge,Guesthouse,Guest house,Guest house,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 79806 52406,N/A,4.1,,"Debanandapur, Sastikanan, Banden, Bandel, West Bengal 712123","Debanandapur, Sastikanan",22.937057,88.371258,ChIJZeZBnnyT-DkReY9sud7b47M,https://www.google.com/maps/place/?q=place_id:ChIJZeZBnnyT-DkReY9sud7b47M,part_316,2026-09-20 20:44:59
Green Lodge,Guesthouse,Hotel,Hotel,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 81002 22466,N/A,4.3,,"138, Olaichanditala, Kolkata, Chinsurah, West Bengal 712103",Olaichanditala,22.9155209,88.3936804,ChIJcQY--bOT-DkRTXtsRl4XTZ0,https://www.google.com/maps/place/?q=place_id:ChIJcQY--bOT-DkRTXtsRl4XTZ0,part_316,2026-09-20 20:44:59
MAA DAYAMOYEE ENTERPRICE,Guesthouse,Guest house,Guest house,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 94330 60515,N/A,,,"GT Rd, Kaeipara, Dharampur, Chinsurah, Chinchurah P, West Bengal 712102","Kaeipara, Dharampur",22.888049799999997,88.3801044,ChIJUTOk6R-R-DkRwqlHpG66URU,https://www.google.com/maps/place/?q=place_id:ChIJUTOk6R-R-DkRwqlHpG66URU,part_316,2026-09-20 20:44:59
ANNAPURNA MALE P.G,Guesthouse,Guest house,Guest house,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",N/A,N/A,5.0,,"205, Chinsurah Sta Rd, opposite to EVENING STAR RESTURANT, near CAPTAIN'S GYM, Ghoshbari, Leninnagar, Dharampur, Chinsurah, West Bengal 712102","Ghoshbari, Leninnagar, Dharampur",22.890546999999998,88.3740557,ChIJBxBOJ2aR-DkR-P0wGEDSQwY,https://www.google.com/maps/place/?q=place_id:ChIJBxBOJ2aR-DkR-P0wGEDSQwY,part_316,2026-09-20 20:44:59
SPOT ON by OYO Loknath Hotel,Guesthouse,Hotel,"Hotel, Lodge",712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 124 620 1324,N/A,4.1,316.0,"Raj bari road, 2 minutes walking distance Tarakeswar temple, Tarkeshwar, West Bengal 712410",712102,22.8846675,88.01635019999999,ChIJLUKlB9Pz-DkRa8hVTqzWSGE,https://www.google.com/maps/place/?q=place_id:ChIJLUKlB9Pz-DkRa8hVTqzWSGE,part_316,2026-09-20 20:45:00
Sonai Sathi Palace,Guesthouse,Hotel,Hotel,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 76796 99651,N/A,4.2,31.0,"Near, Gate Number 7, Balindi, Haringhata Farm, West Bengal 741246",712102,22.967951499999998,88.5295769,ChIJvQ2Rr86_-DkRu0ZO1xOJCwA,https://www.google.com/maps/place/?q=place_id:ChIJvQ2Rr86_-DkRu0ZO1xOJCwA,part_316,2026-09-20 20:45:00
"Sunny Lodge | The Best Lodge In Bandel, Hoogly",Guesthouse,Lodge,Lodge,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 93310 53977,N/A,3.8,,"GT Rd, Keota, More, Bandel, Keota P, West Bengal 712123","Keota, More",22.919545199999998,88.38506319999999,ChIJGWFwHOuT-DkRWEstSyBgoEo,https://www.google.com/maps/place/?q=place_id:ChIJGWFwHOuT-DkRWEstSyBgoEo,part_316,2026-09-20 20:45:01
PALLAABI GUEST HOUSE,Guesthouse,Guest house,Guest house,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",N/A,N/A,,,"V9C9+RFH Jaghadharti Puja Play Ground, Pal Para Road, Area- Sett Goli, near Palpara, Chandannagar, West Bengal 712136",Surerpukur,22.8720526,88.3687314,ChIJ77t2DceR-DkRKTZRtVruJ3I,https://www.google.com/maps/place/?q=place_id:ChIJ77t2DceR-DkRKTZRtVruJ3I,part_316,2026-09-20 20:45:01
Ashiyana Lodge,Guesthouse,Hotel,Hotel,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 98302 80587,N/A,3.9,,"V9C6+28V, Kalupukur Main Rd, Last French Colony, Chandannagar, West Bengal 712136",Last French Colony,22.8701196,88.3607838,ChIJzz09aIyR-DkRFyQTWYuc9LU,https://www.google.com/maps/place/?q=place_id:ChIJzz09aIyR-DkRFyQTWYuc9LU,part_316,2026-09-20 20:45:01
Laxman Urmila Lodge,Guesthouse,Lodge,Lodge,712102,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah RS SO, Kamdebpur BO, Katsara BO",+91 80174 17226,N/A,3.2,,"Delhi Road 712102, near PNB Bank, Sugandha, West Bengal 712102",712102,22.9057361,88.3386926,ChIJz9DTfRmS-DkR3cNxJW0OD5o,https://www.google.com/maps/place/?q=place_id:ChIJz9DTfRmS-DkR3cNxJW0OD5o,part_316,2026-09-20 20:45:01
