business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Beauty Canvas,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",N/A,N/A,5.0,8.0,"35S, Christopher Rd, Seal Lane, Tangra, Kolkata, West Bengal 700046","Seal Lane, Tangra",22.5493417,88.38144439999999,ChIJNZCN6pZ3AjoRixYYe82LSjc,https://www.google.com/maps/place/?q=place_id:ChIJNZCN6pZ3AjoRixYYe82LSjc,part_313,2026-09-20 20:28:59
LOOK LIVE BEAUTY SALON & SPA,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 70032 12470,N/A,5.0,6.0,"13/2, Mahendra Roy Ln, near MAHA MILAN SANGHA CLUB, Seal Lane, Tangra, Kolkata, West Bengal 700046","Seal Lane, Tangra",22.5431465,88.38314,ChIJ60oEagB3AjoRPKF_YDXeOR8,https://www.google.com/maps/place/?q=place_id:ChIJ60oEagB3AjoRPKF_YDXeOR8,part_313,2026-09-20 20:28:59
ANNU'S BEAUTY SALON [SEMI PERMANENT BEAUTY CARE & BB GLOW],Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",N/A,N/A,4.9,9.0,"G9VH+8VG, Seal Lane, Gobra, Kolkata, West Bengal 700046","Seal Lane, Gobra",22.5433606,88.3797319,ChIJc8PEAQB3AjoRegf00Y-RhJA,https://www.google.com/maps/place/?q=place_id:ChIJc8PEAQB3AjoRegf00Y-RhJA,part_313,2026-09-20 20:28:59
Trinity Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",N/A,N/A,4.9,18.0,"Tangra, Kolkata, West Bengal 700015",Tangra,22.5583277,88.39108379999999,ChIJz5FDPoZ3AjoRiCnHZ8ZAJcQ,https://www.google.com/maps/place/?q=place_id:ChIJz5FDPoZ3AjoRiCnHZ8ZAJcQ,part_313,2026-09-20 20:28:59
GOLD SALON & SPA (only ladies),Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 90388 81333,https://gold-salon-spa-only.grexa.site/,4.1,120.0,"64A, Christopher Rd, Seal Lane, Tangra, Kolkata, West Bengal 700046","Seal Lane, Tangra",22.5490517,88.38106789999999,ChIJS6G181Z3AjoRNYh3uYlwG8w,https://www.google.com/maps/place/?q=place_id:ChIJS6G181Z3AjoRNYh3uYlwG8w,part_313,2026-09-20 20:28:59
Jenny's Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 79808 90636,N/A,5.0,6.0,"26Q, Mahendra Roy Ln, Seal Lane, Gobra, Kolkata, West Bengal 700046","Seal Lane, Gobra",22.5444104,88.3813261,ChIJFTN-utp3AjoRNbh8rBKXGwY,https://www.google.com/maps/place/?q=place_id:ChIJFTN-utp3AjoRNbh8rBKXGwY,part_313,2026-09-20 20:28:59
Tangles family salon and makeover,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 83370 30898,N/A,4.4,11.0,"Building no 21, R.N Connector, near Tribarna Sangha bus stop, Bosepukur Purbapara, Bosepukur, Kasba, Kolkata, West Bengal 700107","Bosepukur Purbapara, Bosepukur, Kasba",22.516566299999997,88.38762179999999,ChIJnSiyjW5xAjoRZUqoxjnhsg4,https://www.google.com/maps/place/?q=place_id:ChIJnSiyjW5xAjoRZUqoxjnhsg4,part_313,2026-09-20 20:28:59
Saj beauty and wellness,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 90882 62889,http://www.instagram.com/saj_beautyandwellness,5.0,14.0,"29/2, Sarkar Bari, 29, Christopher Rd, Seal Lane, Tangra, Kolkata, West Bengal 700046","Seal Lane, Tangra",22.549837699999998,88.3811072,ChIJp7OjnYx3AjoR3UzSQgs6SVc,https://www.google.com/maps/place/?q=place_id:ChIJp7OjnYx3AjoR3UzSQgs6SVc,part_313,2026-09-20 20:28:59
Shirley's Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 84207 55746,N/A,4.6,37.0,"20/3, Christopher Rd, Block W, Seal Lane, Tangra, Kolkata, West Bengal 700015","Block W, Seal Lane, Tangra",22.5525019,88.38088309999999,ChIJVzUJ59N2AjoRSeKD2lgOvPQ,https://www.google.com/maps/place/?q=place_id:ChIJVzUJ59N2AjoRSeKD2lgOvPQ,part_313,2026-09-20 20:28:59
Shree Geet Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,700046,West Bengal Circle,Kolkata Region,Kolkata East Division,"Gobinda Khatick Road SO, Abinash Chaowdhury Lane SO",+91 91236 33003,https://geetbeauty.com/,5.0,,"P-K 23, CIT Rd, Philips, Philips More, Entally, Kolkata, West Bengal 700014","Philips, Philips More, Entally",22.559242299999998,88.3725649,ChIJpTZBClh3AjoRY_KPulrNGu8,https://www.google.com/maps/place/?q=place_id:ChIJpTZBClh3AjoRY_KPulrNGu8,part_313,2026-09-20 20:28:59
