business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bluepine's Tours & Travels,Tour and Travel Operator,Tour operator,Tour operator,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 85849 89676,http://bluepinestoursandtravels.com/,4.7,43.0,"31/24, Golf Club Rd, opposite Indian Bank, Rajendra Prasad Colony, Tollygunge, Kolkata, West Bengal 700033","Rajendra Prasad Colony, Tollygunge",22.497375899999998,88.34662259999999,ChIJJ-LEXetxAjoRiXxZhV-rZf4,https://www.google.com/maps/place/?q=place_id:ChIJJ-LEXetxAjoRiXxZhV-rZf4,part_313,2026-09-20 20:19:16
Travel Ark,Tour and Travel Operator,Tour operator,Tour operator,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 94333 83450,http://www.travelark.in/,4.8,189.0,"Metro, railway station, 48A, Charu Chandra Ave, Rabindra Sarobar, Tollygunge, Kolkata, West Bengal 700033","Rabindra Sarobar, Tollygunge",22.5076744,88.3439192,ChIJy1QJL7ZwAjoR_wJ1ndl1fmA,https://www.google.com/maps/place/?q=place_id:ChIJy1QJL7ZwAjoR_wJ1ndl1fmA,part_313,2026-09-20 20:19:16
Take A Trip Tours & Travels,Tour and Travel Operator,Travel agency,Travel agency,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 98318 25613,https://www.facebook.com/takeatrip.vip,4.8,5.0,"7A, Prince Rahimuddin Ln, opp. Gharighar, Immambara, Tollygunge, Kolkata, West Bengal 700033","Immambara, Tollygunge",22.5036909,88.346113,ChIJQx6Wnt9xAjoRB6XKtCb5XKg,https://www.google.com/maps/place/?q=place_id:ChIJQx6Wnt9xAjoRB6XKtCb5XKg,part_313,2026-09-20 20:19:16
Choice Destinations,Tour and Travel Operator,Tour operator,Tour operator,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 98307 66680,N/A,4.9,117.0,"41A, Haripada Dutta Ln, Rajendra Prasad Colony, Tollygunge, Kolkata, West Bengal 700033","Rajendra Prasad Colony, Tollygunge",22.5001487,88.351816,ChIJU_pw5zRxAjoR6nJ0uuFSkm0,https://www.google.com/maps/place/?q=place_id:ChIJU_pw5zRxAjoR6nJ0uuFSkm0,part_313,2026-09-20 20:19:16
JETCHOICE TOURS & TRAVELS PVT. LTD - Best International Travel Agency in Kolkata,Tour and Travel Operator,Travel agency,"Travel agency, Sightseeing Tour Operator, Tour operator",700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 98310 89579,http://www.jetchoice.in/,4.5,57.0,"1 ST. FLOOR, 51/9, Prince Golam Mohammad Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700095","South City Complex, Jadavpur",22.500850999999997,88.35787789999999,ChIJTQlXmu13AjoR-TZZHG7JdgM,https://www.google.com/maps/place/?q=place_id:ChIJTQlXmu13AjoR-TZZHG7JdgM,part_313,2026-09-20 20:19:16
"SOTC for Holidays | Tollygunge, Kolkata",Tour and Travel Operator,Travel agency,"Travel agency, Tour operator",700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 96199 28295,https://stores.sotc.in/sotc/travel-agency-in-kolkata/travel-agency-in-tollygunge/sotc-for-holidays-in-tollygunge-kolkata--UtPX1s/home,4.9,138.0,"Ground Floor, No 20/38, Netaji Subhas Chandra Bose Rd, nearby KFC, Graham's Land, Jubeeli Park, Tollygunge, Kolkata, West Bengal 700033","Graham's Land, Jubeeli Park, Tollygunge",22.4924645,88.3481061,ChIJnaQ5SIRxAjoRCop4D-aATlw,https://www.google.com/maps/place/?q=place_id:ChIJnaQ5SIRxAjoRCop4D-aATlw,part_313,2026-09-20 20:19:16
3S Travel Network Private Limited,Tour and Travel Operator,Tour operator,Tour operator,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 98366 63311,https://3stravelnetwork.com/,4.8,144.0,"16/1, Prince Anwar Shah Rd, opposite Navina Cinema, Badam Talla, Tollygunge, Kolkata, West Bengal 700033","Badam Talla, Tollygunge",22.5014298,88.34839769999999,ChIJlyoAHKZ3AjoR3ZfWVeWjkAc,https://www.google.com/maps/place/?q=place_id:ChIJlyoAHKZ3AjoR3ZfWVeWjkAc,part_313,2026-09-20 20:19:16
Nitam Travels India Private Limited,Tour and Travel Operator,Travel agency,Travel agency,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 79806 32393,http://nitamtravels.com/,4.7,46.0,"Plot No 58, Southern Ave, Lake Range, Kalighat, Kolkata, West Bengal 700029","Lake Range, Kalighat",22.5125483,88.3510463,ChIJ1RcLiwNxAjoR7OB5GKQxNH0,https://www.google.com/maps/place/?q=place_id:ChIJ1RcLiwNxAjoR7OB5GKQxNH0,part_313,2026-09-20 20:19:16
SOUL TRAIL JOURNEY,Tour and Travel Operator,Travel agency,Travel agency,700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 94322 05543,https://www.soultrailjourney.com/,5.0,55.0,"3rd Floor, 162/262A, Lake Gardens, Kolkata, West Bengal 700045","Jodhpur Gardens, Lake Gardens",22.507182099999998,88.35678279999999,ChIJVQ7UD2LsLakRslxh_HeBVVs,https://www.google.com/maps/place/?q=place_id:ChIJVQ7UD2LsLakRslxh_HeBVVs,part_313,2026-09-20 20:19:16
Flying Squirrel Holidays - Best Travel company in Kolkata | Visa | International & Domestic Tours,Tour and Travel Operator,Travel agency,"Travel agency, Sightseeing Tour Operator, Tour agency, Tour operator, Transportation service, Visa Agent",700033,West Bengal Circle,Kolkata Region,South Kolkata Division,"Tollygunge HO, Indrani Park SO, TCRoad SO",+91 83369 78737,https://flyingsquirrelholidays.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_profile&utm_content=website_button,4.6,,"4th floor, 122A, Southern Ave, Golpark, Hindustan Park, Keyatala, Kolkata, West Bengal 700029","Golpark, Hindustan Park, Keyatala",22.5142342,88.3625261,ChIJn5vxY9VwAjoR3Vf_ktxVmPI,https://www.google.com/maps/place/?q=place_id:ChIJn5vxY9VwAjoR3Vf_ktxVmPI,part_313,2026-09-20 20:19:17
