business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ZAM ZAM MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 89420 89852,N/A,,,"Arambagh - Bardhaman Rd, ms Bazar, Mogalmari, West Bengal 713423",ms Bazar,23.0827033,87.7956171,ChIJ_66i46c5-DkRjco1nZOVWNw,https://www.google.com/maps/place/?q=place_id:ChIJ_66i46c5-DkRjco1nZOVWNw,part_320,2026-09-20 20:48:15
Goswami Pharmacy,Medical Store / Pharmacy,Medical supply store,Medical supply store,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 70741 67464,N/A,,,"Panchanan Market, Amila, Amila Bazar, West Bengal 713423",Panchanan Market,23.126184,87.80896279999999,ChIJIwNP3zk5-DkREuypPsBwuNs,https://www.google.com/maps/place/?q=place_id:ChIJIwNP3zk5-DkREuypPsBwuNs,part_320,2026-09-20 20:48:15
MEDICINE HOUSE,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 6295 833 385,N/A,5.0,,"Majhi, Bowai, Near Station, , Bonwai Bowai-sehara Road, Market, Bardhaman, West Bengal 713423",713423,23.132505,87.7300796,ChIJmVxKeK47-DkRkMdG9HPHetI,https://www.google.com/maps/place/?q=place_id:ChIJmVxKeK47-DkRkMdG9HPHetI,part_320,2026-09-20 20:48:15
Kesh Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 95648 45986,N/A,5.0,,"Kesh Medical, Arambagh - Bardhaman Rd, Mogalmari, West Bengal 713423",713423,23.0857912,87.7962976,ChIJH5g0VX05-DkRD-fSe0uVwts,https://www.google.com/maps/place/?q=place_id:ChIJH5g0VX05-DkRD-fSe0uVwts,part_320,2026-09-20 20:48:15
Tarama Medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 94747 82206,https://www.facebook.com/taramamedical/,5.0,,"Sehara Bazar Dey Super Market 1st Floor, West Bengal 713423",713423,23.111438699999997,87.80396119999999,ChIJSehcsZA5-DkRqSduAJdj5w8,https://www.google.com/maps/place/?q=place_id:ChIJSehcsZA5-DkRqSduAJdj5w8,part_320,2026-09-20 20:48:15
MALLICK MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 96419 36754,N/A,,,"Astha Market Mirapota Bazar, Kaity Road, Bujrukdighi, West Bengal 713423",713423,23.0645532,87.7909001,ChIJ8d9gt-w_-DkRaVs3CWwHTdE,https://www.google.com/maps/place/?q=place_id:ChIJ8d9gt-w_-DkRaVs3CWwHTdE,part_320,2026-09-20 20:48:15
ARATI MEDICAL STORES,Medical Store / Pharmacy,Pharmacy,"Pharmacy, Medical Center",713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 62966 55262,N/A,4.0,,"Sehara Bazar, Kantapukur, West Bengal 713423",713423,23.111367899999998,87.80309109999999,ChIJa-ekkuw5-DkRBD74FFgffpc,https://www.google.com/maps/place/?q=place_id:ChIJa-ekkuw5-DkRBD74FFgffpc,part_320,2026-09-20 20:48:15
Ayush medical,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",N/A,N/A,5.0,,"4PMJ+229, Bowaichandi Rd, Akui, Bowaichandi, West Bengal 713423",713423,23.1325263,87.73011609999999,ChIJXyR2QKA7-DkRjY-ZvJH3ipE,https://www.google.com/maps/place/?q=place_id:ChIJXyR2QKA7-DkRjY-ZvJH3ipE,part_320,2026-09-20 20:48:15
Gopal Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",N/A,N/A,5.0,,"2QMH+MHF, Uchalan, West Bengal 713427",713423,23.0341874,87.77891489999999,ChIJe7ofutw_-DkRcHj5GUiPjik,https://www.google.com/maps/place/?q=place_id:ChIJe7ofutw_-DkRcHj5GUiPjik,part_320,2026-09-20 20:48:15
SAHEB MEDICAL,Medical Store / Pharmacy,Pharmacy,Pharmacy,713423,West bengal circle,South Bengal Region,Burdwan Division,"Amila BO, Bowai BO, Bujrukhdighi BO",+91 70478 31485,N/A,4.0,,"Katnabil, Mirpur, West Bengal 713423",713423,23.0226991,87.80595199999999,ChIJA9JT7iA_-DkRwf7sD7TygLg,https://www.google.com/maps/place/?q=place_id:ChIJA9JT7iA_-DkRwf7sD7TygLg,part_320,2026-09-20 20:48:15
