business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"Digi Web Global | Website Designing & Development, Digital Marketing, PPC, SEO Services Company",SEO Agencies,Website designer,Website designer,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 78200 87519,https://digiwebglobal.com/,4.5,,"South of Sethia Cold Storage, 3, DVC Rd, Police LIne Bazar, Bardhaman, Gopalnagar P, West Bengal 713103",Police LIne Bazar,23.218803299999998,87.8815755,ChIJpzXmUadJ-DkRJGvC33_qAWY,https://www.google.com/maps/place/?q=place_id:ChIJpzXmUadJ-DkRJGvC33_qAWY,part_319,2026-09-20 20:17:27,5320
WebStine,SEO Agencies,Website designer,"Website designer, E-commerce service, Web hosting company",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 89815 34337,https://webstine.in/,5.0,,"Katwa - Bardhaman Rd, Eker Pally, Bajepratappur, Bardhaman, West Bengal 713407","Eker Pally, Bajepratappur",23.2551936,87.8707936,ChIJIw-B3-BJ-DkRE-ZruG29NeU,https://www.google.com/maps/place/?q=place_id:ChIJIw-B3-BJ-DkRE-ZruG29NeU,part_319,2026-09-20 20:17:27,5321
Innovtechsol,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Software company, Website designer",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 97751 93979,https://innovtechsol.com/,5.0,,"99, Ichlabad Rd, Ichlabad, Bardhaman, West Bengal 713103",Ichlabad,23.2296177,87.8770997,ChIJB2vsC8hJ-DkRT077rsbERy4,https://www.google.com/maps/place/?q=place_id:ChIJB2vsC8hJ-DkRT077rsbERy4,part_319,2026-09-20 20:17:27,5322
Sahil Web Services,SEO Agencies,Website designer,Website designer,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 75489 70433,N/A,5.0,,"Parcus Rd., Laskar Dighi, Khosbagan, Bardhaman, West Bengal 713103","Laskar Dighi, Khosbagan",23.2444834,87.86738869999999,ChIJjfupHOxJ-DkRvMY5vGVn5Qo,https://www.google.com/maps/place/?q=place_id:ChIJjfupHOxJ-DkRvMY5vGVn5Qo,part_319,2026-09-20 20:17:27,5323
Digital Preeyam - Digital Marketing Agency,SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Marketing agency, Marketing consultant, Photography service, Public relations firm, Software company, Video production service, Website designer",713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",+91 79800 76353,https://digitalpreeyam.in/,5.0,23.0,"Madhuban Galaxia Apartment, B/306, Adibartma road, Nabagram, Konnagar, Nabagram Colony, West Bengal 712246","Nabagram, Konnagar",22.707777,88.3376052,ChIJyYLk2qlsCwwRH6F8kK-vy-E,https://www.google.com/maps/place/?q=place_id:ChIJyYLk2qlsCwwRH6F8kK-vy-E,part_319,2026-09-20 20:17:28,5324
Layla Mondal - SEO Freelancer,SEO Agencies,Marketing consultant,Marketing consultant,713142,West bengal circle,South Bengal Region,Burdwan Division,"Bijpur BO, Chandipur Berugram BO, Nishchintapur BO",N/A,https://www.marketingwithsaurabh.com/,5.0,1.0,"Arambagh - Bardhaman Rd, Bardhaman, Machhkhara, West Bengal 713103",713142,23.1962537,87.8456195,ChIJidJ_L2hTECURy2yffQValPU,https://www.google.com/maps/place/?q=place_id:ChIJidJ_L2hTECURy2yffQValPU,part_319,2026-09-20 20:17:28,5325
Surojit Dutta,SEO Agencies,News service,"News service, Service establishment",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 86708 67099,https://surojitdutta.com/,,,"Surojit Dutta, 713143, India",713143,44.3150453,0.0,ChIJfUWZkI-z-TkRq7eqW8JUqBk,https://www.google.com/maps/place/?q=place_id:ChIJfUWZkI-z-TkRq7eqW8JUqBk,part_319,2026-09-20 20:18:06,7929
Best SEO Services,SEO Agencies,Internet marketing service,"Internet marketing service, Service establishment",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",N/A,https://www.nimbleinformatics.com/services/search-engine-optimization,5.0,,"Best SEO Services, 713143, India",713143,21.0680074,82.7525294,ChIJCUOws8KHDzkRKd1CjsQ2WcU,https://www.google.com/maps/place/?q=place_id:ChIJCUOws8KHDzkRKd1CjsQ2WcU,part_319,2026-09-20 20:18:06,7930
SEO Service USA,SEO Agencies,Marketing agency,"Marketing agency, Service establishment",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",N/A,https://www.upwork.com/freelancers/pankajrana6,4.8,,"SEO Service USA, 713143, India",713143,32.1192862,76.54067529999999,ChIJZeReombF56oR-o6tbWBou3g,https://www.google.com/maps/place/?q=place_id:ChIJZeReombF56oR-o6tbWBou3g,part_319,2026-09-20 20:18:06,7931
BigBirdWeb,SEO Agencies,Web hosting company,"Web hosting company, Service establishment",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 85139 21302,https://www.bigbirdweb.com/,5.0,,"BigBirdWeb, 713143, India",713143,9.374110199999999,-179.3878585,ChIJe-umwbnetGsRAhyITE3AR28,https://www.google.com/maps/place/?q=place_id:ChIJe-umwbnetGsRAhyITE3AR28,part_319,2026-09-20 20:18:06,7932
SB Service,SEO Agencies,Advertising agency,Advertising agency,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",N/A,N/A,5.0,,"G3F8+JCH, Karulia, West Bengal 713143",713143,23.5240539,88.0661073,ChIJ_aIV95mv-TkR7iuiqQj0wF8,https://www.google.com/maps/place/?q=place_id:ChIJ_aIV95mv-TkR7iuiqQj0wF8,part_319,2026-09-20 20:18:06,7933
Md Rafsan Sanjari,SEO Agencies,Internet marketing service,"Internet marketing service, Marketing consultant, Website designer",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",N/A,N/A,5.0,,"Para, Tulsidanga, West Bengal 713520",713143,23.4435181,87.96043449999999,ChIJm0mSDoSz-TkRj_pjolpT5n0,https://www.google.com/maps/place/?q=place_id:ChIJm0mSDoSz-TkRj_pjolpT5n0,part_319,2026-09-20 20:18:06,7934
Projesco,SEO Agencies,Marketing agency,Marketing agency,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",N/A,N/A,2.0,,"J548+V23, palpara, Dainhat, Pataihat, Dewanganj, West Bengal 713502","palpara, Dainhat",23.607134,88.16504189999999,ChIJ5SLn7mSn-TkR-2S1_CaGs-c,https://www.google.com/maps/place/?q=place_id:ChIJ5SLn7mSn-TkR-2S1_CaGs-c,part_319,2026-09-20 20:18:06,7935
"Pankaj Kumar SEO | SEO Course In Delhi, India",SEO Agencies,Internet marketing service,"Internet marketing service, Coaching Center, Education center, Educational consultant, Educational institution, Training center, Marketing agency, Marketing consultant",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 93115 85923,https://www.pankajkumarseo.com/seo-training-course-delhi/,4.8,309.0,"303/3 Gali, 303/3, Gali Number 24, Onkar Nagar B, Tri Nagar, New Delhi, Delhi 110035","Onkar Nagar B, Onkar Nagar, Tri Nagar",28.6760496,77.161315,ChIJ-2k4BxMDDTkRGfT_1ORdLfY,https://www.google.com/maps/place/?q=place_id:ChIJ-2k4BxMDDTkRGfT_1ORdLfY,part_319,2026-09-20 20:18:07,7936
SEO Engineer,SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Marketing consultant",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 99618 88512,https://www.seoengineer.in/,4.8,37.0,"9, Parijatham Road, Parijatham Area, Pathadipalam, Kalamassery, Kochi, Ernakulam, Keralam 682033","Parijatham Area, Pathadipalam, Kalamassery",10.040063,76.317774,ChIJTyzlq0oMCDsRhI-_dbrwDQI,https://www.google.com/maps/place/?q=place_id:ChIJTyzlq0oMCDsRhI-_dbrwDQI,part_319,2026-09-20 20:18:07,7937
Digital Tatva - Digital Marketing Agency,SEO Agencies,Marketing agency,Marketing agency,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 99327 51276,https://www.digitaltatva.in/,5.0,7.0,"Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.442639399999997,87.0013434,ChIJ0V_SXmx7HToR63T6lDaHVXg,https://www.google.com/maps/place/?q=place_id:ChIJ0V_SXmx7HToR63T6lDaHVXg,part_319,2026-09-20 20:18:07,7938
Digital Tatva - Digital Marketing Agency,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 99327 51276,https://www.digitaltatva.in/,,,"Raghunathpur, Jhargram, West Bengal 721507",Raghunathpur,22.443732999999998,87.00163789999999,ChIJl8BgCNe5vQIRTsM2uzd_7Hk,https://www.google.com/maps/place/?q=place_id:ChIJl8BgCNe5vQIRTsM2uzd_7Hk,part_319,2026-09-20 20:18:07,7939
Abhitechbot,SEO Agencies,Internet marketing service,Internet marketing service,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 81012 02074,https://abhitechbot.in/,,,"near Desun Hospital, Siliguri, Kwakhali, West Bengal 734012",713144,26.6882435,88.39596399999999,ChIJ7aoU21xB5DkR5QnXbbJYLSc,https://www.google.com/maps/place/?q=place_id:ChIJ7aoU21xB5DkR5QnXbbJYLSc,part_319,2026-09-20 20:18:46,9664
Professional SEO Services | #1 Google Ranking,SEO Agencies,Marketing agency,Marketing agency,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 86957 46912,https://www.linkedin.com/in/sauravmondol,,,"Adipasi Para, Gaighata, Narikela, West Bengal 743249",Adipasi Para,22.9309709,88.7312013,ChIJh6MKBvS1-DkRC4-MZxAw_J4,https://www.google.com/maps/place/?q=place_id:ChIJh6MKBvS1-DkRC4-MZxAw_J4,part_319,2026-09-20 20:19:26,12083
WebInfoys | Best Digital Marketing Company in Nadia | SEO | SMO | Website | GMB | AI-SEO,SEO Agencies,Internet marketing service,Internet marketing service,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 79807 53774,http://webinfoys.com/,5.0,,"Sreenagar Madhya Para Rd, Chapra, Bangaljhi, West Bengal 741123",713145,23.5222978,88.5516576,ChIJ0-UUj6kj-TkRTkofm-b2kLg,https://www.google.com/maps/place/?q=place_id:ChIJ0-UUj6kj-TkRTkofm-b2kLg,part_319,2026-09-20 20:19:26,12084
"Digital Marketing, SEO, Lead Generation",SEO Agencies,Website designer,"Website designer, Service establishment",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",01758-735044,https://www.fiverr.com/s/0bZlD8q,,,"Digital Marketing, SEO, Lead Generation, 713145, India",713145,23.194750499999998,89.029186,ChIJi_yC4vRQLkwR4grDYscY7yY,https://www.google.com/maps/place/?q=place_id:ChIJi_yC4vRQLkwR4grDYscY7yY,part_319,2026-09-20 20:19:26,12085
SEO Provider,SEO Agencies,Internet marketing service,Internet marketing service,713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",+91 95315 65791,http://www.seoprovider.co.in/,3.0,1.0,"37-Millan Pally, Jalpai More, Hakimpara, Siliguri, West Bengal 734001","Ward 17, Hakim Para",26.712001599999997,88.4344442,ChIJbR215nNB5DkRMHP_8_DUpVc,https://www.google.com/maps/place/?q=place_id:ChIJbR215nNB5DkRMHP_8_DUpVc,part_319,2026-09-20 20:19:27,12086
Sunny Digital Marketing,SEO Agencies,Marketing agency,"Marketing agency, Service establishment",713145,West bengal circle,South Bengal Region,Burdwan Division,"Asanpur BO, Bhojpur BO, Denur BO",N/A,N/A,,,"Sunny Digital Marketing, 713145, India",713145,23.2042954,87.859273,ChIJb8DGrB1J-DkRBgYELEuyDKQ,https://www.google.com/maps/place/?q=place_id:ChIJb8DGrB1J-DkRBgYELEuyDKQ,part_319,2026-09-20 20:19:27,12087
Website Expert Solution - Business Website Design Services,SEO Agencies,Website designer,"Website designer, Service establishment",713146,West bengal circle,South Bengal Region,Burdwan Division,"Bagila BO, Bahabpur BO, Bara Mahesh BO",N/A,https://websiteexpert.in/,,,"Website Expert Solution - Business Website Design Services, 713146, India",713146,21.0680074,82.7525294,ChIJUXPVPAGFPgQR4x_8r5Tnjik,https://www.google.com/maps/place/?q=place_id:ChIJUXPVPAGFPgQR4x_8r5Tnjik,part_319,2026-09-20 20:20:06,14271
Endlesssolutions | Website Designing | WordPress Development | Digital Marketing | SEO Services in Kolkata,SEO Agencies,Website designer,Website designer,713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",N/A,https://endlesssolutions.in/,5.0,2.0,"53, 1st Ave, Sepco Township, B-Zone, Durgapur, West Bengal 713205","Sepco Township, B-Zone",23.553765499999997,87.31802569999999,ChIJDTzEFTVv9zkRaw3adoKe54o,https://www.google.com/maps/place/?q=place_id:ChIJDTzEFTVv9zkRaw3adoKe54o,part_319,2026-09-20 20:21:25,17297
Sumon Digital Marketing Hub,SEO Agencies,Marketing agency,Marketing agency,713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 84362 35508,N/A,5.0,1.0,"Deshbandhu Nagar Colony, Sagarbhanga, Durgapur, West Bengal 713211","Deshbandhu Nagar Colony, Sagarbhanga",23.485657699999997,87.3346964,ChIJfyaJaBtx9zkRrk1ZJEkAAYM,https://www.google.com/maps/place/?q=place_id:ChIJfyaJaBtx9zkRrk1ZJEkAAYM,part_319,2026-09-20 20:21:25,17298
ClickCi,SEO Agencies,Marketing agency,"Marketing agency, Design agency, Service establishment, Graphic designer, Website designer",713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 75850 53572,https://clickci.com/,5.0,3.0,"ClickCi, 713148, India",713148,21.0680074,82.7525294,ChIJlarPJQBt9zkRIfXMpRn8JnI,https://www.google.com/maps/place/?q=place_id:ChIJlarPJQBt9zkRIfXMpRn8JnI,part_319,2026-09-20 20:21:25,17299
Starpact Global Services,SEO Agencies,Website designer,Website designer,713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 76019 15855,https://starpactglobal.com/,4.8,55.0,"Non Company, Uday Shankar Bithi, Non-Company Housing Estate, City Center, Durgapur, West Bengal 713216","Non-Company Housing Estate, City Center",23.5411826,87.3036424,ChIJtz_VL3pv9zkRDlhXNNIQiMY,https://www.google.com/maps/place/?q=place_id:ChIJtz_VL3pv9zkRDlhXNNIQiMY,part_319,2026-09-20 20:21:25,17300
Semicolon ITES,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Business development service, Graphic designer, Internet marketing service, Software company, Web hosting company, Website designer",713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 70295 24340,https://semicolonites.com/,4.7,20.0,"Phase 2, Urvashi Complex, CA-9, City Center, Durgapur, West Bengal 713216",City Center,23.541450299999997,87.30559629999999,ChIJ0aziZPxx9zkRIy3f_kJ1r0U,https://www.google.com/maps/place/?q=place_id:ChIJ0aziZPxx9zkRIy3f_kJ1r0U,part_319,2026-09-20 20:21:25,17301
Servicesbyishwar,SEO Agencies,Marketing agency,"Marketing agency, Design agency, Website designer",713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 79083 13293,https://servicesbyishwar.com/,5.0,3.0,"Mining and Allied Machinery Corporation, Nobin Pally, Shivmandir, Durgapur, West Bengal 713210","ABL Township, Shivmandir, Mamra",23.5241689,87.3181085,ChIJadbJHRHVxQERSax0UObieaQ,https://www.google.com/maps/place/?q=place_id:ChIJadbJHRHVxQERSax0UObieaQ,part_319,2026-09-20 20:21:25,17302
Websfirm Technologies,SEO Agencies,Marketing agency,"Marketing agency, Advertising agency, Branding agency, Business development service, Internet marketing service, Marketing consultant",713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 63068 94259,https://websfirm.com/seo-services-in-kolkata/,4.9,11.0,"Bagdiha, Indpur, West Bengal 722136",713148,23.1721005,86.9536428,ChIJ11VCk9EXF2QRujg7_D6mMdg,https://www.google.com/maps/place/?q=place_id:ChIJ11VCk9EXF2QRujg7_D6mMdg,part_319,2026-09-20 20:21:26,17303
Fenesta Windows and Doors | Greenspace Urbana Llp,SEO Agencies,Window supplier,"Window supplier, Aluminum window, Door shop, Door supplier, Home goods store, PVC windows supplier, Window installation service",713148,West bengal circle,South Bengal Region,Burdwan Division,"Aduria BO, Bankati BO, Bharatpur BO",+91 8071 497 442,https://www.fenesta.com/locate-us/partner-showroom-greenspace-urbana-llp-durgapur-west-bengal?utm_source=gmb&utm_medium=google&utm_campaign=seo-local,4.7,68.0,"A1, 26, Sahid Sukumar Banerjee Sarani, Aranyak East, Bidhannagar, Durgapur, West Bengal 713212","Aranyak East, Bidhannagar",23.516289399999998,87.3482756,ChIJ9QYIXnhx9zkRVn6_1RePK_g,https://www.google.com/maps/place/?q=place_id:ChIJ9QYIXnhx9zkRVn6_1RePK_g,part_319,2026-09-20 20:21:27,17304
Golok Behari Ghoshal,SEO Agencies,Consultant,"Consultant, Service establishment",713149,West bengal circle,South Bengal Region,Burdwan Division,"Bhaita BO, Khagrakaranda BO, Saktigarh SO Bardhaman",+91 81165 69648,https://bengalaimarketinghub.com/,,,"Golok Behari Ghoshal, 713149, India",713149,21.0680074,82.7525294,ChIJeelYWquwE4oRVnZ9PZWa4Hc,https://www.google.com/maps/place/?q=place_id:ChIJeelYWquwE4oRVnZ9PZWa4Hc,part_319,2026-09-20 20:22:02,18296
Upjestic,SEO Agencies,Graphic designer,Graphic designer,713150,West bengal circle,South Bengal Region,Burdwan Division,"Alampur BO, Bandhmura BO, Berampur BO",+91 83430 04504,https://upjestic.com/,5.0,22.0,"Katwa, West Bengal 713130",713150,23.638273899999998,88.12938609999999,ChIJKTqX802n-TkRLV0jBEwYpa4,https://www.google.com/maps/place/?q=place_id:ChIJKTqX802n-TkRLV0jBEwYpa4,part_319,2026-09-20 20:22:39,22477
Simontechway | SEO Company In Delhi,SEO Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Marketing agency, Website designer",713150,West bengal circle,South Bengal Region,Burdwan Division,"Alampur BO, Bandhmura BO, Berampur BO",+91 99998 10467,https://www.simontechway.com/,5.0,101.0,"2nd floor, 64, Block, 17, Block 2, Subhash Nagar, New Delhi, Delhi, 110027","Block 2, Subhash Nagar",28.6404158,77.105869,ChIJ2Yz3PEADDTkRzfQQBEQsKEY,https://www.google.com/maps/place/?q=place_id:ChIJ2Yz3PEADDTkRzfQQBEQsKEY,part_319,2026-09-20 20:22:39,22478
Next Screen | Website Design & Development | Logo & Graphic Design | Digital Marketing,SEO Agencies,Website designer,"Website designer, Business development service, Computer support and services, Design agency, Graphic designer, Marketing agency, Marketing consultant, Web hosting company",713150,West bengal circle,South Bengal Region,Burdwan Division,"Alampur BO, Bandhmura BO, Berampur BO",+91 90627 71010,https://www.nextscreen.in/,4.5,304.0,"210B, 1B, KC Ghosh Rd, Roy Para, Sinthee, Kolkata, West Bengal 700050","Roy Para, Sinthee",22.6271013,88.3890016,ChIJKZ7W--6d-DkRJy4TsWD055o,https://www.google.com/maps/place/?q=place_id:ChIJKZ7W--6d-DkRJy4TsWD055o,part_319,2026-09-20 20:22:39,22479
DigiRulers,SEO Agencies,Marketing agency,Marketing agency,713150,West bengal circle,South Bengal Region,Burdwan Division,"Alampur BO, Bandhmura BO, Berampur BO",+91 93542 04842,https://digirulers.com/,4.9,32.0,"2nd Floor, C-4/160, Sector 5, Rohini, New Delhi, Delhi 110085","Pocket 4, Sector 5, Rohini",28.7163301,77.1063665,ChIJ6e-3rugBDTkROuseZ2YTzmo,https://www.google.com/maps/place/?q=place_id:ChIJ6e-3rugBDTkROuseZ2YTzmo,part_319,2026-09-20 20:22:40,22480
Vibuddy Network,SEO Agencies,Website designer,"Website designer, E-commerce service, Software company",713150,West bengal circle,South Bengal Region,Burdwan Division,"Alampur BO, Bandhmura BO, Berampur BO",+91 73376 08055,https://www.vibuddy.com/,5.0,14.0,"Whitefield Main Rd, Prestige Ozone, Whitefield, Bengaluru, Karnataka 560066","Prestige Ozone, Whitefield",12.960242599999999,77.74781689999999,ChIJS3BIDnwNrjsRPVxjskZxCJQ,https://www.google.com/maps/place/?q=place_id:ChIJS3BIDnwNrjsRPVxjskZxCJQ,part_319,2026-09-20 20:22:40,22481
Unique SEO Agency,SEO Agencies,Marketing agency,"Marketing agency, Service establishment",713151,West bengal circle,South Bengal Region,Burdwan Division,"Chanchai BO, Maheshdanga BO, Palla BO",01792-932821,N/A,4.6,,"Unique SEO Agency, 713151, India",713151,25.623652999999997,89.2306274,ChIJ5QsUN9UQWQIReV0Q62WHMro,https://www.google.com/maps/place/?q=place_id:ChIJ5QsUN9UQWQIReV0Q62WHMro,part_319,2026-09-20 20:23:17,23617
Indian SEO Agency |,SEO Agencies,Internet marketing service,"Internet marketing service, Design agency, Website designer",713151,West bengal circle,South Bengal Region,Burdwan Division,"Chanchai BO, Maheshdanga BO, Palla BO",+91 90075 09919,N/A,5.0,18.0,"14/2, Aruna Chal, Rahara, Khardaha, West Bengal 700118","Aruna Chal, Rahara",22.7185998,88.3827057,ChIJWUnLAkOb-DkRRtd-xlcEf6s,https://www.google.com/maps/place/?q=place_id:ChIJWUnLAkOb-DkRRtd-xlcEf6s,part_319,2026-09-20 20:23:19,23618
Sales Seva- Best Digital Marketing Agency | Website Development,SEO Agencies,Marketing agency,Marketing agency,713151,West bengal circle,South Bengal Region,Burdwan Division,"Chanchai BO, Maheshdanga BO, Palla BO",N/A,https://scalehighdigital.in/,5.0,4.0,"1st Floor, 80/13, MC Garden Rd, Purba Sinthi, Dum Dum, Kolkata, West Bengal 700030","Purba Sinthi, Dum Dum",22.6270542,88.3953494,ChIJ2S0hibqd-DkRayknH2YsAGc,https://www.google.com/maps/place/?q=place_id:ChIJ2S0hibqd-DkRayknH2YsAGc,part_319,2026-09-20 20:23:19,23619
SEO Provider,SEO Agencies,Corporate office,"Corporate office, Website designer",713151,West bengal circle,South Bengal Region,Burdwan Division,"Chanchai BO, Maheshdanga BO, Palla BO",+91 33 4073 3565,https://www.seoprovider.co.in/,,,"SEO Provider 37-Uttarpally, Benachity, Benachity, Durgapur, West Bengal 713213",Benachity,23.543181099999998,87.2767544,ChIJAQAAAHRy9zkRQWRjybnBrFA,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAHRy9zkRQWRjybnBrFA,part_319,2026-09-20 20:23:19,23620
