business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
GITPAC Consultancy Services,Tax and GST Consultant,Consultant,"Consultant, Accountant, Bookkeeping service, Accounting firm, Financial audit, Financial consultant, Income tax help association, Tax preparation, Tax preparation service",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 77360 09338,https://gitpacconsultancy.com/,5.0,,"First Floor, Fair Dreams, Women's College Ln, Bakery, Vazhuthacaud, Thiruvananthapuram, Keralam 695014","Bakery, Vazhuthacaud",8.500477,76.957875,ChIJcYetq4O7BTsRI23nlrzDtNE,https://www.google.com/maps/place/?q=place_id:ChIJcYetq4O7BTsRI23nlrzDtNE,part_311,2026-09-20 20:17:31,4523
ARAVIND S P AND ASSOCIATES,Tax and GST Consultant,Tax consultant,Tax consultant,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 82814 72599,http://www.aravindspandassociates.com/,5.0,,"Kazhakuttam, Vadakkumbhagam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Vadakkumbhagam",8.5712078,76.8712753,ChIJZwm5kS08f4ERGI7GSfUKZXk,https://www.google.com/maps/place/?q=place_id:ChIJZwm5kS08f4ERGI7GSfUKZXk,part_311,2026-09-20 20:17:31,4524
Libera Business Consultants,Tax and GST Consultant,Tax consultant,"Tax consultant, Business management consultant",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 81294 20290,http://www.libera.in/,5.0,,"PUNARTHAMLANE, Maruthankuzhi, Thiruvananthapuram, Keralam 695030",Maruthankuzhi,8.5113449,76.9785824,ChIJoRZOMTq6BTsRzGfliP7zqjU,https://www.google.com/maps/place/?q=place_id:ChIJoRZOMTq6BTsRzGfliP7zqjU,part_311,2026-09-20 20:17:31,4525
Tax Manthra Tax and Accounting,Tax and GST Consultant,Tax preparation,Tax preparation,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,N/A,5.0,,"Ground floor, Sharjah Tower, Kilimanoor Junction, Kilimanoor, Pazhayakunnummel, Kerala 695601",Kilimanoor Junction,8.769639,76.881149,ChIJpdPfWgDDBTsROdPRlzqgA8o,https://www.google.com/maps/place/?q=place_id:ChIJpdPfWgDDBTsROdPRlzqgA8o,part_311,2026-09-20 20:17:31,4526
"GIRI RAJ R & ASSOCIATES, ATTINGAL",Tax and GST Consultant,Chartered accountant,Chartered accountant,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",N/A,http://www.girirajrandassociates.com/,5.0,,"Main Rd, behind CANARA BANK, near MUNICIPAL TOWN HALL, Kizhakkupuram, Attingal, Keralam 695101",Kizhakkupuram,8.7010123,76.81320889999999,ChIJ1ZRMs8LpBTsRLMLNuC5fwUo,https://www.google.com/maps/place/?q=place_id:ChIJ1ZRMs8LpBTsRLMLNuC5fwUo,part_311,2026-09-20 20:17:31,4527
B S Associates,Tax and GST Consultant,Certified public accountant,Certified public accountant,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 85474 78781,N/A,5.0,,"Accounting and Tax Consultancy, B S Associates, Avanavanchery, Attingal, Keralam 695103",695307,8.6882247,76.83679029999999,ChIJ1eHnY4XrBTsRbOT_pOuMBdM,https://www.google.com/maps/place/?q=place_id:ChIJ1eHnY4XrBTsRbOT_pOuMBdM,part_311,2026-09-20 20:17:31,4528
FAIRVIEW BUSINESS CONSULTING LLP,Tax and GST Consultant,Tax consultant,"Tax consultant, Auditor, Cost accounting service",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 99957 15680,https://www.fairview.in/,5.0,,"2nd Floor, Alfa Heights, opp. UAE Consulate, Manacaud, Thiruvananthapuram, Keralam 695009",Manacaud,8.4765902,76.9481796,ChIJt2CAwOy7BTsR6kcBo_Xoq9E,https://www.google.com/maps/place/?q=place_id:ChIJt2CAwOy7BTsR6kcBo_Xoq9E,part_311,2026-09-20 20:17:31,4529
"G S P U & Associates, Chartered Accountants",Tax and GST Consultant,Chartered accountant,Chartered accountant,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 85907 90111,http://www.gspuca.com/,5.0,,"SECOND FLOOR, TRINITY CENTRE, T.C. 14/4354/5, Kesavadasapuram Jct, Pattom P.O, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Pattom P.O, Kesavadasapuram",8.530126899999999,76.9378153,ChIJQT2Q_eK5BTsRxxPdqUVTXBM,https://www.google.com/maps/place/?q=place_id:ChIJQT2Q_eK5BTsRxxPdqUVTXBM,part_311,2026-09-20 20:17:31,4530
TENDER PLUS - E Tender Services,Tax and GST Consultant,Business development service,"Business development service, Business administration service, Legal services",695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 83010 79915,https://www.tenderplus.in/,5.0,,"1st Floor, Adithya Building, Market and Shiva Temple, Neerazhi Ln, near Ulloor, Ulloor, Kochulloor, Ulloor, Thiruvananthapuram, Keralam 695011","Ulloor, Kochulloor, Ulloor",8.5306911,76.9282075,ChIJtT7wgNO7BTsRdfZciahglu4,https://www.google.com/maps/place/?q=place_id:ChIJtT7wgNO7BTsRdfZciahglu4,part_311,2026-09-20 20:17:31,4531
S & A ASSOCIATES - TAX CONSULTANT,Tax and GST Consultant,Tax consultant,Tax consultant,695307,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Nedunganda SO, Kaikara BO",+91 98091 20740,N/A,4.9,,"3RD FLOOR, AKSHAYA TOWERS, Jawahar Nagar, Sasthamangalam, Thiruvananthapuram, Keralam 695010","Jawahar Nagar, Sasthamangalam",8.513202,76.9721299,ChIJY8H4wki7BTsRXzswa8PBWEk,https://www.google.com/maps/place/?q=place_id:ChIJY8H4wki7BTsRXzswa8PBWEk,part_311,2026-09-20 20:17:31,4532
