business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Banik Stores,General Store,General store,General store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 92313 24538,N/A,3.5,,"145, Binoba Bhave Rd, Block 6, Sahapur, New Alipore, Kolkata, West Bengal 700038","Block 6, Sahapur, New Alipore",22.5089462,88.3225575,ChIJH0rvOAd6AjoRWoHualfY92s,https://www.google.com/maps/place/?q=place_id:ChIJH0rvOAd6AjoRWoHualfY92s,part_313,2026-09-20 20:22:29
G N Shaw General Stores,General Store,Paan shop,Paan shop,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,N/A,N/A,4.1,,"219, SN Roy Rd, Buroshibtalla, Behala, Kolkata, West Bengal 700038","Buroshibtalla, Behala",22.506628,88.3321945,ChIJeZHWtq9wAjoRDu9FsyaeL1c,https://www.google.com/maps/place/?q=place_id:ChIJeZHWtq9wAjoRDu9FsyaeL1c,part_313,2026-09-20 20:22:29
Sanju Store,General Store,General store,General store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 91636 21833,N/A,4.6,,"Sanju Store, SN Roy Rd, Sahapur, New Alipore, Kolkata, West Bengal 700038","Sahapur, New Alipore",22.5079404,88.3210924,ChIJdVCaSHN7AjoReMN9gj9eBW4,https://www.google.com/maps/place/?q=place_id:ChIJdVCaSHN7AjoReMN9gj9eBW4,part_313,2026-09-20 20:22:29
Ghosh Stores,General Store,General store,General store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 98361 84457,N/A,2.0,,"Super Market, 13, SN Roy Rd, Super Market, Sahapur, New Alipore, Kolkata, West Bengal 700038","Super Market, Sahapur, New Alipore",22.5076908,88.3219081,ChIJs-VUBQd6AjoR-HsLQ2m6fOg,https://www.google.com/maps/place/?q=place_id:ChIJs-VUBQd6AjoR-HsLQ2m6fOg,part_313,2026-09-20 20:22:29
New Rashi Traders,General Store,General store,General store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 70037 94094,N/A,5.0,,"215, SN Roy Rd, Sahapur, New Alipore, Kolkata, West Bengal 700038","Sahapur, New Alipore",22.5065563,88.33170779999999,ChIJ__-qq69wAjoRrzapZM0xKM0,https://www.google.com/maps/place/?q=place_id:ChIJ__-qq69wAjoRrzapZM0xKM0,part_313,2026-09-20 20:22:29
New Kamala Stores,General Store,Indian grocery store,Indian grocery store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,N/A,N/A,5.0,,"Block-B (old) Stall no.- 8 & 9, Rash Behari Ave, Gariahat Market, Kolkata, West Bengal 700019","Gariahat Market, Ballygunge Gardens, Gariahat",22.5197875,88.3662763,ChIJJ8DmkqR3AjoRi7Wf_IokzB8,https://www.google.com/maps/place/?q=place_id:ChIJJ8DmkqR3AjoRi7Wf_IokzB8,part_313,2026-09-20 20:22:29
Samadder Store,General Store,Indian grocery store,Indian grocery store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,N/A,N/A,4.4,,"Ramkrishnanagar, Nabapally, Kolkata, West Bengal 700063","Ramkrishnanagar, Nabapally",22.4652217,88.3159732,ChIJ7crasod6AjoRdTD6QLC25ZM,https://www.google.com/maps/place/?q=place_id:ChIJ7crasod6AjoRdTD6QLC25ZM,part_313,2026-09-20 20:22:29
Nandu Ji,General Store,General store,General store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,N/A,N/A,4.5,,"10A/1, Moira St, Elgin, Kolkata, West Bengal 700017",Elgin,22.543823399999997,88.3544333,ChIJA5BMuBl3AjoROzBTQ879LQI,https://www.google.com/maps/place/?q=place_id:ChIJA5BMuBl3AjoROzBTQ879LQI,part_313,2026-09-20 20:22:29
Shaw General Stores,General Store,Grocery store,Grocery store,700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 62906 35816,N/A,5.0,,"6, Beltala Rd, Mani Aangan, Block B, Behala, Kolkata, West Bengal 700053","Mani Aangan, Block B, Behala",22.5146873,88.3229483,ChIJp7OcFgB6AjoRtgBeyQeibZs,https://www.google.com/maps/place/?q=place_id:ChIJp7OcFgB6AjoRtgBeyQeibZs,part_313,2026-09-20 20:22:30
Shaw Variety,General Store,General store,"General store, Variety store",700038,West Bengal Circle,Kolkata Region,South Kolkata Division,Sahapur SO,+91 70443 17547,N/A,4.6,,"90, Narayan Roy Rd, Silpara, Paschim Barisha, Kolkata, West Bengal 700008","Silpara, Paschim Barisha",22.4778213,88.3061079,ChIJzUhuu2d6AjoRiNlT8Hzokrs,https://www.google.com/maps/place/?q=place_id:ChIJzUhuu2d6AjoRiNlT8Hzokrs,part_313,2026-09-20 20:22:31
