business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JADWANI FOREX PRIVATE LIMITED,Money Transfer and Forex,Money transfer service,"Money transfer service, Financial institution, Currency exchange service",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 70962 35000,https://jadwaniforex.com/,4.9,16,"1ST FLOOR, TRIBHUVAN COMPLEX, O/A/2, Ghod Dod Rd, Athwa, Surat, Gujarat 395007",Athwa,21.1748665,72.80112199999999,ChIJ35BeJ-xN4DsRT-xVduCSfow,https://www.google.com/maps/place/?q=place_id:ChIJ35BeJ-xN4DsRT-xVduCSfow,part_316,2026-09-20 20:28:53
Mythri Forex Kukatpally,Money Transfer and Forex,Money transfer service,"Money transfer service, Money order service, Currency exchange service",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 96039 51951,http://www.mythriforex.com/,4.9,659,"Flat No.104, Manjula Apartments, JNTU - Hitech City Rd, Kukatpally Housing Board Colony, K P H B Phase 3, Kukatpally, Hyderabad, Telangana 500085","Kukatpally Housing Board Colony, K P H B Phase 3, Kukatpally",17.49074,78.3931362,ChIJAUoMDdyRyzsRmZ-XjSqaYXE,https://www.google.com/maps/place/?q=place_id:ChIJAUoMDdyRyzsRmZ-XjSqaYXE,part_316,2026-09-20 20:28:53
Western Union Money Transfer,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 96183 35550,N/A,3.8,16,"Opposite, Sowbhagya Nagar, IDPL Colony, Balanagar, Hyderabad, Telangana 500037","IDPL, Sowbhagya Nagar, IDPL Colony, Balanagar",17.485509099999998,78.4495422,ChIJPx0XIEOQyzsRxxS3npt6zLU,https://www.google.com/maps/place/?q=place_id:ChIJPx0XIEOQyzsRxxS3npt6zLU,part_316,2026-09-20 20:28:53
PRIYANSHI FOREX PVT. LTD.,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 99995 58477,N/A,4.4,87,"GROUND FLOOR, CLOSE TO FITGEE, PLOT NO 127, Sector 44, Gurugram, Haryana 122003",Sector 44,28.451135999999998,77.0731711,ChIJ_xAsiicZDTkR90y6bQFwKIk,https://www.google.com/maps/place/?q=place_id:ChIJ_xAsiicZDTkR90y6bQFwKIk,part_316,2026-09-20 20:28:53
J B Forex Services,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service, Visa Agent",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 78271 18478,https://www.justdial.com/Faridabad/J-B-Forex-Services-Nearby-Haldiram-Faridabad-Sector-16/011PXX11-XX11-150113164501-R5K1_BZDET,4.6,14,"G-9, Ground Floor, Shubham Plaza, near Sagar Cinema, near sagar cinema. Punjab National Bank, HUDA Staff Colony, Sector 16, Faridabad, Haryana 121002","HUDA Staff Colony, Sector 16",28.412131499999997,77.3198512,ChIJp62dzLHdDDkR84D1d0GKkbM,https://www.google.com/maps/place/?q=place_id:ChIJp62dzLHdDDkR84D1d0GKkbM,part_316,2026-09-20 20:28:53
Forex Expert Money Exchange Services,Money Transfer and Forex,Currency exchange service,Currency exchange service,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 76786 73008,http://forexexperts.in/,5.0,341,"C-160, C Block, Pocket I, Mayfield Garden, Sector 47, Gurugram, Haryana 122018","C Block, Pocket I, Mayfield Garden, Sector 47",28.419848499999997,77.061263,ChIJqUbupgQjDTkRNXvG6kDeCGk,https://www.google.com/maps/place/?q=place_id:ChIJqUbupgQjDTkRNXvG6kDeCGk,part_316,2026-09-20 20:28:53
Shahi Money Changer Pvt. Ltd.,Money Transfer and Forex,Money transfer service,"Money transfer service, Currency exchange service",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 98249 60606,https://www.shahitours.in/,5.0,375,"L19 CENTER POINT NR. NIRMAL HOSPITAL, NEW CIVIL CHAAR RAASTA, Ring Rd, in front of Dhruv Honda Showroom, Surat, Gujarat 395002",Sagrampura,21.181310399999997,72.8239878,ChIJk689qLtP4DsRnlVPZ0GWZfQ,https://www.google.com/maps/place/?q=place_id:ChIJk689qLtP4DsRnlVPZ0GWZfQ,part_316,2026-09-20 20:28:53
SVDR Forex | Money Exchange Services,Money Transfer and Forex,Currency exchange service,Currency exchange service,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 96506 14471,https://svdr-forex.grexa.site/,4.8,406,"Vyapar Kendra Market, UGF-179A, Block C2, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002","Block C2, Sushant Lok Phase I, Sector 43",28.4601264,77.0841054,ChIJ0cQyeRcZDTkRva9xALnDPnw,https://www.google.com/maps/place/?q=place_id:ChIJ0cQyeRcZDTkRva9xALnDPnw,part_316,2026-09-20 20:28:53
moneyHOP,Money Transfer and Forex,Money transfer service,Money transfer service,711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 63640 01001,http://www.moneyhop.co/,4.5,505,"2082, 24th Main Rd, Vanganahalli, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","Vanganahalli, 1st Sector, HSR Layout",12.9133649,77.6487947,ChIJT4Z87ygVrjsRXCOrXEkyiMs,https://www.google.com/maps/place/?q=place_id:ChIJT4Z87ygVrjsRXCOrXEkyiMs,part_316,2026-09-20 20:28:53
Nirmalson Forex Pvt. Ltd,Money Transfer and Forex,Money transfer service,"Money transfer service, Money order service, Currency exchange service",711305,West Bengal Circle,South Bengal Region,Howrah Division,Bauria SO,+91 98101 54637,N/A,4.9,91,"WC) Corner Shop, 5/19 (Part, Old Double Storey, Nirmal Colony, Block 6, Lajpat Nagar 4, Lajpat Nagar, New Delhi, Delhi 110024","Old Double Storey, Nirmal Colony, Block 6, Lajpat Nagar 4, Lajpat Nagar",28.563777199999997,77.2412166,ChIJm_z3R7PjDDkR5Crm2OIEYmI,https://www.google.com/maps/place/?q=place_id:ChIJm_z3R7PjDDkR5Crm2OIEYmI,part_316,2026-09-20 20:28:54
