business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Looks Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Beautician, Beauty product supplier, Beauty supply store, Tanning salon, Hairdresser, Waxing hair removal service",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 70312 34515,https://looks-unisex-salon.pages.dev/,4.8,52.0,"Looks Unisex Salon, Garui More, near Asansol Engineering College, Asansol, West Bengal 713341",713301,23.7193088,86.94193589999999,ChIJd9La8eQf9zkRjps5xkdfcf4,https://www.google.com/maps/place/?q=place_id:ChIJd9La8eQf9zkRjps5xkdfcf4,part_319,2026-09-20 20:36:57
TROVE UNISEX SALON AND ACADEMY,Unisex Salon,Hairdresser,"Hairdresser, Skin care clinic, Beautician",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 70292 63660,https://m.facebook.com/61564489960872/,4.8,133.0,"BB College more, Grand Trunk Rd, near KTM bike Showroom, Ushagram, Asansol, West Bengal 713303",Ushagram,23.6789111,86.99755499999999,ChIJefoNvMIZ9zkRyAvWTC4wufU,https://www.google.com/maps/place/?q=place_id:ChIJefoNvMIZ9zkRyAvWTC4wufU,part_319,2026-09-20 20:36:57
Haircraft express,Unisex Salon,Beauty Parlour,Beauty Parlour,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 98511 08120,N/A,4.8,119.0,"Lions Club Rd, Kanyapur, Asansol, West Bengal 713305",Kanyapur,23.7038545,86.9481642,ChIJR3E_OpQf9zkRVB9g_rJW2xs,https://www.google.com/maps/place/?q=place_id:ChIJR3E_OpQf9zkRVB9g_rJW2xs,part_319,2026-09-20 20:36:57
Head Turners,Unisex Salon,Beauty Parlour,Beauty Parlour,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 86979 74790,http://www.headturners.co.in/,4.6,490.0,"Burnpur Rd, IISCO Steel Plant, Burnpur, Asansol, West Bengal 713325","IISCO Steel Plant, Burnpur",23.6846101,86.9417603,ChIJO6dxRVUe9zkRIL9G6Gqe1xQ,https://www.google.com/maps/place/?q=place_id:ChIJO6dxRVUe9zkRIL9G6Gqe1xQ,part_319,2026-09-20 20:36:57
Dipu Hair Style Saloon,Unisex Salon,Hair salon,Hair salon,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 70988 16185,N/A,4.5,21.0,"2 No, Kali Mandir Rd, near Circle, Mohishila Colony, 713303Asansol, Asansol, West Bengal 713301","Mohishila Colony, 713303Asansol",23.6761827,86.9759047,ChIJd1DIBPcf9zkRA7v-wb4IbAk,https://www.google.com/maps/place/?q=place_id:ChIJd1DIBPcf9zkRA7v-wb4IbAk,part_319,2026-09-20 20:36:57
Beyond Beauty Unisex Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 62900 64993,N/A,4.7,15.0,"MXV3+PG2, Bijoy Pal Sarani, Apcar Garden, Asansol, West Bengal 713304",Apcar Garden,23.694392999999998,86.95375969999999,ChIJl34cdgAf9zkRCMz8MfCE7Y0,https://www.google.com/maps/place/?q=place_id:ChIJl34cdgAf9zkRCMz8MfCE7Y0,part_319,2026-09-20 20:36:57
The Jc World family salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Beautician, Charter school, Facial spa, Hair extension technician, Make-up artist, Nail salon, Tanning salon, Hairdresser, Waxing hair removal service",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 83458 25820,N/A,4.9,136.0,"beside Vishal Mega Mart, Ushagram, Asansol, West Bengal 713303",Ushagram,23.6776146,87.0012309,ChIJBezWt28Z9zkR38l6IH6LXfU,https://www.google.com/maps/place/?q=place_id:ChIJBezWt28Z9zkR38l6IH6LXfU,part_319,2026-09-20 20:36:58
Identity Salon - A Complete Family Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 98325 75424,N/A,4.8,461.0,"SENRELEIGH ROAD, W Apcar Garden Main Rd, near MEERA INTERNATIONAL HOTEL, Asansol, West Bengal 713304",Munshi Bazar,23.6947507,86.9516305,ChIJQXp5YI4f9zkRyH-khQuko1g,https://www.google.com/maps/place/?q=place_id:ChIJQXp5YI4f9zkRyH-khQuko1g,part_319,2026-09-20 20:36:58
Avallon Luxury Family Salon,Unisex Salon,Beauty Parlour,Beauty Parlour,713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 73640 86969,N/A,4.7,199.0,"Jagarnath plaza, Girls College Rd, beside Galaxy Mall, IISCO Steel Plant, Burnpur, Asansol, West Bengal 713325","IISCO Steel Plant, Burnpur",23.684492499999998,86.9432168,ChIJGYlHeBAf9zkRTrYiyrQRU-U,https://www.google.com/maps/place/?q=place_id:ChIJGYlHeBAf9zkRTrYiyrQRU-U,part_319,2026-09-20 20:36:58
"Essensuals by TONI&GUY , Asansol",Unisex Salon,Beauty Parlour,"Beauty Parlour, Hairdresser",713301,West Bengal Circle,South Bengal Region,Asansol Division,"Asansol HO, Hutton Road SO, SBGorai Road SO",+91 74073 02222,http://www.citiresidenci.com/,4.8,125.0,"NH2, Nigha, More, Asansol, West Bengal 713370",713301,23.669941299999998,87.03311959999999,ChIJYbVLlksZ9zkR2P4QAXCLdV4,https://www.google.com/maps/place/?q=place_id:ChIJYbVLlksZ9zkR2P4QAXCLdV4,part_319,2026-09-20 20:36:58
