business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Abul Motorcycle Repairing Shop,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 89266 41314,N/A,5,,"Abul Motorcycle Parts, Gangpur Railway Sta Rd, Station Bazar, Jotram, West Bengal 713149",Station Bazar,23.219660299999997,87.92480139999999,ChIJoQT5FXVJ-DkREz0ot0HjbCs,https://www.google.com/maps/place/?q=place_id:ChIJoQT5FXVJ-DkREz0ot0HjbCs,part_318,2026-09-20 20:46:46
Motorcycle headquarter,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 78649 88136,N/A,5,,"Chandan Workshop, Camp, Mahesh Danga, Bahara, West Bengal 713151",Camp,23.1618583,88.05961889999999,ChIJi7-7mchb-DkR4cRGXJ7Xon4,https://www.google.com/maps/place/?q=place_id:ChIJi7-7mchb-DkR4cRGXJ7Xon4,part_318,2026-09-20 20:46:46
মারাং বুরু মটরসাইকেল গেরেজ,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5,,"7334+X3X, Kuchut, Kaleswar, West Bengal 713151",713124,23.255018699999997,88.0553884,ChIJSZrvDwBR-DkRAASXzjJ0VIk,https://www.google.com/maps/place/?q=place_id:ChIJSZrvDwBR-DkRAASXzjJ0VIk,part_318,2026-09-20 20:46:46
বড়মা অটো সাভিস,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5,,"Palashan Hattala, Palasan, West Bengal 713424",713124,23.0565742,87.85678159999999,ChIJI-cDSgBB-DkR2A7RgkHxt9Y,https://www.google.com/maps/place/?q=place_id:ChIJI-cDSgBB-DkR2A7RgkHxt9Y,part_318,2026-09-20 20:46:46
অনি সার্ভিস সেন্টার,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5,,"732M+JWP, Jabui, West Bengal 713151",713124,23.251576,88.08483299999999,ChIJHSvYegBR-DkRF9vfppTwAOk,https://www.google.com/maps/place/?q=place_id:ChIJHSvYegBR-DkRF9vfppTwAOk,part_318,2026-09-20 20:46:46
Laxmi Mata Auto Center,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 89440 39658,N/A,5,,"3WJ7+V82, Narayanpur-Bokra Road, Birampur, West Bengal 713421",713124,23.0815648,87.9130778,ChIJi783FABB-DkRBIWioSZQqL4,https://www.google.com/maps/place/?q=place_id:ChIJi783FABB-DkRBIWioSZQqL4,part_318,2026-09-20 20:46:46
Hamidulla Tyre Repair Shop,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5,,"52FH+5HH, Kanai Danga, Genraghata, West Bengal 713151",713124,23.1729318,88.0289797,ChIJ_6CQFgBb-DkRpyaiyIbcFig,https://www.google.com/maps/place/?q=place_id:ChIJ_6CQFgBb-DkRpyaiyIbcFig,part_318,2026-09-20 20:46:46
Bhaijaan Motors,Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5,,"427C+3MV, Chowberia Bazaar, Choubariya, Jamalpur, Biswambharpur, West Bengal 713124","Chowberia Bazaar, Choubariya",23.112741999999997,88.021672,ChIJM1P9dj1b-DkRR6mPT-roR78,https://www.google.com/maps/place/?q=place_id:ChIJM1P9dj1b-DkRR6mPT-roR78,part_318,2026-09-20 20:46:46
Yeasin Motorcycle Service Centre,Two Wheeler Repair and Mechanic,Auto repair shop,Auto repair shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",N/A,N/A,5,,"Tarkeshwar Road, near Indian Oil, Chomatha, Ajhapur, Memari, West Bengal 713401",Chomatha,23.1302421,88.0494755,ChIJH2CudABb-DkRivhjsaICWaM,https://www.google.com/maps/place/?q=place_id:ChIJH2CudABb-DkRivhjsaICWaM,part_318,2026-09-20 20:46:46
Aman Auto service(jahangir),Two Wheeler Repair and Mechanic,Two Wheeler Repair Shop,Two Wheeler Repair Shop,713124,West bengal circle,South Bengal Region,Burdwan Division,"Chakshanjadi BO, Barsul Unnayani SO, Belna BO",+91 83488 85818,N/A,5,,"2233+XH2, Memari - Tarkeswar Rd, Jargram, West Bengal 713404",713124,23.0048365,88.00388439999999,ChIJ092ZdwBD-DkRqWyjapJeOWc,https://www.google.com/maps/place/?q=place_id:ChIJ092ZdwBD-DkRqWyjapJeOWc,part_318,2026-09-20 20:46:46
