business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Hotel & Restaurant Manpower Agency - India's Best Hotel Job Consultancy in Kolkata,Hospitality Consultants,Human resource consulting,"Human resource consulting, Employment center, Employment consultant, Hotel, Hotel Management Institute, Unemployment office",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 89183 73469,https://hotelmanpower.com/,4.7,96.0,"10, Rafi Ahmed Kidwai Rd, near Srijoni Club, Bapuji Colony, Satgachi, Dum Dum, Kolkata, West Bengal 700028","Bapuji Colony, Satgachi, Dum Dum",22.6165713,88.414833,ChIJI0xjRQWd-DkRv8vQ-uH3FLo,https://www.google.com/maps/place/?q=place_id:ChIJI0xjRQWd-DkRv8vQ-uH3FLo,part_313,2026-09-20 20:17:18,4697
"S4 Consultants - Hospitality Consultant India | Hotel, Restaurant & Cafe Consulting",Hospitality Consultants,Consultant,"Consultant, Business management consultant",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90515 84521,https://s4consultants.co.in/,4.9,16.0,"Bidhanpally, Garia, Kolkata, West Bengal 700084","Bidhanpally, Garia",22.467321,88.36979099999999,ChIJPTOPljSqoWQRQM3hvPaNEYc,https://www.google.com/maps/place/?q=place_id:ChIJPTOPljSqoWQRQM3hvPaNEYc,part_313,2026-09-20 20:17:18,4698
SKT Hospitality Services,Hospitality Consultants,Business management consultant,"Business management consultant, Business development service, Consultant, Hotel, Hotel Management Institute, Human resource consulting, Restaurant",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 70448 64960,http://www.sktgrp.net/,4.7,50.0,"20/1/1A Station Road, Near Ballygunge-Railway Ticket Counter, Ballygunge, Kolkata, West Bengal 700019 Golpark, near Ballygunge Nursing Home, Fern Place, Gariahat, Kolkata, West Bengal 700019","Golpark, Fern Place, Gariahat",22.5194881,88.3715024,ChIJLSn6ScB3AjoRaNkUktZYnF0,https://www.google.com/maps/place/?q=place_id:ChIJLSn6ScB3AjoRaNkUktZYnF0,part_313,2026-09-20 20:17:18,4699
Tejpal Hospitality,Hospitality Consultants,Consultant,"Consultant, Bar, Bar restaurant furniture store, Bistro, Countertop store, Hospitality high school, Hotel, Resort hotel, Restaurant, Shared-use commercial kitchen",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 99035 88075,N/A,4.9,39.0,"Shyam Kunj, 12 - B, Lord Sinha Road, Elgin, Kolkata, West Bengal 700071",Elgin,22.5437081,88.3497084,ChIJ09_k7RZ3AjoRq7y7kWd6o8c,https://www.google.com/maps/place/?q=place_id:ChIJ09_k7RZ3AjoRq7y7kWd6o8c,part_313,2026-09-20 20:17:18,4700
Bless Hospitality Services,Hospitality Consultants,Food manufacturer,Food manufacturer,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 97423 11133,https://www.blesshospitality.com/,4.0,61.0,"10 M, P-29 Scheme, 10m, CIT Rd, Subhas Sarobar Park, Phoolbagan, Beleghata, Kolkata, West Bengal 700010","Subhas Sarobar Park, Phoolbagan, Beleghata",22.5661006,88.3988315,ChIJI-etaCx3AjoRNc4X9J_F5n0,https://www.google.com/maps/place/?q=place_id:ChIJI-etaCx3AjoRNc4X9J_F5n0,part_313,2026-09-20 20:17:18,4701
CAP Consultancy,Hospitality Consultants,Educational consultant,Educational consultant,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 82820 52966,N/A,4.9,15.0,"1st Floor, 4 No, Dum Dum Rd, opposite Maa Kali Temple, Daga Colony, Space Town, Bahiragath Colony, Dum Dum, Kolkata, West Bengal 700074","Daga Colony, Space Town, Bahiragath Colony, Dum Dum",22.6208343,88.39988939999999,ChIJjWxV61md-DkRzD06KgNlMoE,https://www.google.com/maps/place/?q=place_id:ChIJjWxV61md-DkRzD06KgNlMoE,part_313,2026-09-20 20:17:18,4702
Reyansh Management Services,Hospitality Consultants,Human resource consulting,"Human resource consulting, Employment consultant, Recruiter",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 84818 81626,http://www.reyanshmanagement.com/,4.5,48.0,"158, Shyama Prasad Mukherjee Rd, near Rashbehari, Sahanagar, Kalighat, Kolkata, West Bengal 700026","Sahanagar, Kalighat",22.5164753,88.34537139999999,ChIJ2SNWgiJ3AjoR5hoIirMC2AA,https://www.google.com/maps/place/?q=place_id:ChIJ2SNWgiJ3AjoR5hoIirMC2AA,part_313,2026-09-20 20:17:18,4703
SKILLSYYN EDUCATION CONSULTANCY,Hospitality Consultants,Educational consultant,Educational consultant,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 79805 27067,https://skillsyyn-education.grexa.site/,5.0,2.0,"Jhilik's home, Seth Bagan Rd, Manohar Colony, Seth Bagan, Ghughudanga, Dum Dum, South Dumdum, Kolkata, West Bengal 700030","Manohar Colony, Seth Bagan, Ghughudanga, Dum Dum",22.617297,88.3940439,ChIJtdnhoy-f-DkR_vGLdU8Inks,https://www.google.com/maps/place/?q=place_id:ChIJtdnhoy-f-DkR_vGLdU8Inks,part_313,2026-09-20 20:17:18,4704
HumaQuest Consulting India Pvt Ltd,Hospitality Consultants,Executive search firm,Executive search firm,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 33 4600 4040,http://humaquest.com/,4.1,27.0,"Sidco Global Tower, 10th Floor,Unit 1004, Sector V, Bidhannagar, Kolkata, West Bengal 700091","CN Block, Sector V, Bidhannagar",22.577053,88.4343457,ChIJNzskEfZ1AjoRwryfpIgjbiQ,https://www.google.com/maps/place/?q=place_id:ChIJNzskEfZ1AjoRwryfpIgjbiQ,part_313,2026-09-20 20:17:18,4705
RIGHT TRAINING & PLACEMENT SOLUTIONS,Hospitality Consultants,Employment agency,"Employment agency, Career guidance service, Educational consultant, Unemployment office",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98313 15203,N/A,3.8,195.0,"1st Floor, Metro, 94, S Sinthee Rd, near Dumdum, Satpukur, Kolkata, West Bengal 700030",Satpukur,22.6210688,88.3917572,ChIJA04NpQee-DkR2TY2nad4_AI,https://www.google.com/maps/place/?q=place_id:ChIJA04NpQee-DkR2TY2nad4_AI,part_313,2026-09-20 20:17:18,4706
RM HOSPITALITY MANAGEMENT,Hospitality Consultants,Consultant,Consultant,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",N/A,N/A,4.7,37.0,"Hanuman Mandir, Chatakol, Lakshminagar, Dum Dum, Kolkata, West Bengal 700074","Chatakol, Lakshminagar, Dum Dum",22.621901299999998,88.405912,ChIJZy8JNHGf-DkRjNj8lvIz54M,https://www.google.com/maps/place/?q=place_id:ChIJZy8JNHGf-DkRjNj8lvIz54M,part_313,2026-09-20 20:17:18,4707
Xaviers Consultant (Ascendency Consultant Pvt. Ltd.),Hospitality Consultants,Employment agency,Employment agency,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 90622 00755,https://www.xaviersconsultant.org/,3.2,113.0,"6/11a, KC Ghosh Rd, Sinthee, Kolkata, West Bengal 700050",Sinthee,22.6305426,88.38273769999999,ChIJkU0qdjed-DkRQIocW_mA2Zo,https://www.google.com/maps/place/?q=place_id:ChIJkU0qdjed-DkRQIocW_mA2Zo,part_313,2026-09-20 20:17:18,4708
