business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"City Palace Banquet, City Centre 2 above Shoppers Stop",Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 82405 89033,N/A,4.3,104.0,"City Centre 2, Biswa Bangla Sarani, Dash Drone, Action Area IID, Rajarhat, West Bengal 700136","Dash Drone, Action Area IID, Rajarhat",22.6230363,88.4502303,ChIJB7jCyfuf-DkRvX8Ty-oMnIc,https://www.google.com/maps/place/?q=place_id:ChIJB7jCyfuf-DkRvX8Ty-oMnIc,part_315,2026-09-20 20:24:12
Mayuri Banquet Kalipark,Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,N/A,5.0,12.0,"Gopalpur I, Kalipark, Bablatala, Chowmatha, Kolkata, West Bengal 700136","Gopalpur I, Kalipark, Bablatala, Chowmatha",22.636062,88.4539757,ChIJPfIuox6f-DkRwq0MFGWDpfU,https://www.google.com/maps/place/?q=place_id:ChIJPfIuox6f-DkRwq0MFGWDpfU,part_315,2026-09-20 20:24:12
Zora Banquets,Banquet Hall,Banquet hall,"Banquet hall, Restaurant",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,N/A,4.2,272.0,"JFM3+MPV, Rajarhat Main Rd, Vidyasagar Pally, Kalipark, Bablatala, Rajarhat, Kolkata, West Bengal 700136","Vidyasagar Pally, Kalipark, Bablatala, Rajarhat",22.634237,88.4543018,ChIJlXJEMMef-DkR--UonLcmx08,https://www.google.com/maps/place/?q=place_id:ChIJlXJEMMef-DkR--UonLcmx08,part_315,2026-09-20 20:24:12
Raj Palace Banquet Hall,Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 98319 38096,https://rajpalacebanquethall.web.app/,4.1,264.0,"JCHW+CCX, Rajarhat Main Rd, Dash Drone, Kaikhali, Kolkata, West Bengal 700136","Dash Drone, Kaikhali",22.6286465,88.4460328,ChIJLQZ6ls6f-DkRjXxCXPreKfk,https://www.google.com/maps/place/?q=place_id:ChIJLQZ6ls6f-DkRjXxCXPreKfk,part_315,2026-09-20 20:24:12
"Benchmmark Group | Banquet, Catering & Event Management",Banquet Hall,Banquet hall,"Banquet hall, Event management company, Event planner, Event venue, Restaurant supply store, Wedding service, Wedding venue",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 76050 23589,https://www.instagram.com/benchmmarkgroup/,4.5,238.0,"Next to Assam Petrol Pump and Larica Inn, Noapara, Sukanta Pally, Rajarhat, Kolkata, West Bengal 700157","Noapara, Sukanta Pally, Rajarhat",22.622204,88.4445992,ChIJU37jwbmf-DkRGvLzWUh4kLo,https://www.google.com/maps/place/?q=place_id:ChIJU37jwbmf-DkRGvLzWUh4kLo,part_315,2026-09-20 20:24:12
Shantibon Banquet & Lawn,Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 75960 53831,N/A,4.4,26.0,"Rajarhat Main Rd, Gopalpur I, Natunpara, Bablatala, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Natunpara, Bablatala, Rajarhat",22.6341593,88.45806549999999,ChIJ3dq5_nqf-DkR4FHBhE_66no,https://www.google.com/maps/place/?q=place_id:ChIJ3dq5_nqf-DkR4FHBhE_66no,part_315,2026-09-20 20:24:12
"Banquet Hall, Siddha Town.",Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,N/A,4.8,5.0,"Siddha Town, Gopalpur I, Narayanpur, Rajarhat, Kolkata, West Bengal 700136","Gopalpur I, Narayanpur, Rajarhat",22.641300899999997,88.4720579,ChIJnXFzIQCf-DkRJYzK8pBBUdc,https://www.google.com/maps/place/?q=place_id:ChIJnXFzIQCf-DkRJYzK8pBBUdc,part_315,2026-09-20 20:24:12
Durbaar Banquets,Banquet Hall,Banquet hall,"Banquet hall, Wedding venue, Event venue, Function room facility",700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 99039 59633,https://durbaarbanquets.com/,4.8,42.0,"Biswa Bangla Sarani, near City Centre 2, Dash Drone, Rajarhat, Kolkata, West Bengal 700136","Dash Drone, Rajarhat",22.6236882,88.44355639999999,ChIJs4_WYqSf-DkRJTCj7caRcQI,https://www.google.com/maps/place/?q=place_id:ChIJs4_WYqSf-DkRJTCj7caRcQI,part_315,2026-09-20 20:24:12
Diamond Garden Banquet,Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",N/A,N/A,4.6,28.0,"JFJ2+J7H, Salua, Tali Park, Rajarhat, Kolkata, West Bengal 700136","Salua, Tali Park, Rajarhat",22.631556999999997,88.450745,ChIJ4Y-NfACf-DkRrrUtzEHJ1IE,https://www.google.com/maps/place/?q=place_id:ChIJ4Y-NfACf-DkRrrUtzEHJ1IE,part_315,2026-09-20 20:24:12
Weddings Bell,Banquet Hall,Banquet hall,Banquet hall,700136,West Bengal Circle,Kolkata Region,Barasat Division,"Rajarhat Gopalpur SO, Narayanpur BO",+91 78570 51141,https://weddingsbell.com/,5.0,2.0,"Dash Drone, Rajarhat, Kolkata, West Bengal 700136","Dash Drone, Rajarhat",22.6268896,88.44632419999999,ChIJl2XOCcqf-DkR5hgVsY9rVkc,https://www.google.com/maps/place/?q=place_id:ChIJl2XOCcqf-DkR5hgVsY9rVkc,part_315,2026-09-20 20:24:12
