business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mondal's Udyog (Best car workshop in Howrah),Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90382 12261,https://mondaludyog.in/,4.8,,"58/1, Lakhi Narayantala Road, Hospital, near South, Howrah, West Bengal 711103","B Shalimar Area, Shalimar",22.5593505,88.3050809,ChIJN17Q5QF5AjoRdljHozB6b1Q,https://www.google.com/maps/place/?q=place_id:ChIJN17Q5QF5AjoRdljHozB6b1Q,part_316,2026-09-20 20:17:10,2466
GoMechanic - Automobile Repair Workshop,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car repair and maintenance service, Car wash, Mechanic, Repair service, Suzuki dealer",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,5.0,,"Mohiyari Rd, GIP Colony, Jagacha, Howrah, West Bengal 711112","GIP Colony, Jagacha",22.5897675,88.29239869999999,ChIJAclmqmd4AjoR0wNvxTsZGYg,https://www.google.com/maps/place/?q=place_id:ChIJAclmqmd4AjoR0wNvxTsZGYg,part_316,2026-09-20 20:17:10,2467
Sajal Auto,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98756 97100,N/A,5.0,,"Kamardanga Rd, near Chittaranjan Seva Sangha club, near Chittaranjan Seva Sanga Club, Kamardanga, Ichapur, Howrah, West Bengal 711104","Kamardanga, Ichapur",22.595679999999998,88.3048651,ChIJM9gHvAZ5AjoRvF4lUiv6yec,https://www.google.com/maps/place/?q=place_id:ChIJM9gHvAZ5AjoRvF4lUiv6yec,part_316,2026-09-20 20:17:10,2468
Aradhaya Auto Service,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 79802 04247,N/A,5.0,,"Jorapukur, Chunavati, Duillya, Kolkata, Howrah, West Bengal 711109","Chunavati, Duillya",22.5717505,88.2688032,ChIJqels9uZ4AjoR4qoCoUAlUyc,https://www.google.com/maps/place/?q=place_id:ChIJqels9uZ4AjoR4qoCoUAlUyc,part_316,2026-09-20 20:17:10,2469
Scotty's Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.9,,"2544 Barksdale Blvd, Bossier City, LA 71112, United States",711111,32.5037734,-93.6965231,ChIJFzHdF2cyMYYRmsFktOzwT1A,https://www.google.com/maps/place/?q=place_id:ChIJFzHdF2cyMYYRmsFktOzwT1A,part_316,2026-09-20 20:17:10,2470
GoMechanic - Car Service Howrah,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car wash, Honda dealer, Hyundai dealer, Kia dealer, Mechanic, Toyota dealer, Volkswagen dealer",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,4.5,,"Rajarbagan, Ramrajatala, Howrah, West Bengal 711113","Rajarbagan, Ramrajatala",22.603600699999998,88.2979182,ChIJKSCSPXF4AjoRuMutWfkUOcY,https://www.google.com/maps/place/?q=place_id:ChIJKSCSPXF4AjoRuMutWfkUOcY,part_316,2026-09-20 20:17:10,2471
GoMechanic - Car Service Center Howrah,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body parts supplier, Car repair and maintenance service, Car wash, Mechanic, Repair service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,2.5,,"Podrah Shibtala Rd, Panchpara, Mourigram, Howrah, West Bengal 711109","Panchpara, Mourigram",22.5671833,88.27276409999999,ChIJSwq4i895AjoRa0YqtPAlcKQ,https://www.google.com/maps/place/?q=place_id:ChIJSwq4i895AjoRa0YqtPAlcKQ,part_316,2026-09-20 20:17:10,2472
Rodriguez Auto Repair Shop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.6,,"950 Dee Dee St, Bossier City, LA 71111, United States",711111,32.5318065,-93.6816774,ChIJrZSJYcozMYYRGzZMdxgVgsw,https://www.google.com/maps/place/?q=place_id:ChIJrZSJYcozMYYRGzZMdxgVgsw,part_316,2026-09-20 20:17:10,2473
The Auto Repair Shop,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://www.facebook.com/theautorepairshopbossier,3.8,,"4201 E Texas St, Bossier City, LA 71111, United States",711111,32.5319035,-93.6785069,ChIJq6p-nsszMYYR_b6CH9xzLfM,https://www.google.com/maps/place/?q=place_id:ChIJq6p-nsszMYYR_b6CH9xzLfM,part_316,2026-09-20 20:17:10,2474
Greenacres Automotive,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://greenacres-automotive.jeeq.io/,4.8,,"2116 California Dr, Bossier City, LA 71111, United States",711111,32.5367142,-93.7232246,ChIJuY9hcBgzMYYR2dDF1vea55w,https://www.google.com/maps/place/?q=place_id:ChIJuY9hcBgzMYYR2dDF1vea55w,part_316,2026-09-20 20:17:10,2475
Grewal Auto Service,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car repair and maintenance service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98310 17806,https://www.grewalmotors.com/,3.9,,"97/1, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","Choura Bustee, Shibpur",22.5630487,88.3263217,ChIJdwVMm113AjoRRElntr3ZMc4,https://www.google.com/maps/place/?q=place_id:ChIJdwVMm113AjoRRElntr3ZMc4,part_316,2026-09-20 20:17:10,2476
Monroe's Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,http://monroesgarage.com/,4.1,,"3120 Barksdale Blvd, Bossier City, LA 71112, United States",711111,32.4963432,-93.6904174,ChIJNYlStW8yMYYR_f_6kvP_WwA,https://www.google.com/maps/place/?q=place_id:ChIJNYlStW8yMYYR_f_6kvP_WwA,part_316,2026-09-20 20:17:10,2477
Red River Auto Care,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto air conditioning service, Auto electrical service, Auto radiator repair service, Auto repair shop, Auto tune up service, Brake shop, Radiator repair service, Towing service, Wheel alignment service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,https://www.redriverautocare.co/,4.8,,"1616 Jimmie Davis Hwy, Bossier City, LA 71112, United States",711111,32.4585553,-93.66889429999999,ChIJx5CMdFotMYYR6aFXr-IjQAw,https://www.google.com/maps/place/?q=place_id:ChIJx5CMdFotMYYR6aFXr-IjQAw,part_316,2026-09-20 20:17:10,2478
GoMechanic - Car Mechanic Howrah,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Car repair and maintenance service, Honda dealer, Hyundai dealer, Kia dealer, Mechanic, Garage, Toyota dealer, Volkswagen dealer, Volvo dealer",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,3.9,,"4C/1, Mali Panchghara, Howrah, West Bengal 711106",Mali Panchghara,22.5941813,88.3465161,ChIJT6vDOKp3AjoR2ok-D9xP4wI,https://www.google.com/maps/place/?q=place_id:ChIJT6vDOKp3AjoR2ok-D9xP4wI,part_316,2026-09-20 20:17:10,2479
MI Motors Howrah,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 83488 36788,N/A,4.7,,"4/11, GT Rd S, Babudanga, Salkia, Howrah, West Bengal 711106","Babudanga, Salkia",22.6059861,88.3431864,ChIJK2s90h55AjoRkrijZK7nkZc,https://www.google.com/maps/place/?q=place_id:ChIJK2s90h55AjoRkrijZK7nkZc,part_316,2026-09-20 20:17:10,2480
The Lokal Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 93302 27943,http://instagram.com/thelokalgarage,4.8,,"3, 1, Kumarpara Rd, Liluah, Howrah, West Bengal 711204",Liluah,22.6151436,88.3351921,ChIJrYwQnBed-DkRlpz2ZMSmlKk,https://www.google.com/maps/place/?q=place_id:ChIJrYwQnBed-DkRlpz2ZMSmlKk,part_316,2026-09-20 20:17:10,2481
"Lawless Automotive Mobile Mechanic, LLC",Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.8,,"2119 Alison Ave, Bossier City, LA 71112, United States",711111,32.4761387,-93.65743239999999,ChIJh7uMjqQxMYYRMYAYBs57tig,https://www.google.com/maps/place/?q=place_id:ChIJh7uMjqQxMYYRMYAYBs57tig,part_316,2026-09-20 20:17:10,2482
Motomech's Car Service Center,Car Repair Workshop and Garage,Car repair and maintenance service,"Car repair and maintenance service, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto electrical service, Auto glass repair service, Auto painting, Auto repair shop, Car wash, Vehicle inspection service, Wheel alignment service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 87775 69128,https://motomechscar-service.grexa.site/,4.7,179.0,"153/8/1, Bakrahat Road, Joka, Kolkata, West Bengal 700104",Joka,22.4485939,88.2903156,ChIJRRFLI2x7AjoRTdVs0Onh4B4,https://www.google.com/maps/place/?q=place_id:ChIJRRFLI2x7AjoRTdVs0Onh4B4,part_316,2026-09-20 20:17:11,2483
"Mahindra Workshop, Maheshtala - Himatsingka Motors",Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body shop, Auto painting, Car dealer, Car wash",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98307 01822,https://www.facebook.com/mahindrahimatsingkamotors/,4.9,932.0,"Anandnagar, Parbangla, near Praxair Gas Factory, Nangi, Budge Budge, Maheshtala, West Bengal 700140","Nangi, Budge Budge",22.4974802,88.21809669999999,ChIJa-mnIjp8AjoRQTFBY2nvS2k,https://www.google.com/maps/place/?q=place_id:ChIJa-mnIjp8AjoRQTFBY2nvS2k,part_316,2026-09-20 20:17:11,2484
Longlife Automotives,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 97348 98584,http://longlifeautomotives.in/,4.8,187.0,"Kolatala More, opposite of senco gold, Amta, Guzarpur, West Bengal 711401",711111,22.570565199999997,88.014701,ChIJxd-V4ZODAjoRfMTI85pnQyQ,https://www.google.com/maps/place/?q=place_id:ChIJxd-V4ZODAjoRfMTI85pnQyQ,part_316,2026-09-20 20:17:11,2485
Mondal's Udyog (Best Car workshop),Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Chauffeur service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90382 12261,https://mondaludyog.in/,4.5,,"210n, Raja Rammohan Roy Rd, Sarada Pally, Kolkata, West Bengal 700008",Sarada Pally,22.4884248,88.3279955,ChIJfUMcKARxAjoRVrwUPKRj1so,https://www.google.com/maps/place/?q=place_id:ChIJfUMcKARxAjoRVrwUPKRj1so,part_316,2026-09-20 20:17:12,2486
11 MOTORS | Luxury Car Repair & Service,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto body shop, Auto electrical service, Auto painting, Auto spring shop, Brake shop, Diesel engine repair service, Oil change service, Transmission shop",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 93391 10111,https://www.11motors.com/,4.7,,"Gate No. 1 & 2, Between Stadium, Salt Lake Stadium Rd, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","JC Block, Sector 3, Bidhannagar",22.5713641,88.4095658,ChIJx63llj51AjoRH_fI-vuCK7o,https://www.google.com/maps/place/?q=place_id:ChIJx63llj51AjoRH_fI-vuCK7o,part_316,2026-09-20 20:17:12,2487
AS AUTO GARAG (CAR REPAIR GARAG),Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 73793 24115,https://www.facebook.com/share/19P6AwRErp/,4.9,,"cng pump, opp. Khambalpada Road, near rudra service centre, Dombivli, Dombivli East, Kalyan, Maharashtra 421203","Dombivli, Dombivli East",19.2194152,73.1073914,ChIJi4XtHLSV5zsRRNXzKqEf-tM,https://www.google.com/maps/place/?q=place_id:ChIJi4XtHLSV5zsRRNXzKqEf-tM,part_316,2026-09-20 20:17:12,2488
Mahesh Car Repairing Centre,Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98306 58578,N/A,4.8,,"1091, Jessore Rd, near Sarojini Naidu College, Golpark, Dum Dum, North Dumdum, West Bengal 700028","Golpark, Dum Dum",22.6277238,88.4189296,ChIJUWfYUBae-DkRZOjdgf-Oo4U,https://www.google.com/maps/place/?q=place_id:ChIJUWfYUBae-DkRZOjdgf-Oo4U,part_316,2026-09-20 20:17:12,2489
CAR CARE CLINIC,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 99207 00994,N/A,5.0,,"Malang Gad Rd, Dombivli, Pisavli Village, Dombivli East, Kalyan, Maharashtra 421306","Dombivli, Pisavli Village, Dombivli East",19.215545199999998,73.13030619999999,ChIJ-XIsKr2V5zsRBvIdNAbI7fg,https://www.google.com/maps/place/?q=place_id:ChIJ-XIsKr2V5zsRBvIdNAbI7fg,part_316,2026-09-20 20:17:12,2490
Famous Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70452 77581,N/A,5.0,,"Shilphata, Thane, Maharashtra 421204",Shilphata,19.1514642,73.0349817,ChIJUVGV_Hu_5zsRZdGRaPlklL4,https://www.google.com/maps/place/?q=place_id:ChIJUVGV_Hu_5zsRZdGRaPlklL4,part_316,2026-09-20 20:17:12,2491
Kapil Garage,Car Repair Workshop and Garage,Auto bodywork mechanic,Auto bodywork mechanic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 91360 71718,N/A,4.9,,"shop no 03, Kasturi vihar building, Regency Rd, Dombivli, Sonar Pada, Dombivli East, Kalyan, Maharashtra 421203","Dombivli, Sonar Pada, Dombivli East",19.2049009,73.1080271,ChIJxYQGIgiV5zsRoWJ8Hsb6Odo,https://www.google.com/maps/place/?q=place_id:ChIJxYQGIgiV5zsRoWJ8Hsb6Odo,part_316,2026-09-20 20:17:12,2492
SRI VETRI AUTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 99444 11190,N/A,5.0,,"Namakkal, Tamil Nadu 637001",711111,11.21538,78.1473926,ChIJb2cOUWbOqzsRVR_kw1Lkdm0,https://www.google.com/maps/place/?q=place_id:ChIJb2cOUWbOqzsRVR_kw1Lkdm0,part_316,2026-09-20 20:17:12,2493
Rahul Automobile - Car Decor in Dumdum,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto auction, Car repair and maintenance service, Car wash, Smog inspection station",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 76858 67452,http://www.rahulautomobile.in/,4.9,,"659, Jessore Rd, opposite Sarajini Naidu collage, Golpark, Dum Dum, Kolkata, North Dumdum, West Bengal 700028","Golpark, Dum Dum",22.6275975,88.418742,ChIJlwJBKR2e-DkRy_mbCoNKQc4,https://www.google.com/maps/place/?q=place_id:ChIJlwJBKR2e-DkRy_mbCoNKQc4,part_316,2026-09-20 20:17:12,2494
Royal Car Garage Kalyan,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto body shop, Auto bodywork mechanic, Auto painting, Brake shop, Car repair and maintenance service, Car wash, Diesel engine repair service, Mechanic, Vehicle inspection service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 72087 61466,N/A,4.9,,"Idgah Road, Idgah highway, opposite FMC Market, next to nukkad Tea, APMC Market, Kalyan West, Kalyan, Maharashtra 421301","APMC Market, Kalyan West",19.237572399999998,73.1179507,ChIJs1UUpfaV5zsR0fmbm9NYhD0,https://www.google.com/maps/place/?q=place_id:ChIJs1UUpfaV5zsR0fmbm9NYhD0,part_316,2026-09-20 20:17:12,2495
Car Genie - BM Enterprises,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto body parts supplier, Auto body shop, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto electrical service, Auto insurance agency, Auto painting, Auto restoration service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70039 00368,http://www.cargenie.co.in/,4.6,,"1, RIC Bazar, Dunlop, Bonhooghly, Baranagar, Kolkata, Baranagar, West Bengal 700108","Dunlop, Bonhooghly, Baranagar",22.649983,88.3833298,ChIJxX20ACSd-DkRCXyyTExI5tM,https://www.google.com/maps/place/?q=place_id:ChIJxX20ACSd-DkRCXyyTExI5tM,part_316,2026-09-20 20:17:12,2496
The Car Garage,Car Repair Workshop and Garage,Mechanic,Mechanic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 62009 18758,N/A,4.8,,"sukhapur road, Panvel, Akurli, Maharashtra 410206",Panvel,19.003676,73.1434254,ChIJ7561Jq7p5zsRq2zWMWJJveU,https://www.google.com/maps/place/?q=place_id:ChIJ7561Jq7p5zsRq2zWMWJJveU,part_316,2026-09-20 20:17:12,2497
GoMechanic - Go Car Service,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto electrical service, Auto painting, Car wash, Oil change service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,3.8,,"opp. to Eden City, mondal para, Paschim putkhali, Kolkata, West Bengal 700139",mondal para,22.490312499999998,88.214278,ChIJ21cdJbJ9AjoRK50hlpg3RgU,https://www.google.com/maps/place/?q=place_id:ChIJ21cdJbJ9AjoRK50hlpg3RgU,part_316,2026-09-20 20:17:12,2498
BRIGHT AUTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,4.7,,"34C4+HR2, Sulur, Neelambur, Tamil Nadu 641402",711111,11.07134,77.10695919999999,ChIJLbff_Wf_qDsRie9XNWS1U5M,https://www.google.com/maps/place/?q=place_id:ChIJLbff_Wf_qDsRie9XNWS1U5M,part_316,2026-09-20 20:17:12,2499
Mukherjee Udyog,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 98315 21866,http://mukherjeeudyog.in/,3.6,,"113, Chetla Rd, New Alipore, Kolkata, West Bengal 700027",New Alipore,22.509577,88.33977,ChIJHYW_mLZwAjoRA4QdLXfZ5Jk,https://www.google.com/maps/place/?q=place_id:ChIJHYW_mLZwAjoRA4QdLXfZ5Jk,part_316,2026-09-20 20:17:12,2500
RAJA AUTO GARAGE,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 94428 21515,N/A,,,"Reddipatti, Tamil Nadu 637002",711111,11.2141424,78.19789709999999,ChIJh_sRk7POqzsROA7pHjWv6jg,https://www.google.com/maps/place/?q=place_id:ChIJh_sRk7POqzsROA7pHjWv6jg,part_316,2026-09-20 20:17:12,2501
Renault Howrah Service,Car Repair Workshop and Garage,Renault dealer,Renault dealer,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 81001 83728,https://www.renault.co.in/?utm_source=locator&utm_medium=googleplaces,4.8,317.0,"Police Station, Dag No. 3804 Mouza North Nibra NH6, PO. Bankra, Within Domjur, Howrah, West Bengal 711403",Bankra,22.608206499999998,88.26510789999999,ChIJqctAYg15AjoRc5ZprUmppj0,https://www.google.com/maps/place/?q=place_id:ChIJqctAYg15AjoRc5ZprUmppj0,part_316,2026-09-20 20:17:12,2502
Banerjee janata garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 86172 66790,N/A,5.0,3.0,"H8V5+MQ9, Ichapur, Howrah, West Bengal 711104",Ichapur,22.594168999999997,88.3094843,ChIJj95EZ_B5AjoR_oI9P32pqVk,https://www.google.com/maps/place/?q=place_id:ChIJj95EZ_B5AjoR_oI9P32pqVk,part_316,2026-09-20 20:17:46,7915
MTR (Trucks mechanical services),Car Repair Workshop and Garage,Mechanic,"Mechanic, Towing service",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 98755 91904,https://mtrtowingassistance.rf.gd/emergency-car-bike-towing-howrah/,5.0,8.0,"NH-6, MOTH BAGAN PO, Salap, Paikandashi, Howrah, West Bengal 711409","Salap, Paikandashi",22.616109299999998,88.27484799999999,ChIJ0RqJF3aD-DkR9RJeWQ8M_sg,https://www.google.com/maps/place/?q=place_id:ChIJ0RqJF3aD-DkR9RJeWQ8M_sg,part_316,2026-09-20 20:17:46,7916
Dumurjala Helipad Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",N/A,N/A,3.0,1.0,"Dumurjala Ring Rd, near Helipad, Chakra Beriya, Shibpur, Howrah, West Bengal 711104","Chakra Beriya, Shibpur",22.5814699,88.3080768,ChIJEQPeeMh5AjoRoHzbGrpwV_w,https://www.google.com/maps/place/?q=place_id:ChIJEQPeeMh5AjoRoHzbGrpwV_w,part_316,2026-09-20 20:17:46,7917
"TATA.CARS Service Centre - TC Motors, Salap",Car Repair Workshop and Garage,Auto Accessories Store,"Auto Accessories Store, Auto parts store, Car wash, Electric motor repair shop",711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 70450 17743,https://dealer-locator.cars.tatamotors.com/tata-cars-service-centre-tc-motors-salap-auto-accessories-stores-domjur-howrah-104985/Home?utm_source=locator&utm_medium=googleplaces,4.7,3270.0,"NH 6, Salap More, International city, Ground Floor, West, near Kolkatta, Salap, Domjur, Howrah, West Bengal 711403","Salap, Domjur",22.6144538,88.2731433,ChIJ04F-oOSD-DkRtpPqJy9NUCA,https://www.google.com/maps/place/?q=place_id:ChIJ04F-oOSD-DkRtpPqJy9NUCA,part_316,2026-09-20 20:17:46,7918
NK MOTORS,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 79088 28161,N/A,5.0,4.0,"Dumurjala Ring Rd, Belepole, Chatterjihat, Shibpur, Howrah, West Bengal 711104","Belepole, Chatterjihat, Shibpur",22.5778844,88.3064131,ChIJyx8Tf0d5AjoRIPuKcb-PzJE,https://www.google.com/maps/place/?q=place_id:ChIJyx8Tf0d5AjoRIPuKcb-PzJE,part_316,2026-09-20 20:17:46,7919
Ranjit Auuo Service,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 96092 31465,N/A,4.0,1.0,"Na ,Dharsha, Coloni, near Sitala Mandir, Howrah, West Bengal 711112",Old Jagacha,22.5947212,88.2878511,ChIJmcpxKCJ5AjoRAYNrBdegcG0,https://www.google.com/maps/place/?q=place_id:ChIJmcpxKCJ5AjoRAYNrBdegcG0,part_316,2026-09-20 20:17:46,7920
Maa Kali Maa Tara Auto Service,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 93393 84540,N/A,,,"NA, Nimbalia, Khadarghat To Pantihal Road, Near Play Ground Nimabalia Play Ground, Pantihal Road, 711410, Howrah, West Bengal 711410",711112,22.629476399999998,88.1103428,ChIJ34kEH-l_-DkR7jBLJvjWaGY,https://www.google.com/maps/place/?q=place_id:ChIJ34kEH-l_-DkR7jBLJvjWaGY,part_316,2026-09-20 20:17:46,7921
UNICO Motors,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,711112,West Bengal Circle,South Bengal Region,Howrah Division,"Gip Colony SO, Old Jagacha SO",+91 81009 29501,https://unicomotors.com/,4.8,327.0,"PLOT NO. 7, near GREENFIELD HEIGHTS, DJ Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156","DJ Block(Newtown), Action Area 1D, Newtown",22.5639456,88.47102609999999,ChIJ5Z4MK851AjoRX2Xk0S39KE4,https://www.google.com/maps/place/?q=place_id:ChIJ5Z4MK851AjoRX2Xk0S39KE4,part_316,2026-09-20 20:17:46,7922
