business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Care Health Insurance,Insurance Agent,Health insurance agency,Health insurance agency,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 98368 38383,https://www.careinsurance.com/?utm_source=gmb&utm_medium=organic&utm_campaign=CHI1682,1.0,3.0,"1st Floor, Flat No, Vinayak Plaza, 101, 19, Auddy Ln, P.S, Serampore, West Bengal 712201","P.S, Serampore",22.752288099999998,88.3420058,ChIJZU7aHcmb-DkRMbu7l6B6ZA4,https://www.google.com/maps/place/?q=place_id:ChIJZU7aHcmb-DkRMbu7l6B6ZA4,part_318,2026-09-20 20:30:38
Satya Technology,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 91236 25320,N/A,,,"Satya Technology, 712515, India",712515,23.108641,88.2660988,ChIJsS3tGdXr-DkRVzKv5UXDkYk,https://www.google.com/maps/place/?q=place_id:ChIJsS3tGdXr-DkRVzKv5UXDkYk,part_318,2026-09-20 20:30:38
KARMAKAR INVESTMENT,Insurance Agent,Insurance agency,Insurance agency,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,,,"2F5R+Q7C, Ranaghat - Kalyani Rd, Gobinda Nagar, Madanpur, West Bengal 741245",Gobinda Nagar,23.0094457,88.49063679999999,ChIJ4-lLPgDB-DkRpVeA3-UfGzM,https://www.google.com/maps/place/?q=place_id:ChIJ4-lLPgDB-DkRpVeA3-UfGzM,part_318,2026-09-20 20:30:38
Barai Residence Charbirpara,Insurance Agent,Insurance agent,Insurance agent,712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,,,"charbirpara road, Char Modhusudanpur, Birpara, West Bengal 741251",712515,22.996468,88.4353088,ChIJ4Ue2QIuV-DkRDKTAQqjMlpM,https://www.google.com/maps/place/?q=place_id:ChIJ4Ue2QIuV-DkRDKTAQqjMlpM,part_318,2026-09-20 20:30:38
Car Insurance Agent,Insurance Agent,Insurance broker,"Insurance broker, Service establishment",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 98727 98721,https://www.carinsuranceagent.in/,5.0,4.0,"Car Insurance Agent, 712515, India",712515,30.7412231,76.79884349999999,ChIJDyyyj7AozmsRpkxBkCbbkpo,https://www.google.com/maps/place/?q=place_id:ChIJDyyyj7AozmsRpkxBkCbbkpo,part_318,2026-09-20 20:30:39
Insurance,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,5.0,2.0,"Insurance, 712515, India",712515,46.423669,-129.9427086,ChIJBX3aHS-4bIgRGQX7ZOpSiOs,https://www.google.com/maps/place/?q=place_id:ChIJBX3aHS-4bIgRGQX7ZOpSiOs,part_318,2026-09-20 20:30:39
Insurance,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,3.0,1.0,"Insurance, 712515, India",712515,23.506657,90.3443647,ChIJkT4F8pvBVTcRmXsuHcKcPbo,https://www.google.com/maps/place/?q=place_id:ChIJkT4F8pvBVTcRmXsuHcKcPbo,part_318,2026-09-20 20:30:39
Future Insurance Agency,Insurance Agent,Insurance agency,"Insurance agency, Service establishment",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",N/A,N/A,4.7,3.0,"Future Insurance Agency, 712515, India",712515,46.423669,-129.9427086,ChIJm7H52iPqI4gRnJh_BKeoQtc,https://www.google.com/maps/place/?q=place_id:ChIJm7H52iPqI4gRnJh_BKeoQtc,part_318,2026-09-20 20:30:39
The InsuranceER,Insurance Agent,Insurance broker,"Insurance broker, Service establishment",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 91667 75605,N/A,,,"The InsuranceER, 712515, India",712515,21.0680074,82.7525294,ChIJP6IBFLXlZzkRFeWbcEd7MGo,https://www.google.com/maps/place/?q=place_id:ChIJP6IBFLXlZzkRFeWbcEd7MGo,part_318,2026-09-20 20:30:39
Dey Auto Emission Testing center,Insurance Agent,Smog inspection station,"Smog inspection station, Auto insurance agency",712515,West Bengal Circle,South Bengal Region,Hooghly North Division,"Khamargachi SO, Baneswarpur BO, Dumurdaha BO",+91 91230 48730,N/A,5.0,3.0,"Kalyani - Madanpur Rd, Alaipur, Madanpur, West Bengal 741245",712515,23.0095048,88.4819089,ChIJ-RGdy5zB-DkR6Xp2JLozmkc,https://www.google.com/maps/place/?q=place_id:ChIJ-RGdy5zB-DkR6Xp2JLozmkc,part_318,2026-09-20 20:30:39
