business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kumardhubi Market,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,3.9,,"Chirkunda, Jharkhand 828202",713335,23.7454125,86.78428389999999,ChIJQexzQpzd9jkRhiwylwrUTis,https://www.google.com/maps/place/?q=place_id:ChIJQexzQpzd9jkRhiwylwrUTis,part_320,2026-09-20 20:17:35,5441
Haripur Haat,Wholesale Market / Mandi,Produce market,Produce market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.1,,"M5HW+PFP, Haripur, West Bengal 713378",713335,23.6793349,87.19620979999999,ChIJq6qq7-UU9zkRWg3NO18ZWfo,https://www.google.com/maps/place/?q=place_id:ChIJq6qq7-UU9zkRWg3NO18ZWfo,part_320,2026-09-20 20:17:35,5442
Tetul Tala Bazar,Wholesale Market / Mandi,Produce market,Produce market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.1,,"Bazar, Khosbagan, Bardhaman, West Bengal 713101",Khosbagan,23.242659399999997,87.8656134,ChIJ799ZpsRJ-DkRIW2ykL4duVg,https://www.google.com/maps/place/?q=place_id:ChIJ799ZpsRJ-DkRIW2ykL4duVg,part_320,2026-09-20 20:17:35,5443
Kalyani Market,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.1,,"Anita Cinema Lane, 35, BC Rd, Khosbagan, Bardhaman, West Bengal 713101",Khosbagan,23.240299999999998,87.865,ChIJec2O08RJ-DkRDZPxWf6vuz0,https://www.google.com/maps/place/?q=place_id:ChIJec2O08RJ-DkRDZPxWf6vuz0,part_320,2026-09-20 20:17:36,5444
Palar More Bazar,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.1,,"6V8M+7XG, Bardhaman, Becharhat P, West Bengal 713103",713335,23.215678999999998,87.8849578,ChIJM-0Ed1pJ-DkREC1vLHMvAXo,https://www.google.com/maps/place/?q=place_id:ChIJM-0Ed1pJ-DkREC1vLHMvAXo,part_320,2026-09-20 20:17:36,5445
Natun Bazaar,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,3.8,,"45, Sadarghat Rd, Perbirhata, Bardhaman, West Bengal 713103",Perbirhata,23.2328282,87.86296949999999,ChIJSYidsNFJ-DkRTvJWw7yQvHQ,https://www.google.com/maps/place/?q=place_id:ChIJSYidsNFJ-DkRTvJWw7yQvHQ,part_320,2026-09-20 20:17:36,5446
Bardhaman Municipal Hawkers Market,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",+91 70761 08344,N/A,3.8,,"Rm 30, Municipal Hawkers Market, Hawkers Market , Court Compound, Badamtala, Kalibazar, Bardhaman, West Bengal 713103","Badamtala, Kalibazar",23.240723799999998,87.8686929,ChIJ4TooOMRJ-DkR4u_EZ4idAg4,https://www.google.com/maps/place/?q=place_id:ChIJ4TooOMRJ-DkR4u_EZ4idAg4,part_320,2026-09-20 20:17:36,5447
Sarpi Market,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.0,,"J7V8+W87, Sarpi, Durgapur, West Bengal 713363",713335,23.6447875,87.2657969,ChIJ17k5o4Br9zkRr6wtPdzYEyw,https://www.google.com/maps/place/?q=place_id:ChIJ17k5o4Br9zkRr6wtPdzYEyw,part_320,2026-09-20 20:17:36,5448
Tetultala wakuf state bazar,Wholesale Market / Mandi,Market,Market,713335,West Bengal Circle,South Bengal Region,Asansol Division,"Hindustan Cables SO, Achra BO, Basudevpur Jemari BO",N/A,N/A,4.0,,"6VV8+22G, Tentultala bazaar, West Bengal 713101",Khosbagan,23.242558,87.865084,ChIJeRfsSL5J-DkR4Jpv6SYZF9o,https://www.google.com/maps/place/?q=place_id:ChIJeRfsSL5J-DkR4Jpv6SYZF9o,part_320,2026-09-20 20:17:36,5449
Sabji Mandi,Wholesale Market / Mandi,Vegetable wholesale market,Vegetable wholesale market,713336,West Bengal Circle,South Bengal Region,Asansol Division,"Jamuriahat SO, Mandalpur BO, Taltore BO",N/A,N/A,5.0,,"H84W+V6W, Bansgaon, Balua Urf Gopalpur, Uttar Pradesh 273403",713336,26.557258299999997,83.3458387,ChIJY_YHYwBpkTkRqsZF1-CRCso,https://www.google.com/maps/place/?q=place_id:ChIJY_YHYwBpkTkRqsZF1-CRCso,part_320,2026-09-20 20:18:18,8348
