business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SP Media Events,Media and Event,Event management company,"Event management company, Advertising agency, Caterer, Service establishment, Wedding planner",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 91631 17950,http://www.facebook.com/spmediaevents,5.0,4.0,"SP Media Events, 700030, India",700030,24.374074399999998,87.85113779999999,ChIJwQXOAWd3AjoRaM4uDmv7qP8,https://www.google.com/maps/place/?q=place_id:ChIJwQXOAWd3AjoRaM4uDmv7qP8,part_313,2026-09-20 20:17:18
Abybaby Events Private Limited | Best Event Management Company In Kolkata | BTL Advertising Company In Kolkata,Media and Event,Event management company,"Event management company, Advertising agency, Event planner",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98309 74955,https://abybabyevents.com/,4.1,124.0,"6B, Janak Rd, Lake Market, Kalighat, Kolkata, West Bengal 700029","Lake Market, Kalighat",22.516338299999997,88.34832329999999,ChIJW2NaVDN3AjoRp6nvrFwhNpw,https://www.google.com/maps/place/?q=place_id:ChIJW2NaVDN3AjoRp6nvrFwhNpw,part_313,2026-09-20 20:17:18
Silver Sand Event Management,Media and Event,Event management company,Event management company,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98311 77461,http://www.silversandevents.com/,4.9,1452.0,"82, Sucheta Nagar, Haltu, Kolkata, West Bengal 700078","Sucheta Nagar, Haltu",22.5084245,88.3845046,ChIJAQDc-klxAjoRdlzMur4fYs8,https://www.google.com/maps/place/?q=place_id:ChIJAQDc-klxAjoRdlzMur4fYs8,part_313,2026-09-20 20:17:18
Dream Bubbles,Media and Event,Event management company,"Event management company, Children's party buffet, Children's party service, Event planner, Party planner, Tour agency, Travel agency, Wedding planner, Wedding service",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 91633 58474,http://www.dreambubbles.in/,4.5,37.0,"Bowbazar, 20B, Shreegopal Mullick Ln, Near to, College Square, Kolkata, West Bengal 700012","Near to, Newland, College Square",22.5720454,88.36408759999999,ChIJaUT32Hp3AjoRkP99m6QOgqU,https://www.google.com/maps/place/?q=place_id:ChIJaUT32Hp3AjoRkP99m6QOgqU,part_313,2026-09-20 20:17:18
D2P ADDMEDIA SOLUTION,Media and Event,Advertising agency,"Advertising agency, Gift shop, Event management company, Stationery store",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 62892 42064,N/A,5.0,11.0,"16/8/R/5, Mondal Para Ln, MandalPara, Baranagar, Kolkata, Baranagar, West Bengal 700067","MandalPara, Baranagar",22.6331778,88.3902064,ChIJnex7mD-d-DkRinVoHUtrsG4,https://www.google.com/maps/place/?q=place_id:ChIJnex7mD-d-DkRinVoHUtrsG4,part_313,2026-09-20 20:17:18
The Emotions Wedding Photography & Filmmaking,Media and Event,Photographer,"Photographer, Photo agency, Photography service, Photography studio, Video editing service",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 91477 20858,http://www.theemotions.in/,4.8,31.0,"3/19, Seth Bagan Rd, Sahid Khudiram Bose Sarani, Lal Garh Colony, Dum Dum, Kolkata, South Dumdum, West Bengal 700030","Sahid Khudiram Bose Sarani, Lal Garh Colony, Dum Dum",22.6152023,88.3978053,ChIJjwU8sMDXc44ROiEV78w7q5Q,https://www.google.com/maps/place/?q=place_id:ChIJjwU8sMDXc44ROiEV78w7q5Q,part_313,2026-09-20 20:17:18
RinSan-Events and Entertainment Company,Media and Event,Event management company,Event management company,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 82404 95113,https://www.facebook.com/%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD%EF%BF%BD-105245638525582/,5.0,11.0,"4/1 Green Park Project, Green park, Harimohan Dutta Road, Dum Dum Cantonment, Kolkata, West Bengal 700028","Dum Dum Cantonment, Rajbari, Dum Dum",22.6394172,88.4147459,ChIJm7_Ne12f-DkRrSKblQM3hPw,https://www.google.com/maps/place/?q=place_id:ChIJm7_Ne12f-DkRrSKblQM3hPw,part_313,2026-09-20 20:17:18
Supportact Enterprise Pvt. Ltd - Marketing Communication | Events | Production,Media and Event,Event management company,"Event management company, Advertising agency, Branding agency, Internet marketing service, Marketing agency, Wedding planner",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98302 20204,https://www.supportactcomm.com/,4.9,10.0,"P 41, CIT Scheme, 114 A, Prince Anwar Shah Rd, Lake Gardens, Kolkata, West Bengal 700095",Lake Gardens,22.5023908,88.3552692,ChIJFzmDWTDKwA4RUbG1QeSPlf4,https://www.google.com/maps/place/?q=place_id:ChIJFzmDWTDKwA4RUbG1QeSPlf4,part_313,2026-09-20 20:17:18
TV19 NETWORK,Media and Event,Media house,Media house,700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 81003 60951,https://www.tv19network.com/,4.9,45.0,"11/2C, Dum Dum Rd, RBI Staff Quarters, Bir Para, Satpukur, Kolkata, West Bengal 700030","RBI Staff Quarters, Bir Para, Satpukur",22.6192702,88.3927202,ChIJj1ntICBb564REFAf3kqTTUg,https://www.google.com/maps/place/?q=place_id:ChIJj1ntICBb564REFAf3kqTTUg,part_313,2026-09-20 20:17:18
N.S.ADVERTISING,Media and Event,Advertising agency,"Advertising agency, Event planner",700030,West Bengal Circle,Kolkata Region,Kolkata North Division,"Ghugudanga SO, Purba Sinthee SO, Sethbagan SO",+91 98300 44310,N/A,5.0,5.0,"104, Dum Dum Road. 1st_floor, Room No.3, Kolkata, West Bengal 700030","Ghughudanga, Dum Dum",22.619803899999997,88.394025,ChIJHeWXyHef-DkRWWo4XmCj2P4,https://www.google.com/maps/place/?q=place_id:ChIJHeWXyHef-DkRWWo4XmCj2P4,part_313,2026-09-20 20:17:18
