business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
City Medical Centre,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Hospital equipment and supplies, Pharmaceutical Products Wholesaler",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98306 63160,N/A,4.9,12.0,"1319, Krishnanagar Rd, near Fire Brigade, Ashok Colony, Nabapally, Barasat, Kolkata, West Bengal 700126","Ashok Colony, Nabapally, Barasat",22.719785899999998,88.4768996,ChIJ56JinCmZ-DkRsXN66a39d60,https://www.google.com/maps/place/?q=place_id:ChIJ56JinCmZ-DkRsXN66a39d60,part_315,2026-09-20 20:17:05,1764
THE ASIATIC SURGICAL INSTRUMENT CO,Surgical Equipment Supplier,Surgical supply store,"Surgical supply store, Hospital equipment and supplies, Medical equipment supplier, Medical supply store, Orthopedic supplies store, Scientific equipment supplier, Surgical Products Wholesaler, Wheelchair store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 93397 96016,N/A,4.8,38.0,"44/1A, College St, near Medical College Kolkata, Lalbajar, Calcutta University, College Square, Kolkata, West Bengal 700073","Lalbajar, Calcutta University, College Square",22.573447599999998,88.3626381,ChIJtf-nK613AjoRAk7JSt2F_1k,https://www.google.com/maps/place/?q=place_id:ChIJtf-nK613AjoRAk7JSt2F_1k,part_315,2026-09-20 20:17:05,1765
Jagadish Roy,Surgical Equipment Supplier,Medical supply store,Medical supply store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 93319 49827,https://www.facebook.com/jagadish.ray.3572?mibextid=LQQJ4d,5.0,1.0,"Indraprastha, Kailas Nagar, Barasat, Kolkata, West Bengal 700127","Indraprastha, Kailas Nagar, Barasat",22.7124968,88.4734861,ChIJAWaWthuZ-DkRXTrtMMpUCE0,https://www.google.com/maps/place/?q=place_id:ChIJAWaWthuZ-DkRXTrtMMpUCE0,part_315,2026-09-20 20:17:05,1766
Sharma Surgical,Surgical Equipment Supplier,Surgical Products Wholesaler,"Surgical Products Wholesaler, Medical equipment supplier, Orthopedic supplies store",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98319 53363,https://www.facebook.com/Sharma-Surgical-139366393337149/,4.9,20.0,"Ratnadeep Building, Station Road, opposite R.R.CAFE, Bagbazar, Sukhsanatantala, Chandannagar, West Bengal 712136","Bagbazar, Sukhsanatantala",22.8643805,88.36481289999999,ChIJt_I0UgiR-DkRBgkEYUIwH3A,https://www.google.com/maps/place/?q=place_id:ChIJt_I0UgiR-DkRBgkEYUIwH3A,part_315,2026-09-20 20:17:05,1767
New Das Surgical,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98360 05653,N/A,4.5,63.0,"emergency gate, 50/1, College St, near MEDICAL COLLEGE, Lalbajar, College Square, Kolkata, West Bengal 700073","Lalbajar, College Square",22.5734612,88.3626522,ChIJUZZCLa13AjoR-aYhewHu7pY,https://www.google.com/maps/place/?q=place_id:ChIJUZZCLa13AjoR-aYhewHu7pY,part_315,2026-09-20 20:17:05,1768
Modern Surgical,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 93393 38211,https://modernsurgical.in/,4.4,54.0,"101A, Chittaranjan Ave, Tiretti, Kolkata, West Bengal 700073",Tiretti,22.5740238,88.3591446,ChIJDSbiX7J3AjoRKyoF_TofxDE,https://www.google.com/maps/place/?q=place_id:ChIJDSbiX7J3AjoRKyoF_TofxDE,part_315,2026-09-20 20:17:05,1769
H. Mukherjee & Banerjee Surgical Private Limited,Surgical Equipment Supplier,Medical supply store,Medical supply store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2241 1657,http://hmukerjibs.com/,2.9,56.0,"39/1, College St, Newland, Bowbazar, Kolkata, West Bengal 700073","Newland, Bowbazar",22.573197999999998,88.36262699999999,ChIJ7a_RLa13AjoRTwXuSCEbSzs,https://www.google.com/maps/place/?q=place_id:ChIJ7a_RLa13AjoRTwXuSCEbSzs,part_315,2026-09-20 20:17:05,1770
SCIENCE & SURGICAL,Surgical Equipment Supplier,Manufacturer,"Manufacturer, Corporate office, Medical Equipment Manufacturer",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 99324 78659,http://sciencesurgical.in/,4.1,20.0,"B No. 300, Rai Bahadur Road, P. O. New Alipore, Behala, Kolkata, West Bengal 700053","Saradapally, Behala",22.4980117,88.33571599999999,ChIJv0Czg7xwAjoRD8LI86RQaW4,https://www.google.com/maps/place/?q=place_id:ChIJv0Czg7xwAjoRD8LI86RQaW4,part_315,2026-09-20 20:17:05,1771
SURGICAL WORLD KOLKATA,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98310 30547,http://www.wish2kart.com/,5.0,2.0,"Tarak, 17/1, Becharam Chatterjee Ln, Sovabazar, Beniatola, Kolkata, West Bengal 700005","Sovabazar, Beniatola",22.594924799999998,88.36322109999999,ChIJi1Qc9Bt3AjoR20b9WgddvEQ,https://www.google.com/maps/place/?q=place_id:ChIJi1Qc9Bt3AjoR20b9WgddvEQ,part_315,2026-09-20 20:17:05,1772
Joy baba loknath surgical,Surgical Equipment Supplier,Surgical supply store,Surgical supply store,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98042 52560,N/A,5.0,6.0,"SN Mallick Rd, Singur, West Bengal 712409",Singur,22.8131626,88.2284524,ChIJn3kpLwuJ-DkRO8t0n9Mhw1w,https://www.google.com/maps/place/?q=place_id:ChIJn3kpLwuJ-DkRO8t0n9Mhw1w,part_315,2026-09-20 20:17:05,1773
