business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
LADIES PG,PG,Girls' hostel,Girls' hostel,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,N/A,N/A,3.7,12.0,"Dum Dum, Kolkata, West Bengal 700030",Dum Dum,22.620037699999997,88.3936114,ChIJ2_kNUPCd-DkROKS2WMhkR7w,https://www.google.com/maps/place/?q=place_id:ChIJ2_kNUPCd-DkROKS2WMhkR7w,part_315,2026-09-20 20:21:56
Sabita Pg,PG,Student dormitory,Student dormitory,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 63729 79848,N/A,3.4,104.0,"Nayapatti Main Rd, Nayapatty, AP Block, Sector V, Bidhannagar, Kolkata, West Bengal 700102","Nayapatty, AP Block, Sector V, Bidhannagar",22.5828578,88.43802699999999,ChIJwQTO0851AjoRJtDO7Wb7fQI,https://www.google.com/maps/place/?q=place_id:ChIJwQTO0851AjoRJtDO7Wb7fQI,part_315,2026-09-20 20:21:56
Paying Guest For Male,PG,Boys' hostel,Boys' hostel,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 97488 82729,N/A,3.8,28.0,"FE-261, FE Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700106","FE Block, Sector 3, Bidhannagar",22.581236399999998,88.4160966,ChIJjXbspsZ1AjoRJXQsqKezXXI,https://www.google.com/maps/place/?q=place_id:ChIJjXbspsZ1AjoRJXQsqKezXXI,part_315,2026-09-20 20:21:56
Koliving Salt Lake PG,PG,Boys' hostel,Boys' hostel,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 81008 75623,https://koliving.in/,4.6,99.0,"DAG No- 154, Mahishbathan, near Siksha Sadan, AQ Block, Sector V, Bidhannagar, Kolkata, West Bengal 700102","AQ Block, Sector V, Bidhannagar",22.5766225,88.4422744,ChIJtWjBU1V1AjoRsRIi1TFxBEM,https://www.google.com/maps/place/?q=place_id:ChIJtWjBU1V1AjoRsRIi1TFxBEM,part_315,2026-09-20 20:21:56
Vaanya' s PG,PG,Girls' hostel,Girls' hostel,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 98308 43414,http://www.vaanyaspg.com/,4.2,261.0,"Esther Beauty parlour, Azad Hind Bag, Kolkata, West Bengal 700006",Azad Hind Bag,22.5880093,88.3639414,ChIJmwW3-zx3AjoRxlR7QQt9krU,https://www.google.com/maps/place/?q=place_id:ChIJmwW3-zx3AjoRxlR7QQt9krU,part_315,2026-09-20 20:21:56
Roy's Paying guest,PG,Girls' hostel,Girls' hostel,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 98315 33391,https://www.payingguestbehala.com/about-us.html,4.8,28.0,"Motilal Gupta Rd, Kumor Para, Purba Barisha, Kolkata, West Bengal 700008","Kumor Para, Purba Barisha",22.4815763,88.31780649999999,ChIJn8LWjct7AjoR4p0z5tFhPhY,https://www.google.com/maps/place/?q=place_id:ChIJn8LWjct7AjoR4p0z5tFhPhY,part_315,2026-09-20 20:21:56
Paying Guest For Boys,PG,Student housing center,Student housing center,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 82400 12760,N/A,4.3,39.0,"96, Vivekananda Rd, opposite Ramakrishna Mission, Nivedita Bhavan, Simla, Machuabazar, Kolkata, West Bengal 700006","Simla, Machuabazar",22.5855666,88.36729919999999,ChIJF1Od7Hx3AjoRLIxM_oo-_vM,https://www.google.com/maps/place/?q=place_id:ChIJF1Od7Hx3AjoRLIxM_oo-_vM,part_315,2026-09-20 20:21:56
Shri Aalay PG,PG,Boys' hostel,Boys' hostel,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 62893 61489,N/A,3.9,110.0,"Bharti Villa, behind Midland Park Building, AN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700102","AN Block, Sector V, Bidhannagar",22.583012,88.43538939999999,ChIJ2WbbjKR1AjoRLEuF8SGANgg,https://www.google.com/maps/place/?q=place_id:ChIJ2WbbjKR1AjoRLEuF8SGANgg,part_315,2026-09-20 20:21:56
Single Room Pg in Kolkata,PG,Home Stay,"Home Stay, Boys' hostel, Girls' hostel, Real estate consultant, Real estate rental agency, Service Apartment, Student dormitory",700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,+91 98310 11406,http://www.golanirentals.com/,3.6,251.0,"31a, Lenin Sarani Rd, Lebutala, Taltala, Kolkata, West Bengal 700013","Lebutala, Taltala",22.5639778,88.3554161,ChIJzeIhK6h3AjoR5Bju4ms5tYg,https://www.google.com/maps/place/?q=place_id:ChIJzeIhK6h3AjoR5Bju4ms5tYg,part_315,2026-09-20 20:21:56
Rupsree Girls' PG,PG,Home Stay,Home Stay,700133,West Bengal Circle,Kolkata Region,Barasat Division,Michealnagar SO,N/A,N/A,4.8,,"Metres from, Shree Calcutta Gujrati Samaj, 2/1D, 50, Madhab Chatterjee St, near Poddopukur, Bhowanipore, Kolkata, West Bengal 700026","Madan Mohan Malaviya Sarani, Jadubabur Bazar, Bhowanipore",22.5328751,88.35167249999999,ChIJfSTwFDd3AjoRFZi7cgHxwU8,https://www.google.com/maps/place/?q=place_id:ChIJfSTwFDd3AjoRFZi7cgHxwU8,part_315,2026-09-20 20:21:56
