business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AK Fitness Solutions,Fitness Chains,Gym,"Gym, Education center, Fitness Equipment Wholesaler, Personal trainer",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 97440 04442,N/A,4.9,93.0,"First Floor, Cordial Amity, AK Fitness Solutions, Poomalliyoorkonam, Peroorkada, Thiruvananthapuram, Keralam 695005","Poomalliyoorkonam, Harvipuram Colony, Peroorkada",8.542514299999999,76.961047,ChIJF1jf--y5BTsRrcyONdNp5zk,https://www.google.com/maps/place/?q=place_id:ChIJF1jf--y5BTsRrcyONdNp5zk,part_312,2026-09-20 20:18:41
Fitness Spot,Fitness Chains,Gym,"Gym, Fitness center",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 73068 94664,N/A,4.7,242.0,"1st Floor, Amina Tower, Ambalamukku, Thiruvananthapuram, Keralam 695005","Devapalan Nagar, Ambalamukku",8.5326689,76.9626401,ChIJcSauYUS5BTsRWP3Bgj9NGBg,https://www.google.com/maps/place/?q=place_id:ChIJcSauYUS5BTsRWP3Bgj9NGBg,part_312,2026-09-20 20:18:41
Wolfit gym,Fitness Chains,Gym,Gym,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 79940 60777,N/A,5.0,29.0,"Devapalan Nagar, Ambalamukku, Thiruvananthapuram, Keralam 695044","Devapalan Nagar, Ambalamukku",8.5323917,76.9627756,ChIJmYSVpyW5BTsRKxUZ9tdxjP0,https://www.google.com/maps/place/?q=place_id:ChIJmYSVpyW5BTsRKxUZ9tdxjP0,part_312,2026-09-20 20:18:41
Friends Gym,Fitness Chains,Fitness center,Fitness center,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 94476 56247,N/A,4.3,64.0,"Peroorkada, Thiruvananthapuram, Keralam 695005",Peroorkada,8.537135,76.96498249999999,ChIJzfPsgoK5BTsR-pdKNsAzGo0,https://www.google.com/maps/place/?q=place_id:ChIJzfPsgoK5BTsR-pdKNsAzGo0,part_312,2026-09-20 20:18:41
Fitness Mix,Fitness Chains,Gym,Gym,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98477 44157,https://www.instagram.com/_fitness.mix_?igsh=OGQ5ZDc2ODk2ZA==,4.9,65.0,"Beersheba Building, 2nd Floor, above Triveni supermarket, Muttada, Nalanchira, Thiruvananthapuram, Keralam 695025","Muttada, Nalanchira",8.534638,76.94982069999999,ChIJ8X9hVB-5BTsRpyRldSiXDGU,https://www.google.com/maps/place/?q=place_id:ChIJ8X9hVB-5BTsRpyRldSiXDGU,part_312,2026-09-20 20:18:41
Travancore Fitness Club,Fitness Chains,Gym,"Gym, Fitness center",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 97784 19201,https://travancorefitnessclub.in/,4.9,,"Nishan Chambers, Thampuranmukku Rd, behind kunnil hypermarket, Karimanal, p.o, Kulathoor, Thiruvananthapuram, Keralam 695583","Karimanal, p.o, Kulathoor",8.5296288,76.88621839999999,ChIJ8UrS6rq_BTsRPXXP-vkBZJU,https://www.google.com/maps/place/?q=place_id:ChIJ8UrS6rq_BTsRPXXP-vkBZJU,part_312,2026-09-20 20:18:42
Madshark Gym,Fitness Chains,Gym,"Gym, Fitness center, Physical fitness program, Weight loss service",695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98472 85038,N/A,4.9,,"Kamal Nagar, CGG Panicker Road, Nalanchira, Thiruvananthapuram, Keralam 695015",Nalanchira,8.5555151,76.9448468,ChIJ9QS28_u5BTsRq0AHdtecbzo,https://www.google.com/maps/place/?q=place_id:ChIJ9QS28_u5BTsRq0AHdtecbzo,part_312,2026-09-20 20:18:42
Inspire family health club,Fitness Chains,Gym,Gym,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98952 26953,N/A,4.7,,"Centre Shoppe, Second Floor (Above Kunnil Shopping Market), Avenue, Mannanthala, Thiruvananthapuram, Keralam 695015",Mannanthala,8.5631092,76.94349299999999,ChIJt3-yLR-5BTsRTguU9phLhbw,https://www.google.com/maps/place/?q=place_id:ChIJt3-yLR-5BTsRTguU9phLhbw,part_312,2026-09-20 20:18:42
Armours gym,Fitness Chains,Gym,Gym,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 98091 66508,N/A,4.7,,"Review Building,3rd floor,Kurissadi Junction, SH 1, Nalanchira, Thiruvananthapuram, Keralam 695015","Nalanchira, Paruthippara",8.5462021,76.94487199999999,ChIJxxarBJq5BTsRiJ1bAE_w754,https://www.google.com/maps/place/?q=place_id:ChIJxxarBJq5BTsRiJ1bAE_w754,part_312,2026-09-20 20:18:42
Gold's Gym,Fitness Chains,Gym,Gym,695587,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,Chempazhanthy SO,+91 80864 11111,https://goldsgym.in/,4.5,,"Sasthamangalam Shree Dhanya Apex 31/747 Sasthamangalam Opp Alibaba And Dishes Sreedhanya Homes, Thiruvananthapuram, Keralam 695010","Althara Nagar, Vellayambalam",8.5113855,76.9656862,ChIJMQ_APzO6BTsRAC8yIg0TK7I,https://www.google.com/maps/place/?q=place_id:ChIJMQ_APzO6BTsRAC8yIg0TK7I,part_312,2026-09-20 20:18:43
