business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BRAND COLLECTION,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",N/A,N/A,4.2,,"Jyotish Chandra Ghosh Sarani, Malir Bagan, Chinsurah R S, Chinsurah, West Bengal 712101","Malir Bagan, Chinsurah R S",22.8890373,88.3975633,ChIJQ81rnlGR-DkR0FHrX7RvtZk,https://www.google.com/maps/place/?q=place_id:ChIJQ81rnlGR-DkR0FHrX7RvtZk,part_316,2026-09-20 20:44:07
Turtle Chinsurah,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 98366 08307,https://turtle.in/,4.1,,"1/1, Netaji Subhash Chandra Rd, Ghatakpara, Chinsurah R S, Chinsurah, West Bengal 712101","Ghatakpara, Chinsurah R S",22.887224,88.3962653,ChIJF1JrIFCR-DkRmYAgmtjbtno,https://www.google.com/maps/place/?q=place_id:ChIJF1JrIFCR-DkRmYAgmtjbtno,part_316,2026-09-20 20:44:07
Trendy mens wear,Mens Wear Showroom,Men's clothing store,Men's clothing store,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 80131 94022,https://www.facebook.com/trendymenswear13,4.9,,"89/5, SOUTH, AB Rd, opposite of FRANKROSS, Rathtala, Kankinara, Jagatdal, Bhatpara, West Bengal 743129","Rathtala, Kankinara, Jagatdal",22.8651874,88.4099344,ChIJC9k57NqX-DkRw2ZYmwsikn8,https://www.google.com/maps/place/?q=place_id:ChIJC9k57NqX-DkRw2ZYmwsikn8,part_316,2026-09-20 20:44:07
Manish Fashion,Mens Wear Showroom,Men's clothing store,Men's clothing store,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 62917 74905,N/A,3.8,,"Bus Stand, opposite of Senco Gold, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.8890244,88.3978435,ChIJrWi8jyGR-DkRPtl0r40WsWg,https://www.google.com/maps/place/?q=place_id:ChIJrWi8jyGR-DkRPtl0r40WsWg,part_316,2026-09-20 20:44:07
PANJABI MUSEUM,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store, Store",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 89109 02834,N/A,3.8,,"super market, Dutta, Aryan Bazar chinshrah, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.8900406,88.39989229999999,ChIJ72X8EVOR-DkRoxN-afCQgIU,https://www.google.com/maps/place/?q=place_id:ChIJ72X8EVOR-DkRoxN-afCQgIU,part_316,2026-09-20 20:44:07
TRENDS,Mens Wear Showroom,Clothing store,"Clothing store, Baby clothing store, Children's clothing store, Clothing Accessories Store, Formal Clothing Store, Western apparel store, Youth clothing store",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 70032 65526,https://trends.shop/page/trends-kps-mall-chinsurah,3.8,,"Previously, Milan Cinema, Srivas Nagar, Chinsurah R S, Chinsurah, West Bengal 712103","Srivas Nagar, Chinsurah R S",22.901247299999998,88.3832616,ChIJ7ampnOOT-DkR_8Hq4UivfVs,https://www.google.com/maps/place/?q=place_id:ChIJ7ampnOOT-DkR_8Hq4UivfVs,part_316,2026-09-20 20:44:07
M S LITTLE CHAMPS,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Children's clothing store",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 98049 59514,N/A,4.3,,"Chandralia Appartment, Amratala Lane, Chinsurah, West Bengal 712101",Chinsurah R S,22.8882109,88.3973432,ChIJuw7nLlKR-DkRdh9mKZD2eTU,https://www.google.com/maps/place/?q=place_id:ChIJuw7nLlKR-DkRdh9mKZD2eTU,part_316,2026-09-20 20:44:07
Dipak Dress Gallery,Mens Wear Showroom,Men's clothing store,Men's clothing store,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 70591 55941,N/A,5.0,,"Netaji Subhash Chandra Rd, Chinsurah R S, Chinsurah, West Bengal 712101",Chinsurah R S,22.8874933,88.3967588,ChIJE_m1foOR-DkRQX5m_PEUuyU,https://www.google.com/maps/place/?q=place_id:ChIJE_m1foOR-DkRQX5m_PEUuyU,part_316,2026-09-20 20:44:07
SARADA BASTRALAYA,Mens Wear Showroom,Men's clothing store,"Men's clothing store, Clothing store",712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 86177 54636,N/A,4.0,,"Chinsurah, Near Ghorir More N S Bose Road, PS, PO, Chinsurah R S, Chinsurah, West Bengal 712101","PO, Chinsurah R S",22.8879315,88.3988085,ChIJfb86WVKR-DkRr5uZP_tqp6c,https://www.google.com/maps/place/?q=place_id:ChIJfb86WVKR-DkRr5uZP_tqp6c,part_316,2026-09-20 20:44:07
Punjabi Samrat,Mens Wear Showroom,Men's clothing store,Men's clothing store,712101,West Bengal Circle,South Bengal Region,Hooghly North Division,"Chinsurah HO, Chinsurah Bazar SO, Chinsurah Court SO",+91 70039 72566,N/A,3.7,,"Town Guard Rd, Malir Bagan, Chinsurah R S, Kolkata, Chinsurah, West Bengal 712101","Malir Bagan, Chinsurah R S",22.889063099999998,88.3994731,ChIJ-0g-lSuR-DkRfgjwPANFRWI,https://www.google.com/maps/place/?q=place_id:ChIJ-0g-lSuR-DkRfgjwPANFRWI,part_316,2026-09-20 20:44:07
