business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SAMRAT FURNITURE,Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 94756 14410,N/A,4.4,25.0,"Guskara Station Rd, Guskhara, West Bengal 713128",713121,23.490312799999998,87.74204069999999,ChIJ-1_IcUHP-TkROKJyrBcdWRI,https://www.google.com/maps/place/?q=place_id:ChIJ-1_IcUHP-TkROKJyrBcdWRI,part_318,2026-09-20 20:43:26
New Aryaana Wood & Steel Furniture,Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 93332 38925,N/A,,,"Umasankar Bhavan, Bardhaman Katwa Rd, Gurupally, Kulchanda, West Bengal 713125",Gurupally,23.4091131,87.9245026,ChIJWQ7hJ-W1-TkRvv9kn9wqQPE,https://www.google.com/maps/place/?q=place_id:ChIJWQ7hJ-W1-TkRvv9kn9wqQPE,part_318,2026-09-20 20:43:26
"Chowdhury electronics, mobile & furniture",Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 97321 18205,N/A,5.0,2.0,"GWQ3+Q43, Nutanhat, West Bengal 713147",713121,23.5393915,87.9027839,ChIJz1EhTwC3-TkRONDP9W0MHfA,https://www.google.com/maps/place/?q=place_id:ChIJz1EhTwC3-TkRONDP9W0MHfA,part_318,2026-09-20 20:43:26
RADHA GOBINDA TRADERS,Furniture Showroom,Furniture wholesaler,"Furniture wholesaler, Electronics wholesaler",713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 89003 27194,N/A,5.0,13.0,"Nutanhat Library Road, Nutanhat, West Bengal 713147",713121,23.5448117,87.90863829999999,ChIJr1okiMW3-TkRg8c_K6DDuYY,https://www.google.com/maps/place/?q=place_id:ChIJr1okiMW3-TkRg8c_K6DDuYY,part_318,2026-09-20 20:43:26
Aparna Furniture,Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 79087 44072,N/A,3.7,48.0,"J4VJ+56G, Madhabi Tala Rd, Shri Durga Palli, Katwa, West Bengal 713130",Shri Durga Palli,23.643135299999997,88.1305768,ChIJHzR3myen-TkRkpk9eNm3Q_o,https://www.google.com/maps/place/?q=place_id:ChIJHzR3myen-TkRkpk9eNm3Q_o,part_318,2026-09-20 20:43:26
Biswas furniture,Furniture Showroom,Furniture Manufacturer,Furniture Manufacturer,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",N/A,N/A,1.0,1.0,"SH 14, Rampur, Debpur, West Bengal 713121",713121,23.4702236,87.84338629999999,ChIJo2MuHgDJ-TkREVEVjuN6D-Y,https://www.google.com/maps/place/?q=place_id:ChIJo2MuHgDJ-TkREVEVjuN6D-Y,part_318,2026-09-20 20:43:26
JOYGURU FURNITURE,Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 87683 70801,N/A,5.0,2.0,"Dainhat Rd, Tulsidanga, West Bengal 713520",713121,23.4555823,87.9570476,ChIJ3d0-6_6z-TkRqk1I9C0K2k0,https://www.google.com/maps/place/?q=place_id:ChIJ3d0-6_6z-TkRqk1I9C0K2k0,part_318,2026-09-20 20:43:27
Delhi furniture,Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 62979 52160,N/A,4.4,9.0,"537R+P44, SH15, Memari, West Bengal 713146",713121,23.164260799999997,88.08958559999999,ChIJ8zArTQBb-DkR2a7_TJmJ6bM,https://www.google.com/maps/place/?q=place_id:ChIJ8zArTQBb-DkR2a7_TJmJ6bM,part_318,2026-09-20 20:43:27
MODINA FURNITURE 🪑🚨,Furniture Showroom,Furniture store,Furniture store,713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 62965 40054,N/A,4.0,4.0,"Palashan Saipara Busstand, Saipara Bazar Busstand, near Hattola, Palasan, Raina, West Bengal 713424",713121,23.0653527,87.8587708,ChIJFYg44LhB-DkRNwIB8TDq490,https://www.google.com/maps/place/?q=place_id:ChIJFYg44LhB-DkRNwIB8TDq490,part_318,2026-09-20 20:43:27
Kalimata Timber,Furniture Showroom,Furniture store,"Furniture store, Furniture accessories, Wood supplier",713121,West Bengal Circle,South Bengal Region,Burdwan Division,"Aruar SO, Aogram BO, Debpur BO",+91 82504 07079,https://wa.me/c/918250407079,5.0,,"Katwa - Bardhaman Rd, Rabindra Pally, Bhatar, Palar, West Bengal 713125",Rabindra Pally,23.405739699999998,87.9233252,ChIJ2zksIF-1-TkRlL455sZ12-w,https://www.google.com/maps/place/?q=place_id:ChIJ2zksIF-1-TkRlL455sZ12-w,part_318,2026-09-20 20:43:27
