business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
"KPS Mall, Chinsurah",Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 82760 76644,N/A,4.3,,"KPS Mall. GT Road Sribashnagar. Chinsurah, Hooghly. West Bengal. PIN-712103, Chinsurah, West Bengal 712103",Chinsurah R S,22.901314,88.3833533,ChIJF7dW0bGT-DkREtT8yyxW6K0,https://www.google.com/maps/place/?q=place_id:ChIJF7dW0bGT-DkREtT8yyxW6K0,part_318,2026-09-20 20:17:41,5912
STYLE BAAZAR UTTARPARA,Shopping Mall Operators,Outlet mall,Outlet mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 90078 38669,https://stylebaazar.in/,4.8,,"Shop No 116, GT Rd, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.660505399999998,88.3496906,ChIJ6S6RZACd-DkR-OLeJ-dtTaU,https://www.google.com/maps/place/?q=place_id:ChIJ6S6RZACd-DkR-OLeJ-dtTaU,part_318,2026-09-20 20:17:41,5913
More Shopping Point,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.2,,"W99Q+3C8, Bikramnagar, Olaichanditala, Chinsurah, West Bengal 712103","Bikramnagar, Olaichanditala",22.9176738,88.3885636,ChIJi1d7Q-yT-DkRsLSBZelJmWM,https://www.google.com/maps/place/?q=place_id:ChIJi1d7Q-yT-DkRsLSBZelJmWM,part_318,2026-09-20 20:17:41,5914
Ten 2 Ten Shopping Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 33 2680 5008,N/A,3.6,,"BUS STAND, CITY CLUB BUILDING, Chinsurah, Chinsurah, West Bengal 712101","Malir Bagan, Chinsurah R S",22.889518,88.3985278,ChIJlWEb0NWR-DkRMLbTb96azVM,https://www.google.com/maps/place/?q=place_id:ChIJlWEb0NWR-DkRMLbTb96azVM,part_318,2026-09-20 20:17:41,5915
Alcove Triveni Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,http://www.newkolkata.in/triveni,4.5,,"449/A/2, GT Rd, Mahesh, Mahesh Bose Para, Serampore, West Bengal 712202","Mahesh, Mahesh Bose Para, Serampore",22.737554199999998,88.35142719999999,ChIJ_6j2guub-DkRSrhnQW9TK6M,https://www.google.com/maps/place/?q=place_id:ChIJ_6j2guub-DkRSrhnQW9TK6M,part_318,2026-09-20 20:17:41,5916
REGENT STAR MALL,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 91632 52652,N/A,4.0,,"297, Kotrung G.T Road,Near Regent Ganga Appt, Bhadrakali, Uttarpara, West Bengal 712232",Bhadrakali,22.681746399999998,88.35380579999999,ChIJmxnPpOCd-DkRwDwxsjzCn9k,https://www.google.com/maps/place/?q=place_id:ChIJmxnPpOCd-DkRwDwxsjzCn9k,part_318,2026-09-20 20:17:41,5917
Avani Riverside Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 90739 79799,http://avaniriversidemall.com/,4.4,,"32, Jagat Banerjee Ghat Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","Choura Bustee, Shibpur",22.5632174,88.3237031,ChIJayOFSyt4AjoRQ_43-wtnMPk,https://www.google.com/maps/place/?q=place_id:ChIJayOFSyt4AjoRQ_43-wtnMPk,part_318,2026-09-20 20:17:41,5918
Forum Rangoli Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 33 2676 5100,https://www.facebook.com/forumrangoli/,4.4,,"212, Girish Ghosh Rd, Belur Math, Belur, Howrah, West Bengal 711202","Belur Math, Belur",22.624407599999998,88.3537418,ChIJpRqCBXCd-DkRQdpexujoSfc,https://www.google.com/maps/place/?q=place_id:ChIJpRqCBXCd-DkRQdpexujoSfc,part_318,2026-09-20 20:17:41,5919
Quest Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 33 2287 7777,http://www.questmall.in/,4.5,,"33, Beck Bagan Row, Park Circus, Ballygunge, Kolkata, West Bengal 700017","Park Circus, Ballygunge",22.539092,88.36568059999999,ChIJAflLrd92AjoRyE1aOg43vvs,https://www.google.com/maps/place/?q=place_id:ChIJAflLrd92AjoRyE1aOg43vvs,part_318,2026-09-20 20:17:41,5920
Mani Square,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98314 89780,N/A,4.5,,"164/1 Maniktala Main Road, Eastern Metropolitan Bypass, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.5776883,88.4010594,ChIJO6DIwXd2AjoRpGSPKoMCvOE,https://www.google.com/maps/place/?q=place_id:ChIJO6DIwXd2AjoRpGSPKoMCvOE,part_318,2026-09-20 20:17:41,5921
FBB Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,3.5,,"P83V+46X, Lohapatty, Adarshnagar, Konnagar, Nabagram Colony, West Bengal 712246","Lohapatty, Adarshnagar, Konnagar",22.702861199999997,88.3431184,ChIJ6X_V1cWd-DkRTUjS8XzgMMU,https://www.google.com/maps/place/?q=place_id:ChIJ6X_V1cWd-DkRTUjS8XzgMMU,part_318,2026-09-20 20:17:41,5922
Shopping Complex Uttarpara,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.2,,"45, GT Rd, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.6614711,88.34954739999999,ChIJFRlNSuKc-DkRe5GOi8a96-M,https://www.google.com/maps/place/?q=place_id:ChIJFRlNSuKc-DkRe5GOi8a96-M,part_318,2026-09-20 20:17:41,5923
Xpress Baazar,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,3.1,,"flat no. chouhatta, 304, station road, Pandua, West Bengal 712149",712407,23.0745801,88.2792875,ChIJ1bV2MgDz-DkRK9dFsNBsLkk,https://www.google.com/maps/place/?q=place_id:ChIJ1bV2MgDz-DkRK9dFsNBsLkk,part_318,2026-09-20 20:17:41,5924
Star Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 98306 90062,N/A,4.4,,"74/Mall/1, North, Jessore Rd, Sisir Kunja, Barasat, Madhyamgram, Kolkata, West Bengal 700129","Sisir Kunja, Barasat",22.7029793,88.47199839999999,ChIJ5cxJNFKf-DkRkSd1DUW3w14,https://www.google.com/maps/place/?q=place_id:ChIJ5cxJNFKf-DkRkSd1DUW3w14,part_318,2026-09-20 20:17:41,5925
South City Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 33 4007 2181,http://southcitymall.in/,4.6,,"375, Prince Anwar Shah Rd, South City Complex, Jadavpur, Kolkata, West Bengal 700068","South City Complex, Jadavpur",22.5015602,88.3614681,ChIJK9K2YdhwAjoR3zyNGXoQPe4,https://www.google.com/maps/place/?q=place_id:ChIJK9K2YdhwAjoR3zyNGXoQPe4,part_318,2026-09-20 20:17:41,5926
Trendy Bangla Hub,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 74398 95720,N/A,5.0,,"Rajchandrapur, Bally, kolkata, Jaypur Bil, West Bengal 711227","Rajchandrapur, Bally",22.655028899999998,88.3172494,ChIJfTQc2ZSD-DkRTcVuaorSA1U,https://www.google.com/maps/place/?q=place_id:ChIJfTQc2ZSD-DkRTcVuaorSA1U,part_318,2026-09-20 20:17:41,5927
Paradise Shopping Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 70036 15139,N/A,3.9,,"128, N.S.Avenue, Serampore, West Bengal 712201",Serampore,22.7539134,88.3405354,ChIJ3RGBgyCb-DkR0nHKrDAczgg,https://www.google.com/maps/place/?q=place_id:ChIJ3RGBgyCb-DkR0nHKrDAczgg,part_318,2026-09-20 20:17:41,5928
"Simpark Mall, New market",Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.0,,"Lindsay St, near New Market, Esplanade, Dharmatala, Taltala, Kolkata, West Bengal 700087","Esplanade, Dharmatala, Taltala",22.5595607,88.3528947,ChIJNwM8nwh3AjoRgW2_qmksBE8,https://www.google.com/maps/place/?q=place_id:ChIJNwM8nwh3AjoRgW2_qmksBE8,part_318,2026-09-20 20:17:41,5929
Acropolis Mall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,http://www.acropolismall.in/,4.5,,"1858/1, Rajdanga Main Rd, Shantipally, Sector B, East Kolkata Twp, Kolkata, West Bengal 700107","Shantipally, Sector B, East Kolkata Township",22.5151592,88.3934189,ChIJWXBg61JxAjoRLNNVlZADVCY,https://www.google.com/maps/place/?q=place_id:ChIJWXBg61JxAjoRLNNVlZADVCY,part_318,2026-09-20 20:17:41,5930
Samrajee Shoppingmall,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,4.0,32.0,"Q83R+3M5, BP Dey St, Serampore, West Bengal 712201",Serampore,22.7526455,88.3417377,ChIJxXhMXCCb-DkRZjj9oVIHxRI,https://www.google.com/maps/place/?q=place_id:ChIJxXhMXCCb-DkRZjj9oVIHxRI,part_318,2026-09-20 20:17:42,5931
Patra Enterprise,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",+91 86701 40712,N/A,4.4,7.0,"North, Saheb Bagan, Bhadreswar, West Bengal 712124",Saheb Bagan,22.829874999999998,88.3406407,ChIJM4hBV5-R-DkRC6GOUaeRQgE,https://www.google.com/maps/place/?q=place_id:ChIJM4hBV5-R-DkRC6GOUaeRQgE,part_318,2026-09-20 20:17:42,5932
Sanjib Jana Shop,Shopping Mall Operators,Shopping mall,Shopping mall,712407,West Bengal Circle,South Bengal Region,Hooghly South Division,"Nalikul SO, Bajemalia BO, Bandipur BO",N/A,N/A,3.6,,"JRJW+HM2, Banhijli, West Bengal 712417",712407,22.631381899999997,87.8466311,ChIJQ3l2Q8gK-DkRpeHtfWB-uf0,https://www.google.com/maps/place/?q=place_id:ChIJQ3l2Q8gK-DkRpeHtfWB-uf0,part_318,2026-09-20 20:17:42,5933
