business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aqua Plumbings Pvt. Ltd.,Sanitaryware and Bathroom Fittings,Manufacturer,"Manufacturer, Plumbing supply store",711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 94127 27706,http://www.plumberbathware.com/,4.6,424.0,"GAUR UDYOG KENDRA, NH2, Sarai Azamabad, Mathura, Uttar Pradesh 281001",Sarai Azamabad,27.5302901,77.6580343,ChIJOS3dyItxczkRyRRGhrMzBt4,https://www.google.com/maps/place/?q=place_id:ChIJOS3dyItxczkRyRRGhrMzBt4,part_316,2026-09-20 20:19:47
Bhagyoday Metal Craft,Sanitaryware and Bathroom Fittings,Manufacturer,Manufacturer,711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,N/A,http://www.bhagyodaymetal.com/,4.3,21.0,"Power Ind Area, Bhagyoday Metal Craft, Plot no 46, near Solvent, Kotharia, Rajkot, Gujarat 360002",711115,22.221341799999998,70.8063074,ChIJN3Pk9abKWTkRZi1VjK68rGw,https://www.google.com/maps/place/?q=place_id:ChIJN3Pk9abKWTkRZi1VjK68rGw,part_316,2026-09-20 20:19:47
THE PLUMBER STORE,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Plumbing supply store",711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 98429 48248,https://theplumberstore.in/,4.9,251.0,"29/1001, Kottooli, Kozhikode, Keralam 673016",Kottooli,11.258379,75.8014993,ChIJvXOmj1RZpjsRjmoKFwZ1EjE,https://www.google.com/maps/place/?q=place_id:ChIJvXOmj1RZpjsRjmoKFwZ1EjE,part_316,2026-09-20 20:19:47
AJANTA SANITARYWARE PRIVATE LIMITED,Sanitaryware and Bathroom Fittings,Manufacturer,Manufacturer,711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 93100 58403,http://www.ajantasanitaryware.com/,4.8,39.0,"Plot No. I-2255, near LG, DSIDC Industrial Area, Narela, Delhi, 110040","DSIDC Industrial Area, Narela",28.823713899999998,77.1055452,ChIJZT_yg3upDTkR6T_ENYzXlIk,https://www.google.com/maps/place/?q=place_id:ChIJZT_yg3upDTkR6T_ENYzXlIk,part_316,2026-09-20 20:19:47
STAR BATH WORLD,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Ceramics wholesaler",711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 63797 21688,N/A,5.0,66.0,"40,KK LANE, 3, Avinashi Rd, Coimbatore, Tamil Nadu 641018","Flyover, Gopalapuram",11.0004476,76.96493679999999,ChIJre9lAa5ZqDsRbcH_3O3Y3g4,https://www.google.com/maps/place/?q=place_id:ChIJre9lAa5ZqDsRbcH_3O3Y3g4,part_316,2026-09-20 20:19:47
MPK Sanitation,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Plumbing supply store",711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 88849 37181,N/A,4.7,47.0,"Prasadam Prasad House, Kannur - Mattannur Rd, near NS Petrol Pump, Chovva, Kannur, Elayavoor, Keralam 670006",Chovva,11.8774106,75.4000817,ChIJoYs46vswpDsRx2ov4GuZcSw,https://www.google.com/maps/place/?q=place_id:ChIJoYs46vswpDsRx2ov4GuZcSw,part_316,2026-09-20 20:19:47
STAR SANITARY & BATHWARE,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,N/A,https://starbathworld.com/,4.1,63.0,"Kallidukku, Pattikkad, Keralam 680652",Kallidukku,10.558517499999999,76.34124,ChIJC31sNcXlpzsRoD8ZcXItBjs,https://www.google.com/maps/place/?q=place_id:ChIJC31sNcXlpzsRoD8ZcXItBjs,part_316,2026-09-20 20:19:47
Suprime Ceramic Industries clayplus sanitaryware,Sanitaryware and Bathroom Fittings,Ceramic manufacturer,"Ceramic manufacturer, Ceramics wholesaler, Granite supplier, Manufacturer, Stone supplier, Tile store",711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 97252 76733,http://www.clayplus.co.in/,4.6,124.0,"Tarnetar, byepass Road, near ansuya waybridge, B/h, vasuki waybridge, Thangadh, Gujarat 363530","B/h, vasuki waybridge",22.5902902,71.1907343,ChIJU8d2IXigWTkRnekxn6hFY7g,https://www.google.com/maps/place/?q=place_id:ChIJU8d2IXigWTkRnekxn6hFY7g,part_316,2026-09-20 20:19:47
Parryware - Nellai Ceramic Centre,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Ceramics wholesaler, Showroom",711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 97103 66663,http://www.nellaiceramic.com/,5.0,182.0,"Old No.60, New no :, 32 B, CIT 1st Main Rd, CIT Nagar West, Nandanam, Chennai, Tamil Nadu 600035","CIT Nagar West, Nandanam",13.029036399999999,80.2306893,ChIJD427NQdnUjoRxKA3lPyBN4U,https://www.google.com/maps/place/?q=place_id:ChIJD427NQdnUjoRxKA3lPyBN4U,part_316,2026-09-20 20:19:47
Kerala sanitary,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,711115,West Bengal Circle,South Bengal Region,Howrah Division,Jagadishpurhat SO,+91 96727 94479,N/A,4.5,11.0,"Beach Rd, near salim hotel, Andamukkam, Kollam, Keralam 691001",Andamukkam,8.8836168,76.5911086,ChIJ_2hJwBr9BTsRgs4_LRREhZw,https://www.google.com/maps/place/?q=place_id:ChIJ_2hJwBr9BTsRgs4_LRREhZw,part_316,2026-09-20 20:19:47
