business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
New Panchayath Shopping Complex,Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",N/A,N/A,3.9,50.0,"SH 64, Parippally, Keralam 691574",695603,8.811302699999999,76.7599085,ChIJTfY_41zmBTsRnn8bjfsusY8,https://www.google.com/maps/place/?q=place_id:ChIJTfY_41zmBTsRnn8bjfsusY8,part_312,2026-09-20 20:22:55
GS COMPLEX,Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",N/A,N/A,5.0,2.0,"QQ7R+7MC, Kallambalam, Karavaram, Keralam 695605",695603,8.7631892,76.7916448,ChIJKRZOk5jpBTsRqTxQsvz5gng,https://www.google.com/maps/place/?q=place_id:ChIJKRZOk5jpBTsRqTxQsvz5gng,part_312,2026-09-20 20:22:55
Aswathy Shopping Complex,Commercial Complex,Building,Building,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",N/A,N/A,,,"National Highway 47, Parippally, Keralam 691574",695603,8.812215199999999,76.7586077,ChIJ3f0np13mBTsR4LaSlwmbr84,https://www.google.com/maps/place/?q=place_id:ChIJ3f0np13mBTsR4LaSlwmbr84,part_312,2026-09-20 20:22:55
Arafa Complex,Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",N/A,N/A,,,"Arafa Complex, Main Road, NH 66, Jn, near Kallambalam, Kallambalam, Keralam 695605",695603,8.7637647,76.7914182,ChIJ433xEDDpBTsREkY6eUCAsQk,https://www.google.com/maps/place/?q=place_id:ChIJ433xEDDpBTsREkY6eUCAsQk,part_312,2026-09-20 20:22:55
Dwaraka Building,Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",+91 95446 44344,N/A,2.0,1.0,"Dwaraka Building, NH 66 & SH64, Mukkada, Parippally, Keralam 691574",Mukkada,8.805607799999999,76.76203249999999,ChIJRZ2U653nBTsRIZjskupjLvw,https://www.google.com/maps/place/?q=place_id:ChIJRZ2U653nBTsRIZjskupjLvw,part_312,2026-09-20 20:22:55
"Grand Indoor Plants, Pots and Grand Aquarium",Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",+91 89215 17646,N/A,4.7,14.0,"RQ69+M49, jawahar junction, Parippally, Keralam 691574",jawahar junction,8.8116683,76.7678548,ChIJHffz7UnnBTsRxc8i_4sNeK0,https://www.google.com/maps/place/?q=place_id:ChIJHffz7UnnBTsRxc8i_4sNeK0,part_312,2026-09-20 20:22:55
LUCKY ARCADE,Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",N/A,N/A,5.0,1.0,"Parippally, Keralam 691574",695603,8.8103673,76.7599152,ChIJyc5E2VzmBTsRwepV69WiTnM,https://www.google.com/maps/place/?q=place_id:ChIJyc5E2VzmBTsRwepV69WiTnM,part_312,2026-09-20 20:22:55
Souparnika Complex,Commercial Complex,Shopping mall,Shopping mall,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",N/A,N/A,,,"RQ5R+4RH, Tholoor, Kerala 695603",695603,8.8078042,76.792108,ChIJA5aBD5TnBTsRN_vbea0MwXw,https://www.google.com/maps/place/?q=place_id:ChIJA5aBD5TnBTsRN_vbea0MwXw,part_312,2026-09-20 20:22:55
Rajakumari Day2Day Shopping & Allmart - Parippally,Commercial Complex,Grocery store,Grocery store,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",+91 75920 11133,http://rajakumariday2dayshopping.com/,4.2,,"Paravur - Parippally Rd, Parippally, Keralam 691574",695603,8.8124757,76.75823849999999,ChIJKxq1o13mBTsRfbKPq_XspI8,https://www.google.com/maps/place/?q=place_id:ChIJKxq1o13mBTsRfbKPq_XspI8,part_312,2026-09-20 20:22:56
Artech Lake Palace - Flats in Kollam,Commercial Complex,Apartment complex,Apartment complex,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",+91 98476 00600,http://artechrealtors.com/projects/artech-lake-palace/,4.2,,"NH 47, Kankathumukku, Salem - Kochi Hwy, Kaankathu Mukku, Kollam, Keralam 691012","KV Nagar, Nellimuku, Kaankathu Mukku",8.895581199999999,76.5703843,ChIJi02P6DX8BTsRBLcFBpzRP_w,https://www.google.com/maps/place/?q=place_id:ChIJi02P6DX8BTsRBLcFBpzRP_w,part_312,2026-09-20 20:22:56
Nest Realty,Commercial Complex,Property management company,"Property management company, Real estate consultant",695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",+91 87141 38396,http://www.nestlbar.com/,5.0,,"Medayil Vilakkumadom, KRA 1, near Thiruvallam Bridge, Thiruvallam, Thiruvananthapuram, Keralam 695026",Thiruvallam,8.4423905,76.9535685,ChIJFeKsuw67BTsRVzBkxS12J9M,https://www.google.com/maps/place/?q=place_id:ChIJFeKsuw67BTsRVzBkxS12J9M,part_312,2026-09-20 20:22:56
Pallippuram Entreprises,Commercial Complex,Hardware store,Hardware store,695603,Kerala Circle,Trivandrum HQ Region,Trivandrum North Division,"Navaikulam SO, Maruthikunnu BO, Parakunnu BO",+91 99954 28177,N/A,4.0,2.0,"RQ75+M3P, Parippally, Keralam 691574",695603,8.8142053,76.7576899,ChIJJ60J5V3mBTsRgFWYy_Jy678,https://www.google.com/maps/place/?q=place_id:ChIJJ60J5V3mBTsRgFWYy_Jy678,part_312,2026-09-20 20:22:58
