business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deepam Eye Hospitals ‍,Eye Clinic and Eye Hospital,Eye care center,Eye care center,695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 97906 97907,http://deepameyehospitals.com/,4.8,2915.0,"36, GST Rd, MIT Colony, Urapakkam, Chennai, Kilampakkam, Tamil Nadu 603210","MIT Colony, Urapakkam",12.867513899999999,80.0759054,ChIJG4ztxLT3UjoRMcAhcJxbw_M,https://www.google.com/maps/place/?q=place_id:ChIJG4ztxLT3UjoRMcAhcJxbw_M,part_311,2026-09-20 20:38:33
Modi Eye Care Centre,Eye Clinic and Eye Hospital,Eye care center,Eye care center,695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 79 2741 6660,https://www.modieyecare.com/,4.9,890.0,"OppositeJay Mangal BRTS, Bus Stand, 3,Jay mangal Society Off.132 feet Ring Road, 3, Mirambica School Road, AEC Char Rasta, Naranpura, Ahmedabad, Gujarat 380013","AEC Char Rasta, Naranpura",23.0577538,72.5499394,ChIJ29N7eJ6EXjkR5kvs9i3iVaM,https://www.google.com/maps/place/?q=place_id:ChIJ29N7eJ6EXjkR5kvs9i3iVaM,part_311,2026-09-20 20:38:33
Swarnjyoti Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,Eye care center,695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 73111 23470,https://swarnjyotieyehospital.in/,4.9,1324.0,"First Floor, A 1/22, Square, Ekta Vihar, Sector B, Aliganj, Lucknow, Uttar Pradesh 226024","Ekta Vihar, Sector B, Aliganj",26.8877813,80.93924369999999,ChIJ____v7VXmTkR3SOpXIrW0JY,https://www.google.com/maps/place/?q=place_id:ChIJ____v7VXmTkR3SOpXIrW0JY,part_311,2026-09-20 20:38:33
The Eye Foundation Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Hospital",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 421 223 2333,http://www.theeyefoundation.com/,4.9,24587.0,"14, 22, Harvey Rd, Bridge Colony, Tiruppur, Tamil Nadu 641602",Bridge Colony,11.110101499999999,77.3411291,ChIJq9uHAK8HqTsRsnue_RSyOFs,https://www.google.com/maps/place/?q=place_id:ChIJq9uHAK8HqTsRsnue_RSyOFs,part_311,2026-09-20 20:38:33
Dr Agarwals Eye Hospital (in Partnership with Prizma Eye Care Hospital),Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optician, Optometrist, Orthoptist, Pediatric ophthalmologist",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 95949 24493,https://www.dragarwal.com/eye-hospital/ring-road/?utm_source=locator&utm_medium=googleplaces,4.9,5090.0,"Pyramid Point, Ring Rd, beside Krushi Mangal Hall, Vijay Nagar, Majura Gate, Surat, Gujarat 395001","Vijay Nagar, Majura Gate",21.1819937,72.8157375,ChIJVVW643FO4DsRudyMIJeenOg,https://www.google.com/maps/place/?q=place_id:ChIJVVW643FO4DsRudyMIJeenOg,part_311,2026-09-20 20:38:33
IZARA - Premium Eye Care (Kayamkulam),Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 479 299 7899,http://izarahealthcare.com/,4.9,114.0,"IZARA - Premium Eye Care, Izara Speciality Eye Hospital, Bank Rd, Mukkavala, Kayamkulam, Keralam 690502",Mukkavala,9.176976999999999,76.5031315,ChIJLd3Un8AdBjsR7mp5O68iuXE,https://www.google.com/maps/place/?q=place_id:ChIJLd3Un8AdBjsR7mp5O68iuXE,part_311,2026-09-20 20:38:33
Dr Agarwals Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Hospital, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optometrist, Orthoptist, Pediatric ophthalmologist",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 95949 03802,https://www.dragarwal.com/eye-hospital/madhapur/?utm_source=locator&utm_medium=googleplaces,4.9,1722.0,"Pillar No, 1729, Madhapur Rd, Phase 2, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081","Phase 2, Kavuri Hills, Madhapur",17.440835,78.3920356,ChIJ8SLr-iKRyzsRde5wrk6tm70,https://www.google.com/maps/place/?q=place_id:ChIJ8SLr-iKRyzsRde5wrk6tm70,part_311,2026-09-20 20:38:33
SREE KRISHNA EYE HOSPITAL & ORUGALLU OPTICALS,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Optical Products Manufacturer, Optical Wholesaler, Optician, Optometrist",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 98494 46124,N/A,5.0,140.0,"H no 6, KRMS REDDY COMPLEX, 2-91/A, opp. SURYA DAIGNOSTICS, Beside Vijaya Talkies, Kakaji Nagar Colony, Hanamkonda, Telangana 506011","Beside Vijaya Talkies, Kakaji Nagar Colony",18.0044725,79.5692346,ChIJ3z-WioJFMzoRQiwJkdADpt0,https://www.google.com/maps/place/?q=place_id:ChIJ3z-WioJFMzoRQiwJkdADpt0,part_311,2026-09-20 20:38:33
The Healing Touch Super Speciality Eye Care,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor, Hospital, Lasik surgeon, Ophthalmologist, Ophthalmology clinic, Optometrist, Pediatric ophthalmologist, Specialized hospital, Surgeon",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 80903 03809,https://www.thehealingtoucheyecentre.com/?utm_source=gmb&utm_medium=organic&utm_campaign=12575934451867848028&utm_term=PC_Assist&utm_content=websitelink,4.6,1489.0,"C, 2/390, Pankha Rd, C4 D Block, C-2 Block, Janakpuri, New Delhi, Delhi, 110058","C4 D Block, C-2 Block, Janakpuri",28.6155221,77.0831354,ChIJr1kqwLYEDTkREQNgpmzH8Cg,https://www.google.com/maps/place/?q=place_id:ChIJr1kqwLYEDTkREQNgpmzH8Cg,part_311,2026-09-20 20:38:33
Priyanka Eye Hospital,Eye Clinic and Eye Hospital,Eye care center,"Eye care center, Doctor",695527,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Kovalam SO Thiruvananthapuram, Kovalam Beach BO",+91 94950 92537,N/A,4.6,245.0,"Salem-Kanyakumari Highway, Changankulangara - Kambisseri Rd, Keralam 690528",Changankulangara,9.1044582,76.52109279999999,ChIJl3_kPjcDBjsRZyAuXqdyuZw,https://www.google.com/maps/place/?q=place_id:ChIJl3_kPjcDBjsRZyAuXqdyuZw,part_311,2026-09-20 20:38:33
