business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Montu Pilot Courier service,Courier and Cargo Service,Courier service,"Courier service, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 97487 75385,https://montu-pilot-courier.grexa.site/,5.0,,"Montu Pilot Courier service, 700127, India",700127,23.044780799999998,88.412365,ChIJ9am3gCqZ-DkR8ayrX2yOGto,https://www.google.com/maps/place/?q=place_id:ChIJ9am3gCqZ-DkR8ayrX2yOGto,part_315,2026-09-20 20:17:28,4764
DTDC Express,Courier and Cargo Service,Shipping service,Shipping service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 87770 92068,N/A,3.2,,"UBI BANK, Hridaypur Station Rd, Kailas Nagar, Madhyamgram, Kolkata, West Bengal 700127","Kailas Nagar, Madhyamgram",22.709898199999998,88.46921569999999,ChIJxT5fHeKZ-DkRB7gZGPG7eW8,https://www.google.com/maps/place/?q=place_id:ChIJxT5fHeKZ-DkRB7gZGPG7eW8,part_315,2026-09-20 20:17:28,4765
Nightingale Express Courier & Logistics,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 33 2542 8953,http://necl.online/,3.6,,"126, Khudiram Bose Rd, Dr. Kedareswar Banerjee Sarani, Noapara, Kolkata, West Bengal 700125","Dr. Kedareswar Banerjee Sarani, Noapara",22.7270908,88.4794441,ChIJIZnR9k6j-DkRwLc2x2quyec,https://www.google.com/maps/place/?q=place_id:ChIJIZnR9k6j-DkRwLc2x2quyec,part_315,2026-09-20 20:17:28,4766
Hridaypur Post Office,Courier and Cargo Service,Post office,Post office,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,http://www.indiapost.gov.in/,3.0,,"PF69+33X, Hridaypur Station Rd, near Station Road, Kailas Nagar, Hridaypur, Kolkata, West Bengal 700127","Kailas Nagar, Hridaypur",22.7102766,88.46913409999999,ChIJEY-537KY-DkRT8-zCEUPmgI,https://www.google.com/maps/place/?q=place_id:ChIJEY-537KY-DkRT8-zCEUPmgI,part_315,2026-09-20 20:17:28,4767
DEYSMARK ENTERPRISE,Courier and Cargo Service,Delivery service,"Delivery service, Service establishment",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 98361 15403,N/A,,,"DEYSMARK ENTERPRISE, 700127, India",700127,23.020150299999997,88.3218873,ChIJ0Qk4mGWf-DkRpLfnIn_mI_I,https://www.google.com/maps/place/?q=place_id:ChIJ0Qk4mGWf-DkRpLfnIn_mI_I,part_315,2026-09-20 20:17:28,4768
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://www.bluedart.com/,3.9,,"Park avenue, Barrackpore road, Nabapally, Barasat, Kolkata, West Bengal 700126","Bijaylakshmi Colony, Chkravartipara, Barasat",22.727529,88.4749892,ChIJ4WU5J8KZ-DkRzNrCopOZ7TQ,https://www.google.com/maps/place/?q=place_id:ChIJ4WU5J8KZ-DkRzNrCopOZ7TQ,part_315,2026-09-20 20:17:29,4769
DTDC Express LTD,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 93394 20731,N/A,3.1,,"31, Burtolla St, Raja Katra, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Bara Bazar, Jorasanko",22.582114699999998,88.35589709999999,ChIJZ6Jo0bZ3AjoR17FWR11GuOM,https://www.google.com/maps/place/?q=place_id:ChIJZ6Jo0bZ3AjoR17FWR11GuOM,part_315,2026-09-20 20:17:29,4770
Air International Couriers And Cargo,Courier and Cargo Service,Courier service,"Courier service, Freight Forwarding Agency, Logistics service, Shipping and mailing service, Shipping service, Transportation service",700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 80973 48711,https://www.airinternationalcourier.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.8,,"G-5, Omkar Prarthna Bldg, Nr. HDIL Tower Behind Janta Mutton Shop Vijay Nagar, Sahar Rd, Andheri East, Mumbai, Maharashtra 400069","Navpada, Vile Parle East, Andheri East",19.113014,72.8473826,ChIJbZyd6R7J5zsRxHpwlzjcpLM,https://www.google.com/maps/place/?q=place_id:ChIJbZyd6R7J5zsRxHpwlzjcpLM,part_315,2026-09-20 20:17:29,4771
CROWN CARGO & COURIER SERVICE,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 75672 34852,N/A,5.0,,"Zampa Bazaar, Begampura, Surat, Gujarat 395002","Zampa Bazaar, Begampura",21.193505299999998,72.8328381,ChIJo2tZPVxO4DsRPa-iIBgIUJI,https://www.google.com/maps/place/?q=place_id:ChIJo2tZPVxO4DsRPa-iIBgIUJI,part_315,2026-09-20 20:17:29,4772
Delight Courier Cargo Services,Courier and Cargo Service,Shipping and mailing service,Shipping and mailing service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 78276 02228,https://delightcouriercargo.in/,4.9,,"KH-149 GROUND FLOOR, Swaroop Nagar Rd, near Shani Dev Ji & Hanuman Ji Mandir, Master Mohalla, Delhi, 110042",Master Mohalla,28.7506192,77.1419794,ChIJ-6_KBC8BDTkRsNzNi5qYkis,https://www.google.com/maps/place/?q=place_id:ChIJ-6_KBC8BDTkRsNzNi5qYkis,part_315,2026-09-20 20:17:29,4773
First Flight Couriers Limited,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 83348 98699,N/A,3.5,,"MFV4+XGP, Sodepur Barasat Rd, Super Market, Uttar Bireshpally, Bireshpally, Madhyamgram, Kolkata, West Bengal 700129","Super Market, Uttar Bireshpally, Bireshpally, Madhyamgram",22.6949676,88.4563136,ChIJz-4m6Tmf-DkRa0asZlGgcgw,https://www.google.com/maps/place/?q=place_id:ChIJz-4m6Tmf-DkRa0asZlGgcgw,part_315,2026-09-20 20:17:29,4774
Delhivery Ltd.,Courier and Cargo Service,Transportation service,Transportation service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,2.0,,"50, Badu Rd, Madhyamgram, Kolkata, West Bengal 700128",Madhyamgram,22.6951592,88.48861649999999,ChIJuQ8q7DKh-DkRs4slrYWF7s4,https://www.google.com/maps/place/?q=place_id:ChIJuQ8q7DKh-DkRs4slrYWF7s4,part_315,2026-09-20 20:17:29,4775
Udayrajpur Branch Post Office,Courier and Cargo Service,Post office,Post office,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,N/A,4.4,,"PF27+W3C, opp. Vivekanada Ground, Madhyamgram, Udayrajpur, West Bengal 700129",Madhyamgram,22.7023101,88.46264339999999,ChIJV3LF1kuf-DkR61OGnmtOXfM,https://www.google.com/maps/place/?q=place_id:ChIJV3LF1kuf-DkR61OGnmtOXfM,part_315,2026-09-20 20:17:29,4776
Nabapally Sub Post Office,Courier and Cargo Service,Post office,Post office,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,http://www.indiapost.gov.in/,2.4,,"PFFC+CPG, Choto Bajar, Chkravartipara, Nabapally, Kolkata, West Bengal 700126","Choto Bajar, Chkravartipara, Nabapally",22.7235551,88.4718245,ChIJ7RmRV6SY-DkRzZ4RaEymI2Q,https://www.google.com/maps/place/?q=place_id:ChIJ7RmRV6SY-DkRzZ4RaEymI2Q,part_315,2026-09-20 20:17:29,4777
Delhivery Customer Care Number,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,N/A,https://www.delhivery.com/support,1.1,,"6, Marquis St, Colootola, New Market Area, Dharmatala, Taltala, Kolkata, West Bengal 700016","Colootola, New Market Area, Dharmatala, Taltala",22.5566884,88.35447049999999,ChIJb_h3wQV3AjoRWsQ4DmVlh0s,https://www.google.com/maps/place/?q=place_id:ChIJb_h3wQV3AjoRWsQ4DmVlh0s,part_315,2026-09-20 20:17:29,4778
BN Courier Service,Courier and Cargo Service,Courier service,Courier service,700127,West Bengal Circle,Kolkata Region,Barasat Division,Hridaypur SO,+91 6295 529 007,N/A,5.0,,"Kamarpukur(College More),Post, Dist, behind Ramkrishna Seva Sangha, P.S, Kamarpukur, Goghat, West Bengal 722161",P.S,22.911666399999998,87.6495291,ChIJY5J8kvwZ-DkRuMqb7GGiI24,https://www.google.com/maps/place/?q=place_id:ChIJY5J8kvwZ-DkRuMqb7GGiI24,part_315,2026-09-20 20:17:29,4779
