business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Lal PathLabs - Patient Service Centre,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service",713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 8071 372 526,https://labs.lalpathlabs.com/dr-lal-pathlabs-patient-service-centre-diagnostic-centre-palpara-bardhaman-342963/Home?utm_source=locator&utm_medium=googleplaces,4.8,6.0,"Ground Floor, Pal Para Road, near Hanuman Mondir, Palpara, Mankar, Bardhaman, West Bengal 713144",Palpara,23.423032499999998,87.5584705,ChIJLd4y6ifV-TkRn8PGi8lljx8,https://www.google.com/maps/place/?q=place_id:ChIJLd4y6ifV-TkRn8PGi8lljx8,part_319,2026-09-20 20:18:22
"Thyrocare Diagnostic Lab | Blood Test Centre - Burdwan,West Bengal",Diagnostic Center,Diagnostic center,Diagnostic center,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 95476 96385,https://thyrocare.com/near-by-location/BURDWAN/WESTBENGAL/franchise-name-SEW48,,,"Gr Floor, Hazi Market, opposite Bud Bud, Masjid, Burdwan, Budbud, West Bengal 713403",Masjid,23.4032827,87.5484072,ChIJcaFzepjV-TkRgVnzerbEeog,https://www.google.com/maps/place/?q=place_id:ChIJcaFzepjV-TkRgVnzerbEeog,part_319,2026-09-20 20:18:22
Rohit blood collection,Diagnostic Center,Medical diagnostic imaging center,Medical diagnostic imaging center,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,N/A,,,"FJ2H+2WW, Kazipara, Chandipur, West Bengal 713144",Kazipara,23.4501314,87.6297402,ChIJ8UzEeQDT-TkRt0Utoy-YDP8,https://www.google.com/maps/place/?q=place_id:ChIJ8UzEeQDT-TkRt0Utoy-YDP8,part_319,2026-09-20 20:18:22
CARE DIAGNOSTIC CENTRE,Diagnostic Center,Diagnostic center,Diagnostic center,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 96412 70438,N/A,4.0,7.0,"Mankar Road, Mankar, West Bengal 713403",713144,23.411998699999998,87.5505312,ChIJAba0kYbV-TkRlkQiug2cwdk,https://www.google.com/maps/place/?q=place_id:ChIJAba0kYbV-TkRlkQiug2cwdk,part_319,2026-09-20 20:18:22
"Thyrocare Blood Test Lab, Blood Test Centre - Purba Bardhaman, West Bengal",Diagnostic Center,Diagnostic center,Diagnostic center,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",N/A,https://www.thyrocare.com/,,,"Medinova Pharma Plaza, Kandra PS Ketugram-1, West Bengal 713129",713144,23.44195,87.57547,ChIJPfgs3CLV-TkRg6f0a-OmhXM,https://www.google.com/maps/place/?q=place_id:ChIJPfgs3CLV-TkRg6f0a-OmhXM,part_319,2026-09-20 20:18:22
Dr Lal PathLabs - Patient Service Centre,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service",713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 8071 372 533,https://labs.lalpathlabs.com/dr-lal-pathlabs-patient-service-centre-diagnostic-centre-illambazar-bardhaman-342997/Home?utm_source=locator&utm_medium=googleplaces,5.0,8.0,"Ground Floor Ausgram, opposite Petrol Pump, Illambazar, Bardhaman, West Bengal 713152",713144,23.5093671,87.6699216,ChIJD-OUm-fR-TkRCq9gYBtJ-5Q,https://www.google.com/maps/place/?q=place_id:ChIJD-OUm-fR-TkRCq9gYBtJ-5Q,part_319,2026-09-20 20:18:22
RAMAKRISHNA DIAGNOSTIC CENTRE AND POLYCLINC,Diagnostic Center,Health consultant,"Health consultant, Medical clinic",713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 94753 16208,N/A,4.0,4.0,"Mankar Road, opposite to BISWAS BROTHER, Budbud, West Bengal 713403",713144,23.4034503,87.5480252,ChIJo-vPgs3V-TkRZ9Ek5AdtQCo,https://www.google.com/maps/place/?q=place_id:ChIJo-vPgs3V-TkRZ9Ek5AdtQCo,part_319,2026-09-20 20:18:22
Dr Lal PathLabs - Patient Service Centre,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service",713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 8071 498 214,https://labs.lalpathlabs.com/dr-lal-pathlabs-patient-service-centre-diagnostic-centre-budbud-bardhaman-538580/Home?utm_source=locator&utm_medium=googleplaces,5.0,2.0,"Ramkrishna Diagnostic Centre, Budbud, West Bengal 713403",713144,23.403478099999997,87.5479926,ChIJU-P08RTV-TkRjJi9xoyPZOs,https://www.google.com/maps/place/?q=place_id:ChIJU-P08RTV-TkRjJi9xoyPZOs,part_319,2026-09-20 20:18:22
AANISA DIAGNOSTICS,Diagnostic Center,Diagnostic center,Diagnostic center,713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 89455 53202,https://www.aanisadiagnostics.com/,,,"Mankar Road, near NH 19, Budbud, West Bengal 713403",713144,23.4060641,87.5488811,ChIJTyF7idDV-TkRu4mzQQ2eKCE,https://www.google.com/maps/place/?q=place_id:ChIJTyF7idDV-TkRu4mzQQ2eKCE,part_319,2026-09-20 20:18:22
Apollo 24|7 Lab Test Near Me | Budbud | Home Collection | Purba Bardhaman,Diagnostic Center,Diagnostic center,"Diagnostic center, Blood testing service, Health consultant, Laboratory, Medical laboratory, Pathologist",713144,West bengal circle,South Bengal Region,Burdwan Division,"Abhirampur BO, Eral BO, Khandaridanga BO",+91 80 4885 1037,https://www.apollo247.com/lab-tests,,,"JL No-37, Dag No-605,KhNo-5797,Mouza-Sukdal, Grand Trunk Rd, PO+PS, Budbud, West Bengal 713403",PO+PS,23.40671,87.55156,ChIJt9flg3PV-TkRARJa-hvVItU,https://www.google.com/maps/place/?q=place_id:ChIJt9flg3PV-TkRARJa-hvVItU,part_319,2026-09-20 20:18:22
