business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raj College More রাজ কলেজমোড়,Junior College and Degree College,College,College,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",N/A,N/A,4.2,435.0,"7V37+74J, Subhas Pally, Bardhaman, West Bengal 713103",Subhas Pally,23.2532204,87.8627526,ChIJOSqHTRJJ-DkR6_QrMv1aExc,https://www.google.com/maps/place/?q=place_id:ChIJOSqHTRJJ-DkR6_QrMv1aExc,part_318,2026-09-20 20:49:04
Burdwan Raj College,Junior College and Degree College,Government college,Government college,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",N/A,http://www.burdwanrajcollege.ac.in/,4.3,1201.0,"Aftab House, Frazer Ave, Bardhaman University, Bardhaman, West Bengal 713104",Bardhaman University,23.2457597,87.8576513,ChIJs3Yxqd9J-DkR0SQmMy1r8Pw,https://www.google.com/maps/place/?q=place_id:ChIJs3Yxqd9J-DkR0SQmMy1r8Pw,part_318,2026-09-20 20:49:04
"Govt. College Of Education, Burdwan",Junior College and Degree College,Government college,"Government college, University",713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",+91 95353 69393,https://gceburdwan.in/,4.2,115.0,"6RWV+H47, Tikarhat Rd, Raiganj, Bardhaman, West Bengal 713104",Raiganj,23.2464045,87.84278909999999,ChIJGc_vCz02-DkR3_k-GCS-hG8,https://www.google.com/maps/place/?q=place_id:ChIJGc_vCz02-DkR3_k-GCS-hG8,part_318,2026-09-20 20:49:04
Burdwan Raj College main gate,Junior College and Degree College,College,College,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",N/A,N/A,4.6,14.0,"Arts Building, Bardhaman University, Bardhaman, West Bengal 713104",Bardhaman University,23.2456672,87.8576475,ChIJ07N9z_FJ-DkRG2LK0gqtODo,https://www.google.com/maps/place/?q=place_id:ChIJ07N9z_FJ-DkRG2LK0gqtODo,part_318,2026-09-20 20:49:04
J N Konar College Of Education(B Ed),Junior College and Degree College,Teachers college,Teachers college,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",N/A,N/A,4.0,54.0,"CV9X+8PP, Chandipur, West Bengal 713520",713127,23.4183447,87.89931539999999,ChIJn16qeVa0-TkRZsWcQuI4BmA,https://www.google.com/maps/place/?q=place_id:ChIJn16qeVa0-TkRZsWcQuI4BmA,part_318,2026-09-20 20:49:04
Jharna D.Ed College (D.B.G),Junior College and Degree College,College,College,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",N/A,N/A,4.3,6.0,"FQ56+XJR, Bardhaman, West Bengal 713128",713127,23.459996099999998,87.7615179,ChIJgf3n_h7M-TkR_br1CtvywKw,https://www.google.com/maps/place/?q=place_id:ChIJgf3n_h7M-TkR_br1CtvywKw,part_318,2026-09-20 20:49:04
Raj college,Junior College and Degree College,College,College,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",N/A,N/A,,,"7V7C+C2R, Bijoyram, Harinarayan Pur, Bardhaman, Bahir Sarbamangala P, West Bengal 713407","Harinarayan Pur, Bajepratappur",23.2636181,87.8700288,ChIJcTc5cABJ-DkR6-io6nCEcB0,https://www.google.com/maps/place/?q=place_id:ChIJcTc5cABJ-DkR6-io6nCEcB0,part_318,2026-09-20 20:49:04
Vivekananda Mahavidyalaya,Junior College and Degree College,Government college,"Government college, College",713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",+91 342 264 6916,http://www.vmbdn.in/,4.3,646.0,"Post, Mirchoba, Sripally, Chhotonilpur, Bardhaman, West Bengal 713103","Mirchoba, Sripally, Chhotonilpur",23.224000099999998,87.8606999,ChIJWVOwuyxI-DkR7l9rxjxwgMA,https://www.google.com/maps/place/?q=place_id:ChIJWVOwuyxI-DkR7l9rxjxwgMA,part_318,2026-09-20 20:49:05
NS B.Ed College,Junior College and Degree College,College,College,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",+91 94349 41310,N/A,4.9,76.0,"CJWW+2XG, Chandipur, West Bengal 713144",713127,23.4450717,87.6474583,ChIJ5_AOE73T-TkRAx7NVWfwWxU,https://www.google.com/maps/place/?q=place_id:ChIJ5_AOE73T-TkRAx7NVWfwWxU,part_318,2026-09-20 20:49:05
"St. Xavier's College, Burdwan",Junior College and Degree College,College,College,713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",+91 74775 16060,http://sxcb.edu.in/,4.4,204.0,"St. Xavier’s Road P.O, Sripally, Police LIne Bazar, Bardhaman, Gopalnagar P, West Bengal 713103","Sripally, Police LIne Bazar",23.217806799999998,87.8757254,ChIJ5T0VADZI-DkRP5Kz6C1-5-U,https://www.google.com/maps/place/?q=place_id:ChIJ5T0VADZI-DkRP5Kz6C1-5-U,part_318,2026-09-20 20:49:05
N. S. Polytechnic College,Junior College and Degree College,Polytechnic College,"Polytechnic College, School",713127,West bengal circle,South Bengal Region,Burdwan Division,"Gramdighi BO, Khurul BO, Mandarbati BO",+91 94349 41510,http://www.nspc.co.in/,4.5,632.0,"VILL – CHANDIPUR, PO, DIST, PS, Abhirampur, Ausgram, West Bengal 713144",PS,23.4452009,87.6470432,ChIJNyuQX5HT-TkRh6thK10l6eQ,https://www.google.com/maps/place/?q=place_id:ChIJNyuQX5HT-TkRh6thK10l6eQ,part_318,2026-09-20 20:49:05
