business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Hyderabadi Irani Tea Shop,Tea Stall / Chai Cafe,Tea store,"Tea store, Coffee shop, Cookie shop, Ice cream shop, Tiffin center",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 83458 80753,N/A,4.7,,"truck lay bye point, near Ilahipur, Ilahipur, Sehakhala, haripal, Ilipur, West Bengal 712706","Ilahipur, Sehakhala",22.7757665,88.1618221,ChIJa5fk0K59-DkRg-eHTKC9Yp4,https://www.google.com/maps/place/?q=place_id:ChIJa5fk0K59-DkRg-eHTKC9Yp4,part_317,2026-09-20 20:16:58
Sharma Ji Ki Chai,Tea Stall / Chai Cafe,Tea store,Tea store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 85619 26134,https://sharma-ji-ki-chai.grexa.site/,4.9,,"92, BM Saha Rd, Nandan Kanan, Hindmotor, Konnagar, Debaipukur, West Bengal 712233","Nandan Kanan, Hindmotor, Konnagar",22.6883452,88.34770739999999,ChIJF7kl5QSd-DkRvd0z0YUEasM,https://www.google.com/maps/place/?q=place_id:ChIJF7kl5QSd-DkRvd0z0YUEasM,part_317,2026-09-20 20:16:58
Chai le lo chai,Tea Stall / Chai Cafe,Cafe,Cafe,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98369 16572,N/A,4.2,,"26, 16, Tribeni Station Rd, Masterpara, Tribeni, Kolkata, West Bengal 712503","Masterpara, Tribeni",22.9886742,88.39897359999999,ChIJ-blkLW-T-DkRnYkFsMQVIeM,https://www.google.com/maps/place/?q=place_id:ChIJ-blkLW-T-DkRnYkFsMQVIeM,part_317,2026-09-20 20:16:58
Tea Junction Sheoraphuli,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.9,,"Q89J+423, G. T. Road, Bowbazar, PO, PS, Serampore, West Bengal 712204",Serampore,22.767760799999998,88.33003819999999,ChIJO2bTFwCb-DkRzdYR6m475pg,https://www.google.com/maps/place/?q=place_id:ChIJO2bTFwCb-DkRzdYR6m475pg,part_317,2026-09-20 20:16:58
Mogra More Famous Tea Shop,Tea Stall / Chai Cafe,Cafe,Cafe,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,4.2,,"X9FM+VJ3, SH6, Tribeni, Gajaghanta, West Bengal 712502",Tribeni,22.974643399999998,88.3840323,ChIJ1VM-ysKT-DkRYi7f_CnB8ts,https://www.google.com/maps/place/?q=place_id:ChIJ1VM-ysKT-DkRYi7f_CnB8ts,part_317,2026-09-20 20:16:58
Tea Junction - Uttarpara,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 86698 83346,N/A,4.2,,"M85X+3F5, Kotrung, Uttarpara, West Bengal 712258",Kotrung,22.6576375,88.3487344,ChIJGZjZAwCd-DkRWv1uNuYYnYg,https://www.google.com/maps/place/?q=place_id:ChIJGZjZAwCd-DkRWv1uNuYYnYg,part_317,2026-09-20 20:16:58
Cha adda,Tea Stall / Chai Cafe,Tea store,Tea store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 74393 71925,N/A,4.6,,"Strand Rd, Barabazar, Chandannagar, West Bengal 712136",Barabazar,22.857087,88.36882949999999,ChIJ0Qm_VDeR-DkRhJAfyK3X_JM,https://www.google.com/maps/place/?q=place_id:ChIJ0Qm_VDeR-DkRhJAfyK3X_JM,part_317,2026-09-20 20:16:58
Robin Tea Stall,Tea Stall / Chai Cafe,Tea store,Tea store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 98832 01888,N/A,4.5,,"Church Rd, Barabazar, Chandannagar, West Bengal 712136",Barabazar,22.8571898,88.3692598,ChIJgYimaQSR-DkRgFofWt56Qhs,https://www.google.com/maps/place/?q=place_id:ChIJgYimaQSR-DkRgFofWt56Qhs,part_317,2026-09-20 20:16:58
Tea Stall 🍵,Tea Stall / Chai Cafe,Tea house,Tea house,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 91636 90455,N/A,4.7,,"Q783+6GW, Tala, Borai, Singur, Kolkata, West Bengal 712306","Tala, Borai",22.7656155,88.2538431,ChIJyam8g9qF-DkRVDqEr_1btgw,https://www.google.com/maps/place/?q=place_id:ChIJyam8g9qF-DkRVDqEr_1btgw,part_317,2026-09-20 20:16:58
Teen Patti Tea Cafe,Tea Stall / Chai Cafe,Tea store,"Tea store, Snack bar",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 89104 39035,N/A,5.0,,"Besides of, Police Station, Boropukur Area, Mogra, Amodghata, Hansghara, West Bengal 712148","Boropukur Area, Mogra",22.9894949,88.3724787,ChIJewh6mkST-DkRFah8rGYhPcg,https://www.google.com/maps/place/?q=place_id:ChIJewh6mkST-DkRFah8rGYhPcg,part_317,2026-09-20 20:16:58
Bapi Tea Cafe,Tea Stall / Chai Cafe,Cafe,Cafe,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 91435 17137,N/A,4.2,,"12 N, N ray, street, Serampore, West Bengal 712201",Serampore,22.757999299999998,88.34231009999999,ChIJTZ55N96a-DkROUGQD8Ntwq8,https://www.google.com/maps/place/?q=place_id:ChIJTZ55N96a-DkROUGQD8Ntwq8,part_317,2026-09-20 20:16:58
Kartik Tea Stall,Tea Stall / Chai Cafe,Restaurant,Restaurant,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 80015 92658,N/A,4.5,,"Railgate, Pandua, West Bengal 712149",712121,23.067355,88.2757979,ChIJsZdasNvz-DkRlCB_BMRDWHw,https://www.google.com/maps/place/?q=place_id:ChIJsZdasNvz-DkRlCB_BMRDWHw,part_317,2026-09-20 20:16:58
Natun chara tea stall,Tea Stall / Chai Cafe,Coffee shop,Coffee shop,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,3.0,,"4F3G+23, Bhabanipur Char, Jirat, West Bengal 712501",712121,23.1025347,88.4755642,ChIJkXaWcADp-DkRdWshNGiPWtQ,https://www.google.com/maps/place/?q=place_id:ChIJkXaWcADp-DkRdWshNGiPWtQ,part_317,2026-09-20 20:16:58
Pandey tea stall,Tea Stall / Chai Cafe,Cafe,"Cafe, Tea house",712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,+91 88207 69658,N/A,4.3,,"Madan Chatterjee Ln, Raja Katra, Singhi Bagan, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Singhi Bagan, Jorasanko",22.583862,88.361075,ChIJV3lnPrR3AjoR6p386DvHJBo,https://www.google.com/maps/place/?q=place_id:ChIJV3lnPrR3AjoR6p386DvHJBo,part_317,2026-09-20 20:16:58
Cha Wala,Tea Stall / Chai Cafe,Tea store,Tea store,712121,West Bengal Circle,South Bengal Region,Hooghly North Division,Addconagar SO,N/A,N/A,5.0,,"P3X6+P7C, Shirirampur, West Bengal 712404",712121,22.749266199999997,88.0604549,ChIJ9SIgfCZ7-DkR95p8cjX_UUI,https://www.google.com/maps/place/?q=place_id:ChIJ9SIgfCZ7-DkR95p8cjX_UUI,part_317,2026-09-20 20:16:58
