business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
YOLO Lounge - Kasba,Bar and Pub,Bar & grill,Bar & grill,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 87777 86991,N/A,4.9,71.0,"No. 23, 3, Rajkrishna Chatterjee Rd, Bosepukur, Kasba, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.5191168,88.381044,ChIJB-3UjZ93AjoRnrB347HihQo,https://www.google.com/maps/place/?q=place_id:ChIJB-3UjZ93AjoRnrB347HihQo,part_314,2026-09-20 20:16:58
Downtown Kitchen & Bar,Bar and Pub,Bar & grill,Bar & grill,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 90733 30592,N/A,4.0,476.0,"No. 23, 3, Rajkrishna Chatterjee Rd, Bosepukur, Kasba, Kolkata, West Bengal 700042","Bosepukur, Kasba",22.5191168,88.381044,ChIJOa5vDm93AjoRxefkk_Dm9A4,https://www.google.com/maps/place/?q=place_id:ChIJOa5vDm93AjoRxefkk_Dm9A4,part_314,2026-09-20 20:16:58
Gossip & More Gossip - Multicuisine Restaurant & Pub,Bar and Pub,Bar,"Bar, Brunch restaurant, Cocktail bar, Lunch restaurant, Restaurant",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 75950 77731,N/A,4.2,1351.0,"Bengal Ambuja, UNS 77, Unnyan The Commercial Complex, 1050/1 Survey Park, Eastern Metropolitan Bypass, near Ajoy Nagar, Kolkata, West Bengal 700099","Survey Park, Santoshpur",22.487313,88.3935047,ChIJfz6gcWZxAjoRylngJMsgZDE,https://www.google.com/maps/place/?q=place_id:ChIJfz6gcWZxAjoRylngJMsgZDE,part_314,2026-09-20 20:16:58
Azur By Tamie (Lounge Bar & Banquet),Bar and Pub,Lounge bar,Lounge bar,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 76040 07946,http://www.tamiehotels.com/,5.0,4.0,"2nd floor, Bose Pukur Rd, 123, Rashbehari Ave Connector, Kolkata, West Bengal 700102","Tal Bagan, Bosepukur, Kasba",22.5169534,88.3876526,ChIJbYoZagd3AjoRUkeNGcsWQf8,https://www.google.com/maps/place/?q=place_id:ChIJbYoZagd3AjoRUkeNGcsWQf8,part_314,2026-09-20 20:16:58
Westlight Bar cum Restaurant,Bar and Pub,Bar & grill,Bar & grill,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 70038 14059,N/A,4.2,293.0,"Commercial Complex, Calcutta Greens, 1050/2, Survey Park, Santoshpur, Kolkata, West Bengal 700075","Survey Park, Santoshpur",22.486930899999997,88.3933641,ChIJ33vN84dxAjoRhBQ9kryIH2s,https://www.google.com/maps/place/?q=place_id:ChIJ33vN84dxAjoRhBQ9kryIH2s,part_314,2026-09-20 20:16:58
Szafran,Bar and Pub,Bar,"Bar, Chinese restaurant",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 72780 00843,N/A,4.0,727.0,"12/2, N Purbachal Rd, Kalikapur, Haltu, Kolkata, West Bengal 700078","Kalikapur, Haltu",22.5040308,88.396935,ChIJ_48o-VlxAjoRLNuGnwgEvaE,https://www.google.com/maps/place/?q=place_id:ChIJ_48o-VlxAjoRLNuGnwgEvaE,part_314,2026-09-20 20:16:58
Tandav Restro Pub & Lounge,Bar and Pub,Pub,Pub,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 89101 05018,N/A,4.2,175.0,"near 103, Eastern Metropolitan Bypass, above Guru's restaurant cum bar, beside golden shiraz and on top of Guru's restaurant cum bar, Netaji Nagar, VIP Nagar, Kolkata, West Bengal 700100","Netaji Nagar, VIP Nagar",22.5236055,88.39739089999999,ChIJ2XQGRzV3AjoRllBtXfMqOPk,https://www.google.com/maps/place/?q=place_id:ChIJ2XQGRzV3AjoRllBtXfMqOPk,part_314,2026-09-20 20:16:58
Nothing Else Matterz Bar & Multicuisine Restaurant,Bar and Pub,Fine dining restaurant,"Fine dining restaurant, Bar & grill, Bistro, Cafe, Chinese restaurant, Continental restaurant, Live music bar, Lounge bar, Pub",700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 81005 45155,http://www.nemclubkolkata.in/,4.8,276.0,"Shop No. 224, B & C, 1925 Chak Garia, Metropolis Mall, Hiland Park 2nd Floor, Kolkata, West Bengal 700094","Hiland Park, 1925, Chak Garia, Santoshpur",22.483274599999998,88.39061389999999,ChIJjzBsb7BxAjoRMXTBSBpsoqQ,https://www.google.com/maps/place/?q=place_id:ChIJjzBsb7BxAjoRMXTBSBpsoqQ,part_314,2026-09-20 20:16:58
Paimana Bar,Bar and Pub,Bar,Bar,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",N/A,N/A,4.2,34.0,"F9PV+H7J, Eastern Metropolitan Bypass, Survey Park, Santoshpur, Kolkata, West Bengal 700099","Survey Park, Santoshpur",22.4864712,88.3931295,ChIJKRhS8DdxAjoRwrrBYxZFzn0,https://www.google.com/maps/place/?q=place_id:ChIJKRhS8DdxAjoRwrrBYxZFzn0,part_314,2026-09-20 20:16:58
valley restraunt cum bar,Bar and Pub,Bar,Bar,700078,West Bengal Circle,Kolkata Region,South Kolkata Division,"Haltu SO, Jadavgarh SO, PURBACHAL MAIN ROAD SO",+91 74395 32637,N/A,3.8,56.0,"3rd Floor, F9PV+Q9C, Survey Park, Santoshpur, Kolkata, West Bengal 700099","Survey Park, Santoshpur",22.486902999999998,88.39331899999999,ChIJY6VAXABxAjoR2_dwC_FFIU8,https://www.google.com/maps/place/?q=place_id:ChIJY6VAXABxAjoR2_dwC_FFIU8,part_314,2026-09-20 20:16:58
