business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Salkara North Indian Food corner, Mukkola, Vizhinjam",North Indian Restaurant,Restaurant,Restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",N/A,N/A,3.0,,"Mulloor, Keerthy Building, PO, near Market, Mukkola, Keralam 695521","Mukkola, Vizhinjam",8.3829689,77.00607839999999,ChIJ68SJIpalBTsR8ArKA6p_MS0,https://www.google.com/maps/place/?q=place_id:ChIJ68SJIpalBTsR8ArKA6p_MS0,part_311,2026-09-20 20:25:05
The taste of punjab,North Indian Restaurant,Punjabi restaurant,Punjabi restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",N/A,N/A,3.0,,"Taste of Punjab,Kovalam beach road,kovalam, Thiruvananthapuram, Keralam 695527",695501,8.3923918,76.976784,ChIJHRDM0WKlBTsRPgrOzJ7xIFM,https://www.google.com/maps/place/?q=place_id:ChIJHRDM0WKlBTsRPgrOzJ7xIFM,part_311,2026-09-20 20:25:05
AK Caters & Restaurant,North Indian Restaurant,Fast food restaurant,Fast food restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 94951 54574,N/A,3.9,,"2nd, Pravachambalam - Ooruttambalam Rd, Pallichal, Keralam 695020",695501,8.4493521,77.02051399999999,ChIJLQb3WDGxBTsRfIiWvYFqYOs,https://www.google.com/maps/place/?q=place_id:ChIJLQb3WDGxBTsRfIiWvYFqYOs,part_311,2026-09-20 20:25:05
Mallu Singh's Dhaba,North Indian Restaurant,Restaurant,Restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 96331 33320,N/A,5.0,,"Peyad-Cherukode Rd, Vilappil, Thiruvananthapuram, Keralam 695573",695501,8.5154779,77.0310512,ChIJ1-cWXYmxBTsRpEU6mLT1aVs,https://www.google.com/maps/place/?q=place_id:ChIJ1-cWXYmxBTsRpEU6mLT1aVs,part_311,2026-09-20 20:25:05
Makkani Punjab Restaurants,North Indian Restaurant,Punjabi restaurant,Punjabi restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",N/A,N/A,3.1,,"Kovalam Beach Rd, Thiruvananthapuram, Kovalam, Keralam 695527",695501,8.3886503,76.977474,ChIJF8aLcGOlBTsRAa5d698uq6U,https://www.google.com/maps/place/?q=place_id:ChIJF8aLcGOlBTsRAa5d698uq6U,part_311,2026-09-20 20:25:05
Penta Hut Restaurant,North Indian Restaurant,Restaurant,Restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 99955 65685,N/A,3.8,,"P.O, Palichal-Vizhinjam road Nemom, Thiruvananthapuram, Keralam 695020",695501,8.439866799999999,77.0186982,ChIJa6FAKm-vBTsRSd3O8jdor7s,https://www.google.com/maps/place/?q=place_id:ChIJa6FAKm-vBTsRSd3O8jdor7s,part_311,2026-09-20 20:25:05
Naanu's Restaurant,North Indian Restaurant,Kerala restaurant,"Kerala restaurant, Family restaurant",695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",N/A,N/A,3.9,,"Thirupuram, Keralam 695133",695501,8.359063299999999,77.06797329999999,ChIJjeccyLCvBTsRHLbMesWUsCA,https://www.google.com/maps/place/?q=place_id:ChIJjeccyLCvBTsRHLbMesWUsCA,part_311,2026-09-20 20:25:05
Patiala restaurant Punjabi Dhaba,North Indian Restaurant,Restaurant,Restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 85900 03111,N/A,3.9,,"Bus Stand, Near, Kovalam Beach Rd, Thiruvananthapuram, Keralam 695527",695501,8.390799399999999,76.9758641,ChIJJRmXiqWlBTsRVIlrGZ4OS-k,https://www.google.com/maps/place/?q=place_id:ChIJJRmXiqWlBTsRVIlrGZ4OS-k,part_311,2026-09-20 20:25:05
Taste of Kerala,North Indian Restaurant,Kerala restaurant,Kerala restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 75111 12281,N/A,4.0,,"Beach Road, Kovalam, Thiruvananthapuram, Keralam 695527",695501,8.3939498,76.9786278,ChIJA22n7tGlBTsRvSOhG7bYAH0,https://www.google.com/maps/place/?q=place_id:ChIJA22n7tGlBTsRvSOhG7bYAH0,part_311,2026-09-20 20:25:05
Majlis Mandi Restaurant,North Indian Restaurant,Restaurant,"Restaurant, Arab restaurant, Chinese restaurant, North Indian restaurant, South Indian restaurant",695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 70254 04404,N/A,3.7,,"Golden tower, Maruthoor, Koottappana, Neyyattinkara, Keralam 695121","Maruthoor, Koottappana",8.4088224,77.0778016,ChIJL9mlW-2vBTsRhn_cuWWAMQA,https://www.google.com/maps/place/?q=place_id:ChIJL9mlW-2vBTsRhn_cuWWAMQA,part_311,2026-09-20 20:25:05
Khana khazana,North Indian Restaurant,Restaurant,Restaurant,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",+91 77365 00462,N/A,4.5,22.0,"CX3G+C33, Kovalam, Keralam 695527",695501,8.4034452,76.9751497,ChIJp8mHUwClBTsRIf1afXjd0Co,https://www.google.com/maps/place/?q=place_id:ChIJp8mHUwClBTsRIf1afXjd0Co,part_311,2026-09-20 20:25:06
Kairali Restaurant and Caterers,North Indian Restaurant,Food court,Food court,695501,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,"Balaramapuram SO, Bhagavathinada BO, Chowara BO",N/A,N/A,4.5,22.0,"Shop No:4, M.S Building, P.O, near Chirayil jn, near Chirayil Bridge, Azhakulam, Vizhinjam, Kovalam, Thiruvananthapuram, Keralam 695521","Azhakulam, Vizhinjam",8.3992472,76.987721,ChIJQ2TS2_OlBTsRrdkXJxLXfmU,https://www.google.com/maps/place/?q=place_id:ChIJQ2TS2_OlBTsRrdkXJxLXfmU,part_311,2026-09-20 20:25:06
