business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr Dibyendu Chakraborty Medicine specialist,Clinics,Consultant,"Consultant, Medical group",712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 70015 68425,https://www.facebook.com/share/1PKWFpmqR7/,5.0,,"Basudebpur Diagnostic centre, Urmila Medicine New, Arambag, West Bengal 712601",712413,22.8738957,87.7961425,ChIJB4r18WYT-DkR2NCJkvzumuc,https://www.google.com/maps/place/?q=place_id:ChIJB4r18WYT-DkR2NCJkvzumuc,part_318,2026-09-20 20:20:57
মিতালী ক্লিনিক ( Mitali Clinic ),Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 87685 27016,N/A,,,"RRRM+HFG, Kanpur, West Bengal 712413",712413,22.841437499999998,87.8336917,ChIJVfEAdQAT-DkRsDyw5zvns6Y,https://www.google.com/maps/place/?q=place_id:ChIJVfEAdQAT-DkRsDyw5zvns6Y,part_318,2026-09-20 20:20:57
Ashalata Clinic,Clinics,Doctor,Doctor,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",N/A,N/A,5.0,,"WV44+CPF, Behala, West Bengal 712615",712413,22.905552699999998,87.8565656,ChIJ_7ySWQBr-DkR8D0q9q-rpVY,https://www.google.com/maps/place/?q=place_id:ChIJ_7ySWQBr-DkR8D0q9q-rpVY,part_318,2026-09-20 20:20:57
Sardar Clinic,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 78650 39357,N/A,,,"Hvm8+Cpr, 1, Gabtala Bazar, SH 2, Tala, Kolkata, West Bengal 712415",Tala,22.839555,87.88167779999999,ChIJ3w3VYBxt-DkR2PzcyH2ZNYc,https://www.google.com/maps/place/?q=place_id:ChIJ3w3VYBxt-DkR2PzcyH2ZNYc,part_318,2026-09-20 20:20:57
Chikitsa,Clinics,Diagnostic center,"Diagnostic center, Drug store, Medical clinic",712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 73188 66635,N/A,4.0,,"RVR8+PCH, Sahapur Rd, Panpet, West Bengal 712413",712413,22.841822699999998,87.8661066,ChIJP8XBuCdt-DkRBoxMwU7hm1Y,https://www.google.com/maps/place/?q=place_id:ChIJP8XBuCdt-DkRBoxMwU7hm1Y,part_318,2026-09-20 20:20:57
Dr. Dhoni Basu Clinic Arambag,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 81709 40608,N/A,5.0,,"Arambag, West Bengal 712601",712413,22.8748489,87.794028,ChIJ0TxHfagT-DkR7d30v9Atjos,https://www.google.com/maps/place/?q=place_id:ChIJ0TxHfagT-DkR7d30v9Atjos,part_318,2026-09-20 20:20:57
Gramin Chikitsalaya,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 97357 03247,N/A,,,"Vvfq+325, Mayapur, Hooghly, Kabikankan Road, Ashanpur, West Bengal 712413",712413,22.872687499999998,87.8875625,ChIJlRc5OIxs-DkRF5g8gG_T8as,https://www.google.com/maps/place/?q=place_id:ChIJlRc5OIxs-DkRF5g8gG_T8as,part_318,2026-09-20 20:20:57
Clinicure Arambagh,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 94344 35824,N/A,4.8,,"PC Sen Rd, near Girls School, Arambag, West Bengal 712601",712413,22.8813796,87.7845741,ChIJEdPlX2YT-DkRbzvIqIjivRc,https://www.google.com/maps/place/?q=place_id:ChIJEdPlX2YT-DkRbzvIqIjivRc,part_318,2026-09-20 20:20:57
Dr. Chittaranjan Ghosh Clinic,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",N/A,N/A,4.0,,"VV44+H53, Muthadanga, Mayapur, West Bengal 712413",Muthadanga,22.8563924,87.8554168,ChIJs7lT5RBt-DkRpRuAWV8e8Bk,https://www.google.com/maps/place/?q=place_id:ChIJs7lT5RBt-DkRpRuAWV8e8Bk,part_318,2026-09-20 20:20:57
Chikitsa,Clinics,Diagnostic center,"Diagnostic center, Pharmacy",712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 97327 60101,N/A,5.0,,"Bus Stand, Mayapur, Panpet, West Bengal 712413",712413,22.841974,87.8660034,ChIJG9H2-LBs-DkRAAAAsKRupm8,https://www.google.com/maps/place/?q=place_id:ChIJG9H2-LBs-DkRAAAAsKRupm8,part_318,2026-09-20 20:20:57
হোমিও ক্লিনিক,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 97335 60262,N/A,5.0,,"Basantapur, West Bengal 712601",712413,22.8817013,87.7993183,ChIJeYRqs40T-DkRaQkGArAmUiE,https://www.google.com/maps/place/?q=place_id:ChIJeYRqs40T-DkRaQkGArAmUiE,part_318,2026-09-20 20:20:57
Gramin Chikitsak Ashok Sengupta,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 62948 64558,N/A,,,"Vv35+H92, Muthadega, Mayapur, Kolkata, West Bengal 712413",Muthadega,22.8539052,87.858374,ChIJidfKRtJs-DkRpIKjaYtWmy8,https://www.google.com/maps/place/?q=place_id:ChIJidfKRtJs-DkRpIKjaYtWmy8,part_318,2026-09-20 20:20:57
Grameen Chikitsak Dr. Pradeep Jana,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 97347 44499,N/A,,,"Khanakul, Hooghly, Ghoshpur, Hattala, Besides Deshbandhu Sweets, Hooghly Deshbandhu Market, Bondor To Arambagh, 24, No Road, Kolkata, West Bengal 712613",712413,22.8621032,87.795712,ChIJB1leocAT-DkRUHEfuEoyLBc,https://www.google.com/maps/place/?q=place_id:ChIJB1leocAT-DkRUHEfuEoyLBc,part_318,2026-09-20 20:20:57
Doctorkhana,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 76995 55036,N/A,,,"Rr3M+Xqh, Arambag, Hooghly, Shitalpur, West Bengal 712613",712413,22.8049318,87.83445239999999,ChIJQ6UZYpgS-DkRH0jEeHTQyLY,https://www.google.com/maps/place/?q=place_id:ChIJQ6UZYpgS-DkRH0jEeHTQyLY,part_318,2026-09-20 20:20:57
Advance Health Care,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 97754 24829,N/A,5.0,3.0,"Advance Health Care, Station Road, Basantapur, Arambag, West Bengal 712601",712413,22.8830959,87.79250309999999,ChIJlXMat1AT-DkRbZ6i28g2fhc,https://www.google.com/maps/place/?q=place_id:ChIJlXMat1AT-DkRbZ6i28g2fhc,part_318,2026-09-20 20:20:58
"ডাঃ জ্যোতির্ময় হাজরা, এম এস (গাইনি) । Dr Jyotirmoy Hajra, MS, Best Gynecologist, Arambagh Medical College Hospital",Clinics,Obstetrician-gynecologist,"Obstetrician-gynecologist, Abortion clinic, Endoscopist, Family planning center, Fertility clinic, Fertility physician, Women's health clinic, Pregnancy care center, Sexologist, Surgeon",712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 96472 70535,https://www.jyotirmoyhajra.blogspot.com/,4.9,368.0,"Ground Floor, Medizone, Link Road, opposite Disha Eye Hospital, near Basantapur More, Arambag, West Bengal 712601",712413,22.8830341,87.7881831,ChIJ97BON-x6AjoR2AFAB-Mf86o,https://www.google.com/maps/place/?q=place_id:ChIJ97BON-x6AjoR2AFAB-Mf86o,part_318,2026-09-20 20:20:58
West Bengal Information Center- Columbiaa Hospital,Clinics,Community health center,Community health center,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 91084 32693,https://columbiaahospital.com/,5.0,18.0,"Satitala, Arambag, West Bengal 712601",Satitala,22.870200699999998,87.79418659999999,ChIJldsE8CMT-DkRsmY-Ua5rsKE,https://www.google.com/maps/place/?q=place_id:ChIJldsE8CMT-DkRsmY-Ua5rsKE,part_318,2026-09-20 20:20:58
Arambagh Health Corner,Clinics,Diagnostic center,Diagnostic center,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 6295 879 733,https://arambaghhealthcorner.in/,4.9,102.0,"Arambag, West Bengal 712601",712413,22.8864159,87.7851748,ChIJURTYwGsT-DkRRnMqDy7qE70,https://www.google.com/maps/place/?q=place_id:ChIJURTYwGsT-DkRRnMqDy7qE70,part_318,2026-09-20 20:20:58
Teresa Memorial Hospital Arambagh,Clinics,Hospital,Hospital,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 74777 97607,N/A,4.8,176.0,"Besides Trends, Teresa Memorial Hospital, Gourhati More, Arambag, West Bengal 712601",712413,22.875780799999998,87.79259429999999,ChIJtZRIWgAT-DkRTc0GeUqry-Q,https://www.google.com/maps/place/?q=place_id:ChIJtZRIWgAT-DkRTc0GeUqry-Q,part_318,2026-09-20 20:20:58
Dr Sudhir's Pain relief Clinic - Arambagh,Clinics,Neurologist,"Neurologist, Doctor, Pain management physician",712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",+91 91636 95790,https://drsudhirspainrelief.com/,4.5,21.0,"1st floor P C Sen, Market, Link Road, Arambag, West Bengal 712601",712413,22.8859849,87.7842168,ChIJQfNp3fAT-DkRt1IuWjI0SP4,https://www.google.com/maps/place/?q=place_id:ChIJQfNp3fAT-DkRt1IuWjI0SP4,part_318,2026-09-20 20:20:58
Dr. Gautam Mukherjee Clinic,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",N/A,N/A,,,"VR8V+MFP, Mohan Pur - Hatbasanta Pur Rd, Mohanpur, West Bengal 712413",712413,22.866709699999998,87.8437172,ChIJV8lgi48T-DkRyUZ01h1XIrU,https://www.google.com/maps/place/?q=place_id:ChIJV8lgi48T-DkRyUZ01h1XIrU,part_318,2026-09-20 20:20:59
Aloka pharmacy,Clinics,Medical clinic,Medical clinic,712413,West Bengal Circle,South Bengal Region,Hooghly North Division,"Mayapur SO Hooghly, Arandi BO, Bachhanari BO",N/A,N/A,,,"VRJH+8XJ, Keledona, Balundi, West Bengal 712413",712413,22.880836799999997,87.8299062,ChIJ4VqqBQAT-DkR0IqEf3Rv0_U,https://www.google.com/maps/place/?q=place_id:ChIJ4VqqBQAT-DkR0IqEf3Rv0_U,part_318,2026-09-20 20:20:59
