business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Smile and rise oral care centre,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 89103 89529,http://www.srocc.com/,4.9,20.0,"Sunderpara, jagacha ,JIP colony, beside santragachi great eastern shop, West Bengal 711112",Santragachi,22.5857982,88.2868048,ChIJzZ0gTyV5AjoRg4SIUOZxEeY,https://www.google.com/maps/place/?q=place_id:ChIJzZ0gTyV5AjoRg4SIUOZxEeY,part_316,2026-09-20 20:17:07,1926
A. F dental clinic,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,,"H779+QM9, najrul palli, Majher Para, Panchpara, Mourigram, belda, Howrah, West Bengal 711109","Majher Para, Panchpara, Mourigram",22.5644121,88.2692335,ChIJ1RIPMgB5AjoRp19SSmkQgsU,https://www.google.com/maps/place/?q=place_id:ChIJ1RIPMgB5AjoRp19SSmkQgsU,part_316,2026-09-20 20:17:08,1927
Seva Dental and Maxillofacial Clinic,Dental Clinic,Dental clinic,"Dental clinic, Oral and maxillofacial surgeon",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90516 70080,https://www.facebook.com/groups/424414257611887/,4.9,,"Flat 5C, Block B, Ganpati Apartment, 21, Kshetra Mitra Ln, Babudanga, Golabari, Bandhaghat, Salkia, Howrah, West Bengal 711106","Babudanga, Golabari, Bandhaghat, Salkia",22.5980711,88.3447557,ChIJp3RUzeh3AjoRzLC-RKXdrGM,https://www.google.com/maps/place/?q=place_id:ChIJp3RUzeh3AjoRzLC-RKXdrGM,part_316,2026-09-20 20:17:08,1928
Smile Hub Dental Clinic Jagacha,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 89106 83722,N/A,4.9,,"1st floor of, Sushama medical stores, Mahiary Jagachha Rd, opposite Electric Office, GIP Colony, Jagacha, Howrah, West Bengal 711112","GIP Colony, Jagacha",22.5899879,88.289529,ChIJv3OjKQ15AjoR7Iq7PWX32CU,https://www.google.com/maps/place/?q=place_id:ChIJv3OjKQ15AjoR7Iq7PWX32CU,part_316,2026-09-20 20:17:08,1929
"SMILE 'n' DECOR, Multispeciality Dental clinic with Digital SMILE DESIGNING & IMPLANT Hub",Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 92307 05600,http://smilendecor.com/,4.9,,"Swaraj complex, 7/7, Hospital Rd, Habra, West Bengal 743271",711111,22.8428762,88.65606249999999,ChIJyQkeVVyw-DkRU-fQbgzBIi0,https://www.google.com/maps/place/?q=place_id:ChIJyQkeVVyw-DkRU-fQbgzBIi0,part_316,2026-09-20 20:17:08,1930
Ora Care Dental & Aesthetic Clinic,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 84449 53144,https://www.instagram.com/drvarshajain_,4.9,,"mita 86, Kshetra Mitra Ln, Babudanga, Bandhaghat, Salkia, Howrah, West Bengal 711106","Babudanga, Bandhaghat, Salkia",22.5977283,88.3450218,ChIJTZ4a6cJ3AjoRLoDwVBSPHf4,https://www.google.com/maps/place/?q=place_id:ChIJTZ4a6cJ3AjoRLoDwVBSPHf4,part_316,2026-09-20 20:17:08,1931
Spark Oral and Dental Care,Dental Clinic,Dental clinic,"Dental clinic, Dental implants periodontist, Dental radiology, Dentist, Endodontist, Oral surgeon, Orthodontist",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 81008 99606,N/A,4.9,,"16, Andul Rd, Nityanandanagar, Bakultala, Shibpur, Howrah, West Bengal 711109","Nityanandanagar, Bakultala, Shibpur",22.565400099999998,88.28316509999999,ChIJyZhCeZl5AjoRXCBAR8z5GG8,https://www.google.com/maps/place/?q=place_id:ChIJyZhCeZl5AjoRXCBAR8z5GG8,part_316,2026-09-20 20:17:08,1932
Smile N Shine Multispeciality Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 33 3562 4998,N/A,4.8,,"168/2, Andul Rd, near GKW, South Baksara, Shalimar, Howrah, West Bengal 711103","South Baksara, Shalimar",22.563264399999998,88.3012107,ChIJQ4cYV1N5AjoR31HSpO1YWds,https://www.google.com/maps/place/?q=place_id:ChIJQ4cYV1N5AjoR31HSpO1YWds,part_316,2026-09-20 20:17:08,1933
SAHA DENTAL CARE,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,N/A,N/A,5.0,,"20/4, S Buxarah Rd, South Baksara, Baksara, Howrah, West Bengal 711110","South Baksara, Baksara",22.5705603,88.2850442,ChIJD4GfPwB5AjoRo1vYL34bF34,https://www.google.com/maps/place/?q=place_id:ChIJD4GfPwB5AjoRo1vYL34bF34,part_316,2026-09-20 20:17:08,1934
ELEVATE SMILE - A MULTI-SPECIALITY DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 93303 19183,N/A,5.0,,"85/1 Subinoy, Pratap Ghosh Sarani, beside Dharsa Math, Old Jagacha, Howrah, West Bengal 711112",Old Jagacha,22.5911349,88.28629149999999,ChIJqzspodh5AjoRNg69aR4n8G8,https://www.google.com/maps/place/?q=place_id:ChIJqzspodh5AjoRNg69aR4n8G8,part_316,2026-09-20 20:17:08,1935
Dr. K.M Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70010 31179,https://magicpin.com/profilemerchant?userId=60704870,5.0,,"Mohiary Road, Nayabaz, Santragachi, Jagacha, West Bengal 711112","Santragachi, Jagacha",22.587588699999998,88.27978979999999,ChIJPxKiwzp5AjoRlUTSwB8lWEw,https://www.google.com/maps/place/?q=place_id:ChIJPxKiwzp5AjoRlUTSwB8lWEw,part_316,2026-09-20 20:17:08,1936
Howrah Dental Care,Dental Clinic,Dental clinic,"Dental clinic, Cosmetic dentist, Dental implants periodontist, Dentist, Emergency dental service, Endodontist, Oral surgeon, Orthodontist, Teeth whitening service",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 85828 90640,https://www.google.com/search?q=howrah+dental+care&oq=ho&gs_lcrp=EgZjaHJvbWUqBggDEEUYOzIGCAAQRRg5MgYIARBFGDwyBggCEEUYPTIGCAMQRRg7MgYIBBBFGDvSAQgxODUyajBqNKgCALACAA&client=ms-android-xiaomi-rvo2b&sourceid=chrome-mobile&ie=UTF-8,4.9,,"FIRST FLOOR, 7, Watkins Ln, Babudanga, Pilkhana, Howrah, West Bengal 711101","Babudanga, Pilkhana",22.593280099999998,88.33980129999999,ChIJA_ojX-x3AjoRmLmruxD4nw8,https://www.google.com/maps/place/?q=place_id:ChIJA_ojX-x3AjoRmLmruxD4nw8,part_316,2026-09-20 20:17:08,1937
The Tooth Care Dental Clinic,Dental Clinic,Dentist,Dentist,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 62909 07195,N/A,5.0,,"Ward No. 34, 117/13, Mirpara Rd, PO Bhattanagar, Bhatta Nagar, Liluah, Howrah, West Bengal 711203","Bhatta Nagar, Liluah",22.619871399999997,88.3272951,ChIJ41iYxwOd-DkR-OzkBqjv9kI,https://www.google.com/maps/place/?q=place_id:ChIJ41iYxwOd-DkR-OzkBqjv9kI,part_316,2026-09-20 20:17:08,1938
DENTCARE DENTAL CLINIC,Dental Clinic,Dentist,Dentist,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 93306 59953,N/A,4.9,,"1, Shekh Para, Ranihati, Howrah, Biki Hakola, West Bengal 711322","Shekh Para, Ranihati",22.5629062,88.15668439999999,ChIJ43SMwvyBAjoRz54PMZLZtXc,https://www.google.com/maps/place/?q=place_id:ChIJ43SMwvyBAjoRz54PMZLZtXc,part_316,2026-09-20 20:17:08,1939
H.P. DENTAL CARE,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 90079 36193,N/A,5.0,,"Santragachi Station Rd, opposite bank of baroda, GIP Colony, Jagacha, Howrah, West Bengal 711112","GIP Colony, Jagacha",22.5868586,88.2838713,ChIJayDZSlJ5AjoRQ1vBZXaixeU,https://www.google.com/maps/place/?q=place_id:ChIJayDZSlJ5AjoRQ1vBZXaixeU,part_316,2026-09-20 20:17:08,1940
Epion Dental Clinic,Dental Clinic,Dental clinic,"Dental clinic, Oral and maxillofacial surgeon",711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 94336 72592,https://www.facebook.com/Epion-Health-Care-103679068881292/?ref=pages_you_manage,5.0,,"Banolota Apartment Landmark, West Bengal 711109","Idgatola, Panchpara, Duillya",22.5665175,88.2669725,ChIJeTds_zp5AjoR3YOvh2U6D7k,https://www.google.com/maps/place/?q=place_id:ChIJeTds_zp5AjoR3YOvh2U6D7k,part_316,2026-09-20 20:17:08,1941
DENTAL WORLD,Dental Clinic,Dental clinic,Dental clinic,711111,West Bengal Circle,South Bengal Region,Howrah Division,Jagacha SO,+91 70448 50528,N/A,5.0,,"ROAD, GIP Colony, JIGACHA, Jagacha, Mahiari, Howrah, West Bengal 711112","GIP Colony, JIGACHA, Jagacha",22.5899505,88.2917121,ChIJi-cc6uh5AjoREXuJGxXsVYs,https://www.google.com/maps/place/?q=place_id:ChIJi-cc6uh5AjoREXuJGxXsVYs,part_316,2026-09-20 20:17:08,1942
