business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
RASHBIHARI CAR,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 97321 12406,N/A,,,"Shop No 12, Rudra Para Ps Katwa, near Kali Mondir, Postgram, West Bengal 713514",713143,23.523503299999998,88.1616839,ChIJpQ0Lqwip-TkRWwtxf4OBuEE,https://www.google.com/maps/place/?q=place_id:ChIJpQ0Lqwip-TkRWwtxf4OBuEE,part_319,2026-09-20 20:17:44
Mahindra M S Motors - SUV & Commercial Vehicle Showroom,Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Auto body shop, Auto repair shop, Car dealer, Vehicle wrapping service",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 74777 82559,https://msmotors.in.net/,4.7,,"NH 12, Kalirhat, opp. to FCI Godown, Itla, Krishnanagar, West Bengal 741102",713143,23.3446942,88.4683067,ChIJeZ08DG7g-DkRvTS14S-XnkA,https://www.google.com/maps/place/?q=place_id:ChIJeZ08DG7g-DkRvTS14S-XnkA,part_319,2026-09-20 20:17:44
"TATA.CARS Service Centre - Banerjee Automobiles, Bardhman",Car Showroom and Used Car Dealer,Auto Accessories Store,"Auto Accessories Store, Auto parts store, Car wash, Electric motor repair shop",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",N/A,https://dealer-locator.cars.tatamotors.com/tata-cars-service-centre-banerjee-automobiles-bardhman-auto-accessories-stores-bardhaman-bardhaman-507363/Home?utm_source=locator&utm_medium=googleplaces,5.0,,"Post Office Fagupur Village Ferighat, NH2, Bardhaman, West Bengal 713104",NH2,23.274663999999998,87.811448,ChIJq3MXGEQ1-DkRipP2-EaPVnQ,https://www.google.com/maps/place/?q=place_id:ChIJq3MXGEQ1-DkRipP2-EaPVnQ,part_319,2026-09-20 20:17:44
Debnath Wheels,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 93335 60503,N/A,4.3,,"College More, Parulia, West Bengal 713513",713143,23.4413083,88.31442,ChIJd-DK0rMD-TkRC5uer811ZP4,https://www.google.com/maps/place/?q=place_id:ChIJd-DK0rMD-TkRC5uer811ZP4,part_319,2026-09-20 20:17:44
MAA TARA AUTOMOBILES,Car Showroom and Used Car Dealer,Motor vehicle dealer,Motor vehicle dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 86701 55205,N/A,4.3,,"53JH+2WM, More, Tatarpur, Memari, West Bengal 713146",713143,23.1803897,88.0798684,ChIJDZPHC15R-DkRt_FvjniNQww,https://www.google.com/maps/place/?q=place_id:ChIJDZPHC15R-DkRt_FvjniNQww,part_319,2026-09-20 20:17:44
"Spinny Car Hub | City Center 2 Mall, Kolkata",Car Showroom and Used Car Dealer,Used car dealer,"Used car dealer, Audi dealer, BMW dealer, Car finance and loan company, Honda dealer, Hyundai dealer, Suzuki dealer, Toyota dealer",713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 72772 77275,https://www.spinny.com/used-cars-in-kolkata/s/,4.8,,"SHOPPERS STOP, Shoppers stop building, 3rd floor Beside City Centre 2 Mall, Rajarhat, Major Arterial Road, North Extension, Action Area IID, Rajarhat, Kolkata, West Bengal 700161","North Extension, Action Area IID, Rajarhat",22.6221695,88.44923759999999,ChIJ599Pjn2f-DkRgEoiRWpM1mk,https://www.google.com/maps/place/?q=place_id:ChIJ599Pjn2f-DkRgEoiRWpM1mk,part_319,2026-09-20 20:17:45
Trusted Cars Pre-Owned Cars,Car Showroom and Used Car Dealer,Car dealer,Car dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 89274 54177,N/A,5.0,,"Anandapally Road, Ichlabad, Bardhaman, West Bengal 713103",Ichlabad,23.2295533,87.86900299999999,ChIJU6RSmUtJ-DkRYnly3uztSe0,https://www.google.com/maps/place/?q=place_id:ChIJU6RSmUtJ-DkRYnly3uztSe0,part_319,2026-09-20 20:17:45
Rudra Hyundai Durgapur,Car Showroom and Used Car Dealer,Hyundai dealer,Hyundai dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 79 4910 8554,https://rudra-hyundai-durgapur.com/,4.8,3557.0,"NH-2, opp. EPIP Plot, Bamunara, Muchipara, West Bengal 713212",713143,23.4951102,87.3699724,ChIJURITVIlw9zkRowA2Yfc_fJI,https://www.google.com/maps/place/?q=place_id:ChIJURITVIlw9zkRowA2Yfc_fJI,part_319,2026-09-20 20:17:45
SF Car Bazar,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 97338 16183,http://www.sfcarbazar.in/,4.7,345.0,"NH 12, Gangapur, Bhabta, West Bengal 742134",713143,24.0005563,88.24422589999999,ChIJd6omJ-B5-TkR7_3g08oM0aU,https://www.google.com/maps/place/?q=place_id:ChIJd6omJ-B5-TkR7_3g08oM0aU,part_319,2026-09-20 20:17:45
Memari Motors,Car Showroom and Used Car Dealer,Used car dealer,Used car dealer,713143,West bengal circle,South Bengal Region,Burdwan Division,"Auria BO, Bazar Bankapashi BO, Gandhpur BO",+91 70634 41999,N/A,3.8,,"53JX+FJG, Memari, West Bengal 713146",713143,23.1793911,88.10328489999999,ChIJ95kUddVZ-DkRwli0vTWpI9Q,https://www.google.com/maps/place/?q=place_id:ChIJ95kUddVZ-DkRwli0vTWpI9Q,part_319,2026-09-20 20:17:46
