business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AKS Institute,Tuition Center,Coaching Center,"Coaching Center, Education center, Educational consultant, Educational institution, Private Tutor, Tutoring service",700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",N/A,https://www.facebook.com/aks.institute22,4.8,59.0,"14, Michael Madhusudan Sarani, 1st floor, Watganj, opposite Indian Bank, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5406297,88.3238269,ChIJsey8Nal5AjoRkYC0v0QcCrs,https://www.google.com/maps/place/?q=place_id:ChIJsey8Nal5AjoRkYC0v0QcCrs,part_312,2026-09-20 20:51:57
The Effort Tutorial,Tuition Center,Education center,Education center,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 98313 11938,https://d25pbndgyq4wu0.cloudfront.net/,4.8,35.0,"9, Hari Sava St, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.540322999999997,88.32626599999999,ChIJ32Ih_RR3AjoRrkH9XkcRdns,https://www.google.com/maps/place/?q=place_id:ChIJ32Ih_RR3AjoRrkH9XkcRdns,part_312,2026-09-20 20:51:57
TutorPedia,Tuition Center,Education center,Education center,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 96814 93134,N/A,5.0,51.0,"117G, Karl Marx Sarani Rd, opposite Ismail Masjid, near New Metro Guest House, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5391414,88.32151019999999,ChIJFzQ7q1V3AjoRJYdZiThRmCQ,https://www.google.com/maps/place/?q=place_id:ChIJFzQ7q1V3AjoRJYdZiThRmCQ,part_312,2026-09-20 20:51:57
History & All Subjects Tuition-Classes 1to BA History (Hons),Tuition Center,Private Tutor,Private Tutor,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 91630 70098,N/A,5.0,2.0,"Badi Masjid, 6B, 23, Michael Madhusudan Sarani, beside Anand Jeweller Land Mark, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5422291,88.3241207,ChIJJz0UErV3AjoRgcnWwa9x22k,https://www.google.com/maps/place/?q=place_id:ChIJJz0UErV3AjoRgcnWwa9x22k,part_312,2026-09-20 20:51:57
TOC - The Origin Classes,Tuition Center,Coaching Center,Coaching Center,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",N/A,N/A,4.8,17.0,"27E, Manasatala Ln, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5386335,88.3256888,ChIJw3Yh7Zl3AjoR67uZrkCFnmw,https://www.google.com/maps/place/?q=place_id:ChIJw3Yh7Zl3AjoR67uZrkCFnmw,part_312,2026-09-20 20:51:57
Harmeet coaching center,Tuition Center,Education center,Education center,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 91236 55050,N/A,5.0,12.0,"17, Debendra Lal Khan Rd, Bhowanipore, Kolkata, West Bengal 700071",Bhowanipore,22.534882099999997,88.3364969,ChIJDYULbgB3AjoRVZFE4oa45Lk,https://www.google.com/maps/place/?q=place_id:ChIJDYULbgB3AjoRVZFE4oa45Lk,part_312,2026-09-20 20:51:57
Alisha Coaching Classes,Tuition Center,Education center,Education center,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",N/A,N/A,5.0,1.0,"41h, 8, Dr Sudhir Basu Rd, opposite gulistan hotel, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5373108,88.32380789999999,ChIJcynC9Fh5AjoRdUPdIs1XkVo,https://www.google.com/maps/place/?q=place_id:ChIJcynC9Fh5AjoRdUPdIs1XkVo,part_312,2026-09-20 20:51:57
Bengali Private Tutions (Roma Miss),Tuition Center,Private Tutor,Private Tutor,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 98745 80875,N/A,4.0,1.0,"G8QG+H7H, Ganesh Sarkar Ln, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5389338,88.3257445,ChIJW4_gNwB3AjoRglPvl9vHYQI,https://www.google.com/maps/place/?q=place_id:ChIJW4_gNwB3AjoRglPvl9vHYQI,part_312,2026-09-20 20:51:57
Sanjeev Sir's Computer Classes,Tuition Center,Education center,"Education center, Coaching Center, Software Training Institute, Tutoring service",700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 87777 37820,http://www.sanjeevsir.co.in/,5.0,24.0,"50, H/1, Nazir Ln, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5422659,88.3218059,ChIJ_4s6aKR5AjoRMTrw-XozzNI,https://www.google.com/maps/place/?q=place_id:ChIJ_4s6aKR5AjoRMTrw-XozzNI,part_312,2026-09-20 20:51:57
math specialist,Tuition Center,Education center,Education center,700022,West Bengal Circle,Kolkata Region,South Kolkata Division,"Hastings SO, Bakery Road SO",+91 85858 98919,N/A,,,"17/A, Mansatala Row, Kidderpore, Kolkata, West Bengal 700023",Kidderpore,22.5374286,88.32554929999999,ChIJIcjnrgB3AjoRfu5cmt7_4ZE,https://www.google.com/maps/place/?q=place_id:ChIJIcjnrgB3AjoRfu5cmt7_4ZE,part_312,2026-09-20 20:51:57
